Wavenumber,bl_i
1276.666,0.5
1278.594,0.471760081
1280.523,0.444677568
1282.452,0.418716348
1284.38,0.393840798
1286.308,0.37001503
1288.237,0.347203903
1290.166,0.325373653
1292.094,0.304491028
1294.022,0.284522739
1295.951,0.26543622
1297.88,0.247200068
1299.808,0.229783407
1301.736,0.213155516
1303.665,0.197286372
1305.594,0.18214694
1307.522,0.167708727
1309.45,0.153943547
1311.379,0.140823892
1313.307,0.12832319
1315.236,0.116415063
1317.164,0.105074102
1319.093,0.094275197
1321.021,0.083994106
1322.95,0.074206979
1324.878,0.064890744
1326.807,0.056022802
1328.735,0.047581252
1330.664,0.039544739
1332.592,0.031892536
1334.521,0.024604522
1336.449,0.017661147
1338.378,0.011043514
1340.307,0.004733281
1342.235,-0.001287315
1344.163,-0.007035381
1346.092,-0.012527411
1348.021,-0.017779377
1349.949,-0.022806664
1351.877,-0.027623979
1353.806,-0.032245428
1355.734,-0.036684661
1357.663,-0.040954551
1359.591,-0.045067567
1361.52,-0.049035397
1363.448,-0.052869328
1365.377,-0.05695015
1367.305,-0.060906717
1369.234,-0.064726968
1371.162,-0.068410634
1373.091,-0.07196721
1375.019,-0.07541335
1376.948,-0.078744774
1378.876,-0.081971145
1380.805,-0.085095883
1382.733,-0.08813195
1384.662,-0.091078178
1386.59,-0.093940283
1388.519,-0.096717677
1390.447,-0.099417255
1392.376,-0.102040839
1394.304,-0.104601031
1396.233,-0.107085982
1398.161,-0.109504336
1400.09,-0.111859588
1402.018,-0.114155932
1403.947,-0.116398219
1405.875,-0.118591313
1407.804,-0.120740089
1409.732,-0.122849167
1411.661,-0.124920967
1413.589,-0.126965854
1415.518,-0.128983998
1417.446,-0.130974617
1419.375,-0.132940485
1421.303,-0.134874109
1423.232,-0.136781838
1425.16,-0.1386626
1427.089,-0.140523911
1429.017,-0.142362975
1430.946,-0.144172226
1432.874,-0.145950316
1434.803,-0.147702853
1436.731,-0.149434024
1438.66,-0.151139232
1440.588,-0.152817976
1442.517,-0.154477651
1444.445,-0.156122709
1446.374,-0.157741508
1448.302,-0.159328457
1450.231,-0.16088803
1452.159,-0.162419672
1454.088,-0.163910808
1456.016,-0.165361626
1457.945,-0.166773134
1459.873,-0.168145264
1461.802,-0.16948894
1463.73,-0.170807149
1465.659,-0.172094981
1467.587,-0.173354211
1469.516,-0.174596098
1471.444,-0.175815897
1473.373,-0.177002381
1475.301,-0.178163617
1477.23,-0.179300955
1479.158,-0.180404121
1481.087,-0.181470142
1483.015,-0.182498336
1484.944,-0.183493206
1486.872,-0.184456776
1488.801,-0.185392412
1490.729,-0.186293515
1492.658,-0.187160553
1494.586,-0.188000287
1496.515,-0.188811553
1498.443,-0.189594647
1500.372,-0.189594647
1502.3,-0.190330542
1504.229,-0.191050005
1506.157,-0.191753617
1508.086,-0.192441951
1510.014,-0.193115575
1511.943,-0.19377505
1513.871,-0.194420933
1515.8,-0.19505377
1517.728,-0.195674106
1519.657,-0.196282475
1521.585,-0.196879407
1523.514,-0.197465426
1525.442,-0.198041049
1527.371,-0.198606787
1529.299,-0.199163143
1531.228,-0.19965971
1533.156,-0.200150367
1535.085,-0.20063473
1537.013,-0.201112089
1538.942,-0.201583064
1540.87,-0.202047752
1542.799,-0.202508633
1544.727,-0.202967715
1546.656,-0.203430675
1548.584,-0.203896328
1550.513,-0.204358542
1552.441,-0.204821659
1554.37,-0.205283053
1556.298,-0.205745692
1558.227,-0.206210567
1560.155,-0.206674123
1562.084,-0.207136024
1564.012,-0.207606301
1565.941,-0.208079488
1567.869,-0.208554313
1569.798,-0.209034179
1571.726,-0.209515309
1573.655,-0.209999628
1575.583,-0.210486765
1577.512,-0.210975582
1579.44,-0.211467349
1581.369,-0.211960754
1583.297,-0.212457325
1585.226,-0.212964263
1587.154,-0.213479221
1589.083,-0.213998205
1591.011,-0.214521982
1592.94,-0.215049998
1594.868,-0.215580153
1596.797,-0.216112686
1598.725,-0.216650269
1600.654,-0.217189972
1602.582,-0.217735676
1604.511,-0.218288173
1606.439,-0.21885084
1608.368,-0.219419947
1610.296,-0.219998466
1612.225,-0.22058888
1614.153,-0.221190627
1616.082,-0.221805646
1618.01,-0.22243055
1619.939,-0.223066139
1621.867,-0.223710249
1623.796,-0.224363019
1625.724,-0.225022327
1627.653,-0.225683587
1629.581,-0.22634842
1631.51,-0.227010875
1633.438,-0.227666011
1635.367,-0.228322747
1637.295,-0.22897418
1639.224,-0.229620779
1641.152,-0.230254542
1643.081,-0.230879367
1645.009,-0.231494339
1646.938,-0.232101232
1648.866,-0.232695169
1650.795,-0.233277499
1652.723,-0.233847917
1654.652,-0.234410122
1656.58,-0.234952784
1658.509,-0.235471392
1660.437,-0.235967766
1662.366,-0.236439834
1664.294,-0.236889309
1666.223,-0.237312436
1668.151,-0.237710839
1670.08,-0.238090085
1672.008,-0.238451466
1673.937,-0.238795056
1675.865,-0.239122952
1677.794,-0.239436817
1679.722,-0.239736058
1681.651,-0.240024263
1683.579,-0.240292599
1685.508,-0.240543665
1687.436,-0.240782298
1689.365,-0.241010065
1691.293,-0.241223901
1693.222,-0.241425457
1695.15,-0.241615996
1697.079,-0.241799909
1699.007,-0.24197762
1700.936,-0.24214838
1702.864,-0.242310646
1704.793,-0.242467819
1706.721,-0.242618596
1708.65,-0.242763774
1710.578,-0.242904127
1712.507,-0.243036742
1714.435,-0.243160744
1716.364,-0.243277986
1718.292,-0.243385789
1720.221,-0.243484526
1722.149,-0.243575741
1724.078,-0.24366115
1726.006,-0.243740958
1727.935,-0.243820057
1729.863,-0.243895275
1731.792,-0.243970525
1733.72,-0.244049179
1735.649,-0.244130796
1737.577,-0.244216627
1739.506,-0.244306851
1741.434,-0.244399819
1743.363,-0.244499115
1745.291,-0.244604911
1747.22,-0.244721839
1749.148,-0.244851821
1751.077,-0.244994294
1753.005,-0.2451525
1754.934,-0.245325616
1756.862,-0.245516211
1758.791,-0.245726889
1760.719,-0.245961743
1762.648,-0.246217451
1764.576,-0.24649996
1766.505,-0.246808521
1768.433,-0.247146408
1770.362,-0.247510241
1772.29,-0.247901255
1774.219,-0.248324086
1776.147,-0.248781057
1778.076,-0.24926208
1780.004,-0.249774402
1781.933,-0.250319247
1783.861,-0.250897162
1785.79,-0.251507149
1787.718,-0.252149557
1789.647,-0.252825598
1791.575,-0.253531806
1793.504,-0.254268777
1795.432,-0.255034366
1797.361,-0.255828574
1799.289,-0.256647788
1801.218,-0.257489803
1803.146,-0.258353871
1805.075,-0.259239977
1807.003,-0.260147737
1808.932,-0.261078624
1810.86,-0.262031463
1812.789,-0.263007257
1814.717,-0.26400313
1816.646,-0.265013529
1818.574,-0.266042627
1820.503,-0.267086839
1822.431,-0.26814865
1824.36,-0.269226973
1826.288,-0.270318037
1828.217,-0.271421187
1830.145,-0.272539788
1832.074,-0.273672181
1834.002,-0.274816855
1835.931,-0.275974061
1837.859,-0.277143134
1839.788,-0.278324349
1841.716,-0.279514168
1843.645,-0.280714513
1845.573,-0.281927515
1847.502,-0.283152326
1849.43,-0.28438822
1851.359,-0.285634716
1853.287,-0.286897739
1855.216,-0.288175237
1857.144,-0.289467926
1859.073,-0.290772366
1861.001,-0.29208819
1862.93,-0.293419506
1864.858,-0.294762354
1866.786,-0.296116291
1868.715,-0.29748238
1870.644,-0.2988597
1872.572,-0.300248759
1874.5,-0.301649703
1876.429,-0.303063412
1878.358,-0.304490268
1880.286,-0.305932865
1882.215,-0.307387621
1884.143,-0.308857043
1886.072,-0.310342776
1888,-0.311842536
1889.929,-0.313355322
1891.857,-0.314877956
1893.786,-0.316412597
1895.714,-0.317957433
1897.643,-0.319513737
1899.571,-0.321080087
1901.5,-0.322659207
1903.428,-0.324246863
1905.357,-0.325844389
1907.285,-0.327450827
1909.214,-0.329069405
1911.142,-0.330695577
1913.071,-0.33232935
1914.999,-0.333971104
1916.927,-0.335615723
1918.856,-0.337264204
1920.785,-0.338919967
1922.713,-0.340582148
1924.641,-0.342249836
1926.57,-0.343924439
1928.499,-0.345603567
1930.427,-0.347285395
1932.355,-0.348977518
1934.284,-0.350676857
1936.213,-0.352384281
1938.141,-0.354100089
1940.069,-0.355825695
1941.998,-0.357557438
1943.927,-0.359297508
1945.855,-0.361048252
1947.783,-0.362806037
1949.712,-0.364574196
1951.641,-0.366352152
1953.569,-0.368135948
1955.497,-0.36992758
1957.426,-0.371726775
1959.354,-0.373533298
1961.283,-0.375347014
1963.211,-0.377165233
1965.14,-0.378984865
1967.068,-0.380806945
1968.997,-0.382629593
1970.925,-0.384453109
1972.854,-0.38627672
1974.782,-0.388100744
1976.711,-0.389921809
1978.639,-0.39173872
1980.568,-0.393549334
1982.496,-0.395352597
1984.425,-0.397146241
1986.354,-0.398924914
1988.282,-0.400688941
1990.21,-0.402433541
1992.139,-0.404157102
1994.068,-0.405861369
1995.996,-0.407543316
1997.924,-0.409203621
1999.853,-0.41083829
2001.781,-0.412449178
2003.71,-0.414035887
2005.638,-0.415597069
2007.567,-0.417134216
2009.495,-0.418646149
2011.424,-0.420134437
2013.352,-0.421596485
2015.281,-0.423032581
2017.209,-0.424443187
2019.138,-0.425827687
2021.066,-0.427185654
2022.995,-0.42851852
2024.923,-0.429824216
2026.852,-0.431103676
2028.78,-0.432355266
2030.709,-0.433584563
2032.637,-0.434786227
2034.566,-0.435963041
2036.494,-0.43711565
2038.423,-0.438243362
2040.351,-0.439349037
2042.28,-0.440429257
2044.208,-0.441488838
2046.137,-0.442526578
2048.065,-0.443544116
2049.994,-0.444541002
2051.922,-0.445517829
2053.851,-0.446475651
2055.779,-0.447416724
2057.708,-0.448340293
2059.636,-0.449245932
2061.565,-0.450132751
2063.493,-0.451004016
2065.422,-0.451857251
2067.35,-0.452693351
2069.279,-0.453512251
2071.207,-0.4543164
2073.136,-0.455105107
2075.064,-0.455875111
2076.993,-0.456628381
2078.921,-0.457364449
2080.85,-0.458087018
2082.778,-0.458795509
2084.707,-0.45948828
2086.635,-0.460167135
2088.564,-0.460830998
2090.492,-0.461479826
2092.421,-0.462114136
2094.349,-0.462735646
2096.278,-0.463343677
2098.206,-0.463935317
2100.135,-0.464515305
2102.063,-0.465082923
2103.992,-0.465640797
2105.92,-0.466186668
2107.849,-0.46672329
2109.777,-0.467250416
2111.706,-0.467770295
2113.634,-0.468284582
2115.563,-0.468792999
2117.491,-0.469297552
2119.42,-0.469800044
2121.348,-0.47030033
2123.277,-0.470799816
2125.205,-0.471297
2127.134,-0.47179366
2129.062,-0.472289178
2130.991,-0.472784766
2132.919,-0.47327837
2134.848,-0.473770769
2136.776,-0.474263145
2138.705,-0.474754306
2140.633,-0.475244479
2142.562,-0.475736353
2144.49,-0.476226452
2146.419,-0.476717076
2148.347,-0.477206965
2150.276,-0.477694752
2152.204,-0.478180744
2154.133,-0.478661649
2156.061,-0.479137708
2157.99,-0.479608448
2159.918,-0.480073249
2161.847,-0.480531688
2163.775,-0.480982587
2165.704,-0.481426085
2167.632,-0.481863078
2169.561,-0.482292992
2171.489,-0.482713029
2173.418,-0.483125606
2175.346,-0.483530577
2177.275,-0.483928461
2179.203,-0.484319667
2181.132,-0.484703684
2183.06,-0.4850823
2184.989,-0.485452191
2186.917,-0.485816567
2188.846,-0.486174867
2190.774,-0.486528085
2192.703,-0.48687718
2194.631,-0.487223303
2196.56,-0.48756403
2198.488,-0.487895798
2200.417,-0.488223137
2202.345,-0.488545352
2204.274,-0.488864388
2206.202,-0.489179689
2208.131,-0.489489192
2210.059,-0.489789607
2211.988,-0.4900827
2213.916,-0.490365604
2215.845,-0.49064293
2217.773,-0.490916617
2219.702,-0.49118738
2221.63,-0.49145247
2223.559,-0.491717645
2225.487,-0.491982445
2227.416,-0.492251
2229.344,-0.492519522
2231.273,-0.492785653
2233.201,-0.493046144
2235.13,-0.493300471
2237.058,-0.493541588
2238.987,-0.493770513
2240.915,-0.49398238
2242.844,-0.494181628
2244.772,-0.494371611
2246.701,-0.494551376
2248.629,-0.494726834
2250.558,-0.494903461
2252.486,-0.495083091
2254.415,-0.495266736
2256.343,-0.495455367
2258.272,-0.495653037
2260.2,-0.495859996
2262.129,-0.496078354
2264.057,-0.496304294
2265.986,-0.49653569
2267.914,-0.496776473
2269.843,-0.497022456
2271.771,-0.497275024
2273.7,-0.497533474
2275.628,-0.497783511
2277.557,-0.498034791
2279.485,-0.498287201
2281.414,-0.498540611
2283.342,-0.498794872
2285.271,-0.499049823
2287.199,-0.49930528
2289.128,-0.499561047
2291.056,-0.499816909
2292.985,-0.500072635
2294.913,-0.500327976
2296.842,-0.500582667
2298.77,-0.500836425
2300.699,-0.501088953
2302.627,-0.501339933
2304.556,-0.501589035
2306.484,-0.501835907
2308.413,-0.502080183
2310.341,-0.502321481
2312.27,-0.502559401
2314.198,-0.502793524
2316.127,-0.503023418
2318.055,-0.503248632
2319.984,-0.503468698
2321.912,-0.503683131
2323.841,-0.503891431
2325.769,-0.50409308
2327.698,-0.504287541
2329.626,-0.504474264
2331.555,-0.50465268
2333.483,-0.504822204
2335.412,-0.504982231
2337.34,-0.505132145
2339.269,-0.505271307
2341.197,-0.505399066
2343.126,-0.505514751
2345.054,-0.505617675
2346.983,-0.505707135
2348.911,-0.505782411
2350.84,-0.505842765
2352.768,-0.505887443
2354.697,-0.505915673
2356.625,-0.505926668
2358.554,-0.505919624
2360.482,-0.505893718
2362.411,-0.505848111
2364.339,-0.50578195
2366.268,-0.50569436
2368.196,-0.505584454
2370.125,-0.505451325
2372.053,-0.50529405
2373.982,-0.50511169
2375.91,-0.504903288
2377.839,-0.504667871
2379.767,-0.504404449
2381.696,-0.504112013
2383.624,-0.503789541
2385.553,-0.503435992
2387.481,-0.503050307
2389.41,-0.502631412
2391.338,-0.502178216
2393.267,-0.50168961
2395.195,-0.50116447
2397.124,-0.500601653
2399.052,-0.5
