Wavenumber,WD23MI02,WD33MI03,SH55MI02,SH54MI11,SH63MI02,WD71AMI01,SH63MI10,SH01MI11,SH01MI05,SH63MI39,WD23MI03A,FI38MI01C,SH01MI12B,CV09EMI05,FI38MI01B,SH01MI12A,OK14MI07,OK14MI12,AK96MI13,OK14MI01,WD35MI04A,SH63MI43,OK14MI06C,Terry3MI04A,FI45MI02,AK96MI08,WD70MI03,Terry3MI03,JFL19BMI11,WD12MI04A,FI45MI05,WD70MI01A,WD35MI02,WD07MI01A,FI45MI06,OK14MI08,WD70MI01B,WD12MI06,WD35MI01,OK14MI09,WD07MI01B,SH63MI53,FI38MI05A,SH58MI01,SH63MI34,SH01MI21,OK17MI05A,SH63MI22,FI45MI04A,SH63MI27,JFL30AMI12,VS73MI02,SH63MI25,SH63MI31,SH63MI24
1276.666,1.144743839,0.809137161,0.901338863,0.680845666,1.644111874,1.363087043,0.82242739,0.911729475,0.595284659,1.034598759,2.148771791,0.510848954,1.185580304,0.614532568,0.52074583,1.073399252,1.703036388,0.825643192,0.735251992,0.892139218,0.823824283,0.838835996,0.405242877,0.509925344,0.870219035,0.661414182,0.626974118,0.935145514,0.926323642,0.940512255,0.793956249,0.758755835,0.889702151,0.826818752,0.870829949,0.959791515,0.756171828,1.076913962,0.941017252,1.110174615,0.947906865,0.642790246,0.785105915,1.155122952,1.115968761,1.018056196,0.563134817,0.594476787,0.882594687,0.779574694,0.970741343,0.927980937,0.881957906,1.054839699,0.950888101
1278.594,1.123626728,0.793538397,0.875270131,0.661946447,1.604869954,1.336935197,0.803903658,0.895505211,0.582586336,1.005522187,2.114133945,0.49616531,1.166350949,0.600906532,0.5066225,1.052098942,1.668023268,0.808639406,0.716493096,0.876291804,0.807981385,0.820865946,0.396350868,0.494356337,0.856202943,0.645846602,0.614894349,0.915155975,0.909287056,0.921934454,0.779723276,0.743998751,0.875562763,0.811031554,0.854519668,0.938556786,0.741209255,1.054364979,0.925376345,1.086744753,0.929457674,0.630282909,0.769789097,1.130779313,1.090800878,0.991630186,0.551553984,0.578069254,0.864723266,0.761351962,0.94996709,0.906614478,0.859640205,1.031564939,0.929189125
1280.523,1.103236696,0.778428471,0.850346931,0.64385161,1.567312914,1.311605068,0.786021486,0.879890881,0.570357321,0.977707105,2.080512168,0.481964391,1.147695241,0.587787112,0.492996043,1.031655078,1.634258255,0.79223227,0.698518001,0.860916924,0.792706385,0.803541797,0.387802628,0.479353485,0.842521681,0.630883288,0.603228766,0.895914074,0.892760396,0.903980038,0.765936042,0.72975043,0.861883197,0.795774707,0.838737083,0.918055071,0.726753533,1.032629885,0.910246492,1.064184261,0.911608128,0.618365736,0.754987095,1.107405443,1.066579504,0.966343708,0.540398492,0.562356647,0.847455097,0.743921408,0.92994938,0.886024289,0.838264525,1.009141853,0.908358975
1282.452,1.083552795,0.76379598,0.826532692,0.626535273,1.531383428,1.287076608,0.768764115,0.86486841,0.55858464,0.951113509,2.047883119,0.46823382,1.129599544,0.575160127,0.479852977,1.012040869,1.601706835,0.776405143,0.681302245,0.846003432,0.777983199,0.786845414,0.379588107,0.464901529,0.829170929,0.616505959,0.59196699,0.877398683,0.87673248,0.886634715,0.752583371,0.715997421,0.84865179,0.78103457,0.823469427,0.898266109,0.712791731,1.011687152,0.895614262,1.042468487,0.894343716,0.607018897,0.740686664,1.084971723,1.04327771,0.942160971,0.52965661,0.547316759,0.830775405,0.72725585,0.910667095,0.866188331,0.817800924,0.987545636,0.888370483
1284.38,1.064554365,0.749629659,0.803791352,0.609971939,1.497024985,1.263329979,0.752114979,0.850419992,0.547255487,0.925701963,2.016223789,0.45496139,1.112050376,0.563011583,0.467180017,0.993229904,1.570334987,0.761141609,0.664821684,0.831540301,0.76379597,0.770758871,0.371697387,0.450985407,0.816146364,0.602696539,0.581098763,0.85958894,0.861192215,0.869884323,0.739654252,0.702726461,0.83585703,0.766797675,0.808704089,0.879170009,0.699311083,0.991515498,0.881466384,1.021573104,0.877650095,0.596222847,0.726874741,1.063448932,1.020868935,0.919046666,0.519316757,0.532927726,0.814669576,0.711328501,0.892099381,0.847084827,0.798219861,0.966751819,0.869196813
1286.308,1.046220613,0.735918277,0.782086657,0.594136124,1.464180416,1.240344851,0.736057354,0.836527817,0.536357007,0.901432922,1.98551155,0.442134965,1.095034063,0.551327415,0.454963969,0.975195607,1.540109016,0.746425222,0.649051978,0.817516418,0.750128852,0.755264012,0.364120494,0.437590051,0.80344357,0.589436489,0.570613778,0.842463792,0.846128283,0.853714456,0.727137779,0.689924366,0.823487415,0.753050524,0.79442848,0.860747801,0.686298842,0.972093441,0.867789352,1.001473738,0.86151287,0.585957968,0.71353832,1.042807658,0.999326581,0.896965281,0.509367279,0.519167773,0.799122846,0.696112285,0.874225154,0.828691666,0.779491478,0.946735839,0.850810536
1288.237,1.028531154,0.722650758,0.761383077,0.579002858,1.432793853,1.218101248,0.720574801,0.823174397,0.525876576,0.878267633,1.955724013,0.429742591,1.078537161,0.540093803,0.443191843,0.957911932,1.510995741,0.732239836,0.633969281,0.803920846,0.736966279,0.740343033,0.356847642,0.424700635,0.791058116,0.576707694,0.560501882,0.826002577,0.831529557,0.838110911,0.715023189,0.677578146,0.811531624,0.739779839,0.780630189,0.842980705,0.673742446,0.953399858,0.854569914,0.982146447,0.845917863,0.576205047,0.700664584,1.023019069,0.978624512,0.875882016,0.499796733,0.506015536,0.784120682,0.681580749,0.857023723,0.810987187,0.761586546,0.927473605,0.833184843
1290.166,1.011466364,0.709816265,0.741646415,0.564547993,1.402811992,1.196580197,0.705651471,0.810342809,0.515801977,0.856168701,1.926839015,0.417772587,1.062546761,0.529297399,0.431850953,0.941353842,1.482962658,0.718569814,0.61955069,0.790743005,0.724293156,0.725978869,0.349869394,0.412302762,0.778985663,0.564493027,0.550753235,0.810185421,0.817385369,0.823060007,0.703299927,0.66567511,0.799978636,0.726972738,0.767297109,0.825849662,0.661629668,0.935414393,0.841795422,0.963568052,0.830851302,0.566945589,0.688241021,1.004055432,0.95873741,0.855763368,0.490594074,0.493450287,0.769649063,0.667708637,0.840475231,0.79395069,0.744477083,0.908941863,0.816294343
1292.094,0.995006916,0.697404097,0.722843005,0.55074777,1.374182378,1.175762943,0.691271714,0.798016401,0.506121167,0.835099313,1.898834711,0.406213443,1.04705011,0.518925045,0.420928811,0.92549669,1.455977758,0.705399748,0.605773631,0.77797244,0.712094621,0.712154677,0.343176451,0.400382229,0.76722187,0.552775581,0.541358122,0.794992718,0.803685143,0.808548191,0.691957601,0.654202757,0.788817582,0.714616509,0.754417296,0.809335973,0.649948446,0.918116946,0.829453394,0.94571571,0.816299586,0.558161394,0.676255303,0.985889424,0.93964033,0.836576333,0.481748404,0.481451643,0.755694132,0.654471105,0.824560095,0.777561753,0.728135521,0.891117704,0.800113996
1294.022,0.97913346,0.685403608,0.704939177,0.537578567,1.346852343,1.155630376,0.677419809,0.786178568,0.496822113,0.815022754,1.871689563,0.39505373,1.032034338,0.508963568,0.410413029,0.910315802,1.430009377,0.692714269,0.592615495,0.76559866,0.70035587,0.69885351,0.336759509,0.388924876,0.75576229,0.541538186,0.532306808,0.780404796,0.790418177,0.794561744,0.680985907,0.643148671,0.778037631,0.702698461,0.74197884,0.793421692,0.638686758,0.901487317,0.8175312,0.928566623,0.802249108,0.549834296,0.664695164,0.968493695,0.921308379,0.818287912,0.473248816,0.469999378,0.74224195,0.641843228,0.809258619,0.761799787,0.712534189,0.87397825,0.784618435
