Sample ID,PH_3550_M,PH_3550_STD,H2OT_3550_MAX,BL_H2OT_3550_MAX,H2OT_3550_SAT,PH_1635_BP,PH_1635_STD,PH_1515_BP,PH_1515_STD,P_1515_BP,P_1515_STD,STD_1515_BP,STD_1515_STD,PH_1430_BP,PH_1430_STD,P_1430_BP,P_1430_STD,STD_1430_BP,STD_1430_STD,PH_5200_M,PH_5200_STD,PH_4500_M,PH_4500_STD,STN_P5200,ERR_5200_x,STN_P4500,ERR_4500_x,AVG_BL_BP,AVG_BL_STD,PC1_BP,PC1_STD,PC2_BP,PC2_STD,PC3_BP,PC3_STD,PC4_BP,PC4_STD,m_BP,m_STD,b_BP,b_STD,PH_1635_PC1_BP,PH_1635_PC1_STD,PH_1635_PC2_BP,PH_1635_PC2_STD,Repeats,PH_1430,PH_1515,Thickness,H2Ot_MEAN,H2Ot_STD,H2Ot_3550_M,H2Ot_3550_STD,H2Ot_3550_SAT,H2Om_1635_BP,H2Om_1635_STD,CO2_MEAN,CO2_STD,CO2_1515_BP,CO2_1515_STD,CO2_1430_BP,CO2_1430_STD,H2Om_5200_M,H2Om_5200_STD,OH_4500_M,OH_4500_STD,PH_5200_S2N,ERR_5200_y,PH_4500_S2N,ERR_4500_y,Density,Density_Sat,Tau,Eta,epsilon_H2OT_3550,sigma_epsilon_H2OT_3550,epsilon_H2Om_1635,sigma_epsilon_H2Om_1635,epsilon_CO2,sigma_epsilon_CO2,epsilon_H2Om_5200,sigma_epsilon_H2Om_5200,epsilon_OH_4500,sigma_epsilon_OH_4500
CI_ETNA_4_1_1_100x100_256s_sp3,2.591961306,0.001950723,2.602272,0.000491033,*,0.556761941,0.003117504,0.519077286,0.003604606,1520.375809,0.356608378,32.30247467,0.433521829,0.499188052,0.004559668,1430.579511,0.408050564,33.51956836,0.459949844,0.016307146,3.46e-05,0.016523783,5.65e-05,9.153056821,-,12.79765415,-,1.146014783,0.059319174,-1.03074731,0.609528685,0.682565112,0.020901476,-0.500354303,0.078831905,0.103692091,0.054045453,-0.000397725,0.000103639,0.985987094,0.031028363,-0.246086959,0.016783209,0.240010987,0.020658178,CI_ETNA,0.611,0.547,101.0,2.669139555,0.219779213,2.647061515,0.207261688,*,1.137907236,0.191036302,2619.603048,94.47971191,2671.386939,135.8487397,2569.028694,131.4269433,1.332354242,0.322692563,1.531848524,0.395509315,9.153056821,-,12.79765415,-,2788.127982,2787.484457,0.657595665,0.367510027,62.6572988,7.267310373,31.30904851,8.348760988,303.7475387,16.63678877,0.783186943,0.290335352,0.690241153,0.269792195
CI_ETNA_4_1_1_50x50_256s_sp5,2.99775076,0.002349109,2.966496,0.150528556,*,0.581077585,0.003060533,0.544162819,0.003534047,1519.769913,0.329623922,32.10532961,0.393223997,0.517791989,0.00443015,1430.307402,0.366683118,32.97672656,0.420633091,0.016636555,0.000405613,0.017171777,0.000405002,10.71760977,-,15.9961028,-,1.179885195,0.043267052,-2.01211148,0.438566697,0.643316812,0.019882736,-0.6,0.05488004,0.091611831,0.044889665,-0.000477592,7.47e-05,1.187414946,0.022095467,-0.258021162,0.016504374,0.26606388,0.019852389,CI_ETNA,0.624,0.555,102.0,2.762700347,0.227903153,3.034344815,0.237522686,*,1.17707824,0.197266483,2716.089406,97.36748687,2775.668054,140.1803116,2641.15561,134.3011309,1.347221606,0.328825711,1.577812778,0.41015078,10.71760977,-,15.9961028,-,2776.96501,2784.836913,0.657595665,0.367510027,62.6572988,7.267310373,31.30904851,8.348760988,303.7475387,16.63678877,0.783186943,0.290335352,0.690241153,0.269792195
CI_LMT_BA17_3_50x50_256s_sp1,0.072419163,4.9e-06,0.1183575,0.046616896,-,0.174117659,0.003080062,1.401946984,0.003820666,1529.708511,0.131298089,36.07252181,0.196930967,1.390849726,0.004288501,1425.554948,0.142023057,40.0,0.047772988,0.001120525,0.000109975,0.001272603,6.33e-05,5.38861184,-,3.004049715,*,0.396915576,0.031994118,-0.351860547,0.343557093,0.128301064,0.020567692,-0.310361066,0.056933099,-0.3,0.004760414,-0.000254707,5.91e-05,0.39176142,0.019167173,-0.297137182,0.017752377,1.279590046,0.033632906,CI_LMT_BA17,1.496870947,1.533513956,37.19,0.197802865,0.021891971,0.197802865,0.021891971,-,0.947884717,0.177123068,17911.02641,1152.889527,17982.19639,1635.216539,17839.85643,1625.633389,0.243160119,0.067219273,0.31373178,0.086891606,5.38861184,-,3.004049715,*,2825.097898,2825.097898,0.659039878,0.299525063,62.76037041,7.274929944,31.48849277,8.357675392,326.485412,15.18542916,0.789939403,0.290652222,0.695342868,0.270083785
CI_LMT_BA17_4_50x50_256s_sp1,0.083215143,0.00130185,0.1177454,0.035779211,-,0.168789426,0.003099404,1.351852698,0.003749864,1529.767409,0.14025675,36.04678203,0.20566884,1.342174842,0.004288919,1425.521692,0.145649231,40.0,0.054795091,0.002751218,0.000246523,0.001231771,0.0001773,6.837401244,-,3.506907946,*,0.385099982,0.031802701,-0.558046914,0.338446111,0.033897581,0.02074922,-0.18324889,0.056406886,-0.3,0.005401489,-0.000210252,5.84e-05,0.369425031,0.018867095,-0.281387642,0.017633323,1.241344104,0.03386787,CI_LMT_BA17,1.42150749,1.461007857,32.79,0.257946374,0.031188963,0.257946374,0.031188963,-,1.042811773,0.201473042,19607.90386,1413.500362,19678.34206,2005.198024,19537.46565,1992.76541,0.677553806,0.188967187,0.344622424,0.109802328,6.837401244,-,3.506907946,*,2823.284283,2823.284283,0.659039878,0.299525063,62.76037041,7.274929944,31.48849277,8.357675392,326.485412,15.18542916,0.789939403,0.290652222,0.695342868,0.270083785
CI_Ref_10_1_100x100_256s_040523_sp2,0.267978436,0.000463946,0.200834,-0.060974723,-,0.059492448,0.003106844,0.552713901,0.003669221,1527.000389,0.270848155,34.34519373,0.402398002,0.649493514,0.003973521,1421.786885,0.2709325,40.0,0.041351561,0.004826206,0.000872663,0.006687395,8.82e-05,2.748169008,*,3.1945944,*,0.280321306,0.027555907,-2.455456296,0.291195213,0.545220154,0.020379661,-0.141150055,0.049226023,-0.3,0.00386544,-0.000591274,5.04e-05,0.430442945,0.01630016,-0.017497292,0.01686556,0.487878333,0.026083681,CI_Ref_10,0.6146513,0.7086803,32.0,0.839583568,0.102693104,0.839583568,0.102693104,-,0.372506789,0.07514036,8582.476552,633.1373976,7891.57351,822.1612656,9273.379593,963.0694214,1.20687784,0.398443496,1.898267884,0.529410991,2.748169008,*,3.1945944,*,2866.263604,2866.263604,0.658079264,0.270885507,62.69181262,7.269861454,31.36913593,8.351746513,336.0640387,14.54781983,0.785448024,0.290441484,0.691949477,0.269889839
CI_Ref_10_1_100x100_256s_060223_sp2,0.423066911,2.53e-06,0.3881456,-0.024892847,-,0.075603442,0.003138321,0.509815884,0.003671465,1527.118284,0.332430247,33.40823634,0.480975264,0.514817906,0.004515618,1426.412223,0.396649033,39.26822423,0.442176269,0.001840721,8.29e-05,0.003697043,0.000166812,5.006684397,-,6.187115373,-,0.922203277,0.033222249,2.692213596,0.342957143,-0.016352205,0.021801896,0.201387188,0.056252253,-0.3,0.012296984,0.000263951,6.01e-05,0.291799564,0.019072728,-0.119779713,0.017401687,0.554277973,0.027110137,CI_Ref_10,0.542501721,0.549025111,50.84,0.831601194,0.078238762,0.831601194,0.078238762,-,0.296999613,0.053949126,4589.272644,227.18944,4566.86889,319.3865314,4611.676397,323.190981,0.288793482,0.073172,0.658410864,0.17713738,5.006684397,-,6.187115373,-,2866.513351,2866.513351,0.658079264,0.270885507,62.69181262,7.269861454,31.36913593,8.351746513,336.0640387,14.54781983,0.785448024,0.290441484,0.691949477,0.269889839
CI_Ref_10_1_100x100_256s_sp1,0.401082344,6.36e-05,0.3725568,-0.019246825,-,0.072748178,0.003140604,0.519295764,0.003475747,1527.04539,0.324475815,33.35294739,0.474359807,0.528884963,0.003876231,1426.024115,0.379026163,39.1395501,0.41061904,0.001915579,5.53e-05,0.002400952,4.86e-06,12.22828818,-,12.43308403,-,0.914633899,0.021897741,3.0,0.217379757,-0.041493931,0.021284559,0.179184525,0.038524796,-0.3,0.014229276,0.000305418,3.85e-05,0.266075094,0.012169361,-0.114489199,0.017561833,0.551691264,0.027348097,CI_Ref_10,0.559997111,0.563371982,49.44,0.820466563,0.078577597,0.820466563,0.078577597,-,0.297411484,0.05436087,4885.765893,248.9569703,4841.068848,348.8039212,4930.462938,355.3225533,0.3127669,0.078650282,0.444986937,0.117931349,12.22828818,-,12.43308403,-,2866.861861,2866.861861,0.658079264,0.270885507,62.69181262,7.269861454,31.36913593,8.351746513,336.0640387,14.54781983,0.785448024,0.290441484,0.691949477,0.269889839
CI_Ref_10_1_100x100_256s_sp3,0.258848977,2.02e-06,0.1932156,-0.058307667,-,0.071426106,0.003094806,0.573452305,0.003872016,1527.189464,0.271347253,34.36865199,0.41168574,0.630313503,0.004416834,1423.550383,0.289512224,40.0,0.089521057,0.002554496,5.59e-05,0.002042732,1.63e-05,5.197652723,-,6.946905774,-,0.378206576,0.033136382,-0.78488614,0.354755129,0.278445444,0.020506834,-0.020289247,0.058539446,-0.3,0.006244336,-0.000279804,6.12e-05,0.292807814,0.01980522,-0.104477257,0.016953851,0.554749052,0.02753579,CI_Ref_10,0.628,0.681,31.0,0.83711888,0.104657527,0.83711888,0.104657527,-,0.461642654,0.092795064,8870.576149,673.5048978,8451.564757,905.8545035,9289.587541,996.9267816,0.659385339,0.175326032,0.598533576,0.167638967,5.197652723,-,6.946905774,-,2866.340708,2866.340708,0.658079264,0.270885507,62.69181262,7.269861454,31.36913593,8.351746513,336.0640387,14.54781983,0.785448024,0.290441484,0.691949477,0.269889839
CI_Ref_10_1_100x100_256s_sp5,0.237556725,4.68e-06,0.1747792,-0.056719071,-,0.045626579,0.003104774,0.449717939,0.003851032,1526.647591,0.334995329,34.2637081,0.515234528,0.528380115,0.004263689,1421.538997,0.340097333,40.0,0.068272629,0.001651964,9.32e-05,0.001368631,7.22e-06,6.907209119,-,5.681637094,-,0.318684806,0.03186076,-1.453543856,0.338763028,0.383785909,0.020779016,-0.004611817,0.055987469,-0.3,0.005370632,-0.000396516,5.85e-05,0.330951866,0.018890063,-0.047973052,0.017023193,0.420910119,0.026886016,CI_Ref_10,0.574695807,0.494940222,31.1,0.767676939,0.095712145,0.767676939,0.095712145,-,0.294670964,0.061495076,7202.158937,548.4596204,6622.935318,711.0248889,7781.382555,835.2696738,0.426093707,0.115999166,0.400713505,0.112205381,6.907209119,-,5.681637094,-,2868.516356,2868.516356,0.658079264,0.270885507,62.69181262,7.269861454,31.36913593,8.351746513,336.0640387,14.54781983,0.785448024,0.290441484,0.691949477,0.269889839
CI_Ref_10_chip1_100x100_256s_sp1,0.952446094,0.000919219,0.9089216,-0.019999413,-,0.205691223,0.003085543,1.431955514,0.003866512,1527.702556,0.109658182,34.47621323,0.165761719,1.459317119,0.004318077,1425.39521,0.127760284,40.0,0.027977628,0.002013211,9.96e-05,0.008500827,0.000145156,12.83190512,-,20.67267501,-,1.442103038,0.031752576,-1.00290339,0.340423155,0.461974905,0.020404305,-0.410020638,0.056723046,-0.3,0.002447195,-0.000540305,5.86e-05,1.072792051,0.019001064,-0.252516318,0.017200036,1.472034038,0.02780505,CI_Ref_10,1.54368788,1.55895341,117.63,0.811736542,0.0623337,0.811736542,0.0623337,-,0.350347258,0.058586146,5614.781735,174.0489331,5561.646158,243.409279,5667.917312,248.8454286,0.136948526,0.033768849,0.656405652,0.169317801,12.83190512,-,20.67267501,-,2867.135221,2867.135221,0.658079264,0.270885507,62.69181262,7.269861454,31.36913593,8.351746513,336.0640387,14.54781983,0.785448024,0.290441484,0.691949477,0.269889839
