Sample ID,PH_3550_M,PH_3550_STD,H2Ot_3550_MAX,BL_H2Ot_3550_MAX,H2Ot_3550_SAT_x,PH_1635_BP,PH_1635_STD,PH_1515_BP,PH_1515_STD,P_1515_BP,P_1515_STD,STD_1515_BP,STD_1515_STD,PH_1430_BP,PH_1430_STD,P_1430_BP,P_1430_STD,STD_1430_BP,STD_1430_STD,PH_5200_M,PH_5200_STD,PH_4500_M,PH_4500_STD,STN_P5200,ERR_5200_x,STN_P4500,ERR_4500_x,AVG_BL_BP,AVG_BL_STD,PC1_BP,PC1_STD,PC2_BP,PC2_STD,PC3_BP,PC3_STD,PC4_BP,PC4_STD,m_BP,m_STD,b_BP,b_STD,PH_1635_PC1_BP,PH_1635_PC1_STD,PH_1635_PC2_BP,PH_1635_PC2_STD,Repeats,PH_1430,PH_1515,Thickness,H2Ot_MEAN,H2Ot_STD,H2Ot_3550_M,H2Ot_3550_STD,H2Ot_3550_SAT_y,H2Om_1635_BP,H2Om_1635_STD,CO2_MEAN,CO2_STD,CO2_1515_BP,CO2_1515_STD,CO2_1430_BP,CO2_1430_STD,H2Om_5200_M,H2Om_5200_STD,OH_4500_M,OH_4500_STD,PH_5200_STN,ERR_5200_y,PH_4500_STN,ERR_4500_y,Density,Density_Sat,Tau,Eta,epsilon_H2Ot_3550,sigma_epsilon_H2Ot_3550,epsilon_H2Om_1635,sigma_epsilon_H2Om_1635,epsilon_CO2,sigma_epsilon_CO2,epsilon_H2Om_5200,sigma_epsilon_H2Om_5200,epsilon_OH_4500,sigma_epsilon_OH_4500,PH_1515_norm,PH_1515_BP_norm,PH_1515_STD_norm,PH_1430_norm,PH_1430_BP_norm,PH_1430_STD_norm,Py_Devol_1430,Py_Devol_1515
CI_LMT_BA17_3_50x50_256s_sp1,0.072419163,4.9e-06,0.1183575,0.046616896,-,0.174117659,0.003080062,1.401946984,0.003820666,1529.708511,0.131298089,36.07252181,0.196930967,1.390849726,0.004288501,1425.554948,0.142023057,40.0,0.047772988,0.001120525,0.000109975,0.001272603,6.33e-05,5.38861184,-,3.004049715,*,0.396915576,0.031994118,-0.351860547,0.343557093,0.128301064,0.020567692,-0.310361066,0.056933099,-0.3,0.004760414,-0.000254707,5.91e-05,0.39176142,0.019167173,-0.297137182,0.017752377,1.279590046,0.033632906,CI_LMT_BA17,1.496870947,1.533513956,37.19,0.1977184788732478,0.0218604868590499,0.1977184788732478,0.0218604868590499,-,0.9482029176899358,0.1770836245595135,18162.195235128704,1165.268950823285,18234.363239927945,1657.0717396203602,18090.02723032946,1638.7556745173306,0.2432900164193337,0.0674303871260763,0.3138728898254203,0.0869109075002862,5.38861184,-,3.004049715,*,2825.2710278307386,2825.2710278307386,0.6589393095525891,0.2993559353733496,62.783308940923845,7.254125932471956,31.475996819606557,8.35705618320278,321.9506464260213,14.459916559986926,0.7894692584046661,0.2906064090939222,0.6949876662684065,0.2700928761227145,2.0617289002420005,1.884844022586717,0.005136684592632428,2.0124643008873355,1.8699243425652057,0.005765664157031461,0.9291714351110322,0.9142055594047689
CI_LMT_BA17_4_50x50_256s_sp1,0.083215143,0.00130185,0.1177454,0.035779211,-,0.168789426,0.003099404,1.351852698,0.003749864,1529.767409,0.14025675,36.04678203,0.20566884,1.342174842,0.004288919,1425.521692,0.145649231,40.0,0.054795091,0.002751218,0.000246523,0.001231771,0.0001773,6.837401244,-,3.506907946,*,0.385099982,0.031802701,-0.558046914,0.338446111,0.033897581,0.02074922,-0.18324889,0.056406886,-0.3,0.005401489,-0.000210252,5.84e-05,0.369425031,0.018867095,-0.281387642,0.017633323,1.241344104,0.03386787,CI_LMT_BA17,1.42150749,1.461007857,32.79,0.2578362671967055,0.031135461550845,0.2578362671967055,0.031135461550845,-,1.043161585791602,0.2017741894030326,19882.863380261173,1427.838603376914,19954.289334823556,2027.001449326697,19811.43742569879,2011.5062598960048,0.6779155925894449,0.1887745037381243,0.3447773442956528,0.1097621238378617,6.837401244,-,3.506907946,*,2823.4579907952034,2823.4579907952034,0.6589393095525891,0.2993559353733496,62.783308940923845,7.254125932471956,31.475996819606557,8.35705618320278,321.9506464260213,14.459916559986926,0.7894692584046661,0.2906064090939222,0.6949876662684065,0.2700928761227145,2.2278253385178406,2.0613795333943274,0.005717999390057944,2.167593000914913,2.0466222049405305,0.006539980176883196,0.9441911853732123,0.9252877672922741
CI_Ref_10_1_100x100_256s_060223_sp2,0.423066911,2.53e-06,0.3881456,-0.024892847,-,0.075603442,0.003138321,0.509815884,0.003671465,1527.118284,0.332430247,33.40823634,0.480975264,0.514817906,0.004515618,1426.412223,0.396649033,39.26822423,0.442176269,0.001840721,8.29e-05,0.003697043,0.000166812,5.006684397,-,6.187115373,-,0.922203277,0.033222249,2.692213596,0.342957143,-0.016352205,0.021801896,0.201387188,0.056252253,-0.3,0.012296984,0.000263951,6.01e-05,0.291799564,0.019072728,-0.119779713,0.017401687,0.554277973,0.027110137,CI_Ref_10,0.542501721,0.549025111,50.84,0.8312176659548337,0.0780497842731952,0.8312176659548337,0.0780497842731952,-,0.2970335400474709,0.0539078757987758,4660.435297893479,229.6539899698599,4637.684145123435,322.8777427823196,4683.186450663524,326.6707572650181,0.2888459384608263,0.0733802827094886,0.6585115454772399,0.1773080534567725,5.006684397,-,6.187115373,-,2866.5706281261314,2866.5706281261314,0.6580453852424282,0.2711402303703044,62.71948570691944,7.249414117011175,31.36492624680287,8.351538781125706,330.92588657040267,13.85931941216917,0.7852896898335446,0.290410234042105,0.6918298588155221,0.2699123849306898,0.5399538857199055,0.5013924901652242,0.0036108035011801726,0.5335382779307631,0.5063118666404406,0.0044410090479937055,0.9489700881520338,0.9285839095254061
CI_Ref_10_1_100x100_256s_sp1,0.401082344,6.36e-05,0.3725568,-0.019246825,-,0.072748178,0.003140604,0.519295764,0.003475747,1527.04539,0.324475815,33.35294739,0.474359807,0.528884963,0.003876231,1426.024115,0.379026163,39.1395501,0.41061904,0.001915579,5.53e-05,0.002400952,4.86e-06,12.22828818,-,12.43308403,-,0.914633899,0.021897741,3.0,0.217379757,-0.041493931,0.021284559,0.179184525,0.038524796,-0.3,0.014229276,0.000305418,3.85e-05,0.266075094,0.012169361,-0.114489199,0.017561833,0.551691264,0.027348097,CI_Ref_10,0.559997111,0.563371982,49.44,0.8200882241280628,0.0784001306523938,0.8200882241280628,0.0784001306523938,-,0.29744547746415,0.0543930781940525,4961.526386277436,251.63424474934973,4916.136252079935,352.46173544187553,5006.916520474938,359.2351563692005,0.3128237311489683,0.078677010370024,0.4450550115214714,0.1180299589119049,12.22828818,-,12.43308403,-,2866.918958104272,2866.918958104272,0.6580453852424282,0.2711402303703044,62.71948570691944,7.249414117011175,31.36492624680287,8.351538781125706,330.92588657040267,13.85931941216917,0.7852896898335446,0.290410234042105,0.6918298588155221,0.2699123849306898,0.5697532180420714,0.525177754854369,0.0035151163025889972,0.5663401203478965,0.5348755693770226,0.003920136529126214,0.9444423062389691,0.9217635604746847
CI_Ref_10_1_100x100_256s_sp5,0.237556725,4.68e-06,0.1747792,-0.056719071,-,0.045626579,0.003104774,0.449717939,0.003851032,1526.647591,0.334995329,34.2637081,0.515234528,0.528380115,0.004263689,1421.538997,0.340097333,40.0,0.068272629,0.001651964,9.32e-05,0.001368631,7.22e-06,6.907209119,-,5.681637094,-,0.318684806,0.03186076,-1.453543856,0.338763028,0.383785909,0.020779016,-0.004611817,0.055987469,-0.3,0.005370632,-0.000396516,5.85e-05,0.330951866,0.018890063,-0.047973052,0.017023193,0.420910119,0.026886016,CI_Ref_10,0.574695807,0.494940222,31.1,0.7673231810871637,0.0954778166784002,0.7673231810871637,0.0954778166784002,-,0.2947047355057677,0.0615105506463267,7313.840549340832,556.2448467757913,6725.635092663597,721.2118184848416,7902.046006018068,847.0459439347325,0.4261712623715364,0.1159402441334705,0.4007749314829769,0.1122978909498737,6.907209119,-,5.681637094,-,2868.572594128812,2868.572594128812,0.6580453852424282,0.2711402303703044,62.71948570691944,7.249414117011175,31.36492624680287,8.351538781125706,330.92588657040267,13.85931941216917,0.7852896898335446,0.290410234042105,0.6918298588155221,0.2699123849306898,0.7957238295819935,0.7230191945337621,0.006191369774919614,0.9239482427652733,0.8494857154340837,0.006854805466237943,0.9194083349210864,0.9086308184506371
CI_Ref_10_chip1_100x100_256s_sp1,0.952446094,0.000919219,0.9089216,-0.019999413,-,0.205691223,0.003085543,1.431955514,0.003866512,1527.702556,0.109658182,34.47621323,0.165761719,1.459317119,0.004318077,1425.39521,0.127760284,40.0,0.027977628,0.002013211,9.96e-05,0.008500827,0.000145156,12.83190512,-,20.67267501,-,1.442103038,0.031752576,-1.00290339,0.340423155,0.461974905,0.020404305,-0.410020638,0.056723046,-0.3,0.002447195,-0.000540305,5.86e-05,1.072792051,0.019001064,-0.252516318,0.017200036,1.472034038,0.02780505,CI_Ref_10,1.54368788,1.55895341,117.63,0.8113622702700289,0.062163731718233,0.8113622702700289,0.062163731718233,-,0.3503873202381458,0.0586635489778002,5701.8469102626,174.81511704878855,5647.887390448242,245.0310140595093,5755.806430076958,249.40148905749368,0.1369734172924679,0.0337850748592602,0.6565061032813293,0.1693884833879216,12.83190512,-,20.67267501,-,2867.1921761258745,2867.1921761258745,0.6580453852424282,0.2711402303703044,62.71948570691944,7.249414117011175,31.36492624680287,8.351538781125706,330.92588657040267,13.85931941216917,0.7852896898335446,0.290410234042105,0.6918298588155221,0.2699123849306898,0.6626512836861345,0.6086693505058234,0.0016435059083567119,0.6561624925614215,0.6202997190342601,0.0018354488650854377,0.9453446761530576,0.9185364391357919
CI_Ref_10_chip1_100x100_256s_sp2,0.928308241,0.000641789,0.8924728,-0.013528097,-,0.184462738,0.003036868,1.274168821,0.003865694,1527.827955,0.127095625,34.73738583,0.190603115,1.295653687,0.004280326,1425.395585,0.146692544,40.0,0.036499286,0.004110534,0.000115252,0.005703253,0.000101151,23.00558764,-,9.795080309,-,1.617964496,0.031490494,2.133176852,0.337893949,0.271143531,0.020706374,-0.175384159,0.056439093,-0.3,0.003071952,-0.000117286,5.81e-05,0.898313615,0.018883805,-0.21106496,0.017000821,1.285741918,0.028474569,CI_Ref_10,1.374416107,1.401492817,117.79,0.7892667256287563,0.0604230236669425,0.7892667256287563,0.0604230236669425,-,0.3136161770853395,0.0525736720890064,5058.093120976691,154.8764756250174,5015.805199308404,217.241789151069,5100.381042644979,220.80057938001184,0.2791273714191835,0.0678324704176939,0.4395997252273967,0.1133054313955032,23.00558764,-,9.795080309,-,2867.884451747748,2867.884451747748,0.6580453852424282,0.2711402303703044,62.71948570691944,7.249414117011175,31.36492624680287,8.351538781125706,330.92588657040267,13.85931941216917,0.7852896898335446,0.290410234042105,0.6918298588155221,0.2699123849306898,0.5949116295950421,0.5408645984378979,0.0016409262246370657,0.5834179926139741,0.5499845857033703,0.0018169309788606842,0.942693904998015,0.9091511604943172
CI_Ref_10_chip1_100x100_256s_sp3,0.930629406,0.00032559,0.8898615,-0.018125086,-,0.184871194,0.003091202,1.302262119,0.00329573,1527.680088,0.119676708,34.18198537,0.169410792,1.322993476,0.003418797,1425.787121,0.131247531,40.0,0.060214725,0.002806731,0.000105489,0.006704859,1.05e-05,14.90854304,-,15.50760616,-,1.733484074,0.018374422,3.0,0.185655819,0.030397662,0.020079111,0.035042607,0.034437982,-0.3,0.003572897,5.65e-05,3.25e-05,0.854809837,0.010492573,-0.238487574,0.017097497,1.352409206,0.026923367,CI_Ref_10,1.383680563,1.40674332,117.94,0.7905804680448579,0.0604696190177467,0.7905804680448579,0.0604696190177467,-,0.3140485360808809,0.0526313429718358,5162.891590893052,158.06682353170237,5122.12079930729,221.58980821434008,5203.662382478814,225.47381156387397,0.1904332124360701,0.0465855639042431,0.5163713583822561,0.132832850573847,14.90854304,-,15.50760616,-,2867.843273113398,2867.843273113398,0.6580453852424282,0.2711402303703044,62.71948570691944,7.249414117011175,31.36492624680287,8.351538781125706,330.92588657040267,13.85931941216917,0.7852896898335446,0.290410234042105,0.6918298588155221,0.2699123849306898,0.5963809225029676,0.552086704680346,0.0013972062065457013,0.5866035963201628,0.5608756469391215,0.001449379769374258,0.9561408256914279,0.9257283119709432
CI_Ref_10_chip1_100x100_256s_sp4,0.983842641,0.001483794,0.9380032,-0.02074518,-,0.205204294,0.003083536,1.450053798,0.003855427,1527.659637,0.106768061,34.06982656,0.156595063,1.486690118,0.004319112,1425.635984,0.122846775,40.0,0.03004468,0.00850421,0.000231191,0.004422365,4.47e-06,26.65604939,-,10.60728479,-,1.522793296,0.03172483,-0.085045696,0.339371483,0.452391956,0.020564379,-0.422375663,0.056994831,-0.3,0.002276281,-0.000479108,5.85e-05,1.057287859,0.018965205,-0.254078682,0.017036597,1.514058685,0.026798402,CI_Ref_10,1.584180807,1.597648156,120.49,0.8179971475984215,0.0623625434645304,0.8179971475984215,0.0623625434645304,-,0.3411699799665318,0.0571803751808582,5652.548916591964,172.17574745935576,5582.032522637539,240.36570479382104,5723.065310546389,246.5811834096858,0.5647194119595138,0.1371326821808667,0.3333373040451924,0.0856902484332698,26.65604939,-,10.60728479,-,2866.984422708655,2866.984422708655,0.6580453852424282,0.2711402303703044,62.71948570691944,7.249414117011175,31.36492624680287,8.351538781125706,330.92588657040267,13.85931941216917,0.7852896898335446,0.290410234042105,0.6918298588155221,0.2699123849306898,0.6629795651091377,0.6017320101253215,0.0015998950120341938,0.6573909897086896,0.6169350643206906,0.001792311395136526,0.9384598724026834,0.907617733325259
CI_Ref_10_chip1_100x100_256s_sp5,0.909613948,0.000752292,0.8788415,-0.0081647,-,0.182673307,0.003096163,1.244952488,0.003832069,1528.173463,0.144296256,36.49749676,0.225723717,1.252415874,0.004168596,1424.432126,0.162085041,40.0,0.021364832,0.003732062,8.49e-05,0.005798107,4.49e-05,19.01575155,-,16.79653593,-,1.409843022,0.030916569,0.762522273,0.329559682,0.392686816,0.020716156,-0.15203852,0.055046443,-0.3,0.002935119,-0.000304477,5.68e-05,0.918543455,0.018401197,-0.155810561,0.017278879,1.121801954,0.032712194,CI_Ref_10,1.330854492,1.360380963,115.84,0.7867074841732699,0.0603419103947056,0.7867074841732699,0.0603419103947056,-,0.3159289902794857,0.0529300995561042,5000.240345964572,154.42649998401365,4985.2971263888985,217.4896067801168,5015.1835655402465,219.29078077265453,0.2577968541826306,0.0624992227677676,0.4546169069913794,0.1169499724287984,19.01575155,-,16.79653593,-,2867.964676412582,2867.964676412582,0.6580453852424282,0.2711402303703044,62.71948570691944,7.249414117011175,31.36492624680287,8.351538781125706,330.92588657040267,13.85931941216917,0.7852896898335446,0.290410234042105,0.6918298588155221,0.2699123849306898,0.5871810095821823,0.5373586360497238,0.001654035307320442,0.5744365037983425,0.5405800561118784,0.0017992904005524864,0.9410614620369783,0.915149889523998
CI_Ref_11_1_100x100_256s_sp1,0.482308806,0.001010431,0.459961,-0.013603771,-,0.097375211,0.003214671,0.572384675,0.003820196,1526.43688,0.309692051,33.2487477,0.434784161,0.569716472,0.004879379,1427.232667,0.376581711,38.75608612,0.448989129,0.000648852,0.00022723,0.003162543,3.57e-05,3.992879093,*,8.020748259,-,0.69865522,0.038114905,2.410825139,0.393861566,0.001053847,0.022467535,0.115563004,0.063368974,-0.3,0.016109855,0.000194466,6.89e-05,0.207624259,0.021758668,-0.146363641,0.017519701,0.602498442,0.026743997,CI_Ref_11,0.618045,0.630865,25.0,1.9426590039132352,0.2871263491481224,1.9426590039132352,0.2871263491481224,-,0.7617058441351682,0.1608978073758054,10885.016150043146,1024.8053332271954,10910.44597543373,1449.985249661198,10859.586324652564,1448.6016221889872,0.1986828341380239,0.0924811056131688,1.1086098546855252,0.3119683371707738,3.992879093,*,8.020748259,-,2818.40304539353,2818.40304539353,0.6686760617859488,0.2813353512452701,63.4784807906756,7.305525004922071,32.68579348305352,8.417039377126823,327.68288207542594,14.07818037273489,0.8349937207744436,0.2927371053253864,0.7293829594939147,0.2720577936105412,1.26173,1.14476935,0.007640392,1.23609,1.139432944,0.009758758,0.9218041922513733,0.9073013640002219
CI_Ref_11_1_100x100_256s_sp2,0.26023825,0.000225753,0.2432597,-0.011887864,-,0.064797588,0.003184125,0.349814178,0.00387176,1525.989487,0.529193347,33.76832077,0.747241979,0.34579268,0.005290778,1426.96909,0.634045458,38.3084,0.743184982,0.002028871,0.000127833,0.000343516,4.94e-06,8.30892453,-,4.079891875,-,0.326277219,0.069619458,0.643140044,0.719366021,0.098919785,0.022651731,-0.034271923,0.095407295,-0.179295332,0.061412344,8.79e-05,0.000122355,0.11863034,0.036873193,-0.093205937,0.018392072,0.382680862,0.027742937,CI_Ref_11,0.369160391,0.380577294,24.89,1.0382021768830054,0.1534720900509914,1.0382021768830054,0.1534720900509914,-,0.5020386319840985,0.1078684695251994,6566.40682990994,619.655421633412,6604.3690662363515,881.6214322124205,6528.444593583527,870.996565149626,0.6153306593310603,0.1690379112124413,0.1192693045924242,0.0336301523744916,8.30892453,-,4.079891875,-,2845.5333376791955,2845.5333376791955,0.6686760617859488,0.2813353512452701,63.4784807906756,7.305525004922071,32.68579348305352,8.417039377126823,327.68288207542594,14.07818037273489,0.8349937207744436,0.2927371053253864,0.7293829594939147,0.2720577936105412,0.764518469264765,0.7027203254319002,0.0077777420650863805,0.7415837505022097,0.6946417838489354,0.010628320610687024,0.9367003839802522,0.9191672322942102
CI_Ref_11_1_100x100_256s_sp3,0.313707105,7.18e-05,0.3005452,-0.006805205,-,0.065774685,0.003156413,0.412596146,0.003846044,1526.971972,0.418922681,33.77305493,0.613738654,0.416043956,0.004803673,1427.040867,0.504553827,39.31589271,0.501419933,0.002430613,0.000148168,0.002916551,0.000141017,4.964144076,-,4.149642517,-,0.484309596,0.043218027,1.512480193,0.451818292,0.107361347,0.021856872,0.199778488,0.06872151,-0.3,0.024555781,0.000217546,7.8e-05,0.131284618,0.024466366,-0.097192837,0.017430495,0.40991918,0.027818261,CI_Ref_11,0.43947749,0.439290085,26.99,1.1603255004785755,0.1607427267891978,1.1603255004785755,0.1607427267891978,-,0.4724781735527686,0.0980959335084953,7252.279864498496,630.4928050533874,7222.104541123165,887.0634758150642,7282.455187873826,896.215988906275,0.6834623776750322,0.18328551504972,0.938849476951919,0.2633394461712756,4.964144076,-,4.149642517,-,2841.8113602014228,2841.8113602014228,0.6686760617859488,0.2813353512452701,63.4784807906756,7.305525004922071,32.68579348305352,8.417039377126823,327.68288207542594,14.07818037273489,0.8349937207744436,0.2927371053253864,0.7293829594939147,0.2720577936105412,0.8138015653945906,0.7643500296406077,0.007124942571322712,0.8141487402741757,0.7707372286031864,0.008898986661726565,0.946678647864308,0.9392339141913482
