fitted_baseline,Sample ID,Repeats,Sub_Repeats,PH_1430,PH_1515,,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Thickness,Sigma_Thickness,,
CI_INSOL_volatilefree_chip1_100x100_256s_sp1.CSV,CI_LMT_BA5_2_50x50x_256s_sp1,CI_LMT_BA5,CI_LMT_BA5,0.451698943,0.493446258,,52.9145946,1.8435111,13.5351786,9.052395854,,0,7.7224199,11.617468,2.7147845,1.4115118,0.0950532,60.4841499,3,,8.1454783
CI_INSOL_volatilefree_chip2_100x100_256s_sp2.CSV,CI_LMT_BA17_3_50x50_256s_sp1,CI_LMT_BA17,CI_LMT_BA17,1.496870947,1.533513956,,53.0311598,1.846054,13.5644436,9.065487884,,0,7.6493883,11.5180054,2.7217225,1.41651,0.0954578,37.1938243,3,,8.1572587
CI_INSOL_volatilefree_chip1_100x100_256s_sp2.CSV,CI_LMT_BA17_4_50x50_256s_sp1,CI_LMT_BA17,CI_LMT_BA17,1.42150749,1.461007857,,53.0311598,1.846054,13.5644436,9.065487884,,0,7.6493883,11.5180054,2.7217225,1.41651,0.0954578,32.7870095,3,,8.1572587
CI_INSOL_volatilefree_chip2_100x100_256s_sp1.CSV,LMT_BA3_1_50x50_256s_sp1,CI_LMT_BA3,CI_LMT_BA3,0.318872266,0.32500149,,52.9077281,1.8468331,13.5347159,9.067289032,,0,7.7219546,11.616222,2.7121859,1.4068979,0.0945831,15.621647,3,,8.1588794
CI_INSOL_volatilefree_chip1_100x100_256s_sp2.CSV,LMT_BA3_2_50x50_256s_sp1,CI_LMT_BA3,CI_LMT_BA3,0.245547775,0.257450189,,52.9077281,1.8468331,13.5347159,9.067289032,,0,7.7219546,11.616222,2.7121859,1.4068979,0.0945831,12.5598161,3,,8.1588794
CI_INSOL_volatilefree_chip1_100x100_256s_sp2.CSV,LMT_BA3_2_50x50_256s_sp2,CI_LMT_BA3,CI_LMT_BA3,0.211717173,0.209983254,,52.9077281,1.8468331,13.5347159,9.067289032,,0,7.7219546,11.616222,2.7121859,1.4068979,0.0945831,10.3992047,3,,8.1588794
CI_INSOL_volatilefree_chip2_100x100_256s_sp2.CSV,LMT_BA4_1_50x50_256s_sp1,CI_LMT_BA4,CI_LMT_BA4,0.927469519,0.966047241,,52.9555459,1.8446825,13.5455609,9.058249726,,0,7.6963809,11.5819561,2.7170466,1.4129218,0.0951596,35.3422988,3,,8.1507457
CI_MU1_CO2_Free_100x100_256s_sp5.CSV,CI_IPGP_B6_1_50x50_256s_sp1,CI_IPGP_B6,CI_IPGP_B6,0.226186209,0.274481344,,49.83714986,2.15885728,11.88991015,13.07004101,,0.17393869,11.67372549,9.9216668,1.98259269,0.38627376,0.21527325,45.6112698,3,,11.76061422
CI_MU1_no_volatile_100x100_sp1.CSV,CI_IPGP_B6_2_50x50_256s_sp1,CI_IPGP_B6,CI_IPGP_B6,0.087978245,0.111640759,,49.83714986,2.15885728,11.88991015,13.07004101,,0.17393869,11.67372549,9.9216668,1.98259269,0.38627376,0.21527325,26.1874709,3,,11.76061422
EH_bas_volatile_free_2_100x100_256s_sp1.CSV,CI_Ref_bas_1_1_100x100_256s_sp1,CI_Ref_bas_1,CI_Ref_bas_1,0.350073357,0.370204817,,45.2506328,4.4011959,15.2383721,13.86576743,,0.1783862,5.3735692,10.0289601,4.302746,1.7300983,1.0194203,13.6203186,3,,12.4766205
EH_bas_volatile_free_2_100x100_256s_sp1.CSV,CI_Ref_bas_1_1_100x100_256s_sp2,CI_Ref_bas_1,CI_Ref_bas_1,0.343810528,0.35880107,,45.2506328,4.4011959,15.2383721,13.86576743,,0.1783862,5.3735692,10.0289601,4.302746,1.7300983,1.0194203,13.9085629,3,,12.4766205
EH_bas_volatile_free_2_100x100_256s_sp1.CSV,CI_Ref_bas_1_2_100x100_256s_sp1,CI_Ref_bas_1,CI_Ref_bas_1,0.392268432,0.414831681,,45.2506328,4.4011959,15.2383721,13.86576743,,0.1783862,5.3735692,10.0289601,4.302746,1.7300983,1.0194203,14.3670492,3,,12.4766205
EH_bas_volatile_free_1_100x100_256s_sp2.CSV,CI_Ref_bas_1_2_100x100_256s_sp2,CI_Ref_bas_1,CI_Ref_bas_1,0.398309966,0.358800372,,45.2506328,4.4011959,15.2383721,13.86576743,,0.1783862,5.3735692,10.0289601,4.302746,1.7300983,1.0194203,15.4357715,3,,12.4766205
EH_bas_volatile_free_1_100x100_256s_sp1.CSV,CI_Ref_bas_2_1_100x100_256s_sp1,CI_Ref_bas_2,CI_Ref_bas_2,0.120826039,0.114092807,,45.3772455,4.3167961,15.1964627,13.94005228,,0.1796567,5.4307484,10.0279804,4.1857364,1.7434979,0.9984097,15.7962061,3,,12.5434631
EH_bas_volatile_free_1_100x100_256s_sp1.CSV,CI_Ref_bas_2_2_100x100_256s_sp1,CI_Ref_bas_2,CI_Ref_bas_2,0.083340705,0.10013183,,45.3772455,4.3167961,15.1964627,13.94005228,,0.1796567,5.4307484,10.0279804,4.1857364,1.7434979,0.9984097,11.8900799,3,,12.5434631
EH_bas_volatile_free_2_100x100_256s_sp1.CSV,CI_Ref_bas_2_2_100x100_256s_sp2,CI_Ref_bas_2,CI_Ref_bas_2,0.103465069,0.12410825,,45.3772455,4.3167961,15.1964627,13.94005228,,0.1796567,5.4307484,10.0279804,4.1857364,1.7434979,0.9984097,11.8902671,3,,12.5434631
EH_bas_volatile_free_2_100x100_256s_sp1.CSV,CI_Ref_bas_2_2_100x100_256s_sp3,CI_Ref_bas_2,CI_Ref_bas_2,0.111175893,0.099528049,,45.3772455,4.3167961,15.1964627,13.94005228,,0.1796567,5.4307484,10.0279804,4.1857364,1.7434979,0.9984097,12.9033228,3,,12.5434631
EH_bas_volatile_free_2_100x100_256s_sp1.CSV,CI_Ref_bas_2_3_100x100_256s_sp1,CI_Ref_bas_2,CI_Ref_bas_2,0.091001662,0.112839083,,45.3772455,4.3167961,15.1964627,13.94005228,,0.1796567,5.4307484,10.0279804,4.1857364,1.7434979,0.9984097,14.379962,3,,12.5434631
EH_bas_volatile_free_1_100x100_256s_sp1.CSV,CI_Ref_bas_3_1_100x100_256s_051423_sp1,CI_Ref_bas_3,CI_Ref_bas_3,0.910118619,0.920985256,,45.2480219,4.2712772,15.1878098,13.5319998,,0.1791971,5.61245,10.4075986,4.1918498,1.7935206,0.9319795,26.8610095,3,,12.1762915
EH_bas_volatile_free_1_100x100_256s_sp2.CSV,CI_Ref_bas_3_1_100x100_256s_060223_sp1,CI_Ref_bas_3,CI_Ref_bas_3,0.318224477,0.32119741,,45.2480219,4.2712772,15.1878098,13.5319998,,0.1791971,5.61245,10.4075986,4.1918498,1.7935206,0.9319795,26.384858,3,,12.1762915
EH_bas_volatile_free_2_100x100_256s_sp2.CSV,CI_Ref_bas_3_1_100x100_256s_sp2,CI_Ref_bas_3,CI_Ref_bas_3,0.346010778,0.359193656,,45.2480219,4.2712772,15.1878098,13.5319998,,0.1791971,5.61245,10.4075986,4.1918498,1.7935206,0.9319795,24.7626643,3,,12.1762915
EH_bas_volatile_free_1_100x100_256s_sp2.CSV,CI_Ref_bas_3_1_100x100_256s_sp3,CI_Ref_bas_3,CI_Ref_bas_3,0.352088854,0.350815453,,45.2480219,4.2712772,15.1878098,13.5319998,,0.1791971,5.61245,10.4075986,4.1918498,1.7935206,0.9319795,23.2693459,3,,12.1762915
EH_bas_volatile_free_2_100x100_256s_sp1.CSV,CI_Ref_bas_3_2_100x100_256s_051423_sp1,CI_Ref_bas_3,CI_Ref_bas_3,0.15239019,0.149536214,,45.2480219,4.2712772,15.1878098,13.5319998,,0.1791971,5.61245,10.4075986,4.1918498,1.7935206,0.9319795,17.7147888,3,,12.1762915
EH_bas_volatile_free_1_100x100_256s_sp2.CSV,CI_Ref_bas_3_2_100x100_256s_060223_sp1,CI_Ref_bas_3,CI_Ref_bas_3,0.377131112,0.384710868,,45.2480219,4.2712772,15.1878098,13.5319998,,0.1791971,5.61245,10.4075986,4.1918498,1.7935206,0.9319795,24.869581,3,,12.1762915
EH_bas_volatile_free_1_100x100_256s_sp1.CSV,CI_Ref_bas_3_3_100x100_256s_sp1,CI_Ref_bas_3,CI_Ref_bas_3,0.18497211,0.206522274,,45.2480219,4.2712772,15.1878098,13.5319998,,0.1791971,5.61245,10.4075986,4.1918498,1.7935206,0.9319795,17.7232819,3,,12.1762915
EH_bas_volatile_free_1_100x100_256s_sp2.CSV,CI_Ref_bas_3_chip1_100x100_256s_sp1,CI_Ref_bas_3,CI_Ref_bas_3,0.364965265,0.366187614,,45.2480219,4.2712772,15.1878098,13.5319998,,0.1791971,5.61245,10.4075986,4.1918498,1.7935206,0.9319795,32.380964,3,,12.1762915
EH_bas_volatile_free_1_100x100_256s_sp1.CSV,CI_Ref_bas_3_chip1_100x100_256s_sp2,CI_Ref_bas_3,CI_Ref_bas_3,0.503806994,0.505894053,,45.2480219,4.2712772,15.1878098,13.5319998,,0.1791971,5.61245,10.4075986,4.1918498,1.7935206,0.9319795,35.6632413,3,,12.1762915
EH_bas_volatile_free_1_100x100_256s_sp1.CSV,CI_Ref_bas_3_chip1_100x100_256s_sp3,CI_Ref_bas_3,CI_Ref_bas_3,0.483345118,0.48342815,,45.2480219,4.2712772,15.1878098,13.5319998,,0.1791971,5.61245,10.4075986,4.1918498,1.7935206,0.9319795,37.8263468,3,,12.1762915
EH_bas_volatile_free_2_100x100_256s_sp2.CSV,CI_Ref_bas_4_1_100x100_256s_sp1,CI_Ref_bas_4,CI_Ref_bas_4,0.090469761,0.114641894,,44.91804,4.3203235,15.0408202,14.03345307,,0.1773305,5.4373471,10.552303,4.2620802,1.7069649,0.9572887,17.4022066,3,,12.6275065
EH_bas_volatile_free_2_100x100_256s_sp1.CSV,CI_Ref_bas_4_1_100x100_256s_sp2,CI_Ref_bas_4,CI_Ref_bas_4,0.097713392,0.105346952,,44.91804,4.3203235,15.0408202,14.03345307,,0.1773305,5.4373471,10.552303,4.2620802,1.7069649,0.9572887,19.53184,3,,12.6275065
EH_bas_volatile_free_1_100x100_256s_sp2.CSV,CI_Ref_bas_4_2_100x100_256s_sp3,CI_Ref_bas_4,CI_Ref_bas_4,0.151905159,0.143965,,44.91804,4.3203235,15.0408202,14.03345307,,0.1773305,5.4373471,10.552303,4.2620802,1.7069649,0.9572887,39.2737121,3,,12.6275065
EH_bas_volatile_free_1_100x100_256s_sp2.CSV,CI_Ref_bas_5_1_100x100_256s_sp1,CI_Ref_bas_5,CI_Ref_bas_5,0.154611879,0.153036084,,45.2429181,4.2801879,15.1502679,13.80574884,,0.190959,5.3187522,10.4475464,4.1923613,1.7708468,0.9835488,38.5233639,3,,12.4226149
EH_bas_volatile_free_1_100x100_256s_sp2.CSV,CI_Ref_bas_5_1_100x100_256s_sp3,CI_Ref_bas_5,CI_Ref_bas_5,0.125709473,0.122036502,,45.2429181,4.2801879,15.1502679,13.80574884,,0.190959,5.3187522,10.4475464,4.1923613,1.7708468,0.9835488,34.9061323,3,,12.4226149
EH_bas_volatile_free_1_100x100_256s_sp2.CSV,CI_Ref_bas_5_1_100x100_256s_sp4,CI_Ref_bas_5,CI_Ref_bas_5,0.171737871,0.167507234,,45.2429181,4.2801879,15.1502679,13.80574884,,0.190959,5.3187522,10.4475464,4.1923613,1.7708468,0.9835488,39.7268349,3,,12.4226149
EH_bas_volatile_free_1_100x100_256s_sp1.CSV,CI_Ref_bas_6_1_100x100_256s_sp1,CI_Ref_bas_6,CI_Ref_bas_6,0.460025366,0.456938004,,45.4977721,4.275346,15.2440363,13.87312027,,0.1900622,5.3895288,9.888828,4.2585561,1.7638113,1.0088233,27.0609208,3,,12.4832367
EH_bas_volatile_free_2_100x100_256s_sp1.CSV,CI_Ref_bas_6_2_100x100_256s_sp1,CI_Ref_bas_6,CI_Ref_bas_6,0.523298787,0.538597803,,45.4977721,4.275346,15.2440363,13.87312027,,0.1900622,5.3895288,9.888828,4.2585561,1.7638113,1.0088233,28.5426105,3,,12.4832367
EH_bas_volatile_free_1_100x100_256s_sp2.CSV,CI_Ref_bas_6_2_100x100_256s_sp2,CI_Ref_bas_6,CI_Ref_bas_6,0.630505992,0.631073927,,45.4977721,4.275346,15.2440363,13.87312027,,0.1900622,5.3895288,9.888828,4.2585561,1.7638113,1.0088233,30.8391645,3,,12.4832367
EH_bas_volatile_free_2_100x100_256s_sp2.CSV,CI_Ref_bas_7_1_100x100_256s_051423_sp1,CI_Ref_bas_7,CI_Ref_bas_7,0.162824806,0.178070199,,44.9016051,4.3550864,15.0865671,13.96386463,,0.1807545,5.4159005,10.5167959,4.2710955,1.7440388,0.9632621,22.4555222,3,,12.5648898
EH_bas_volatile_free_2_100x100_256s_sp1.CSV,CI_Ref_bas_7_1_100x100_256s_060223_sp1,CI_Ref_bas_7,CI_Ref_bas_7,0.162016966,0.183256038,,44.9016051,4.3550864,15.0865671,13.96386463,,0.1807545,5.4159005,10.5167959,4.2710955,1.7440388,0.9632621,20.4846135,3,,12.5648898
