Sample ID,Repeats
ND70_org_100x100_051823_sp1,ND70_original
ND70_org_100x100_051823_sp2,ND70_original
ND70_org_80x80_051823_sp3,ND70_original
BF73_100x100_051823_sp1,BF73
BF73_100x100_051823_sp2,BF73
BF73_100x100_051823_sp3,BF73
BF76_100x100_051823_sp1,BF76
BF76_100x100_051823_sp2,BF76
BF76_100x50_051823_sp3,BF76
BF77_50x50_051823_sp1,BF77
BF77_50x50_051823_sp2,BF77
BF77_50x50_051823_sp3,BF77
M35_100x100_051823_sp1,M35
M35_100x100_051823_sp2,M35
M35_75x75_051823_sp3,M35
M43_chip1_100x100_256s_sp1,M43
M43_chip1_100x100_256s_sp2,M43
M43_chip1_100x100_256s_sp3,M43
21ALV1846-9_44x44_s1_EP_103um,21ALV1846-9
21ALV1846-9_44x44_s2_EP_103um,21ALV1846-9
21ALV1846-9_44x44_s3_EP_103um,21ALV1846-9
23WOK5-4_44x44_s1_EP_147um,23WOK5-4
23WOK5-4_44x44_s2_EP_147um,23WOK5-4
23WOK5-4_44x44_s3_EP_147um,23WOK5-4
ALV1833-11_44x44_s1_EP_108um,ALV1833-11
ALV1833-11_44x44_s2_EP_108um,ALV1833-11
ALV1833-11_44x44_s3_EP_108um,ALV1833-11
Helo_NS1_100x100_256s_sp1,NS1
Helo_NS1_100x100_256s_sp2,NS1
Helo_NS1_100x100_256s_sp3,NS1
Villa_P2_150x150_06032022_sp1,Villa
Villa_P2_150x150_06032022_sp2,Villa
Villa_P2_150x150_06032022_sp3,Villa
INSOL_MX1_BA4_100x100_128s_highres_99umthick_sp1,INSOL_MX1_BA4
INSOL_MX1_BA4_100x100_128s_highres_99umthick_sp2,INSOL_MX1_BA4
INSOL_MX1_BA4_100x100_128s_highres_99umthick_sp3,INSOL_MX1_BA4
