Wavenumber,WD23MI02,WD33MI03,SH55MI02,SH54MI11,SH63MI02,WD71AMI01,SH63MI10,SH01MI11,SH01MI05,SH63MI39,WD23MI03A,FI38MI01C,SH01MI12B,CV09EMI05,FI38MI01B,SH01MI12A,OK14MI07,OK14MI12,AK96MI13,OK14MI01,WD35MI04A,SH63MI43,OK14MI06C,Terry3MI04A,FI45MI02,AK96MI08,WD70MI03,Terry3MI03,JFL19BMI11,WD12MI04A,FI45MI05,WD70MI01A,WD35MI02,WD07MI01A,FI45MI06,OK14MI08,WD70MI01B,WD12MI06,WD35MI01,OK14MI09,WD07MI01B,SH63MI53,FI38MI05A,SH58MI01,SH63MI34,SH01MI21,OK17MI05A,SH63MI22,FI45MI04A,SH63MI27,JFL30AMI12,VS73MI02,SH63MI25,SH63MI31,SH63MI24,Newman,CD33_12-2-2
451.2686,0.820063422,1.916834033,0.561094067,0.354757567,1.3806214,0.958119075,0.501156033,1.434566333,0.6397086,0.558277067,2.263864333,0.330772733,1.1794824,0.5859743,0.331403133,0.817392,2.981056,0.64346325,0.6487644,3.479909667,0.816371833,0.593018567,0.374355233,0.2711214,1.052288433,0.42573125,0.673407267,0.641772067,0.5702524,0.799921533,0.44185765,0.795416867,1.74099205,0.595309733,1.05506595,3.2597936,0.699575633,0.813621389,1.279718367,0.97663605,0.863600667,2.417477867,0.833221067,0.9123945,0.9456461,0.474766811,0.4801752,0.3688718,2.4508424,0.658986167,0.828558,0.7018526,0.530320067,0.511018633,0.929538533,,
453.1971,0.877189722,1.336441533,0.547127367,0.3395932,0.8251694,0.941436125,0.500734867,1.360695333,0.629507275,0.5927165,1.681016667,0.356202867,1.192645533,0.5930192,0.349306433,0.8493893,3.8315015,0.68573895,-0.01716705,5.301007667,0.8125104,0.679637533,0.379493433,0.261801267,0.9909518,0.48093235,0.663861733,0.643803756,0.569213233,0.801062933,0.0764449,0.7626963,1.49002915,0.552168733,0.997211,2.7542274,0.713713333,0.800732033,1.095626567,0.91623625,0.8258761,3.991553,0.879885567,0.915035633,1.0056118,0.472240167,0.484736467,0.349911667,1.5611915,0.607653033,0.7953065,0.712755325,0.531172933,0.551489567,0.784155867,,
455.1256,0.937345844,1.103852333,0.547355967,0.336630567,0.870065525,0.912586525,0.497410833,1.284262,0.593033275,0.605253033,1.626049667,0.356920967,1.067104733,0.570390675,0.373614033,0.8674282,4.4535305,0.69139685,0.3376069,5.406479,0.835676467,0.6148699,0.378764667,0.262684967,1.010712767,0.4742824,0.667386,0.615597611,0.610130233,0.797720467,0.46679149,0.776244667,1.22742825,0.5810219,1.0811349,2.0541642,0.721953233,0.789704311,1.055591167,0.8350698,0.803946533,2.3462353,0.898692933,0.9329623,1.0252888,0.467885289,0.4770389,0.3443722,2.77358715,0.578234867,0.8372973,0.7049708,0.541911733,0.508212867,0.789101333,,
457.0541,0.855851911,0.994470167,0.550836,0.336727233,0.808694425,0.907988225,0.497896233,1.232274667,0.61810695,0.686192,1.617213667,0.361599367,1.0368562,0.545327625,0.399394833,0.898439367,3.7168195,0.69018085,1.1874117,4.103327033,0.856292867,0.528817333,0.3713059,0.261586467,1.017965067,0.43285655,0.663825167,0.571175622,0.600982567,0.817795567,0.467110755,0.795278867,0.9774321,0.5858094,1.194865,1.13671132,0.7195282,0.778407378,1.001387533,0.86240545,0.8058167,-0.607700167,0.8924448,0.942871467,1.062288433,0.452895933,0.474068833,0.342220467,2.6401194,0.568334667,0.848572567,0.7188102,0.549173467,0.467314767,0.8275183,,
458.9826,0.740233411,0.980455667,0.553971533,0.3333677,0.8191024,0.907652075,0.496457667,1.234145333,0.648136625,0.6578585,1.752059333,0.350967967,1.026052033,0.527853325,0.4091348,0.9493604,3.0069495,0.69382975,1.19240595,3.398511333,0.882027867,0.363362367,0.365885833,0.255741467,0.9802839,0.4241749,0.6790754,0.596869067,0.601472233,0.8265421,0.25971668,0.806938867,0.8351783,0.5656194,1.152047,3.3544135,0.710252,0.793732467,0.985210633,0.91676255,0.798590733,0.77481212,0.8743708,0.938802233,1.031803433,0.471566211,0.471592833,0.343690667,1.896004085,0.574710867,0.8962378,0.720271075,0.5465188,0.456801833,0.836280933,,
460.9111,0.9258062,1.063702167,0.5547274,0.3337985,0.79498905,0.8999248,0.493747533,1.194755333,0.6363951,0.588097867,1.763968667,0.3620822,1.044140167,0.521064075,0.410239033,0.942159467,2.6742265,0.67875925,1.2686593,2.173875,0.865330133,0.422428867,0.3645368,0.2504874,0.933121433,0.39441645,0.689250367,0.660137889,0.585928033,0.824840033,0.75531378,0.800805,0.76176825,0.547586033,1.1412905,3.267893,0.704210733,0.786847578,0.936524133,0.9179182,0.797478967,0.366022933,0.873844233,0.929345,1.023856667,0.470632044,0.4655097,0.3415334,1.699363,0.564004033,0.908339967,0.716554125,0.5489524,0.443221767,0.843697367,,
462.8396,0.885898444,0.882249367,0.549817633,0.331564033,0.7584633,0.901781275,0.4899424,1.119698667,0.6174845,0.6385388,1.729897,0.3621098,0.909026633,0.517626275,0.400918333,0.930195467,2.244021,0.63972795,1.0026895,1.0033842,0.846037167,0.595274533,0.359838233,0.245663467,0.923295033,0.67395645,0.686506567,0.6334244,0.577767967,0.819495567,1.04744621,0.801886967,0.7101748,0.550405633,1.1350755,2.7904205,0.6985872,0.759987789,0.923346967,0.90851125,0.788011267,0.606431167,0.884732167,0.918649233,1.010406733,0.477795878,0.461156867,0.331456067,1.145551,0.569003633,0.904522933,0.71477345,0.5411168,0.451796667,0.836648967,,
464.7681,0.9885424,0.861927597,0.5501512,0.330228933,0.82395445,0.904485725,0.487813833,1.094810867,0.612216125,0.673266867,1.750511667,0.3543439,0.943844633,0.5132407,0.392499833,0.915319,1.8963735,0.601586,0.91500747,1.0764922,0.8388015,0.9611747,0.3559383,0.243866533,0.9270981,0.74836405,0.685411333,0.587832489,0.573150267,0.818504867,0.7971229,0.8030631,0.66520235,0.554857633,1.102661,2.783225,0.694053867,0.738295256,0.9387219,0.9275807,0.784417033,-0.632860733,0.896578767,0.9176929,0.977179367,0.4718401,0.456845267,0.331157367,1.0570668,0.572375367,0.9053411,0.709737875,0.5358022,0.454010733,0.830148967,,
466.6966,1.223464067,1.078489967,0.549806267,0.329232033,0.8098418,0.910215425,0.484042933,1.108747,0.60957395,0.617025633,1.634817333,0.345539367,1.080111,0.5078611,0.380977933,0.9063534,1.3473345,0.58174285,1.339266,0.843728377,0.832812,0.9785549,0.3524533,0.241306433,0.9314227,0.54833805,0.680902533,0.602506533,0.5521219,0.815109433,0.99659345,0.799815833,0.66267315,0.552910433,1.03998655,2.7326905,0.685974433,0.709851444,0.860786567,0.9709029,0.783455433,0.6685319,0.896646533,0.913438,0.932989367,0.431791211,0.452898267,0.331810333,1.5094615,0.5787374,0.880906833,0.7086165,0.526701467,0.457394,0.8012694,,
468.6251,1.347977478,1.168540133,0.5472161,0.324638067,0.6994223,0.9177222,0.480079567,1.109604333,0.6110664,0.722069867,1.582877667,0.339002867,1.189112333,0.509488075,0.354949767,0.907386833,0.93731605,0.5695645,1.1763754,0.388356067,0.832017367,0.964031233,0.349252233,0.238133267,0.9183355,0.84639153,0.682914633,0.630906511,0.530366433,0.810060033,1.29747,0.7983462,0.73205085,0.534930267,0.9569981,2.1169911,0.680580733,0.717634,0.9872938,0.9768917,0.779731,1.002423467,0.9036876,0.9058905,0.9044195,0.418108344,0.4508044,0.3296043,2.35902445,0.577297933,0.8527973,0.70122245,0.5154674,0.4695372,0.7601486,,
470.5536,1.595894667,1.201485267,0.543403533,0.317554633,0.78229025,0.925545825,0.476286133,1.095956667,0.61145195,0.758276033,1.703691667,0.3376573,1.250466333,0.5116649,0.323891333,0.9094963,0.8889016,0.56724455,0.323574025,0.45189737,0.834263033,0.9451531,0.343939667,0.234803467,0.909614067,0.835227615,0.690288033,0.650774611,0.5225805,0.798822567,0.661251955,0.789533033,0.7463676,0.513742033,0.89583775,2.0840665,0.676257733,0.7253186,1.105707367,0.96502135,0.7683142,1.21456237,0.9157687,0.901115433,0.873646667,0.428102567,0.448813,0.321650133,2.3555759,0.5698328,0.831597867,0.69398935,0.5074793,0.489693867,0.717292067,,
