Sample,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Thickness,Sigma_Thickness
FI38MI01A,46.769025,1.456225,19.23248312,0,9.678865,0.198245,3.628,12.645935,3.173675,0.610125,0.175686461,52.99531658,3
FI38MI01B,46.72037333,1.57639,18.71855541,0,9.504296667,0.169916667,3.798176667,12.50526667,3.153463333,0.60974,0.236891843,52.99531658,3
FI38MI01C,46.605935,1.91043,18.89236549,0,8.952115,0.17174,3.700225,11.580625,3.506585,0.7896,0.440207364,52.99531658,3
FI38MI02,49.212645,1.38492,15.62645751,0,11.556995,0.215135,5.89927,10.45946,2.594265,0.49189,0.189543436,51.23843586,3
FI38MI05A,49.148945,1.83103,15.14202184,0,11.619805,0.22213,5.06635,10.21283,3.292835,0.601805,0.209182888,51.38336006,3
FI38MI05B,49.56416,1.767793333,15.72343518,0,10.92469,0.21549,5.039366667,9.994573333,3.46108,0.696493333,0.213858472,51.38336006,3
FI45MI01,50.40574,1.89684,15.46575343,0,10.23456,0.194026667,4.79622,9.311626667,3.616713333,0.884846667,0.269932197,48.44385185,3
FI45MI02,44.81294,1.332973333,17.95172943,0,10.42538667,0.19672,6.00101,12.19741333,2.370636667,0.283763333,0.183172825,58.50969267,3
FI45MI04A,44.88411,1.350576667,18.18581529,0,10.21203667,0.174326667,5.78207,11.97119667,2.453793333,0.308153333,0.184325056,51.54394314,3
FI45MI05,45.31558667,1.353536667,17.17183896,0,10.67441333,0.192793333,6.397576667,11.95654,2.276406667,0.29168,0.219111639,48.9308298,3
FI45MI06,47.05136,1.35609,17.67732168,0,9.63472,0.18339,4.73224,11.95933,2.70465,0.46302,0.250743824,52.22183472,3
JFL019BMI04,49.97993,0.788255,17.31427904,0,9.5099275,0.151005,6.2957225,11.63511,2.6387925,0.9966125,0.169547465,26.68961177,3
JFL19BMI08,52.24492,0.671216667,15.73777285,0,9.308023333,0.181603333,6.434873333,11.25241,2.517783333,0.86913,0.162475372,32.88176516,3
JFL19BMI09,50.0551,0.69159,16.06999441,0,9.10081,0.18415,7.03746,10.85386,2.5898,0.95613,0.14302395,49.34368064,3
JFL19BMI11,52.0752825,0.79769,17.92714175,0,8.4962825,0.15365,3.8100825,12.3209425,2.864675,0.97477,0.181036421,51.1309939,3
JFL19CMI01,50.96048667,0.796736667,18.07708097,0,8.389983333,0.158596667,4.919283333,11.76004667,3.1102,1.08891,0.172991953,39.85277422,3
JFL30AMI05,47.36040333,0.960726667,19.34167297,0,9.27107,0.164836667,5.359933333,10.93734,3.00166,0.7927,0.182752653,49.46522796,3
JFL30AMI12,51.96948667,1.225676667,17.18499282,0,7.260673333,0.130576667,5.27812,8.60196,3.697246667,1.187386667,0.186862408,62.3670459,3
OK14MI06A,49.84616333,1.13029,16.0914025,0,11.51909,0.22982,5.30075,10.15569,2.627746667,0.536213333,0.202451194,37.50869051,3
OK14MI06B,50.44561,1.407383333,15.7744355,0,11.09256333,0.204783333,4.952256667,9.335246667,2.937636667,0.764086667,0.182661491,37.50869051,3
OK14MI06C,51.59528333,1.343606667,15.77825206,0,10.70713,0.218536667,4.763736667,8.98664,3.237466667,0.874203333,0.181090067,37.50869051,3
OK17MI05A,50.2581,1.149363333,17.159866,0,10.04312667,0.185833333,4.791406667,10.46064,2.890346667,0.676183333,0.165639936,41.24318954,3
OK17MI05B,51.95388333,1.24045,15.78385762,0,10.58007,0.198973333,4.437293333,9.879513333,3.108893333,0.814693333,0.164781595,44.95756006,3
SH01MI02,53.4218075,1.4664075,17.55939991,0,8.450495,0.2029075,3.4259325,6.347395,4.400515,0.7019925,0.266628352,63,3
