,Density_F,Tau,epsilon_H2Om_5200,sigma_epsilon_H2Om_5200,epsilon_OH_4500,sigma_epsilon_OH_4500
FI45MI02a,2822.023407003519,0.6399267811126632,0.7005755830421281,0.28643844427294485,0.6278254326696673,0.26622139562060404
FI45MI02b,2822.023407003519,0.6399267811126632,0.7005755830421281,0.28643844427294485,0.6278254326696673,0.26622139562060404
FI45MI02c,2822.023407003519,0.6399267811126632,0.7005755830421281,0.28643844427294485,0.6278254326696673,0.26622139562060404
FI45MI08a,2834.300478547672,0.6342027964394652,0.6738129324310198,0.28516782776336697,0.6076053308839326,0.2650632302656025
FI45MI08b,2834.300478547672,0.6342027964394652,0.6738129324310198,0.28516782776336697,0.6076053308839326,0.2650632302656025
FI45MI10a,2826.8448104929967,0.6559066306738109,0.7752898171010618,0.289964453858207,0.684274602801112,0.26945112146066713
FI45MI10b,2826.8448104929967,0.6559066306738109,0.7752898171010618,0.289964453858207,0.684274602801112,0.26945112146066713
FR01MI02a,2837.2198839195053,0.6285618048799789,0.6474383184468779,0.2839116288335181,0.587678404098233,0.2639211845394762
FR01MI02b,2837.056027277822,0.6285618048799789,0.6474383184468779,0.2839116288335181,0.587678404098233,0.2639211845394762
FR01MI02c,2837.1656061695107,0.6285618048799789,0.6474383184468779,0.2839116288335181,0.587678404098233,0.2639211845394762
FR01MI03a,2741.508714721213,0.6571728598626738,0.7812101071280075,0.29024253928811533,0.6887475852678122,0.26970682147533115
FR01MI03b,2743.0652235067455,0.6571728598626738,0.7812101071280075,0.29024253928811533,0.6887475852678122,0.26970682147533115
FR01MI03c,2745.23266640989,0.6571728598626738,0.7812101071280075,0.29024253928811533,0.6887475852678122,0.26970682147533115
FR01MI04a,2698.2498804321076,0.66921372751373,0.8375075209748148,0.29287749990759376,0.7312822151442564,0.27213674881356054
FR01MI04b,2698.2498804321076,0.66921372751373,0.8375075209748148,0.29287749990759376,0.7312822151442564,0.27213674881356054
FR01MI04c,2698.2498804321076,0.66921372751373,0.8375075209748148,0.29287749990759376,0.7312822151442564,0.27213674881356054
FR02MI01a,2658.4536502961705,0.686791758577838,0.9196940973999217,0.29669427641785806,0.7933769965949016,0.275679083455297
FR02MI01b,2653.714434151554,0.686791758577838,0.9196940973999217,0.29669427641785806,0.7933769965949016,0.275679083455297
FR02MI01c,2656.717856854549,0.686791758577838,0.9196940973999217,0.29669427641785806,0.7933769965949016,0.275679083455297
FR02MI02a,2721.7071983901324,0.6501710486320669,0.7484729426685903,0.2887024278880619,0.6640135330558463,0.2682924858958139
FR02MI02b,2721.7071983901324,0.6501710486320669,0.7484729426685903,0.2887024278880619,0.6640135330558463,0.2682924858958139
FR02MI02c,2749.94094417031,0.6501710486320669,0.7484729426685903,0.2887024278880619,0.6640135330558463,0.2682924858958139
FR02MI03a,2756.8563118174766,0.64878720975382,0.7420027652458585,0.2883973443264973,0.6591250917739839,0.2680128394757223
FR02MI03b,2752.559919805379,0.64878720975382,0.7420027652458585,0.2883973443264973,0.6591250917739839,0.2680128394757223
FR02MI03c,2750.379888683422,0.64878720975382,0.7420027652458585,0.2883973443264973,0.6591250917739839,0.2680128394757223
FR02MI04a,2720.3534014648885,0.6679685960197479,0.8316858738110198,0.29260580483740584,0.7268837607488718,0.2718856046377756
FR02MI04b,2721.320206928139,0.6679685960197479,0.8316858738110198,0.29260580483740584,0.7268837607488718,0.2718856046377756
FR02MI04c,2721.5263915239925,0.6679685960197479,0.8316858738110198,0.29260580483740584,0.7268837607488718,0.2718856046377756
FR02MI05a,2814.958626912428,0.6411717394468782,0.7063964205925837,0.28671426476428347,0.6322232753743653,0.26647320471715896
FR02MI05b,2801.081798561132,0.6411717394468782,0.7063964205925837,0.28671426476428347,0.6322232753743653,0.26647320471715896
FR02MI05c,2815.2033053648684,0.6411717394468782,0.7063964205925837,0.28671426476428347,0.6322232753743653,0.26647320471715896
FR02MI05d,2803.2012628487923,0.6411717394468782,0.7063964205925837,0.28671426476428347,0.6322232753743653,0.26647320471715896
FR02MI06a,2767.7926468115916,0.6416082336490407,0.7084372614566319,0.2868109248990163,0.6337652007463768,0.26656148378913996
FR02MI06b,2767.7926468115916,0.6416082336490407,0.7084372614566319,0.2868109248990163,0.6337652007463768,0.26656148378913996
FR02MI06c,2767.7926468115916,0.6416082336490407,0.7084372614566319,0.2868109248990163,0.6337652007463768,0.26656148378913996
FR02MI07a,2761.2207328954214,0.6317152287473254,0.6621822400345247,0.28461436166840287,0.5988179432849599,0.26455969312941807
FR02MI07b,2759.555272227833,0.6317152287473254,0.6621822400345247,0.28461436166840287,0.5988179432849599,0.26455969312941807
FR02MI07c,2758.5994092758406,0.6317152287473254,0.6621822400345247,0.28461436166840287,0.5988179432849599,0.26455969312941807
FR02MI08a,2725.542719223807,0.6610222400260743,0.7992079918646313,0.2910867638912833,0.7023456053813883,0.27048396248651624
FR02MI08b,2723.825778707895,0.6610222400260743,0.7992079918646313,0.2910867638912833,0.7023456053813883,0.27048396248651624
FR02MI08c,2723.3191627980864,0.6610222400260743,0.7992079918646313,0.2910867638912833,0.7023456053813883,0.27048396248651624
FR02MI09a,2801.663241195988,0.6570026020073362,0.7804140617581563,0.29020515884169396,0.6881461456481595,0.26967244177531147
FR02MI09b,2802.388090280172,0.6570026020073362,0.7804140617581563,0.29020515884169396,0.6881461456481595,0.26967244177531147
FR02MI09c,2800.389391978366,0.6570026020073362,0.7804140617581563,0.29020515884169396,0.6881461456481595,0.26967244177531147
FR02MI10a,2773.6097039698416,0.6581433970255675,0.7857478808081573,0.2904555570574667,0.6921760291475518,0.26990278834905274
FR02MI10b,2777.026181889981,0.6581433970255675,0.7857478808081573,0.2904555570574667,0.6921760291475518,0.26990278834905274
FR02MI10c,2778.6425181244645,0.6581433970255675,0.7857478808081573,0.2904555570574667,0.6921760291475518,0.26990278834905274
FR04MI01a,2801.222283177503,0.6421327134255947,0.7108894813373441,0.2869270381858066,0.635617937095609,0.26666755236376416
FR04MI01b,2804.2755297934245,0.6421327134255947,0.7108894813373441,0.2869270381858066,0.635617937095609,0.26666755236376416
FR04MI01c,2803.1166284315136,0.6421327134255947,0.7108894813373441,0.2869270381858066,0.635617937095609,0.26666755236376416
FR04MI02a,2808.154831924414,0.6363566138343087,0.6838831659674978,0.28564641204895896,0.6152137382152003,0.2654991042263586
FR04MI02b,2816.8526649156893,0.6363566138343087,0.6838831659674978,0.28564641204895896,0.6152137382152003,0.2654991042263586
FR04MI02c,2812.5825411204046,0.6363566138343087,0.6838831659674978,0.28564641204895896,0.6152137382152003,0.2654991042263586
FR04MI03a,2814.4167096801775,0.6678578044885081,0.8311678649045451,0.29258162078799616,0.7264923872273537,0.2718632564235917
FR04MI03b,2814.1666441382063,0.6678578044885081,0.8311678649045451,0.29258162078799616,0.7264923872273537,0.2718632564235917
FR04MI03c,2813.8538090387847,0.6678578044885081,0.8311678649045451,0.29258162078799616,0.7264923872273537,0.2718632564235917
FR04MI04a,2795.7160699912697,0.6537428264149733,0.7651728897023471,0.2894888043235004,0.6766309166530742,0.26901409257032927
FR04MI04b,2798.174366608173,0.6537428264149733,0.7651728897023471,0.2894888043235004,0.6766309166530742,0.26901409257032927
FR04MI04c,2797.0573851242493,0.6537428264149733,0.7651728897023471,0.2894888043235004,0.6766309166530742,0.26901409257032927
FR04MI05a,2792.290218259009,0.6510816139110585,0.7527303161263434,0.2889030468761374,0.66723012493632,0.26847647194595414
FR04MI05b,2792.8117256224555,0.6510816139110585,0.7527303161263434,0.2889030468761374,0.66723012493632,0.26847647194595414
FR04MI05c,2792.3836617365273,0.6510816139110585,0.7527303161263434,0.2889030468761374,0.66723012493632,0.26847647194595414
FR04MI07a,2825.4269921233818,0.663288221328851,0.8098026508932401,0.2915829112675628,0.7103502341850354,0.2709412983292065
FR04MI07b,2824.6602981042843,0.663288221328851,0.8098026508932401,0.2915829112675628,0.7103502341850354,0.2709412983292065
FR04MI07c,2822.116971805057,0.663288221328851,0.8098026508932401,0.2915829112675628,0.7103502341850354,0.2709412983292065
FR04MI08a,2775.637310010659,0.6568134050095361,0.7795294658974261,0.29016361623771053,0.6874778030910966,0.26963423706859385
FR04MI08b,2779.0425054660186,0.6568134050095361,0.7795294658974261,0.29016361623771053,0.6874778030910966,0.26963423706859385
FR04MI08c,2779.7105711925724,0.6568134050095361,0.7795294658974261,0.29016361623771053,0.6874778030910966,0.26963423706859385
FR04MI08d,2780.0500910591686,0.6568134050095361,0.7795294658974261,0.29016361623771053,0.6874778030910966,0.26963423706859385
FR06MI01a,2760.416331050354,0.6589353364730292,0.7894506158690691,0.2906292928731967,0.6949735726683781,0.2700626796293005
FR06MI01b,2756.653464525015,0.6589353364730292,0.7894506158690691,0.2906292928731967,0.6949735726683781,0.2700626796293005
FR06MI01c,2756.7213111723304,0.6589353364730292,0.7894506158690691,0.2906292928731967,0.6949735726683781,0.2700626796293005
FR06MI02a,2736.131457399292,0.6563772474626364,0.7774901990744851,0.2900678315186072,0.6859370669612073,0.26954616069331483
FR06MI02b,2740.2051538899314,0.6563772474626364,0.7774901990744851,0.2900678315186072,0.6859370669612073,0.26954616069331483
FR06MI02c,2741.827213883774,0.6563772474626364,0.7774901990744851,0.2900678315186072,0.6859370669612073,0.26954616069331483
FR06MI03a,2652.2343973975944,0.6532136675290149,0.7626987925146,0.28937239910849405,0.6747616512469308,0.26890720275411734
FR06MI03b,2667.121500686267,0.6532136675290149,0.7626987925146,0.28937239910849405,0.6747616512469308,0.26890720275411734
FR06MI03c,2653.703795758511,0.6532136675290149,0.7626987925146,0.28937239910849405,0.6747616512469308,0.26890720275411734
FR06MI04a,2789.096956149252,0.6708876047492346,0.8453337808579793,0.29324246813308236,0.7371952233039756,0.2724743240323375
FR06MI04b,2788.2718264910804,0.6708876047492346,0.8453337808579793,0.29324246813308236,0.7371952233039756,0.2724743240323375
FR06MI04c,2788.295333919489,0.6708876047492346,0.8453337808579793,0.29324246813308236,0.7371952233039756,0.2724743240323375
FR06MI05a,2774.3894796568848,0.656731056362815,0.7791444424939198,0.29014553334977455,0.687186904684884,0.26961760811510904
FR06MI05b,2774.387837403064,0.656731056362815,0.7791444424939198,0.29014553334977455,0.687186904684884,0.26961760811510904
FR06MI05c,2773.926091784606,0.656731056362815,0.7791444424939198,0.29014553334977455,0.687186904684884,0.26961760811510904
FR06MI06a,2841.1900100453186,0.6316683691843638,0.6619631468358298,0.2846039283001238,0.5986524108478872,0.2645502064960419
FR06MI06b,2840.901638063573,0.6316683691843638,0.6619631468358298,0.2846039283001238,0.5986524108478872,0.2645502064960419
FR06MI06c,2842.571013112728,0.6316683691843638,0.6619631468358298,0.2846039283001238,0.5986524108478872,0.2645502064960419
FR06MI07a,2734.9059422861196,0.6574081401792372,0.7823101668359485,0.29029418988968914,0.6895787181622395,0.2697543300314129
FR06MI07b,2738.8673536555248,0.6574081401792372,0.7823101668359485,0.29029418988968914,0.6895787181622395,0.2697543300314129
FR06MI07c,2741.9500323470015,0.6574081401792372,0.7823101668359485,0.29029418988968914,0.6895787181622395,0.2697543300314129
FR06MI08a,2822.5545361942427,0.6342845642976326,0.6741952403413816,0.28518600737869376,0.6078941776418016,0.26507977962752777
FR06MI08b,2824.239561855887,0.6342845642976326,0.6741952403413816,0.28518600737869376,0.6078941776418016,0.26507977962752777
FR06MI08c,2823.585375128933,0.6342845642976326,0.6741952403413816,0.28518600737869376,0.6078941776418016,0.26507977962752777
CL05MI01a,,0.6587834317977641,0.7887403813065363,0.29059597374121005,0.6944369660611014,0.2700320112890662
CL05MI01b,,0.6587834317977641,0.7887403813065363,0.29059597374121005,0.6944369660611014,0.2700320112890662
CL05MI01c,,0.6587834317977641,0.7887403813065363,0.29059597374121005,0.6944369660611014,0.2700320112890662
CL05MI02a,,0.6508986476083609,0.7518748520550242,0.2888627430938809,0.6665837924467826,0.2684395036771518
CL05MI02b,,0.6508986476083609,0.7518748520550242,0.2888627430938809,0.6665837924467826,0.2684395036771518
CL05MI02c,,0.6508986476083609,0.7518748520550242,0.2888627430938809,0.6665837924467826,0.2684395036771518
CL05MI05a,,0.6552012670607571,0.7719918697780472,0.28980946141963476,0.6817828903200001,0.2693086677297426
CL05MI05b,,0.6552012670607571,0.7719918697780472,0.28980946141963476,0.6817828903200001,0.2693086677297426
CL05MI05c,,0.6552012670607571,0.7719918697780472,0.28980946141963476,0.6817828903200001,0.2693086677297426
SH01MI02a,,0.7075988624324534,1.0169782940710839,0.30116797832273706,0.8668785487176152,0.2798647077835308
SH01MI02b,,0.7075988624324534,1.0169782940710839,0.30116797832273706,0.8668785487176152,0.2798647077835308
SH01MI02c,,0.7075988624324534,1.0169782940710839,0.30116797832273706,0.8668785487176152,0.2798647077835308
SH01MI02d,,0.7075988624324534,1.0169782940710839,0.30116797832273706,0.8668785487176152,0.2798647077835308
SR1MI01a,,0.6757893981224908,0.8682522530248531,0.294309395935107,0.7545109162344579,0.27346257088540354
SR1MI01b,,0.6757893981224908,0.8682522530248531,0.294309395935107,0.7545109162344579,0.27346257088540354
SR02MI01a,,0.6853626988432397,0.9130124885971349,0.2963852781810433,0.7883288116431189,0.27539131686111906
SR02MI01b,,0.6853626988432397,0.9130124885971349,0.2963852781810433,0.7883288116431189,0.27539131686111906
SR02MI01c,,0.6853626988432397,0.9130124885971349,0.2963852781810433,0.7883288116431189,0.27539131686111906
SR3MI01a,,0.6629911777068576,0.8084138151213884,0.29151790640272973,0.7093009210553838,0.2708813527124529
SR3MI01b,,0.6629911777068576,0.8084138151213884,0.29151790640272973,0.7093009210553838,0.2708813527124529
SR10MI02a,,0.6891490330911575,0.9307156003906334,0.29720348294813215,0.801704120673242,0.2761536793950704
SR10MI02b,,0.6891490330911575,0.9307156003906334,0.29720348294813215,0.801704120673242,0.2761536793950704
SR10MI02c,,0.6891490330911575,0.9307156003906334,0.29720348294813215,0.801704120673242,0.2761536793950704
SR10MI03a,,0.6890654873546876,0.930324979960488,0.2971854463230623,0.8014089935211559,0.27613686069034576
SR10MI03b,,0.6890654873546876,0.930324979960488,0.2971854463230623,0.8014089935211559,0.27613686069034576
SR10MI03c,,0.6890654873546876,0.930324979960488,0.2971854463230623,0.8014089935211559,0.27613686069034576
SR10MI05a,,0.6873615371981106,0.9223581132928071,0.2968174134974993,0.7953897521061442,0.2757938078829046
SR10MI05b,,0.6873615371981106,0.9223581132928071,0.2968174134974993,0.7953897521061442,0.2757938078829046
SR10MI05c,,0.6873615371981106,0.9223581132928071,0.2968174134974993,0.7953897521061442,0.2757938078829046
SR10MI11a,,0.6835828830360167,0.9046909099556206,0.296000119853247,0.7820415731481556,0.27503286583259173
SR10MI11b,,0.6835828830360167,0.9046909099556206,0.296000119853247,0.7820415731481556,0.27503286583259173
SR10MI11c,,0.6835828830360167,0.9046909099556206,0.296000119853247,0.7820415731481556,0.27503286583259173
WD12MI01a,,0.6289111467965999,0.6490716763596129,0.28398954067840027,0.5889124621042185,0.26399193004633326
WD12MI01b,,0.6289111467965999,0.6490716763596129,0.28398954067840027,0.5889124621042185,0.26399193004633326
WD12MI01c,,0.6289111467965999,0.6490716763596129,0.28398954067840027,0.5889124621042185,0.26399193004633326
WD23MI03Aa,,0.6320223443530467,0.6636181676483117,0.2846827346950476,0.5999028359187135,0.2646218669784946
WD23MI03Ab,,0.6320223443530467,0.6636181676483117,0.2846827346950476,0.5999028359187135,0.2646218669784946
WD23MI03Ac,,0.6320223443530467,0.6636181676483117,0.2846827346950476,0.5999028359187135,0.2646218669784946
WD23MI04a,,0.6328891319882659,0.6676708575068329,0.2848756434145473,0.6029647823094533,0.264797332594066
WD23MI04b,,0.6328891319882659,0.6676708575068329,0.2848756434145473,0.6029647823094533,0.264797332594066
WD23MI04c,,0.6328891319882659,0.6676708575068329,0.2848756434145473,0.6029647823094533,0.264797332594066
WD23MI04d,,0.6328891319882659,0.6676708575068329,0.2848756434145473,0.6029647823094533,0.264797332594066
WD32MI02a,,0.6554025116706714,0.7729327945865512,0.28985368775752474,0.6824937913319036,0.2693493116764666
WD32MI02b,,0.6554025116706714,0.7729327945865512,0.28985368775752474,0.6824937913319036,0.2693493116764666
WD32MI02c,,0.6554025116706714,0.7729327945865512,0.28985368775752474,0.6824937913319036,0.2693493116764666
WD32MI04a,,0.6552404325147811,0.7721749889549696,0.2898180689576532,0.68192124314798,0.2693165777622579
WD32MI04b,,0.6552404325147811,0.7721749889549696,0.2898180689576532,0.68192124314798,0.2693165777622579
WD32MI04c,,0.6552404325147811,0.7721749889549696,0.2898180689576532,0.68192124314798,0.2693165777622579
WD33MI05a,,0.6321629849711173,0.6642757367960384,0.28471404150548196,0.6003996519961414,0.2646503382263782
WD33MI05b,,0.6321629849711173,0.6642757367960384,0.28471404150548196,0.6003996519961414,0.2646503382263782
WD33MI05c,,0.6321629849711173,0.6642757367960384,0.28471404150548196,0.6003996519961414,0.2646503382263782
WD71AMI01a,,0.7178194199816146,1.0647647970677983,0.3033485340185805,0.9029828931122932,0.2819178585696393
WD71AMI01b,,0.7178194199816146,1.0647647970677983,0.3033485340185805,0.9029828931122932,0.2819178585696393
WD71AMI01c,,0.7178194199816146,1.0647647970677983,0.3033485340185805,0.9029828931122932,0.2819178585696393
WD71AMI01d,,0.7178194199816146,1.0647647970677983,0.3033485340185805,0.9029828931122932,0.2819178585696393
