,H2OT_3550_SAT,H2Om_5200_M,H2Om_5200_M_STD,OH_4500_M,OH_4500_M_STD,P_H5200_S2N,P_H4500_S2N,ERR_5200,ERR_4500
FI45MI02a,*,1.776136579837645,0.4944451092335237,2.1289068973878864,0.622741991965936,7.690791588694573,5.520361388164111,-,-
FI45MI02b,*,2.08864929324284,0.5809888557892228,1.857562341741171,0.5402060652844995,9.673037567684583,21.16348244978877,-,-
FI45MI02c,*,2.1242233805630892,0.5942148372789351,2.091448969896169,0.6253197356488736,6.355522732127057,10.008231941557531,-,-
FI45MI08a,*,2.3661670162512465,0.6804012690568153,2.0740770519588585,0.6405443547586267,3.708956729399535,7.277736650211433,*,-
FI45MI08b,*,2.1622120748445983,0.6289820123341836,1.9491998794433438,0.5995639194562997,4.524302182169204,8.347464672378585,-,-
FI45MI10a,*,1.1708051593345186,0.2887848281995905,1.3034958182780418,0.3429874608539756,10.71462968593782,17.423503379639897,-,-
FI45MI10b,*,1.2273885290651003,0.30357771876437045,1.319680295422521,0.3447823540136713,16.708198687239854,8.692268010736596,-,-
FR01MI02a,-,1.6542855642384842,0.5298370903458308,1.4812398255699495,0.5563168251274669,4.124217426189876,4.915886788113629,-,-
FR01MI02b,-,1.597475646266497,0.4936089188372621,1.6221182667441356,0.5327217628587143,2.733787474282314,3.9381236105288835,*,*
FR01MI02c,-,1.420413037929122,0.4503807178005844,1.2188519643154927,0.3904538548362026,3.976052897452926,3.7470782519688384,*,*
FR01MI03a,-,2.7110153511793276,0.7215894582484924,1.7889428324809251,0.4779391212904945,4.085184760067341,4.313227512634133,-,-
FR01MI03b,-,2.8213109004609733,0.8245585949414213,2.4099338081393094,0.6771696764888866,2.6059817190427785,6.006216769928739,*,-
FR01MI03c,-,2.991180866002677,0.757486890337015,1.7445732390790938,0.4732421188734409,4.248884201455859,3.4391521597525827,-,*
FR01MI04a,*,3.38984103154386,0.7933770572747911,4.036901249158717,1.015481300838286,14.313659386598877,27.201194924494803,-,-
