,P_H5200_M,P_H4500_M,P_H5200_STD,P_H4500_STD,S2N_P5200,S2N_P4500,ERR_5200,ERR_4500
FI45MI02a,0.01140456612764972,0.012250194544310963,9.42503605341283e-05,0.0003903629378052452,7.690791588694573,5.520361388164111,-,-
FI45MI02b,0.013411209054899481,0.010688818798245991,0.00021860898917158925,0.00010002310254877293,9.673037567684583,21.16348244978877,-,-
FI45MI02c,0.013639630132354941,0.012034653460967557,0.0004599312621553869,0.0007664341822895712,6.355522732127057,10.008231941557531,-,-
FI45MI08a,0.019111743409823582,0.015106436509667509,9.75032712944721e-05,0.001054284463910696,3.708956729399535,7.277736650211433,*,-
FI45MI08b,0.017464381038292846,0.014196899867173556,0.000692137275619602,0.0009119083417737292,4.524302182169204,8.347464672378585,-,-
FI45MI10a,0.012918644431469251,0.012694286656050347,0.00030121138415181687,0.0003735622016308348,10.71462968593782,17.423503379639897,-,-
FI45MI10b,0.013542984381166115,0.012851901578453182,0.0003346069075313521,0.00012704660759815605,16.708198687239854,8.692268010736596,-,-
FR01MI02a,0.007522982438543855,0.006114293478650361,0.0005843855848663089,0.0010880369936476695,4.124217426189876,4.915886788113629,-,-
FR01MI02b,0.007264215704536184,0.006695427825338068,0.00015521343498129726,0.0004910556073071794,2.733787474282314,3.9381236105288835,*,*
FR01MI02c,0.006459306752131484,0.005031106994888665,0.0004286608584236059,0.0001677074236418042,3.976052897452926,3.7470782519688384,*,*
FR01MI03a,0.018933967704586167,0.011015351332817858,0.0016978983103082884,0.0004414326434490245,4.085184760067341,4.313227512634133,-,-
FR01MI03b,0.019715468671763586,0.014847505975777225,0.002831138029591052,0.0013121255345432477,2.6059817190427785,6.006216769928739,*,-
FR01MI03c,0.020919045116753247,0.010756738839689792,0.0010400580928167683,0.0006153397580142137,4.248884201455859,3.4391521597525827,-,*
FR01MI04a,0.0227021005427311,0.023606474481936934,0.0005883528476095844,0.0005688883093957324,14.313659386598877,27.201194924494803,-,-
FR01MI04b,0.02144611175608391,0.024994490492964493,0.00039581856887534455,0.0011588630016398846,12.85620810844211,29.276079217652818,-,-
FR01MI04c,0.02094790519498768,0.023884549415203626,0.00043713070153014716,0.0006968125619609995,9.940298841643687,23.49677079292188,-,-
FR02MI01a,0.0187376009074848,0.012905599862787193,0.0018246388042966542,0.0012380267739441494,6.567134860372822,6.324265874917509,-,-
FR02MI01b,0.02342685679269918,0.014693515843860255,0.0006122443985019443,0.00020781245236696757,6.015335329035632,5.63655929384593,-,-
FR02MI01c,0.016700021604585422,0.011043059711414024,0.0002474336309419462,0.0001511718307243065,4.2853641087801035,6.04769641664416,-,-
FR02MI02a,0.023212593832910588,0.016677131182761918,0.0007552418841397012,0.0009430024312727645,4.987902087576149,6.186040618812249,-,-
FR02MI02b,0.022433765075373018,0.014140952991930559,5.248587456301392e-05,0.0005458546415045606,4.529446043697971,4.00919097501203,-,-
