Sample ID,ERDA_H2O,ERDA_H2O_STD,SIMS_H2O_Nancy,SIMS_H2O_Nancy_STD,SIMS_H2O_Caltech,SIMS_H2O_Caltech_STD,SIMS_H2O_WHOI,SIMS_H2O_WHOI_STD,ERDA_SIMS_H2O,ERDA_SIMS_H2O_STD,NRA_CO2,NRA_CO2_STD,PH_3550_M,PH_3550_STD,H2OT_3550_MAX,BL_H2OT_3550_MAX,H2Ot_3550_SAT,PH_1635_BP,PH_1635_STD,PH_1515_BP,PH_1515_STD,P_1515_BP,P_1515_STD,STD_1515_BP,STD_1515_STD,PH_1430_BP,PH_1430_STD,P_1430_BP,P_1430_STD,STD_1430_BP,STD_1430_STD,PH_5200_M,PH_5200_STD,PH_4500_M,PH_4500_STD,STN_P5200,ERR_5200,STN_P4500,ERR_4500,AVG_BL_BP,AVG_BL_STD,PC1_BP,PC1_STD,PC2_BP,PC2_STD,PC3_BP,PC3_STD,PC4_BP,PC4_STD,m_BP,m_STD,b_BP,b_STD,PH_1635_PC1_BP,PH_1635_PC1_STD,PH_1635_PC2_BP,PH_1635_PC2_STD,Repeats,Sub_Repeats,PH_1430,PH_1515,Thickness,Sigma_Thickness,H2Ot_MEAN,H2Ot_STD,H2Ot_3550_M,H2Ot_3550_STD,H2Om_1635_BP,H2Om_1635_STD,CO2_MEAN,CO2_STD,CO2_1515_BP,CO2_1515_STD,CO2_1430_BP,CO2_1430_STD,H2Om_5200_M,H2Om_5200_STD,OH_4500_M,OH_4500_STD,PH_5200_S2N,ERR_5200_y,PH_4500_S2N,ERR_4500_y,Density,Density_Sat,Tau,Eta,epsilon_H2OT_3550,sigma_epsilon_H2OT_3550,epsilon_H2Om_1635,sigma_epsilon_H2Om_1635,epsilon_CO2,sigma_epsilon_CO2,epsilon_H2Om_5200,sigma_epsilon_H2Om_5200,epsilon_OH_4500,sigma_epsilon_OH_4500
ND70_02_01_06032022_150x150_sp1,2.53,0.24,2.21,0.06,2.49,0.09,2.51,0.15,2.370,0.247,1837,35,3.23051504,0.005652334,2.930676,-0.030427625,*,0.337183656,0.00313668,0.359059341,0.003581251,1525.162086,0.477693359,31.00677377,0.579375234,0.362206622,0.003986304,1431.282046,0.567797911,37.85570465,0.671749935,0.012815043,0.000106221,0.016479487,0.000232495,12.85768183,-,11.76669042,-,2.019942297,0.027932343,2.8285539,0.287689955,0.766425517,0.021069653,-0.014096114,0.049376219,-0.3,0.006517701,0.000268245,5.05E-05,1.032915049,0.016157405,-0.106823283,0.016853944,0.343184528,0.022063412,ND70-2,ND70-2,0.316455906,0.362817312,119.5,3,1.905029003,0.179834587,2.775000852,0.212778717,0.585031672,0.098800855,1372.923519,42.33760199,1353.92859,58.90761517,1365.796248,59.67834974,0.894753123,0.220901375,1.301874127,0.342872112,12.85768183,-,11.76669042,-,2784.623206,2811.368737,0.65435162,0.236976531,62.42577555,7.250206648,30.90597417,8.328720316,347.4050464,13.76860365,0.76801932,0.289622686,0.678781492,0.269137062
ND70_02_01_06032022_150x150_sp2,2.53,0.24,2.21,0.06,2.49,0.09,2.51,0.15,2.370,0.247,1837,35,3.229339646,0.005508781,3.011005,-0.005930488,*,0.350317963,0.003148596,0.362102101,0.003686116,1524.925107,0.488639474,30.99177582,0.581506016,0.361867183,0.004667912,1431.728231,0.571302614,37.62781098,0.72553053,0.008214852,6.93E-05,0.016635723,0.000311069,10.45775943,-,16.51878452,-,2.009968767,0.037091869,2.08079,0.387831409,0.676163447,0.022053212,0.065589117,0.064193686,-0.3,0.007215738,0.000288863,6.77E-05,1.046732281,0.021651319,-0.120185802,0.017002424,0.346844215,0.022455294,ND70-2,ND70-2,0.288433199,0.333362993,119.5,3,1.940476318,0.181997977,2.775053683,0.212866151,0.608053203,0.102821263,1378.054048,42.81072194,1365.925099,59.47452511,1365.038939,60.37308795,0.573785025,0.141544079,1.314720089,0.346435866,10.45775943,-,16.51878452,-,2784.653959,2810.292343,0.65435162,0.236976531,62.42577555,7.250206648,30.90597417,8.328720316,347.4050464,13.76860365,0.76801932,0.289622686,0.678781492,0.269137062
ND70_02_01_06032022_150x150_sp3,2.53,0.24,2.21,0.06,2.49,0.09,2.51,0.15,2.370,0.247,1837,35,3.230187453,0.003182242,2.957131,-0.000672624,*,0.339925251,0.003100966,0.367404185,0.00331505,1524.487196,0.456765223,31.43865244,0.582137802,0.356513284,0.003690692,1431.298718,0.548349987,35.95245509,0.592762574,0.012902272,7.85E-05,0.014731976,0.000253226,9.700979515,-,14.42372113,-,2.039998859,0.017413556,3,0.170959166,0.428987903,0.020054047,0.229158981,0.032720275,-0.3,0.014833272,0.000377502,3.00E-05,1.007118319,0.009596813,-0.139046691,0.017023711,0.343137207,0.022060369,ND70-2,ND70-2,0.281350617,0.328214452,119.5,3,1.770447295,0.162358094,2.770677529,0.212200693,0.588929342,0.099477898,1377.966396,42.29599,1383.376938,59.89110186,1342.369726,58.47336736,0.899531242,0.222081673,1.162125989,0.30602454,9.700979515,-,14.42372113,-,2784.631777,2815.470025,0.65435162,0.236976531,62.42577555,7.250206648,30.90597417,8.328720316,347.4050464,13.76860365,0.76801932,0.289622686,0.678781492,0.269137062
ND70_03_01_30June2022_150x150_sp1,3.13,0.3,2.7,0.07,3.18,0.12,2.95,0.18,2.915,0.308,2689,54,0.938791418,0.00240945,0.8512006,-0.066109267,-,0.148630691,0.003147121,0.131158395,0.003682064,1523.738961,1.247180407,30.18338775,1.443667751,0.126676174,0.004361382,1433.038061,1.480772138,35.91065496,1.652291937,0.004167453,0.000137891,0.009133614,0.000486306,18.95468869,-,15.56149816,-,0.590618931,0.052466804,1.335309683,0.547032542,0.386475672,0.020909096,0.01512157,0.077388313,-0.291980781,0.03929035,0.000265413,9.34E-05,0.157096857,0.028677582,-0.074716194,0.01664984,0.139412263,0.019928887,ND70-3_01,ND70-3,0.12695089,0.141618387,30,3,3.267155244,0.418171942,3.267155244,0.418171942,1.058979231,0.216171588,1945.032712,157.4069552,1978.845348,224.3578207,1911.220075,220.8424018,1.206641035,0.339225283,2.979664194,0.892717751,18.95468869,-,15.56149816,-,2778.822079,2778.822079,0.649720341,0.229493466,62.09524723,7.225817041,30.33053528,8.300069177,349.9077908,13.59268007,0.746365645,0.288603089,0.662421397,0.268201411
ND70_03_01_30June2022_150x150_sp2,3.13,0.3,2.7,0.07,3.18,0.12,2.95,0.18,2.915,0.308,2689,54,0.944108094,0.002712098,0.8552208,-0.067950616,-,0.149054059,0.003104071,0.133101232,0.003761458,1523.453826,1.199309339,29.80330961,1.356531011,0.12876663,0.004359858,1433.038079,1.441674255,35.99368424,1.624931469,0.002695332,0.000243299,0.010467037,0.000231804,7.416060449,-,15.88177563,-,0.597447408,0.047090499,1.295894298,0.490604621,0.403615762,0.021176562,0.017517036,0.071910519,-0.3,0.032065626,0.000276904,8.40E-05,0.158175264,0.025991928,-0.082212654,0.016671452,0.1492094,0.019493079,ND70-3_01,ND70-3,0.127281421,0.141806731,26.6,3,3.723302042,0.522407723,3.723302042,0.522407723,1.203451632,0.256160254,2238.586368,202.6155521,2275.640861,289.3837786,2201.531875,283.6710711,0.884352758,0.268727788,3.869495225,1.167557444,7.416060449,-,15.88177563,-,2765.63251,2765.63251,0.649720341,0.229493466,62.09524723,7.225817041,30.33053528,8.300069177,349.9077908,13.59268007,0.746365645,0.288603089,0.662421397,0.268201411
ND70_03_01_30June2022_150x150_sp3,3.13,0.3,2.7,0.07,3.18,0.12,2.95,0.18,2.915,0.308,2689,54,1.028337132,0.002937548,0.9510617,-0.055245212,-,0.163724861,0.003170748,0.144597342,0.003709397,1523.376545,1.136415195,30.28538764,1.323378506,0.1393542,0.004383835,1432.869608,1.366555852,35.77597658,1.570144141,0.00205325,8.83E-05,0.010784627,0.000202979,3.197157819,*,16.19715155,-,0.584544103,0.057074228,0.645027337,0.594232772,0.405254318,0.02128853,-0.025969073,0.082218285,-0.267398508,0.044286128,0.000196341,0.000101225,0.213669764,0.030921303,-0.08598998,0.017006141,0.153796096,0.020193571,ND70-3_01,ND70-3,0.140806098,0.157009582,26.6,3,4.069991198,0.572448524,4.069991198,0.572448524,1.32663322,0.281973412,2436.056116,219.8929874,2481.037693,314.9599381,2391.074539,306.9396376,0.676093099,0.196585936,4.001170786,1.207074999,3.197157819,*,16.19715155,-,2755.770629,2755.770629,0.649720341,0.229493466,62.09524723,7.225817041,30.33053528,8.300069177,349.9077908,13.59268007,0.746365645,0.288603089,0.662421397,0.268201411
ND70_03_01_30June2022_150x150_sp4,3.13,0.3,2.7,0.07,3.18,0.12,2.95,0.18,2.915,0.308,2689,54,1.084763632,3.60E-05,1.010081,-0.048538343,-,0.162435497,0.003198369,0.151790003,0.003637166,1521.391153,1.035483888,30.90500397,1.35555565,0.140883127,0.004143368,1432.093975,1.232962032,32.85427638,1.393001013,0.008755541,0.000767725,0.0138805,0.000218378,3.313308517,*,4.923771913,-,0.542422033,0.071573426,0.790779191,0.741410964,-0.184099879,0.021198293,0.047478003,0.097716313,0.132151028,0.059497032,4.95E-05,0.000126002,0.247386371,0.037989576,-0.10730191,0.017314551,0.142908479,0.020617944,ND70-3_01,ND70-3,0.124916181,0.143899934,23.3,3,4.935850939,0.77778575,4.935850939,0.77778575,1.481610518,0.329183702,2952.473929,304.3109356,3062.502025,444.8014813,2842.445834,415.4181319,3.19634491,0.967607179,5.746743636,1.736109332,3.313308517,*,4.923771913,-,2713.799621,2713.799621,0.657007053,0.244249758,62.61529036,7.264205811,31.23591319,8.345126463,344.9724834,13.93815908,0.780434873,0.290206136,0.688161869,0.269673341
ND70_03_01_06032022_150x150_sp1,3.13,0.3,2.7,0.07,3.18,0.12,2.95,0.18,2.915,0.308,2689,54,2.693703384,0.00651863,2.748995,0.133411022,*,0.53161254,0.00309296,0.47361301,0.003511238,1522.730835,0.369480537,31.20570158,0.441082392,0.45258907,0.004442206,1432.136109,0.440771342,34.91020392,0.512827998,0.014457346,3.12E-05,0.018826227,0.000107618,11.58064893,-,15.19833539,-,1.670430633,0.016115591,3,0.147952673,0.573847591,0.020035389,-0.183134005,0.029343387,-0.199426158,0.030325112,0.000401771,2.59E-05,0.996895923,0.007957976,-0.258588187,0.016577664,0.458214851,0.02066451,ND70-3_02,ND70-3,0.477138263,0.538978056,112.3,3,2.630545707,0.235558829,2.487479487,0.192403614,1.005039749,0.172796054,1851.03784,57.5357055,1896.044213,82.90784517,1811.877776,80.03672497,1.110721122,0.283027769,1.62966011,0.439228929,11.58064893,-,15.19833539,-,2802.066639,2797.648598,0.649720341,0.229493466,62.09524723,7.225817041,30.33053528,8.300069177,349.9077908,13.59268007,0.746365645,0.288603089,0.662421397,0.268201411
ND70_03_01_06032022_150x150_sp2,3.13,0.3,2.7,0.07,3.18,0.12,2.95,0.18,2.915,0.308,2689,54,5.958702195,0.0058766,4.235761,0.036250061,*,0.555009593,0.003152241,0.514793163,0.003664696,1523.214533,0.346023055,30.87439606,0.39947182,0.497393935,0.004323617,1432.292101,0.410793439,35.81297243,0.487919319,0.013712477,0.000120383,0.018928527,7.61E-05,14.02768749,-,15.31874296,-,1.911960248,0.033906943,2.283482639,0.358035726,0.756901045,0.021122902,-0.105055138,0.05903801,-0.3,0.010041619,0.000352381,6.20E-05,1.027814304,0.019873998,-0.264891353,0.016658157,0.497741262,0.020876327,ND70-3_02,ND70-3,0.445742164,0.512862021,112.3,3,2.772861744,0.246375824,5.510892855,0.425844362,1.050870164,0.180386857,2090.204372,64.8488895,2064.040228,90.26130488,1994.278799,87.57144584,1.055098288,0.269114044,1.641009569,0.442511976,14.02768749,-,15.31874296,-,2711.814945,2793.396682,0.649720341,0.229493466,62.09524723,7.225817041,30.33053528,8.300069177,349.9077908,13.59268007,0.746365645,0.288603089,0.662421397,0.268201411
ND70_03_01_06032022_150x150_sp3,3.13,0.3,2.7,0.07,3.18,0.12,2.95,0.18,2.915,0.308,2689,54,6.003929552,0.004875134,6,-0.006000136,*,0.544000388,0.003138804,0.511951557,0.003500812,1523.03852,0.338860985,30.90611139,0.394472621,0.489624406,0.003990441,1432.341087,0.406989984,35.32925674,0.459661852,0.013527629,7.25E-05,0.017531834,3.52E-06,11.36899084,-,16.10346648,-,1.919336967,0.030311096,2.885837254,0.313864242,0.612670375,0.020840665,-0.009520558,0.050456116,-0.3,0.019568368,0.000406284,5.40E-05,0.992140267,0.017011154,-0.27646013,0.01672403,0.501587799,0.020370055,ND70-3_02,ND70-3,0.467781615,0.531831336,112.3,3,2.627831147,0.230212036,5.544120949,0.429140744,1.028429684,0.176607621,2069.213845,64.01617044,2049.467694,89.51913393,1960.086631,85.96218423,1.039263111,0.26499824,1.51756907,0.409040427,11.36899084,-,16.10346648,-,2710.606792,2797.729945,0.649720341,0.229493466,62.09524723,7.225817041,30.33053528,8.300069177,349.9077908,13.59268007,0.746365645,0.288603089,0.662421397,0.268201411
