,Density_F,Tau,epsilon_H2Om_5200,sigma_epsilon_H2Om_5200,epsilon_OH_4500,sigma_epsilon_OH_4500
AC4_EUH102_030920_256s_15x20_a,2727.608859553304,0.6851823312650657,0.91216917493509,0.29634626208745,0.7876916592051324,0.27535499392720003
AC4_EUH102_030920_256s_15x20_b,2727.459683305461,0.6851823312650657,0.91216917493509,0.29634626208745,0.7876916592051324,0.27535499392720003
AC4_EUH102_030920_256s_15x20_c,2726.7917873746187,0.6851823312650657,0.91216917493509,0.29634626208745,0.7876916592051324,0.27535499392720003
AC4_EUH33_030920_256s_20x20_a,2716.9773773492616,0.7024685960873437,0.9929915901270658,0.3000692739001533,0.8487557699876556,0.27883341751725094
AC4_EUH33_030920_256s_20x20_b,2716.852793984992,0.7024685960873437,0.9929915901270658,0.3000692739001533,0.8487557699876556,0.27883341751725094
AC4_EUH33_030920_256s_20x20_c,2716.914523476708,0.7024685960873437,0.9929915901270658,0.3000692739001533,0.8487557699876556,0.27883341751725094
AC4_OL21_012821_256s_20x20_a,2705.586721595659,0.6913363813372836,0.940942608361147,0.2976754341552947,0.8094309764743439,0.2765939713861607
AC4_OL21_012821_256s_20x20_b,2705.970359817412,0.6913363813372836,0.940942608361147,0.2976754341552947,0.8094309764743439,0.2765939713861607
AC4_OL21_012821_256s_20x20_c,2705.070916324051,0.6913363813372836,0.940942608361147,0.2976754341552947,0.8094309764743439,0.2765939713861607
AC4_OL21_012821_256s_20x25_a,2707.5617112814716,0.6913363813372836,0.940942608361147,0.2976754341552947,0.8094309764743439,0.2765939713861607
AC4_OL21_012821_256s_20x25_b,2707.629231954633,0.6913363813372836,0.940942608361147,0.2976754341552947,0.8094309764743439,0.2765939713861607
AC4_OL21_012821_256s_20x25_c,2707.5390259704977,0.6913363813372836,0.940942608361147,0.2976754341552947,0.8094309764743439,0.2765939713861607
AC4_OL24_020320_256s_25x25_CO2_a,2676.5949214833154,0.7062730290290385,1.0107793228700825,0.30088430491048834,0.8621950130517173,0.279598232871876
AC4_OL24_020320_256s_25x25_CO2_b,2677.1918574714737,0.7062730290290385,1.0107793228700825,0.30088430491048834,0.8621950130517173,0.279598232871876
AC4_OL24_020320_256s_25x25_CO2_c,2677.477021767363,0.7062730290290385,1.0107793228700825,0.30088430491048834,0.8621950130517173,0.279598232871876
AC4_OL24_020320_256s_25x30_H2O_a,2663.2556334838155,0.7062730290290385,1.0107793228700825,0.30088430491048834,0.8621950130517173,0.279598232871876
AC4_OL24_020320_256s_25x30_H2O_b,2661.943732122748,0.7062730290290385,1.0107793228700825,0.30088430491048834,0.8621950130517173,0.279598232871876
AC4_OL24_020320_256s_25x30_H2O_c,2661.8197269437346,0.7062730290290385,1.0107793228700825,0.30088430491048834,0.8621950130517173,0.279598232871876
AC4_OL27_020520_256s_20x25_a,2716.3954238625925,0.6938679718965307,0.9527791309054425,0.29822100444480565,0.8183738758198764,0.27710344569834855
AC4_OL27_020520_256s_20x25_b,2716.3954238625925,0.6938679718965307,0.9527791309054425,0.29822100444480565,0.8183738758198764,0.27710344569834855
AC4_OL27_020520_256s_20x25_c,2716.3954238625925,0.6938679718965307,0.9527791309054425,0.29822100444480565,0.8183738758198764,0.27710344569834855
AC4_OL29_012821_256s_10x12_a,2695.6796026788415,0.6990289055417284,0.9769092206697061,0.29933104648716363,0.8366049874620773,0.2781417027067517
AC4_OL29_012821_256s_12x22_a,2696.933323633945,0.6990289055417284,0.9769092206697061,0.29933104648716363,0.8366049874620773,0.2781417027067517
AC4_OL29_012821_256s_12x22_b,2696.4979221965527,0.6990289055417284,0.9769092206697061,0.29933104648716363,0.8366049874620773,0.2781417027067517
AC4_OL29_012821_256s_12x22_c,2697.1831863433754,0.6990289055417284,0.9769092206697061,0.29933104648716363,0.8366049874620773,0.2781417027067517
AC4_OL32_MI1_021420_256s_25x30_a,2735.104648628022,0.7034812689283518,0.9977263703500387,0.30028637184272267,0.8523330590773193,0.2790370232546918
AC4_OL32_MI1_021420_256s_25x30_b,2700.2303366827277,0.7034812689283518,0.9977263703500387,0.30028637184272267,0.8523330590773193,0.2790370232546918
AC4_OL32_MI1_021420_256s_25x30_c,2735.104648628022,0.7034812689283518,0.9977263703500387,0.30028637184272267,0.8523330590773193,0.2790370232546918
AC4_OL32_MI2_021220_20x35_256s_a,2691.624953396073,0.6972036732366166,0.9683752959206515,0.29893879603854756,0.8301573141891594,0.2777745649953799
AC4_OL32_MI2_021220_20x35_256s_b,2691.624953396073,0.6972036732366166,0.9683752959206515,0.29893879603854756,0.8301573141891594,0.2777745649953799
AC4_OL32_MI2_021220_20x35_256s_c,2691.624953396073,0.6972036732366166,0.9683752959206515,0.29893879603854756,0.8301573141891594,0.2777745649953799
AC4_OL36_MI1_021420_256s_20x25_H2O_a,2726.313150855597,0.6898007339043223,0.9337626457902082,0.29734415170297396,0.8040062681331643,0.27628486971821753
AC4_OL36_MI1_021420_256s_20x25_H2O_b,2717.502133282226,0.6898007339043223,0.9337626457902082,0.29734415170297396,0.8040062681331643,0.27628486971821753
AC4_OL36_MI1_021420_256s_20x25_H2O_c,2726.992819601257,0.6898007339043223,0.9337626457902082,0.29734415170297396,0.8040062681331643,0.27628486971821753
AC4_OL36_MI2_021420_256s_15x20_a,2740.507102199206,0.6851091006504647,0.9118267831460658,0.29633042022159184,0.787432970447981,0.2753402463647023
AC4_OL36_MI2_021420_256s_15x20_b,2740.5609996620456,0.6851091006504647,0.9118267831460658,0.29633042022159184,0.787432970447981,0.2753402463647023
AC4_OL36_MI2_021420_256s_15x20_c,2744.8467847548354,0.6851091006504647,0.9118267831460658,0.29633042022159184,0.787432970447981,0.2753402463647023
AC4_OL3_101220_256s_30x30_a,2695.910730689609,0.6975462540696942,0.9699770421979688,0.29901244567106045,0.8313674885187843,0.277843478296948
AC4_OL3_101220_256s_30x30_b,2695.705269692942,0.6975462540696942,0.9699770421979688,0.29901244567106045,0.8313674885187843,0.277843478296948
AC4_OL3_101220_256s_30x30_c,2695.8172958948094,0.6975462540696942,0.9699770421979688,0.29901244567106045,0.8313674885187843,0.277843478296948
AC4_OL40_021420_256s_15x25_a,2674.0007389272228,0.7118794765365587,1.036992425172023,0.30208258211451255,0.8819999122138773,0.28072484084847626
AC4_OL40_021420_256s_15x25_b,2673.387185621852,0.7118794765365587,1.036992425172023,0.30208258211451255,0.8819999122138773,0.28072484084847626
AC4_OL40_021420_256s_15x25_c,2673.3565511040747,0.7118794765365587,1.036992425172023,0.30208258211451255,0.8819999122138773,0.28072484084847626
AC4_OL43_101220_256s_30x30_a,2670.8549460901872,0.7215539966101394,1.0822259146626116,0.3041425883147333,0.9161753672132429,0.28266762008911844
AC4_OL43_101220_256s_30x30_b,2670.8549460901872,0.7215539966101394,1.0822259146626116,0.3041425883147333,0.9161753672132429,0.28266762008911844
AC4_OL43_101220_256s_30x30_c,2670.8549460901872,0.7215539966101394,1.0822259146626116,0.3041425883147333,0.9161753672132429,0.28266762008911844
AC4_OL44_021420_256s_25x25_a,2660.8941471699977,0.705833594562667,1.0087247347183972,0.3007902429077199,0.8606427011317019,0.27950990544609516
AC4_OL44_021420_256s_25x25_b,2660.2060941171103,0.705833594562667,1.0087247347183972,0.3007902429077199,0.8606427011317019,0.27950990544609516
AC4_OL44_021420_256s_25x25_c,2660.3344467603765,0.705833594562667,1.0087247347183972,0.3007902429077199,0.8606427011317019,0.27950990544609516
AC4_OL45_012821_256s_20x25_a,2713.2211360570027,0.6856865282111032,0.914526561873803,0.2964553180317604,0.7894727460093427,0.275456529008911
AC4_OL45_012821_256s_20x25_b,2714.7650494600666,0.6856865282111032,0.914526561873803,0.2964553180317604,0.7894727460093427,0.275456529008911
AC4_OL45_012821_256s_20x25_c,2714.0631211778355,0.6856865282111032,0.914526561873803,0.2964553180317604,0.7894727460093427,0.275456529008911
AC4_OL46_021420_256s_30x30_a,2794.8773024964325,0.6778855688447992,0.8780529579297864,0.29476481447689884,0.7619156854267679,0.2738850377865432
AC4_OL46_021420_256s_30x30_b,2794.8773024964325,0.6778855688447992,0.8780529579297864,0.29476481447689884,0.7619156854267679,0.2738850377865432
AC4_OL46_021420_256s_30x30_c,2765.1007342357016,0.6778855688447992,0.8780529579297864,0.29476481447689884,0.7619156854267679,0.2738850377865432
AC4_OL48_021720_256s_25x25_CO2_a,2656.727095947565,0.703711192505722,0.9988013844738934,0.3003356478216501,0.8531452691726984,0.27908324860343986
AC4_OL48_021720_256s_25x25_CO2_b,2656.453061106214,0.703711192505722,0.9988013844738934,0.3003356478216501,0.8531452691726984,0.27908324860343986
AC4_OL48_021720_256s_25x25_CO2_c,2656.310544377944,0.703711192505722,0.9988013844738934,0.3003356478216501,0.8531452691726984,0.27908324860343986
AC4_OL48_021720_256s_25x25_H2O_a,2651.2860573356083,0.703711192505722,0.9988013844738934,0.3003356478216501,0.8531452691726984,0.27908324860343986
AC4_OL48_021720_256s_25x25_H2O_b,2651.0674049349545,0.703711192505722,0.9988013844738934,0.3003356478216501,0.8531452691726984,0.27908324860343986
AC4_OL48_021720_256s_25x25_H2O_c,2651.119943206234,0.703711192505722,0.9988013844738934,0.3003356478216501,0.8531452691726984,0.27908324860343986
AC4_OL49_021920_30x30_CO2_a,2693.0652670083764,0.7060112727805725,1.0095554742012047,0.3008282778319748,0.8612703533453736,0.27954561962796404
AC4_OL49_021920_30x30_CO2_b,2693.0652670083764,0.7060112727805725,1.0095554742012047,0.3008282778319748,0.8612703533453736,0.27954561962796404
AC4_OL49_021920_30x30_CO2_c,2693.0652670083764,0.7060112727805725,1.0095554742012047,0.3008282778319748,0.8612703533453736,0.27954561962796404
AC4_OL49_021920_30x30_H2O_a,2666.7772732502335,0.7060112727805725,1.0095554742012047,0.3008282778319748,0.8612703533453736,0.27954561962796404
AC4_OL49_021920_30x30_H2O_b,2666.7772732502335,0.7060112727805725,1.0095554742012047,0.3008282778319748,0.8612703533453736,0.27954561962796404
AC4_OL49_021920_30x30_H2O_c,2666.7772732502335,0.7060112727805725,1.0095554742012047,0.3008282778319748,0.8612703533453736,0.27954561962796404
AC4_OL50_021920_20x20_a,2685.942940405242,0.6976145444881983,0.9702963359618164,0.2990271255442201,0.8316087259245393,0.27785721529020313
AC4_OL50_021920_20x20_b,2686.1962565753333,0.6976145444881983,0.9702963359618164,0.2990271255442201,0.8316087259245393,0.27785721529020313
AC4_OL50_021920_256s_20x20_c,2686.0725919513475,0.6976145444881983,0.9702963359618164,0.2990271255442201,0.8316087259245393,0.27785721529020313
AC4_OL51_021920_15x20_a,2660.5823611166434,0.7097658752080569,1.027110222979776,0.3016312280400638,0.8745335690217155,0.28030018113127875
AC4_OL51_021920_15x20_b,2661.5388010649945,0.7097658752080569,1.027110222979776,0.3016312280400638,0.8745335690217155,0.28030018113127875
AC4_OL51_021920_15x20_c,2661.1643752595414,0.7097658752080569,1.027110222979776,0.3016312280400638,0.8745335690217155,0.28030018113127875
AC4_OL53_101220_256s_30x30_a,2702.6410645817596,0.6829239461909308,0.90161003228619,0.295857433924944,0.7797138642462791,0.2749001423015677
AC4_OL53_101220_256s_30x30_b,2702.8827478675653,0.6829239461909308,0.90161003228619,0.295857433924944,0.7797138642462791,0.2749001423015677
AC4_OL53_101220_256s_30x30_c,2703.233623752786,0.6829239461909308,0.90161003228619,0.295857433924944,0.7797138642462791,0.2749001423015677
AC4_RH1_OL2_022120_256s_30x30_a,2697.3341726993976,0.6997354078527072,0.9802124920067521,0.2994827802333137,0.8391007224186611,0.2782837963798791
AC4_RH1_OL2_022120_256s_30x30_b,2697.3341726993976,0.6997354078527072,0.9802124920067521,0.2994827802333137,0.8391007224186611,0.2782837963798791
AC4_RH1_OL2_022120_256s_30x30_c,2697.3341726993976,0.6997354078527072,0.9802124920067521,0.2994827802333137,0.8391007224186611,0.2782837963798791
AC4_RH1_OL3_MI1_022120_256s_20x25_a,2752.895115254661,0.671193877277604,0.8467657666400012,0.2933092121873846,0.7382771377484363,0.2725360849519709
