,PH_3550_M,PH_3550_STD,H2OT_3550_MAX,BL_H2OT_3550_MAX,H2OT_3550_SAT?,PH_1635_BP,PH_1635_STD,H2Om_1635_MAX,BL_H2Om_1635_MAX,PH_1515_BP,PH_1515_STD,P_1515_BP,P_1515_STD,STD_1515_BP,STD_1515_STD,MAX_1515_ABS,BL_MAX_1515_ABS,PH_1430_BP,PH_1430_STD,P_1430_BP,P_1430_STD,STD_1430_BP,STD_1430_STD,MAX_1430_ABS,BL_MAX_1430_ABS,PH_5200_M,PH_4500_M,PH_5200_STD,PH_4500_STD,S2N_P5200,S2N_P4500,ERR_5200,ERR_4500,AVG_BL_BP,AVG_BL_STD,PCA1_BP,PCA1_STD,PCA2_BP,PCA2_STD,PCA3_BP,PCA3_STD,PCA4_BP,PCA4_STD,m_BP,m_STD,b_BP,b_STD,PH_1635_PCA1_BP,PH_1635_PCA1_STD,PH_1635_PCA2_BP,PH_1635_PCA2_STD
AC4_EUH102_030920_256s_15x20_a,1.210389030871488,2.300011687451896e-05,1.524134,0.314272884021196,-,0.2478097856996094,0.0036763470144788022,0.4542057,0.5691288723752642,0.019753229423150918,0.004015342263221661,1516.9525843407482,6.6587769996159825,39.99999999999999,4.572833641323746,0.5953196999999999,0.5735957730009603,0.02262346038952523,0.004176783986813346,1430.9539595502554,4.449734039004395,23.56232421882328,3.7599437860109584,0.6091729,0.5934381520961469,0.00797913089112106,0.006797582677553497,0.000252925373498982,0.00026626590173211624,3.62852631333965,4.4142969383001915,*,-,0.5233642832547972,0.14423722626447058,-1.0618489790903611,1.6292185795522458,0.5080793244164139,0.061492673588572626,-0.187672706863506,0.21084219871981655,0.20190753792091246,0.11609807136580133,-0.0003666555036885867,0.00027659059996281874,0.8524500223185921,0.08553991886628919,0.04592104794200804,0.01911397362154784,-0.12899905480057636,0.01662615327612284
AC4_EUH102_030920_256s_15x20_b,1.21273293197986,1.3630560747040852e-05,1.520704,0.3223493516124223,-,0.24863440855023586,0.0036146773798318116,0.46154459999999997,0.5787768549022776,0.023317388740464524,0.003990455276865024,1512.7708754462726,5.925812058407772,39.99999999999999,4.585319511246487,0.6080211,0.5805270838542251,0.02383076577259689,0.004098508690437225,1430.5990616895615,4.300719336886133,22.500000000000004,3.36534484013054,0.6173705,0.5991435144344007,0.008111405214908397,0.005816038526636064,0.00019516842294187457,0.00025235278439983064,3.3002873558163386,4.742229617965847,*,-,0.4568990591860082,0.14046221612082224,-1.7155729338575354,1.5750449385965632,0.4946163126012594,0.060601477717914534,-0.26017255782468923,0.20324191004035067,0.275560874183607,0.11344110122699864,-0.0004800052660532857,0.0002678679873882921,0.8913793505042451,0.08254992439696257,0.048835120230272124,0.019061412170594372,-0.11795771881238892,0.01691633936088548
AC4_EUH102_030920_256s_15x20_c,1.2232303197006564,1.5902176308917872e-05,1.5151569999999999,0.31905552878627674,-,0.248206320862284,0.003647635415126179,0.45516530000000005,0.5760433689654311,0.021895047897782904,0.003888790497736747,1520.1583483089682,6.2502866303666424,39.99999999999999,4.02405402352484,0.6046705,0.5799653767710079,0.02090283403172061,0.004085513156417347,1433.1350559524828,4.457303577198383,23.186718415105478,3.8516343226257512,0.6171463,0.5992675612936917,0.006642612396272787,0.009994357058068531,0.0008779865072036332,0.0002535786368475437,2.7932533475082986,4.524856219792343,*,-,0.5291361760889228,0.14503014412266993,-0.8867649703507527,1.6339500008719634,0.5107496390090814,0.06176145954021407,-0.16826198064139428,0.2102341076891579,0.19619154605725114,0.11746072031489352,-0.00034282288374298976,0.00027775536333579973,0.8474756936704717,0.08566229026651874,0.04806091526826422,0.019330004308129874,-0.12770835175516304,0.017440880533239698
AC4_EUH33_030920_256s_20x20_a,0.6832148392622659,4.590779879579021e-05,0.8172756,0.13922861289457292,-,0.06559066865838986,0.0035985486224971485,0.29246609999999995,0.3628448371703639,0.0042725593787958345,0.002481004101915214,1534.9999999999998,9.10273736768176,22.500000000000004,4.954738957426689,0.3618618,0.3615132401614074,0.01064845958049594,0.003948070875036904,1415.0000000000002,4.28725916652692,24.21214796693271,4.676806653703704,0.3945367,0.3852981813032329,0.0030422672596942518,0.007865346845602436,3.1050031380630796e-05,0.0006145006281982154,1.7375573686878685,5.133869994622923,*,-,1.2502674486014402,0.12155022336798685,5.257992002436727,1.3080119458413324,-0.37136972304625293,0.05683968877089431,0.5777384192314657,0.1616863665045142,-0.07509515487925401,0.099594093514346,0.0006727577221751497,0.00022590328021846983,0.3997473470648736,0.06805807061559717,0.03635037459520575,0.018532783264506237,-0.03557566607326499,0.013057666900855724
AC4_EUH33_030920_256s_20x20_b,0.6854429271112813,4.387963418367225e-05,0.8181513000000001,0.1389223358723756,-,0.06619266300313406,0.003595424465100025,0.2916764,0.3626183951277764,0.0036382885393367943,0.0023279489872325703,1534.9999999999998,9.404976065797728,22.500000000000004,4.992232393478617,0.3598938,0.3614146872170182,0.010227147160754657,0.003925058197291618,1415.0000000000002,4.683248391563804,23.77924704886957,4.821721222826984,0.39423769999999997,0.3851263117337654,0.0030108211897734685,0.007177692866378977,3.013852764002308e-05,0.0002013069769877961,1.2899415819373974,5.637653596705687,*,-,1.274493750094147,0.11944149932752054,5.41404660570529,1.2781469755477226,-0.3673631354982965,0.0567948035172704,0.5908025176332281,0.15807196442315366,-0.09259086424678216,0.09830396579571647,0.0007091980662969963,0.0002209853752263959,0.39348798915589295,0.06654120848042322,0.03918150554904273,0.01858677731739684,-0.03450431420766485,0.013269610755188028
AC4_EUH33_030920_256s_20x20_c,0.6843389116676514,4.3153793159839916e-05,0.8196414000000001,0.1387897787996287,-,0.06561619620103462,0.0035669971280943773,0.29334970000000005,0.3632334691607958,0.0032330906679212306,0.0022290585880657184,1534.9999999999998,9.454781127409523,22.500000000000004,5.008612398860787,0.361639,0.3623203197720716,0.0100296558152221,0.0038207182504531546,1415.0000000000002,4.6934662255794946,22.87983025058926,4.842974590745062,0.3952251,0.3861591146098803,0.002960758990174972,0.0072299357313374045,0.0002048368559268897,0.00021080822294782938,1.5234307247798797,5.378954910594731,*,-,1.2753562141477608,0.1155258508374246,5.54219539424731,1.225640223161347,-0.35981967377688723,0.055700408637056886,0.6102836196130198,0.15039147019780516,-0.10201265627555113,0.09516947763146666,0.0007233933821380103,0.00021284643328421443,0.3853333073719568,0.06367333400068277,0.04069388832629266,0.0185505748385396,-0.03770066660073474,0.012915759507423664
AC4_OL21_012821_256s_20x20_a,0.8617046256637261,0.0012079118941454015,0.9665232,0.11149306609770797,-,0.17795517136715916,0.0036648975026386055,0.19378370000000003,0.22225840658983487,0.021990254669250097,0.004929440844720389,1516.9891456968344,5.001812869943621,23.718126153726555,3.828376109177348,0.2535987,0.23182393477418906,0.023185032767437247,0.005536306802939626,1419.756197108504,4.4005480077033265,39.99999999999999,4.690846723014,0.27866440000000003,0.25579301013853645,0.004583455624539282,0.005544830668590929,0.00014305714015604222,0.000184204670772091,1.2815013280476686,3.638058780593711,*,*,0.4434349649226906,0.14016966027612585,-1.0863425697692821,1.59777879166728,-0.30735259447421137,0.06232154437110204,-0.14210293109885372,0.2102558546483812,0.11282627129687645,0.11234656671746464,-0.0002639677174029189,0.0002707583791394388,0.4841874490641423,0.08468874205458972,-0.0013712378177864585,0.019153506704550183,0.03508724367510059,0.01581340793558297
AC4_OL21_012821_256s_20x20_b,0.8574703590057887,0.0008279036060053029,0.9566054,0.10949771299925136,-,0.18280313431495102,0.0036805234423604094,0.1932838,0.21906114727644407,0.0331034099533632,0.004993966023931649,1518.2628220893375,3.7837348060498246,28.38706772784852,4.1660170404326164,0.2572491,0.22333807335083528,0.030812293322777982,0.005921129387428711,1423.7144918213046,5.034589766376807,39.99999999999999,4.047797992779874,0.2780809,0.25045094120560085,0.00500184525208587,0.004294610104217305,0.0006230602241030365,0.00018193112211771755,1.3875845643098783,3.7205102523165294,*,*,0.3320142236204434,0.1385933620399547,-1.4509920239186782,1.5997573046923934,-0.32325781151211685,0.062060703962773724,-0.04617518597902676,0.21551394070179566,0.20147067278937056,0.10990966256092773,-0.00038618654561411916,0.0002697207636566749,0.4838503328389841,0.08543879596061424,-0.007685506888934567,0.019365849041544418,0.0729286078211514,0.01666824820756621
AC4_OL21_012821_256s_20x20_c,0.8673996025323035,0.0019688940075462307,0.9680783000000002,0.11170663379635408,-,0.18000837857526536,0.003633605294926094,0.193986,0.2196177971795933,0.0250067888413935,0.004906597396790751,1518.4847208971921,4.6259641754265886,25.714126096190853,4.05698707595448,0.25368779999999996,0.22744971970388586,0.026148630441377742,0.005679286710679672,1419.862504331165,4.1243869465051315,39.99999999999999,4.420990175133401,0.2767501,0.2523041512760995,0.005755041243072238,0.005295621235480671,0.00039697862974275337,0.0002518781918957658,2.5451358517562808,2.579896859764041,*,*,0.4847699038423492,0.14503293839717288,-0.5349848350790019,1.6540547437076818,-0.32890481212753264,0.061707609820651016,-0.04028396426901699,0.21741613628262235,0.09500552463074637,0.11545992628249425,-0.00018317068024826058,0.00028026457772320555,0.4536156661239251,0.08752198786258879,-0.002670565772185408,0.01918692581530394,0.04664272446128102,0.016125255825578808
AC4_OL21_012821_256s_20x25_a,0.8399196839588959,0.0016599444617004426,0.94686,0.1235036785125522,-,0.17054894135463824,0.003608453139210194,0.19416989999999998,0.24311447306327105,9.682182665030389e-25,0.0012940263535142847,1534.99999686272,9.850073047574677,39.529233593463424,5.083633591937163,0.249986,0.24699811494669235,0.026107773748939408,0.003907576279100671,1415.0000000000002,1.075774367833107,39.63334438700007,3.5793911744423177,0.2784934,0.2501283635950762,0.0015739778332677216,0.006008540550283124,8.031403465743418e-05,0.00019171626783854757,0.9615760056121384,4.149120776595627,*,-,1.286537177132458,0.09945702238257348,6.997389969652227,1.049717407000858,0.13251666458545364,0.05494691735176177,0.5329153493866164,0.13163826996064013,-0.4929317995466258,0.08429661027512156,0.001305592953200033,0.00018118569435830089,0.08643548346386075,0.05520608299014156,0.02908790765140175,0.018827082372192324,0.00835922730149472,0.013259229160734977
