,Density,Density_Sat,Tau,Na/Na+Ca,epsilon_H2OT_3550,sigma_epsilon_H2OT_3550,epsilon_H2Om_1635,sigma_epsilon_H2Om_1635,epsilon_CO2,sigma_epsilon_CO2,epsilon_H2Om_5200,sigma_epsilon_H2Om_5200,epsilon_OH_4500,sigma_epsilon_OH_4500
CI_ETNA_4_1_1_100x100_256s_sp3,2811.7902049860763,2802.9786862317683,0.6314958806880953,0.36751002687630613,60.79459137660154,7.130168993425445,28.066136394296123,8.186852006804177,310.15489065039355,17.589450862109054,0.6611566720418485,0.28456552103951677,0.5980430914400716,0.2645152861139445
CI_ETNA_4_1_1_50x50_256s_sp5,2799.9552552959935,2800.080156957742,0.6314958806880953,0.36751002687630613,60.79459137660154,7.130168993425445,28.066136394296123,8.186852006804177,310.15489065039355,17.589450862109054,0.6611566720418485,0.28456552103951677,0.5980430914400716,0.2645152861139445
CI_IPGP_B6_1_50x50_256s_sp1,2868.786961056111,2868.786961056111,0.63185281195995,0.2605215976021509,60.82006509425078,7.132037197684049,28.110485295425377,8.189076756922246,348.1577477672487,15.136993237602498,0.6628255141974813,0.2846449932302885,0.5993039590103866,0.26458754633298315
CI_IPGP_B6_1_50x50_256s_sp2,2878.9101293945464,2878.9101293945464,0.63185281195995,0.2605215976021509,60.82006509425078,7.132037197684049,28.110485295425377,8.189076756922246,348.1577477672487,15.136993237602498,0.6628255141974813,0.2846449932302885,0.5993039590103866,0.26458754633298315
CI_IPGP_B6_2_50x50_256s_sp1,2882.71194513665,2882.71194513665,0.63185281195995,0.2605215976021509,60.82006509425078,7.132037197684049,28.110485295425377,8.189076756922246,348.1577477672487,15.136993237602498,0.6628255141974813,0.2846449932302885,0.5993039590103866,0.26458754633298315
CI_LMT_BA17_3_50x50_256s_sp1,2845.5694234661496,2845.5694234661496,0.6391811398837112,0.2981738104680784,61.34307826538836,7.170439497734115,29.02103395327981,8.234688664764905,334.78348220054306,16.027425313971722,0.6970893165982082,0.2862731560037107,0.6251914386242872,0.26607056456567935
CI_LMT_BA17_4_50x50_256s_sp1,2843.7522122046657,2843.7522122046657,0.6391811398837112,0.2981738104680784,61.34307826538836,7.170439497734115,29.02103395327981,8.234688664764905,334.78348220054306,16.027425313971722,0.6970893165982082,0.2862731560037107,0.6251914386242872,0.26607056456567935
CI_LMT_BA5_2_50x50x_256s_sp1,2845.217270200381,2845.217270200381,0.6374311137659717,0.2963651424797597,61.21818119214948,7.161261098669972,28.80359227363674,8.22380771178586,335.42593065593417,15.985401186555041,0.688907020483986,0.28588495313560114,0.6190094328627982,0.2657165174807317
CI_Ref_10_1_100x100_256s_sp2,2869.940603638154,2869.940603638154,0.6442808938000361,0.2724058601550271,61.70704102681859,7.197214005786114,29.65468110065177,8.266356796549907,343.93639472187556,15.421709376719205,0.7209333588270948,0.28740226683700376,0.643206431528291,0.2671019321850261
CI_Ref_10_1_100x100_256s_sp3,2870.0201978608447,2870.0201978608447,0.6442808938000361,0.2724058601550271,61.70704102681859,7.197214005786114,29.65468110065177,8.266356796549907,343.93639472187556,15.421709376719205,0.7209333588270948,0.28740226683700376,0.643206431528291,0.2671019321850261
CI_Ref_10_1_100x100_256s_sp5,2872.266142182941,2872.266142182941,0.6442808938000361,0.2724058601550271,61.70704102681859,7.197214005786114,29.65468110065177,8.266356796549907,343.93639472187556,15.421709376719205,0.7209333588270948,0.28740226683700376,0.643206431528291,0.2671019321850261
CI_Ref_11_1_100x100_256s_sp2,2857.4569907102687,2857.4569907102687,0.648242401127647,0.27586653034220554,61.98976861917709,7.218040802304533,30.146900501552338,8.290915872851567,342.70714632983777,15.503960512160832,0.7394554972595451,0.28827717142761583,0.6572005433162378,0.2679027337852705
CI_Ref_11_1_100x100_256s_sp3,2853.564590782305,2853.564590782305,0.648242401127647,0.27586653034220554,61.98976861917709,7.218040802304533,30.146900501552338,8.290915872851567,342.70714632983777,15.503960512160832,0.7394554972595451,0.28827717142761583,0.6572005433162378,0.2679027337852705
CI_Ref_11_1_100x100_256s_sp4,2860.199198141937,2860.199198141937,0.648242401127647,0.27586653034220554,61.98976861917709,7.218040802304533,30.146900501552338,8.290915872851567,342.70714632983777,15.503960512160832,0.7394554972595451,0.28827717142761583,0.6572005433162378,0.2679027337852705
CI_Ref_14_1_100x100_256s_sp2,2857.2397804549923,2857.2397804549923,0.648242401127647,0.27586653034220554,61.98976861917709,7.218040802304533,30.146900501552338,8.290915872851567,342.70714632983777,15.503960512160832,0.7394554972595451,0.28827717142761583,0.6572005433162378,0.2679027337852705
CI_Ref_14_1_100x100_256s_sp3,2859.3169006144976,2859.3169006144976,0.6458976412079723,0.2724058601550271,61.82242617300064,7.205710747262252,29.855562829430966,8.276383996021417,343.93639472187556,15.421709376719205,0.7284925066018282,0.28775955820633287,0.648917627315269,0.26742878941129905
CI_Ref_15_2_100x100_256s_sp1,2866.700769234065,2866.700769234065,0.6436380272983652,0.2707078819779838,61.66116048610659,7.193836592423377,29.574804594528445,8.262368035815856,344.53952556964566,15.381246102114265,0.7179276184982708,0.2872601086483406,0.6409354914680758,0.26697194921337963
CI_Ref_15_2_100x100_256s_sp2,2863.2856313265047,2863.2856313265047,0.6436380272983652,0.2707078819779838,61.66116048610659,7.193836592423377,29.574804594528445,8.262368035815856,344.53952556964566,15.381246102114265,0.7179276184982708,0.2872601086483406,0.6409354914680758,0.26697194921337963
CI_Ref_15_2_100x100_256s_sp5,2867.0138860505035,2867.0138860505035,0.6436380272983652,0.2707078819779838,61.66116048610659,7.193836592423377,29.574804594528445,8.262368035815856,344.53952556964566,15.381246102114265,0.7179276184982708,0.2872601086483406,0.6409354914680758,0.26697194921337963
CI_Ref_18_1_100x100_256s_sp1,2860.2127640358326,2860.2127640358326,0.6468723199201323,0.27412527345285204,61.891987716833064,7.21083510714528,29.976667179895273,8.282426170637525,343.32565000559765,15.46261165619089,0.733049644211536,0.2879748026295939,0.6523607013089054,0.26762581402196073
CI_Ref_18_1_100x100_256s_sp2,2858.094554493086,2858.094554493086,0.6468723199201323,0.27412527345285204,61.891987716833064,7.21083510714528,29.976667179895273,8.282426170637525,343.32565000559765,15.46261165619089,0.733049644211536,0.2879748026295939,0.6523607013089054,0.26762581402196073
CI_Ref_18_1_100x100_256s_sp3,2860.581850835219,2860.581850835219,0.6468723199201323,0.27412527345285204,61.891987716833064,7.21083510714528,29.976667179895273,8.282426170637525,343.32565000559765,15.46261165619089,0.733049644211536,0.2879748026295939,0.6523607013089054,0.26762581402196073
CI_Ref_18_1_100x100_256s_sp4,2859.854784480752,2859.854784480752,0.6468723199201323,0.27412527345285204,61.891987716833064,7.21083510714528,29.976667179895273,8.282426170637525,343.32565000559765,15.46261165619089,0.733049644211536,0.2879748026295939,0.6523607013089054,0.26762581402196073
CI_Ref_18_1_100x100_256s_sp5,2861.830111090911,2861.830111090911,0.6468723199201323,0.27412527345285204,61.891987716833064,7.21083510714528,29.976667179895273,8.282426170637525,343.32565000559765,15.46261165619089,0.733049644211536,0.2879748026295939,0.6523607013089054,0.26762581402196073
CI_Ref_23_1_100x100_256s_sp1,2865.122159969083,2865.122159969083,0.641439614154127,0.2690309405723133,61.50426261772512,7.1822917646444395,29.30165058740424,8.248720535210511,345.1351840447293,15.341214436210715,0.7076488762868167,0.28677358746893555,0.6331695486709652,0.26652738168903134
CI_Ref_23_1_100x100_256s_sp3,2865.8035964733735,2865.8035964733735,0.641439614154127,0.2690309405723133,61.50426261772512,7.1822917646444395,29.30165058740424,8.248720535210511,345.1351840447293,15.341214436210715,0.7076488762868167,0.28677358746893555,0.6331695486709652,0.26652738168903134
CI_Ref_23_1_100x100_256s_sp4,2864.847695084704,2864.847695084704,0.641439614154127,0.2690309405723133,61.50426261772512,7.1822917646444395,29.30165058740424,8.248720535210511,345.1351840447293,15.341214436210715,0.7076488762868167,0.28677358746893555,0.6331695486709652,0.26652738168903134
CI_Ref_23_1_100x100_256s_sp5,2864.7756252339955,2864.7756252339955,0.641439614154127,0.2690309405723133,61.50426261772512,7.1822917646444395,29.30165058740424,8.248720535210511,345.1351840447293,15.341214436210715,0.7076488762868167,0.28677358746893555,0.6331695486709652,0.26652738168903134
CI_Ref_4_100x100_256s_sp3,2856.4593569869685,2856.4593569869685,0.648242401127647,0.27586653034220554,61.98976861917709,7.218040802304533,30.146900501552338,8.290915872851567,342.70714632983777,15.503960512160832,0.7394554972595451,0.28827717142761583,0.6572005433162378,0.2679027337852705
CI_Ref_4_100x100_256s_sp5,2854.034095100882,2854.034095100882,0.648242401127647,0.27586653034220554,61.98976861917709,7.218040802304533,30.146900501552338,8.290915872851567,342.70714632983777,15.503960512160832,0.7394554972595451,0.28827717142761583,0.6572005433162378,0.2679027337852705
CI_Ref_6_1_100x100_256s_sp1,2858.3414513875246,2858.3414513875246,0.648242401127647,0.27586653034220554,61.98976861917709,7.218040802304533,30.146900501552338,8.290915872851567,342.70714632983777,15.503960512160832,0.7394554972595451,0.28827717142761583,0.6572005433162378,0.2679027337852705
CI_Ref_6_1_100x100_256s_sp2,2859.479090440575,2859.479090440575,0.648242401127647,0.27586653034220554,61.98976861917709,7.218040802304533,30.146900501552338,8.290915872851567,342.70714632983777,15.503960512160832,0.7394554972595451,0.28827717142761583,0.6572005433162378,0.2679027337852705
CI_Ref_6_2_100x100_256s_sp2,2857.0505783835392,2857.0505783835392,0.648242401127647,0.27586653034220554,61.98976861917709,7.218040802304533,30.146900501552338,8.290915872851567,342.70714632983777,15.503960512160832,0.7394554972595451,0.28827717142761583,0.6572005433162378,0.2679027337852705
CI_Ref_8_1_100x100_256s_sp1,2874.6074811079434,2874.6074811079434,0.6424131387139527,0.2707078819779838,61.57374179121623,7.187403225659782,29.422611533824693,8.254765426852591,344.53952556964566,15.381246102114265,0.7122006176249696,0.2869891070029455,0.6366085455960895,0.2667242620626755
