,H2OT_MEAN,H2OT_STD,H2OT_3550_M,H2OT_3550_STD,H2OT_3550_SAT,H2Om_1635_BP,H2Om_1635_STD,CO2_MEAN,CO2_STD,CO2_1515_BP,CO2_1515_STD,CO2_1430_BP,CO2_1430_STD,H2Om_5200_M,H2Om_5200_STD,OH_4500_M,OH_4500_STD,PH_5200_S2N,PH_4500_S2N,ERR_5200,ERR_4500
CI_ETNA_4_1_1_100x100_256s_sp3,3.0061167247139022,0.2892631724588625,2.7130851075093387,0.2141832500415264,*,1.257332089605819,0.23221335343947708,2506.0368357561883,92.5600484891465,2557.391097828501,132.54941231237774,2470.4386625087536,130.0326953209385,1.5695437563567436,0.45854820010924996,1.7582347440324098,0.5329190355499113,9.153056821461805,12.797654147380237,-,-
CI_ETNA_4_1_1_50x50_256s_sp5,3.106111335046208,0.2997117199976302,3.1102905348972016,0.24524607704527943,*,1.2948280688493525,0.23890178792470765,2622.085499043606,96.17657139200792,2673.1391875793292,138.12481201601554,2570.797886607337,134.09922540079162,1.5871917562563431,0.46563907264371834,1.8111447135677954,0.5503884144918647,10.717609774552256,15.99610280463378,-,-
CI_IPGP_B6_1_50x50_256s_sp1,1.4023688233157294,0.13930111298997364,1.4023688233157294,0.13930111298997364,-,0.32431863667084204,0.06644599187280624,2298.2077849299167,129.63045108083293,2435.7240131539,190.14158493641935,2160.6915567059336,176.24526395777931,0.8564146859228692,0.27195750275680763,1.108820932158564,0.35760798179660014,6.1973269105417685,5.652272509721634,-,-
CI_IPGP_B6_1_50x50_256s_sp2,1.0823192841172073,0.10752952668385479,1.0823192841172073,0.10752952668385479,-,0.043632528868200265,0.020327792045264765,1635.640289617481,94.97315380340348,1520.1389405731811,122.65643035877937,1751.1416386617805,145.03447819433015,0.5788399971752413,0.17358802893443928,0.8205284824868543,0.2562628840789116,8.8201629785148,9.665502922694733,-,-
CI_IPGP_B6_2_50x50_256s_sp1,0.9632209134528145,0.13813084671956372,0.9632209134528145,0.13813084671956372,-,0.06115392241740099,0.0341630579022758,1459.9999505774827,148.9334680514854,1534.205155409967,214.0066854617363,1385.7947457449982,207.18554534776973,0.5574450463282111,0.1800321624697737,0.675068661320021,0.22518371991195268,4.286823621342716,6.608363490649132,-,-
CI_LMT_BA17_3_50x50_256s_sp1,0.20200310448322042,0.022478683216074352,0.20200310448322042,0.022478683216074352,-,0.8537207690917772,0.1700937141881009,17005.965338218914,1102.381065713308,17395.225683794226,1592.175427346165,16616.704992643605,1525.1076895510992,0.27504469430715034,0.08495959965539333,0.34829735592362576,0.10698731184130023,5.388611840359594,3.0040497147195033,-,*
CI_LMT_BA17_4_50x50_256s_sp1,0.2604186740463729,0.0314731812973597,0.2604186740463729,0.0314731812973597,-,0.9254039926205315,0.18942712093492647,18422.14020634179,1326.1993455645377,18825.11488921324,1916.1408728920699,18019.165523470347,1834.0182583430426,0.7576558249221539,0.2348411433564629,0.3782267167609623,0.13114729233227207,6.837401243997131,3.506907946260877,-,*
CI_LMT_BA5_2_50x50x_256s_sp1,0.2692322692320853,0.02393647740451314,0.2692322692320853,0.02393647740451314,-,6.668839025593411e-38,0.0025504414532247443,3529.086512427562,159.77204037713358,3491.7190514279328,222.122917106951,3566.453973427191,229.71684579278934,0.3734259712850711,0.11585681545653574,0.23143500033213382,0.06845094707450783,2.832653053671239,1.80630857552403,*,*
CI_Ref_10_1_100x100_256s_sp2,0.8518894814699841,0.10416074085904119,0.8518894814699841,0.10416074085904119,-,0.47109107731381555,0.09818808242226587,8210.92770474406,608.0947839327812,7696.732782956884,804.1582989673475,8725.122626531236,912.3850586166817,1.3131939529989551,0.45722595310218817,2.0395048457688962,0.6109596544345497,2.7481690077940164,3.194594399640552,*,*
CI_Ref_10_1_100x100_256s_sp3,0.849387961782563,0.10627633036181973,0.849387961782563,0.10627633036181973,-,0.535533399941766,0.11226059563723648,8407.566324258394,641.6696419322344,8156.6737519129265,879.3855941325157,8658.458896603861,934.6874848536112,0.7174712144389706,0.2066931811499539,0.6430656905047832,0.19335738062916585,5.197652722883716,6.946905774324879,-,-
CI_Ref_10_1_100x100_256s_sp5,0.7789099497753381,0.09745411851524739,0.7789099497753381,0.09745411851524739,-,0.4014755966660124,0.08575425224383687,6834.5782232019565,523.1207431559627,6426.55012164095,693.0705686445671,7242.606324762963,783.7566169155342,0.4636177622512153,0.136150364271992,0.4305173107563136,0.12917430785170322,6.907209118789109,5.681637094256863,-,-
CI_Ref_11_1_100x100_256s_sp2,1.0586987976526523,0.15702092846807875,1.0586987976526523,0.15702092846807875,-,0.5163640869233195,0.11744840324609028,6255.799053964369,594.7613233168632,6288.069396198288,842.2813116988008,6223.528711730451,839.9561410082391,0.6919325490643269,0.20907766645211473,0.1318167866715197,0.04063263605817547,8.30892453029976,4.079891874790737,-,-
CI_Ref_11_1_100x100_256s_sp3,1.1832973291990247,0.16463142676004439,1.1832973291990247,0.16463142676004439,-,0.5218456502673002,0.11444760704856738,6909.922596097493,605.1958102981612,6932.187350543032,855.9421612563256,6887.657841651953,855.8100792778978,0.7685875179349406,0.22797813326073915,1.0376747735994634,0.31851631746737047,4.964144076179572,4.149642517036695,-,-
CI_Ref_11_1_100x100_256s_sp4,0.9713065865235866,0.1314452183216918,0.9713065865235866,0.1314452183216918,-,0.4193833693201218,0.09208270768983809,5689.089355214204,482.8624794829027,5690.6639127995,679.0961150652251,5687.514797628909,686.624470051006,0.1314450214237423,0.05779733538515161,0.8489463911402093,0.25487228922644767,3.2223090317640377,19.674122916663364,*,-
CI_Ref_14_1_100x100_256s_sp2,1.0656348040797994,0.1437977169566926,1.0656348040797994,0.1437977169566926,-,0.27705950079649877,0.06506645315742608,2626.0001154406227,230.61601561124712,2681.901819129538,328.1155153496662,2570.0984117517073,324.1530428863053,1.115738745940335,0.3370213315826866,1.324702205580194,0.39710405263306897,4.077804313484024,4.434663964347729,-,-
CI_Ref_14_1_100x100_256s_sp3,1.1141863033733954,0.1549134885181481,1.1141863033733954,0.1549134885181481,-,0.3411306849954527,0.07860821476916859,3119.531056516984,280.13448456007376,3174.6802109518535,398.3342559036861,3064.381902082114,393.9938303230262,1.296946913458844,0.394664545169235,2.507226187391799,0.7740839658260762,4.086661497287298,4.009645124309713,-,-
CI_Ref_15_2_100x100_256s_sp1,0.991573326967091,0.25911095157228,0.991573326967091,0.25911095157228,-,0.23959356444945307,0.09667766262418376,1719.0475652097216,330.0495339328682,1871.0668890326303,492.75684346333355,1567.028241386813,439.22826937398486,0.6677822558238249,0.25938754206431125,0.6607005848736358,0.2629162001162823,7.8805442599002795,7.2880098920379455,-,-
CI_Ref_15_2_100x100_256s_sp2,1.099765685388089,0.3207719378973043,1.099765685388089,0.3207719378973043,-,0.17968646705141397,0.08792044340434574,2265.3603749805316,479.4002003249833,2300.1699415173002,678.6863552777257,2230.5508084437624,677.2614262206087,1.6687915616689823,0.7511566610472953,2.484629512432595,1.4816965999638798,8.341950316014975,8.639847644541815,-,-
CI_Ref_15_2_100x100_256s_sp5,0.9816782305582555,0.2727737315900724,0.9816782305582555,0.2727737315900724,-,0.20825697071706664,0.12517982041284811,1994.1803987929075,383.16357633321525,2116.4814353352413,560.6890143905487,1871.8793622505739,522.3840867174208,0.8947522834904712,0.3465888072037262,1.3957750205425836,0.5589379441362246,7.290773822845366,6.360704100814568,-,-
CI_Ref_18_1_100x100_256s_sp1,1.0225132232157081,0.12760262910793202,1.0225132232157081,0.12760262910793202,-,0.24608749441265998,0.05632471749632427,2518.849419072885,201.15443127825318,2561.9381718980676,284.7070972271152,2475.760666247703,284.24336347577207,0.5614667195405859,0.15838735679141216,0.7211746277177015,0.22781484748167874,13.27463151122356,7.379988097357689,-,-
