,PH_3550_M,PH_3550_STD,H2OT_3550_MAX,BL_H2OT_3550_MAX,H2OT_3550_SAT?,PH_1635_BP,PH_1635_STD,H2Om_1635_MAX,BL_H2Om_1635_MAX,PH_1515_BP,PH_1515_STD,P_1515_BP,P_1515_STD,STD_1515_BP,STD_1515_STD,MAX_1515_ABS,BL_MAX_1515_ABS,PH_1430_BP,PH_1430_STD,P_1430_BP,P_1430_STD,STD_1430_BP,STD_1430_STD,MAX_1430_ABS,BL_MAX_1430_ABS,PH_5200_M,PH_4500_M,PH_5200_STD,PH_4500_STD,S2N_P5200,S2N_P4500,ERR_5200,ERR_4500,AVG_BL_BP,AVG_BL_STD,PCA1_BP,PCA1_STD,PCA2_BP,PCA2_STD,PCA3_BP,PCA3_STD,PCA4_BP,PCA4_STD,m_BP,m_STD,b_BP,b_STD,PH_1635_PCA1_BP,PH_1635_PCA1_STD,PH_1635_PCA2_BP,PH_1635_PCA2_STD
CI_ETNA_4_1_1_100x100_256s_sp3,2.591961306,0.001950723,2.602272,0.000491033,*,,,0.2835275,0.489998925,0.611,,1520.135095,0.374949644,32.02751487,0.429356566,1.051649907,0.52132728,0.547,,1430.381076,0.407579075,33.52605812,0.513376143,0.960272594,0.549856057,0.016307146,0.016523783,3.46E-05,5.65E-05,9.153056821,12.79765415,-,-,1.567761203,0.154044874,3.480672911,1.826380443,0.952691865,0.065356814,-0.094801514,0.248979421,-0.315252371,0.115902933,0.000445298,0.000306234,0.746693746,0.098162389,-0.19891455,0.019987603,0.2509488,0.021205481
CI_ETNA_4_1_1_50x50_256s_sp5,2.99775076,0.002349109,2.966496,0.150528556,*,,,0.4119169,0.612382311,0.624,,1519.695577,0.344896956,31.89020487,0.404386646,1.19667613,0.639059898,0.555,,1430.016111,0.38015715,33.36340666,0.47616053,1.103943854,0.669801891,0.016636555,0.017171777,0.000405613,0.000405002,10.71760977,15.9961028,-,-,1.7588905,0.144237656,4.800967741,1.69497484,1.016271445,0.06338367,0.130471664,0.231978702,-0.419783978,0.110304881,0.000739555,0.00028446,0.815895454,0.091110512,-0.194143871,0.019885375,0.272722839,0.020642393
CI_IPGP_B6_1_50x50_256s_sp1,0.624775862,0.000916061,0.7036598,0.087988681,-,,,0.1826343,0.260528031,0.261,,1529.529255,0.946738344,39.44175993,1.298638146,0.515678182,0.259360337,0.219,,1428.617646,0.936321344,35.32388036,1.094632527,0.476001475,0.277624192,0.004158134,0.004867699,0.0004011,0.000390931,6.197326911,5.65227251,-,-,0.346627444,0.149780192,-2.095132296,1.78432512,0.00719946,0.066535876,-0.256746039,0.245303626,0.351099677,0.113807069,-0.000540871,0.000298963,0.574369171,0.096454201,0.078298971,0.023138486,-0.040502091,0.039810617
CI_IPGP_B6_1_50x50_256s_sp2,0.483890616,0.000544011,0.5584502,0.081335762,-,,,0.1611235,0.248325961,,,1527.740982,1.083283382,32.61983515,1.681747218,0.397988341,0.227079972,,,1431.122491,1.228012042,39.55933915,1.007660658,0.380578229,0.223842708,0.002820348,0.003614812,4.31E-05,0.000119637,8.820162979,9.665502923,-,-,6.32E-33,0.076576445,-3.502622209,0.998995665,0.313166124,0.058772485,-0.442453863,0.154463783,0.623983882,0.068041072,-0.00076422,0.000159343,0.536756508,0.057530559,0.139338937,0.022026321,0.030884953,0.030690644
CI_IPGP_B6_2_50x50_256s_sp1,0.243728527,1.30E-05,0.2832681,0.044834757,-,,,0.08273882,0.109298048,0.112,,1524.917977,1.885603867,33.83642179,2.299791556,0.195742566,0.100855651,0.088,,1428.910864,2.587329986,39.10910269,1.914727041,0.173830346,0.101055545,0.001537216,0.001683173,7.75E-06,3.21E-05,4.286823621,6.608363491,-,-,0.315784919,0.143707475,2.000335852,1.698096455,0.078133113,0.063674466,0.248691283,0.232029234,0.016862273,0.111320551,0.000259959,0.000284675,0.060503637,0.091405068,0.005726804,0.020626301,0.025001201,0.023444875
CI_LMT_BA17_3_50x50_256s_sp1,0.072419163,4.90E-06,0.1183575,0.046616896,-,,,0.107662,0.193889383,1.522,,1531.285485,0.114955156,40,0.021847827,1.643703708,0.260751572,1.470,,1423.941835,0.1000863,38.21778729,0.187518534,1.554533991,0.298495808,0.001120525,0.001272603,0.000109975,6.33E-05,5.38861184,3.004049715,-,*,0.667224067,0.064414623,3.915642311,1.025770504,0.288787325,0.054683648,0.149529499,0.179726151,-0.75,0.013853702,0.000350161,0.000157474,0.173374314,0.062520812,-0.085232903,0.016999888,0.5,0.001776661
CI_LMT_BA17_4_50x50_256s_sp1,0.083215143,0.00130185,0.1177454,0.035779211,-,,,0.1061099,0.166469091,1.449,,1531.26148,0.12090773,40,0.02624074,1.555659938,0.22536125,1.398,,1423.835946,0.105197089,38.22609038,0.196071905,1.478775594,0.266151183,0.002751218,0.001231771,0.000246523,0.0001773,6.837401244,3.506907946,-,*,0.680475074,0.066005993,3.923024444,1.037205079,0.20940475,0.054423174,0.302376571,0.179599642,-0.75,0.016239148,0.000444341,0.000160329,0.139082914,0.063003367,-0.077750359,0.017230925,0.5,0.001896657
CI_LMT_BA5_2_50x50x_256s_sp1,0.1561828,2.83E-05,-0.01331406,-0.168738313,-,,,-0.0740285,0.0259734,0.512,,1527.980192,0.392716445,33.58968711,0.525917656,0.473539907,0.016671098,0.464,,1426.694183,0.425609384,38.78036823,0.564103267,0.441903061,0.022485022,0.002437759,0.001357538,0.000282234,2.24E-05,2.832653054,1.806308576,*,*,0.259750495,0.083964495,-5.793371608,0.977141993,-0.073042504,0.048190914,-0.968907391,0.143810515,0.75,0.064780658,-0.001118139,0.000164179,0.587166466,0.054015799,0.130022105,0.020712204,0.22849748,0.028182522
CI_Ref_10_1_100x100_256s_sp2,0.267978436,0.000463946,0.200834,-0.060974723,-,,,0.001523921,0.078817401,0.615,,1527.512822,0.239308786,33.88959249,0.282797464,0.696488339,0.129345175,0.709,,1422.731779,0.277705555,40,0.226855775,0.795097086,0.204781328,0.004826206,0.006687395,0.000872663,8.82E-05,2.748169008,3.1945944,*,*,0.707286962,0.060761159,1.439674973,0.932762427,0.262477816,0.053546933,0.355509839,0.161047375,-0.75,0.027340215,2.60E-05,0.000142232,0.262179204,0.05616315,-0.100730458,0.017295911,0.5,0.006174843
CI_Ref_10_1_100x100_256s_sp3,0.258848977,2.02E-06,0.1932156,-0.058307667,-,,,-0.009736999,0.059060929,0.628,,1527.29275,0.313744119,35.04632702,0.301396361,0.68519569,0.106069171,0.681,,1423.588858,0.304071675,38.88714063,0.453228695,0.728895882,0.165672926,0.002554496,0.002042732,5.59E-05,1.63E-05,5.197652723,6.946905774,-,-,0.759233829,0.07189395,2.39552748,1.080410088,0.112800506,0.055683957,0.289920658,0.182696172,-0.75,0.028271398,0.000257842,0.000168727,0.166784647,0.06471977,-0.14453039,0.017368257,0.5,0.006999195
