,PH_3550_M,PH_3550_STD,H2Ot_3550_MAX,BL_H2Ot_3550_MAX,H2Ot_3550_SAT,PH_1635_BP,PH_1635_STD,PH_1515_BP,PH_1515_STD,P_1515_BP,P_1515_STD,STD_1515_BP,STD_1515_STD,PH_1430_BP,PH_1430_STD,P_1430_BP,P_1430_STD,STD_1430_BP,STD_1430_STD,PH_5200_M,PH_5200_STD,PH_4500_M,PH_4500_STD,STN_P5200,ERR_5200,STN_P4500,ERR_4500,AVG_BL_BP,AVG_BL_STD,PC1_BP,PC1_STD,PC2_BP,PC2_STD,PC3_BP,PC3_STD,PC4_BP,PC4_STD,m_BP,m_STD,b_BP,b_STD,PH_1635_PC1_BP,PH_1635_PC1_STD,PH_1635_PC2_BP,PH_1635_PC2_STD
FR01MI02a,0.8714325349516366,0.00010118121005721144,1.023283,0.1711963242127402,-,0.1364601911924263,0.00312219959386041,0.2647315957818986,0.004178494234367525,1511.9133562989532,0.574609985820627,31.992825428638003,0.6569955297782363,0.2593262461153393,0.004711633480868468,1418.7452824097873,0.6018987838858318,32.70293409634485,0.7626640234513139,0.00736185392174168,0.0005102544300004436,0.006114199160222371,0.0010882199303594215,4.084346410486817,-,4.8673704794846335,-,0.4815011551789191,0.05773371546127567,-0.9643313480856488,0.5988983972436521,0.5077626664742404,0.02164985695323505,-0.20418128879503314,0.08251980176008228,-0.2572115030468577,0.04693593065046503,-0.0002985346154441568,0.00010209488836709908,0.5989993943607506,0.03109757778783446,-0.02501999496377951,0.014639325151373403,0.09955592159464147,0.018059895749804586
FR01MI02b,0.8735642788532939,0.0003664121199586824,1.048256,0.19632744187786752,-,0.13127690676805978,0.0031447685952111773,0.26136806636363846,0.0041416205198197675,1511.4741497877317,0.5875815763406179,32.05126922921301,0.6615223692774237,0.2560434772476637,0.0047333692418859334,1418.9116857971364,0.605127058303685,32.194283441447396,0.7780898160361764,0.007986355278402272,0.0011071586866344017,0.006695431351200064,0.0004909823664893399,2.7073337292219417,*,3.900085847796856,*,0.3214652136510964,0.06508858781412293,-1.7745812205664302,0.6722266774774616,0.2691146406835765,0.021674264994064982,-0.3820875624932759,0.08843737231892038,0.014669004052873712,0.05937568140104755,-0.0003486438214006938,0.00011411719557943029,0.5710587162070584,0.03431411503367717,-0.030405766377725924,0.014893235984905927,0.09335796567240057,0.01765289413555464
FR01MI02c,0.8721361917506815,0.0002496518581618567,1.022703,0.17778167125159755,-,0.13096421423944085,0.0031573587332835943,0.26026809976832227,0.00411595658909147,1511.9423196773544,0.5809672231061447,31.67742966579043,0.6525556104497275,0.2583260995945756,0.004771356618189025,1418.990220985896,0.5978471388773529,32.68220088472113,0.782832277003721,0.0060564290548045215,0.0008678091763790329,0.005031077747366384,0.00016779148591086716,3.937784105177054,*,3.7108451731100422,*,0.37813911985525495,0.0683796229206967,-1.4718256433959414,0.7073412040148358,0.3704071706491863,0.02170417913886231,-0.3385203644686209,0.09255688189478986,-0.07238349685606199,0.06132547067738629,-0.0003239547039293212,0.00012004752523027674,0.5710289268402502,0.03610205605100891,-0.014835966861935092,0.014846401818792397,0.0923208310291027,0.01756183069981457
FR01MI03a,1.7467215234199645,0.0007385548388777592,1.960218,0.23319706486224798,-,0.35375481586568125,0.003138177677907196,0.09751596534454639,0.003687928938184198,1519.4924168729942,1.3816055649114947,34.605902481204446,1.9179165209407552,0.09916795897354314,0.003842843134995505,1424.3628885198757,1.1472311845609762,27.034244504186958,1.2489740037615553,0.018790428175529884,0.0016060749398874195,0.01101541058372237,0.00044156241186070987,4.045705410326512,-,4.271594822795355,-,1.1866861945800198,0.051082129936494816,2.6239566101144285,0.5254949820646203,0.2714261600366106,0.020245317465833704,0.3613832360173558,0.07071876331623199,0.12951524111344973,0.04429046451846037,0.0001560303525813177,8.94455675498408e-05,0.7649278665218884,0.026956267414164983,-0.05460680176095565,0.014503466773051572,-0.24382725258392987,0.0222632278905703
FR01MI03b,1.717346399740794,0.00031966497394184947,1.962409,0.25153534090232116,-,0.3511632112698241,0.0030951325448751385,0.09598742066231107,0.003685780079529915,1519.351300684098,1.4573911558628245,35.69153598534516,1.8445798509294933,0.09640314158176529,0.0038079060082657963,1423.919667203722,1.1530686233549046,26.913371654692373,1.2588570491609503,0.019660808385246118,0.002793135365183714,0.01484762404417328,0.0013119827416920196,2.5807739577161715,*,5.94823143720311,-,1.1452166336991256,0.056894702593081097,2.122916561735598,0.5878837624131172,0.21688495810367273,0.02052344106875545,0.3165661261069217,0.0785883047127934,0.17473340462314088,0.04756085812589177,8.879512019595577e-05,0.00010005914047562889,0.8054159508273504,0.03021677725892706,-0.07047290124367049,0.014775588415462577,-0.2554147865199467,0.02219844848933605
FR01MI03c,1.676498076096433,0.0007137988665630037,1.978115,0.2568947617145356,-,0.34305478671468936,0.003135298283212533,0.08462690000513932,0.0036728342115458046,1519.7447061992038,1.5996540981190601,34.50084195713912,2.1029058321349052,0.08956934118803615,0.0037656190778491178,1426.3430853696577,1.2588080880542725,26.934826656903553,1.3713861996301184,0.0211555384538458,0.0009196889446131276,0.010756646411842796,0.0006155272790949695,4.20786087987577,-,3.405895540449863,*,1.0705274854578586,0.0694876316124184,1.270403586554988,0.7188522764283835,0.252279340993045,0.02084877183711889,0.15278249425011983,0.09438302822895323,0.12727086863369796,0.056822058465654586,-5.2514794224032196e-05,0.00012214405280374011,0.858471161456754,0.03678928124169031,-0.07533941897016558,0.015011701136410212,-0.24710522609843885,0.022213700090979036
FR01MI04a,2.173010258218216,0.0022674107506497595,2.505369,0.2051864868586807,*,0.5967714302787174,0.003126421652645958,0.23001348117493645,0.0036871743492310114,1521.649234910207,0.9529069775525713,32.10509629953338,0.9710021742130214,0.19728191219562666,0.004937663994159542,1433.9853917345504,1.253487922115476,35.947813077582516,1.2863067756247983,0.021964957819914487,0.0014302823111772339,0.023606444580956298,0.000568837542580775,14.175292181749,-,26.93834058966362,-,0.6026143799623224,0.009394057244872871,-2.9999999999999996,0.057422708400941526,0.2091906283356139,0.020086259731539782,-0.03384906560632051,0.02362802476263727,0.17717654231975688,0.02915078243189059,-0.0005127362973175255,1.1691586648173572e-05,0.8749290846792498,0.003903026574891082,-0.29926964797531025,0.014351007838642809,0.32050711182856867,0.021345129738277468
FR01MI04b,2.1589796902259057,0.0024557005058600707,2.352485,0.21237039075429356,*,0.5963726213766274,0.00308758725904611,0.23140643527473645,0.0036756009658034244,1521.3925113801579,0.9864515141492509,32.72052501959185,1.008590704128181,0.19700785656056255,0.005048259650458522,1433.455047399945,1.2893813545278583,35.69091122078536,1.2958268532368844,0.021184652910563012,0.0006630768298455731,0.02499450808667322,0.0011589349837701041,12.730457257147497,-,28.993198750014354,-,0.5941851781075775,0.009162377198363617,-2.9999999999999996,0.05847825175526019,0.1440802533383269,0.01984152909300947,-0.02939686566334209,0.023770642690330464,0.2050824606753651,0.028694321985265107,-0.00047981785561129503,1.1722475973944898e-05,0.8536396968276216,0.0039922169777818406,-0.30659618422326634,0.01438209524676864,0.31347024342364677,0.022057200036577202
FR01MI04c,2.1435479363258447,0.0027086883106656676,2.303084,0.21148163091010005,*,0.5969295134119856,0.003072322802269157,0.2324127822540566,0.0035647953512092604,1521.6934524852113,0.9557869815059509,32.489464956371236,0.990234124989177,0.1967927094537261,0.004887520099869335,1433.6584802263692,1.255858348317916,35.49129427013621,1.2744245003199082,0.02017501326374119,0.0013648036060198844,0.023884544764686554,0.0006968077602529983,9.844120323198204,-,23.269712681552676,-,0.5909307054858794,0.00924970418023822,-2.9999999999999996,0.0566010171089666,0.10345083815162821,0.020009543080286945,-0.027434729319743494,0.023454248464929054,0.19461460245851844,0.02829138045236999,-0.0004995178904845917,1.1447817108048975e-05,0.860973771176981,0.003840659309657877,-0.31101298258036014,0.014618771107330985,0.3101344637495158,0.02195749588027051
FR02MI01a,1.8318998806351503,1.0262548798602471e-05,1.962534,0.09736936773003821,-,0.5851935514024639,0.0030428952807569024,0.05798893804512164,0.003466765232583661,1523.0584149337797,1.929927295912721,27.669717370958736,2.0258788290553955,0.04395973987973554,0.004250919708793135,1428.6108396292343,3.1288166791107503,36.44215616831621,2.7924845209771103,0.018472052897657732,0.0016689917497638537,0.012905579491199727,0.0012380697625731525,6.502408294177286,-,6.263153834248446,-,1.4157171544230924,0.02160079781028024,-2.392450083786512,0.19656202014064342,-0.4589521845062372,0.019202968058967172,-0.5999999999999999,0.013405311793523554,-0.17318948377166413,0.03529696947114911,-0.00026298618988644055,3.3897206696902e-05,1.0040169410954451,0.008921099009026417,-0.03292474646759645,0.01413919309974356,0.10591241524472438,0.01646998613016742
