,H2Ot_MEAN,H2Ot_STD,H2Ot_3550_M,H2Ot_3550_STD,H2Ot_3550_SAT,H2Om_1635_BP,H2Om_1635_STD,CO2_MEAN,CO2_STD,CO2_1515_BP,CO2_1515_STD,CO2_1430_BP,CO2_1430_STD,H2Om_5200_M,H2Om_5200_STD,OH_4500_M,OH_4500_STD,PH_5200_STN,ERR_5200,PH_4500_STN,ERR_4500,Density,Density_Sat,Tau,Eta,epsilon_H2Ot_3550,sigma_epsilon_H2Ot_3550,epsilon_H2Om_1635,sigma_epsilon_H2Om_1635,epsilon_CO2,sigma_epsilon_CO2,epsilon_H2Om_5200,sigma_epsilon_H2Om_5200,epsilon_OH_4500,sigma_epsilon_OH_4500
FR01MI02a,2.046626155353283,0.20552213944071496,2.046626155353283,0.20552213944071496,-,0.7010027741423511,0.13998589230018857,2671.037987662021,147.96466604742312,2698.5881799150493,210.6766534523484,2643.487795408992,207.82087788338515,1.6176047624492935,0.5133396407180298,1.480277035573898,0.5553655040502182,4.084346410486817,-,4.8673704794846335,-,2837.051577695987,2837.051577695987,0.6286751286307809,0.23881795669642417,60.622546694088335,7.095288959132048,27.715656182025704,8.169261207805443,341.2074006493236,13.150252217303647,0.6479682185808793,0.2839110734581724,0.5880787759025865,0.2639732569800991
FR01MI02b,2.051750913992692,0.2061105015725222,2.051750913992692,0.2061105015725222,-,0.674414835628921,0.13478582734599803,2637.3148081305794,146.30695985927764,2664.454940383447,208.22635979112272,2610.1746758777117,205.58377635697576,1.7549262346721528,0.6046853310697007,1.6210895312362368,0.532174246263529,2.7073337292219417,*,3.900085847796856,*,2836.8881445689817,2836.8881445689817,0.6286751286307809,0.23881795669642417,60.622546694088335,7.095288959132048,27.715656182025704,8.169261207805443,341.2074006493236,13.150252217303647,0.6479682185808793,0.2839110734581724,0.5880787759025865,0.2639732569800991
FR01MI02c,2.0483176977119184,0.20578069640656496,2.0483176977119184,0.20578069640656496,-,0.6727824612842018,0.13468818686757478,2643.2409494256444,146.56837229872957,2653.1391981707043,207.4731197315395,2633.342700680585,207.08465810401862,1.3307917932327393,0.46202366146332813,1.2180712926030566,0.39006817683727874,3.937784105177054,*,3.7108451731100422,*,2836.9976289053466,2836.9976289053466,0.6286751286307809,0.23881795669642417,60.622546694088335,7.095288959132048,27.715656182025704,8.169261207805443,341.2074006493236,13.150252217303647,0.6479682185808793,0.2839110734581724,0.5880787759025865,0.2639732569800991
FR01MI03a,3.118473011757665,0.27768115692167583,3.118473011757665,0.27768115692167583,-,1.2663921063616603,0.22036162636338483,923.0858235587525,49.996178115859145,915.3326128943665,69.93304297765388,930.8390342231385,71.4691598149612,2.691895608254729,0.7133588958960151,1.789759247945709,0.4782213016567679,4.045705410326512,-,4.271594822795355,-,2741.5172058789835,2741.5172058789835,0.6570777601832162,0.39632697611490414,62.65040048361738,7.2443151863772455,31.244698316580774,8.345564503845475,291.1047619226178,16.419651840752326,0.7807655313112374,0.2901977785146949,0.688411701831932,0.26971699502927743
FR01MI03b,3.0642892898236584,0.2724784826039246,3.0642892898236584,0.2724784826039246,-,1.2564013285283588,0.2186144412089281,902.4237598824711,49.099189730547494,900.4737867090485,69.05816136778164,904.3737330558939,69.81326576866773,2.8149873607013984,0.8198379121819774,2.4110400751675525,0.6766761162241506,2.5807739577161715,*,5.94823143720311,-,2743.0734378319175,2743.0734378319175,0.6570777601832162,0.39632697611490414,62.65040048361738,7.2443151863772455,31.244698316580774,8.345564503845475,291.1047619226178,16.419651840752326,0.7807655313112374,0.2901977785146949,0.688411701831932,0.26971699502927743
FR01MI03c,2.989041604960983,0.26618739072329584,2.989041604960983,0.26618739072329584,-,1.2264219084738657,0.21360353325339895,816.4368124897151,45.52844121410653,793.2721856433335,62.80904370051473,839.6014393360965,65.92707992147268,3.026608194604252,0.7617712811536497,1.7453454619665292,0.47278441124922066,4.20786087987577,-,3.405895540449863,*,2745.240474592509,2745.240474592509,0.6570777601832162,0.39632697611490414,62.65040048361738,7.2443151863772455,31.244698316580774,8.345564503845475,291.1047619226178,16.419651840752326,0.7807655313112374,0.2901977785146949,0.688411701831932,0.26971699502927743
FR01MI04a,6.267517591327784,0.5386917783156396,4.331510702014133,0.39868921945053803,*,2.3067351285614897,0.390529277625592,2209.1311947533277,114.56434428150993,2426.1229443301368,174.93336496837813,2080.8787869051544,155.36726543831406,3.320138251008392,0.8051438360930051,4.086663484827814,1.0273411322525714,14.175292181749,-,26.93834058966362,-,2718.5509490410163,2665.024805484924,0.6692406596449787,0.3895985202372945,63.518791207190354,7.308509753345423,32.755945068476784,8.420511272830513,293.2450418587705,16.28812111841101,0.8376335141440845,0.29286031817725716,0.7313774139537181,0.27217167507219203
FR01MI04b,6.499682928519029,0.5721041495059371,4.313058535691026,0.39703475232402347,*,2.310290452492805,0.3914960735604194,2214.2724626960526,115.00237849071672,2446.2121930523363,176.2243333814984,2082.582622533347,155.47193248021037,3.2092705265471686,0.7535326230050026,4.3365271468615685,1.103413045316757,12.730457257147497,-,28.993198750014354,-,2719.3409675968696,2659.1453428221953,0.6692406596449787,0.3895985202372945,63.518791207190354,7.308509753345423,32.755945068476784,8.420511272830513,293.2450418587705,16.28812111841101,0.8376335141440845,0.29286031817725716,0.7313774139537181,0.27217167507219203
FR01MI04c,6.311459699500822,0.5432514809266388,4.274574217910004,0.39264105780640046,*,2.308313567560269,0.39153261815049667,2217.6527425822223,114.87244505513873,2452.4579546049467,176.2697345770783,2076.589080115566,154.73252145393633,3.0508557232383033,0.7425831040121958,4.1365407795405575,1.04155970284822,9.844120323198204,-,23.269712681552676,-,2720.210435865832,2663.9079202545354,0.6692406596449787,0.3895985202372945,63.518791207190354,7.308509753345423,32.755945068476784,8.420511272830513,293.2450418587705,16.28812111841101,0.8376335141440845,0.29286031817725716,0.7313774139537181,0.27217167507219203
FR02MI01a,3.5607628975211174,0.3252174220084611,3.5607628975211174,0.3252174220084611,-,2.109353642932699,0.33987042235370213,669.5646810354592,52.44882321393716,761.7037434146063,75.6587698961461,577.425618656312,72.65856290836857,2.5296924250882316,0.5911488536818976,2.048647313202771,0.5190054891328595,6.502408294177286,-,6.263153834248446,-,2658.4919246384816,2658.4919246384816,0.6866945380860127,0.5754508473708502,64.76494029986466,7.401008082437057,34.92459878340096,8.527506710820557,234.1265733591972,19.743040159457212,0.9192396198815969,0.2966513811940247,0.7930336266736941,0.2756891797580799
FR02MI01b,3.744901899856387,0.3418737885276836,3.744901899856387,0.3418737885276836,-,2.144848120765202,0.3456563448350429,793.6635036714238,58.7034267688329,844.6616963211973,82.14998391070863,742.6653110216503,83.8793741099993,3.1277913717183616,0.6936809929102887,2.3366290623743193,0.5409157218649928,5.957154990677746,-,5.582091312118359,-,2653.753273477506,2653.753273477506,0.6866945380860127,0.5754508473708502,64.76494029986466,7.401008082437057,34.92459878340096,8.527506710820557,234.1265733591972,19.743040159457212,0.9192396198815969,0.2966513811940247,0.7930336266736941,0.2756891797580799
