,Density,Density_Sat,Tau,Eta,epsilon_H2OT_3550,sigma_epsilon_H2OT_3550,epsilon_H2Om_1635,sigma_epsilon_H2Om_1635,epsilon_CO2,sigma_epsilon_CO2,epsilon_H2Om_5200,sigma_epsilon_H2Om_5200,epsilon_OH_4500,sigma_epsilon_OH_4500
AC4_EUH102_030920_256s_15x20_a,2727.5815393120233,2727.5815393120233,0.6851024924273551,0.40990387919179133,64.62042508537775,7.4129710140307,34.72678652882982,8.517772325509107,289.5687263642586,17.505002467031037,0.9117958862138869,0.29632899064550805,0.7874096267544655,0.275338915561382
AC4_EUH102_030920_256s_15x20_b,2727.432339511792,2727.432339511792,0.6851024924273551,0.40990387919179133,64.62042508537775,7.4129710140307,34.72678652882982,8.517772325509107,289.5687263642586,17.505002467031037,0.9117958862138869,0.29632899064550805,0.7874096267544655,0.275338915561382
AC4_EUH102_030920_256s_15x20_c,2726.76433812728,2726.76433812728,0.6851024924273551,0.40990387919179133,64.62042508537775,7.4129710140307,34.72678652882982,8.517772325509107,289.5687263642586,17.505002467031037,0.9117958862138869,0.29632899064550805,0.7874096267544655,0.275338915561382
AC4_EUH33_030920_256s_20x20_a,2717.0474892333145,2717.0474892333145,0.7023638185527624,0.530315200839832,65.85234333587216,7.504937840676312,36.87151551745984,8.623022650584069,249.2966247407909,19.853124069485247,0.9925016998303602,0.30004680529988664,0.8483856410416415,0.2788123501254633
AC4_EUH33_030920_256s_20x20_b,2716.9228619839637,2716.9228619839637,0.7023638185527624,0.530315200839832,65.85234333587216,7.504937840676312,36.87151551745984,8.623022650584069,249.2966247407909,19.853124069485247,0.9925016998303602,0.30004680529988664,0.8483856410416415,0.2788123501254633
AC4_EUH33_030920_256s_20x20_c,2716.984613220092,2716.984613220092,0.7023638185527624,0.530315200839832,65.85234333587216,7.504937840676312,36.87151551745984,8.623022650584069,249.2966247407909,19.853124069485247,0.9925016998303602,0.30004680529988664,0.8483856410416415,0.2788123501254633
AC4_OL21_012821_256s_20x20_a,2705.4809407171037,2705.4809407171037,0.6913040713712982,0.4685643386635172,65.06302365674013,7.445963922145389,35.49733602425792,8.555656320959326,269.9494750115508,18.668374112964308,0.9407915422105031,0.29766846665568475,0.8093168408086813,0.27658746834750536
AC4_OL21_012821_256s_20x20_b,2705.8645939719363,2705.8645939719363,0.6913040713712982,0.4685643386635172,65.06302365674013,7.445963922145389,35.49733602425792,8.555656320959326,269.9494750115508,18.668374112964308,0.9407915422105031,0.29766846665568475,0.8093168408086813,0.27658746834750536
AC4_OL21_012821_256s_20x20_c,2704.9651152234055,2704.9651152234055,0.6913040713712982,0.4685643386635172,65.06302365674013,7.445963922145389,35.49733602425792,8.555656320959326,269.9494750115508,18.668374112964308,0.9407915422105031,0.29766846665568475,0.8093168408086813,0.27658746834750536
AC4_OL21_012821_256s_20x25_a,2707.456007726566,2707.456007726566,0.6913040713712982,0.4685643386635172,65.06302365674013,7.445963922145389,35.49733602425792,8.555656320959326,269.9494750115508,18.668374112964308,0.9407915422105031,0.29766846665568475,0.8093168408086813,0.27658746834750536
