,Density,Density_Sat,Tau,Na/Na+Ca,epsilon_H2OT_3550,sigma_epsilon_H2OT_3550,epsilon_H2Om_1635,sigma_epsilon_H2Om_1635,epsilon_CO2,sigma_epsilon_CO2,epsilon_H2Om_5200,sigma_epsilon_H2Om_5200,epsilon_OH_4500,sigma_epsilon_OH_4500
ND70_02-01_30June2022_150x150_sp1,2773.977429440172,2773.977429440172,0.6332949704004388,0.23697653099727242,60.92299005436306,7.139587655764862,28.289674251768716,8.198062689008902,356.5210802141545,14.561920855830648,0.6695683663664229,0.2849659327756185,0.604398415428899,0.26487948186516763
ND70_02-01_30June2022_150x150_sp2,2777.6299995408585,2777.6299995408585,0.6332949704004388,0.23697653099727242,60.92299005436306,7.139587655764862,28.289674251768716,8.198062689008902,356.5210802141545,14.561920855830648,0.6695683663664229,0.2849659327756185,0.604398415428899,0.26487948186516763
ND70_02-01_30June2022_150x150_sp3,2786.4104737736375,2786.4104737736375,0.6332949704004388,0.23697653099727242,60.92299005436306,7.139587655764862,28.289674251768716,8.198062689008902,356.5210802141545,14.561920855830648,0.6695683663664229,0.2849659327756185,0.604398415428899,0.26487948186516763
ND70_02-01_30June2022_150x150_sp4,2769.609422769541,2769.609422769541,0.6332949704004388,0.23697653099727242,60.92299005436306,7.139587655764862,28.289674251768716,8.198062689008902,356.5210802141545,14.561920855830648,0.6695683663664229,0.2849659327756185,0.604398415428899,0.26487948186516763
ND70_02_01_06032022_150x150_sp1,2803.5644202818676,2825.395473971451,0.6332949704004388,0.23697653099727242,60.92299005436306,7.139587655764862,28.289674251768716,8.198062689008902,356.5210802141545,14.561920855830648,0.6695683663664229,0.2849659327756185,0.604398415428899,0.26487948186516763
ND70_02_01_06032022_150x150_sp2,2803.596664022528,2824.3327369734607,0.6332949704004388,0.23697653099727242,60.92299005436306,7.139587655764862,28.289674251768716,8.198062689008902,356.5210802141545,14.561920855830648,0.6695683663664229,0.2849659327756185,0.604398415428899,0.26487948186516763
ND70_02_01_06032022_150x150_sp3,2803.5734066679242,2830.333998228276,0.6332949704004388,0.23697653099727242,60.92299005436306,7.139587655764862,28.289674251768716,8.198062689008902,356.5210802141545,14.561920855830648,0.6695683663664229,0.2849659327756185,0.604398415428899,0.26487948186516763
ND70_03-01_30June2022_150x150_sp1,2797.46709823492,2797.46709823492,0.6285268361784722,0.22949346595808123,60.582694556429004,7.114636803052377,27.697231028505684,8.168334393739926,359.17910457631996,14.375869278710873,0.6472748213038595,0.28390382910185963,0.5875548763908491,0.26391410285732475
ND70_03-01_30June2022_150x150_sp2,2783.913543032862,2783.913543032862,0.6285268361784722,0.22949346595808123,60.582694556429004,7.114636803052377,27.697231028505684,8.168334393739926,359.17910457631996,14.375869278710873,0.6472748213038595,0.28390382910185963,0.5875548763908491,0.26391410285732475
ND70_03-01_30June2022_150x150_sp3,2773.588172125585,2773.588172125585,0.6285268361784722,0.22949346595808123,60.582694556429004,7.114636803052377,27.697231028505684,8.168334393739926,359.17910457631996,14.375869278710873,0.6472748213038595,0.28390382910185963,0.5875548763908491,0.26391410285732475
ND70_03-01_30June2022_150x150_sp4,2729.1167257580987,2729.1167257580987,0.6365230283913934,0.24424975789458775,61.153372327649585,7.1565003704337204,28.69076218092779,8.218158819936257,353.9375914721256,14.741196604147582,0.684661241888755,0.2856833657914115,0.6158016012992218,0.2655327779601455
ND70_03_01_06032022_150x150_sp1,2821.9206995707736,2809.3132493898943,0.6285268361784722,0.22949346595808123,60.582694556429004,7.114636803052377,27.697231028505684,8.168334393739926,359.17910457631996,14.375869278710873,0.6472748213038595,0.28390382910185963,0.5875548763908491,0.26391410285732475
ND70_03_01_06032022_150x150_sp2,2727.2689320420186,2804.496952697063,0.6285268361784722,0.22949346595808123,60.582694556429004,7.114636803052377,27.697231028505684,8.168334393739926,359.17910457631996,14.375869278710873,0.6472748213038595,0.28390382910185963,0.5875548763908491,0.26391410285732475
ND70_03_01_06032022_150x150_sp3,2726.0032457383813,2809.7111664756303,0.6285268361784722,0.22949346595808123,60.582694556429004,7.114636803052377,27.697231028505684,8.168334393739926,359.17910457631996,14.375869278710873,0.6472748213038595,0.28390382910185963,0.5875548763908491,0.26391410285732475
ND70_04_02_06032022_150x150_sp1,2711.719089443447,2786.103207738299,0.6365230283913934,0.24424975789458775,61.153372327649585,7.1565003704337204,28.69076218092779,8.218158819936257,353.9375914721256,14.741196604147582,0.684661241888755,0.2856833657914115,0.6158016012992218,0.2655327779601455
ND70_04_02_06032022_150x150_sp2,2712.0424727069963,2777.3115078587575,0.6365230283913934,0.24424975789458775,61.153372327649585,7.1565003704337204,28.69076218092779,8.218158819936257,353.9375914721256,14.741196604147582,0.684661241888755,0.2856833657914115,0.6158016012992218,0.2655327779601455
ND70_04_02_06032022_150x150_sp3,2783.0457116552634,2778.7306046915883,0.6365230283913934,0.24424975789458775,61.153372327649585,7.1565003704337204,28.69076218092779,8.218158819936257,353.9375914721256,14.741196604147582,0.684661241888755,0.2856833657914115,0.6158016012992218,0.2655327779601455
ND70_0503_29June2022_100x60_256s_sp1,2723.8964504859787,2723.8964504859787,0.623561502905299,0.24391576681072374,60.22832522034388,7.088693404741894,27.080285717825944,8.137319650589644,354.0562268752668,14.732996994287548,0.6240592665558067,0.2827947386393562,0.5700147273660328,0.26290828401721733
