,Density,Density_Sat,Tau,Na/Na+Ca,epsilon_H2OT_3550,sigma_epsilon_H2OT_3550,epsilon_H2Om_1635,sigma_epsilon_H2Om_1635,epsilon_CO2,sigma_epsilon_CO2,epsilon_H2Om_5200,sigma_epsilon_H2Om_5200,epsilon_OH_4500,sigma_epsilon_OH_4500
21ALV1846-9_44x44_s1_EP_103um,2799.756560004824,2799.756560004824,0.6595583965411587,0.2177055637742523,62.797376399201426,7.277666388680767,31.55291897442271,8.360874827617256,363.36622990789755,14.079332668884508,0.7923637506632906,0.29076592785854016,0.6971745460663672,0.2701884656891454
21ALV1846-9_44x44_s2_EP_103um,2796.6757982412596,2796.6757982412596,0.6595583965411587,0.2177055637742523,62.797376399201426,7.277666388680767,31.55291897442271,8.360874827617256,363.36622990789755,14.079332668884508,0.7923637506632906,0.29076592785854016,0.6971745460663672,0.2701884656891454
21ALV1846-9_44x44_s3_EP_103um,2799.4195194941494,2799.4195194941494,0.6595583965411587,0.2177055637742523,62.797376399201426,7.277666388680767,31.55291897442271,8.360874827617256,363.36622990789755,14.079332668884508,0.7923637506632906,0.29076592785854016,0.6971745460663672,0.2701884656891454
23WOK5-4_44x44_s1_EP_147um,2809.838179435869,2809.838179435869,0.6571068603683341,0.34672038706821856,62.622413471607786,7.264732195719246,31.248314295828948,8.345742800550846,317.5394808953173,17.130452472425716,0.7809015246442361,0.29022804937738056,0.6885144406020682,0.26969349444769575
23WOK5-4_44x44_s2_EP_147um,2811.9043290924324,2811.9043290924324,0.6571068603683341,0.34672038706821856,62.622413471607786,7.264732195719246,31.248314295828948,8.345742800550846,317.5394808953173,17.130452472425716,0.7809015246442361,0.29022804937738056,0.6885144406020682,0.26969349444769575
23WOK5-4_44x44_s3_EP_147um,2810.8235626287947,2810.8235626287947,0.6571068603683341,0.34672038706821856,62.622413471607786,7.264732195719246,31.248314295828948,8.345742800550846,317.5394808953173,17.130452472425716,0.7809015246442361,0.29022804937738056,0.6885144406020682,0.26969349444769575
ALV1833-11_44x44_s1_EP_108um,2808.2621063995707,2808.2621063995707,0.6569207364214361,0.30273451925329103,62.60913004915392,7.263750589177731,31.22518829603669,8.344593415137242,333.16349426827895,16.133077718059152,0.7800312969190442,0.29018718386807707,0.6878569536649244,0.2696559106772271
ALV1833-11_44x44_s2_EP_108um,2808.337605038601,2808.337605038601,0.6569207364214361,0.30273451925329103,62.60913004915392,7.263750589177731,31.22518829603669,8.344593415137242,333.16349426827895,16.133077718059152,0.7800312969190442,0.29018718386807707,0.6878569536649244,0.2696559106772271
ALV1833-11_44x44_s3_EP_108um,2808.3445537555303,2808.3445537555303,0.6569207364214361,0.30273451925329103,62.60913004915392,7.263750589177731,31.22518829603669,8.344593415137242,333.16349426827895,16.133077718059152,0.7800312969190442,0.29018718386807707,0.6878569536649244,0.2696559106772271
CD33_12-2-2_VG9764_44x44_s1_EP_105um,2905.612310206603,2905.612310206603,0.6353455242696043,0.29614761239911863,61.06933539983039,7.150329152917523,28.544456665008298,8.210831123422407,335.50319849348733,15.980342083149338,0.6791557883972144,0.2854218171054137,0.6116420420839113,0.2652944993411004
CD33_12-2-2_VG9764_44x44_s2_EP_105um,2905.6926444460046,2905.6926444460046,0.6353455242696043,0.29614761239911863,61.06933539983039,7.150329152917523,28.544456665008298,8.210831123422407,335.50319849348733,15.980342083149338,0.6791557883972144,0.2854218171054137,0.6116420420839113,0.2652944993411004
CD33_12-2-2_VG9764_44x44_s3_EP_105um,2905.590540965247,2905.590540965247,0.6353455242696043,0.29614761239911863,61.06933539983039,7.150329152917523,28.544456665008298,8.210831123422407,335.50319849348733,15.980342083149338,0.6791557883972144,0.2854218171054137,0.6116420420839113,0.2652944993411004
