,PH_3550_M,PH_3550_STD,H2OT_3550_MAX,BL_H2OT_3550_MAX,H2OT_3550_SAT?,PH_1635_BP,PH_1635_STD,H2Om_1635_MAX,BL_H2Om_1635_MAX,PH_1515_BP,PH_1515_STD,P_1515_BP,P_1515_STD,STD_1515_BP,STD_1515_STD,MAX_1515_ABS,BL_MAX_1515_ABS,PH_1430_BP,PH_1430_STD,P_1430_BP,P_1430_STD,STD_1430_BP,STD_1430_STD,MAX_1430_ABS,BL_MAX_1430_ABS,PH_5200_M,PH_4500_M,PH_5200_STD,PH_4500_STD,S2N_P5200,S2N_P4500,ERR_5200,ERR_4500,AVG_BL_BP,AVG_BL_STD,PCA1_BP,PCA1_STD,PCA2_BP,PCA2_STD,PCA3_BP,PCA3_STD,PCA4_BP,PCA4_STD,m_BP,m_STD,b_BP,b_STD,PH_1635_PCA1_BP,PH_1635_PCA1_STD,PH_1635_PCA2_BP,PH_1635_PCA2_STD
ND70_02-01_30June2022_150x150_sp1,0.8427383220758258,0.001507241297366525,0.7670086,-0.05952315990233357,-,0.10269568082254851,0.003683938619757055,0.01265972,0.04874771449891813,0.11418278295355191,0.004582099403088171,1524.6718264052092,1.5423845377500989,31.592696229910963,2.0334182860241605,0.17167754157679074,0.053791411847224,0.1108373923992872,0.005992793843318603,1431.4689087670504,1.9115346687708459,36.98540979477678,2.0425750057444674,0.17290761644646616,0.07913127731020986,0.002725881303488722,0.002382282500963061,0.00020186211066578963,1.0823766272349893e-05,7.75311499128009,11.9279472256093,-,-,0.6414410887637947,0.1384741063396676,1.1602085153210897,1.579907817847267,0.1458406383624762,0.061990409409966175,0.24961305193619332,0.2113386733782183,-0.16100602852880183,0.1098544579838662,0.0002574138591633289,0.000267881334243801,0.17010462498371437,0.08420359029809449,-0.054835753175549284,0.020557765044641515,0.12350934827287335,0.023837754993069275
ND70_02-01_30June2022_150x150_sp2,0.816252044836423,0.002052218234802527,0.7362568,-0.062009043225812084,-,0.10032889829285167,0.0036888417464716874,0.02683623,0.07908737904563123,0.0995554579101885,0.005054471013061491,1522.1182464191345,1.8879366475978168,35.58685483899894,2.3103390314003365,0.20358736923689977,0.10161114886403,0.09328919258463025,0.006272734174056628,1428.1050623408294,1.8425338072376178,32.098548799812555,2.5366540278213456,0.2056492811489784,0.1259573654575378,0.0007208791088561088,0.006371159001387873,2.554062709980892e-05,0.0005716013513520101,3.8721144281209963,13.553811356882987,*,-,0.62075611294581,0.15586279435554412,0.8468664683060364,1.8461107905857066,0.2814837118329079,0.06607859377352364,0.004471993760525118,0.25182044028056644,-0.27448625942530247,0.11691911015848061,0.00017501072815831256,0.0003098957170242944,0.22317563122051856,0.09927096080175998,-0.04588648342869193,0.020718090058419677,0.08333504819601742,0.024980046394653753
ND70_02-01_30June2022_150x150_sp3,0.8604157280314145,0.0015605352104689843,0.8054655,-0.038508954366427456,-,0.10256215849112262,0.003638378645528411,0.06641647,0.08918007278927775,0.1082315605511755,0.004779685948383619,1522.7785406258888,1.8135314099199664,34.016854765089825,2.341772022918535,0.19755661209144376,0.08664993783344596,0.10130539557049961,0.006273866403284767,1430.1387067648793,1.983129096401231,33.52541499090062,2.4509969453914517,0.19396854030799157,0.1087275956225299,0.006034728197027644,0.001816932432337684,0.0006439067618344428,1.0833739296632398e-05,19.547806741463194,5.259081875343112,-,-,0.32431903958620917,0.14526656759489925,-1.7293678828649617,1.7030644760160951,-0.10720899019984324,0.06389239826285882,-0.0673595249069522,0.23227725045443678,0.1775219354514687,0.11106749517808778,-0.0002926013966577634,0.0002863807201702926,0.34577601778180483,0.09151375305570421,-0.03163282687098636,0.020742938521102865,0.08371671561515329,0.02571003344804972
ND70_02-01_30June2022_150x150_sp4,0.8745042675280185,0.0020116900624267556,0.7969049,-0.059751076903655595,-,0.10904657185009234,0.003676437155208194,0.03666375,0.08751649781244347,0.10682316302140941,0.004704988277358727,1522.3188174621916,1.6170474586522303,31.929354233042357,2.1265705846923337,0.22231163236570595,0.11308417081924338,0.09850356497371522,0.005929666392533717,1431.2517592045174,1.8246683247622293,32.72738718681128,2.4388216956386506,0.2195572345387942,0.14132365822240872,0.002143144942394309,0.01075012788729196,0.0002165860631121984,0.0007066114131126563,2.633838683949428,3.5187657429039962,*,*,0.4023460055273185,0.14141550706049022,-2.140668626022635,1.649970778307409,0.1238519205233577,0.06338570525944048,-0.36311091573359044,0.2250032247295308,-0.05116515135663349,0.10868807322829314,-0.0003676298420592931,0.0002777405588665333,0.4083941724443506,0.08865468861745357,-0.06588801120911059,0.020392945756962343,0.12068848571362494,0.02356933996506097
ND70_03-01_30June2022_150x150_sp1,0.938791418305564,0.002409449660358086,0.8512006,-0.06610926736286037,-,0.15038088856440068,0.0036722021106267,0.01583762,0.07075550116777865,0.13234609273695294,0.0046541887615587346,1523.6498036331222,1.2697109564914444,29.55612063185586,1.4373327617880158,0.22812342322132415,0.09070647124468664,0.12788353481139647,0.006199036819113423,1433.5199352850352,1.5435266720506704,36.56206739195982,1.9128543134928189,0.2129856019722566,0.10926633250587121,0.0037105790470008683,0.005665486451923547,0.00016579958758933057,0.0003434768367563967,17.132011777621965,9.279202008121123,-,-,0.527531400549177,0.15316367362754835,0.5263655971942937,1.79022648504538,0.32825218405501555,0.06428766958187485,-0.06886641448123373,0.24206470747470907,-0.22700188566663385,0.11742392860981016,0.00012258618721544472,0.0003013851332255008,0.20478785434019312,0.09579589328708701,-0.0783513979845728,0.019874708020407566,0.15592937741157342,0.0205438143969701
ND70_03-01_30June2022_150x150_sp2,0.9441080940818863,0.002712098477144606,0.8552208,-0.06795061599880099,-,0.1511162263338888,0.003657921338190819,0.0158635,0.06885273417805826,0.1351749586322158,0.004566578393099479,1523.3336345651771,1.2273211603818714,29.301840703070194,1.345000915409729,0.22886961887176552,0.08844836419896826,0.12996280979445451,0.006110960535624239,1433.490487219019,1.478546064935605,36.452091219661476,1.8838230904429862,0.2129086677945799,0.10783319673331421,0.002491117314619607,0.006208044715780535,0.00012469340294346255,0.0004944497487829517,6.871000915718071,9.459134373695791,-,-,0.5797656880550951,0.15064159299398458,1.0327518615855489,1.7596194823772844,0.34291726573784825,0.06451952607752903,0.009883589590440943,0.2374366010625322,-0.2724774150276269,0.11575151820992763,0.00022106456092481358,0.00029639236053660917,0.1781519739371703,0.09420732320989934,-0.08890028700508455,0.01985577973180902,0.16692655349561883,0.01999121655769217
ND70_03-01_30June2022_150x150_sp3,1.0283371322101138,0.0029375484041713282,0.9510617,-0.05524521185382188,-,0.16601158430482402,0.003649116688918155,0.02816319,0.07845792723958517,0.14583105391501,0.004622293635062738,1523.0605188376435,1.190026179412646,29.752263838965092,1.31307990444207,0.24978428132834354,0.0983017781077235,0.13940900498286266,0.006270714580343463,1433.3042484035227,1.4042127520653103,35.88685577010987,1.8524122137044414,0.23283553139117014,0.12060484120300807,0.002011160133181077,0.007670862240734144,6.005940417800608e-05,0.0005593769086649502,3.1307103097515854,11.721555979086633,*,-,0.4892620838596844,0.15190559977148868,-0.5418130629771707,1.7815450501456889,0.32291344150469053,0.06506954407887362,-0.15451662308480582,0.2414605284345601,-0.1835192521094307,0.11627473324122438,-1.594960933774393e-05,0.0002997276524179911,0.2814048311276045,0.09554165563474147,-0.09219114812983659,0.020008881247047947,0.17153218339040613,0.020562770797595525
ND70_03-01_30June2022_150x150_sp4,1.0847636315503684,3.595841677719158e-05,1.010081,-0.0485383433928369,-,0.16439165958816193,0.0036615449929212718,0.08095025,0.11432884773323096,0.1504294448980801,0.0046048328394086985,1520.645545255981,1.082692105780819,30.409414325064528,1.3784267493339883,0.26913380505730394,0.11305410002774166,0.13849116765909192,0.00558485697975026,1432.3769296682883,1.267256596828796,32.096054813214785,1.6671819306055562,0.23262055443323687,0.1260178034623625,0.005100977867125008,0.01009098017494532,0.00017444062000769936,0.00018511411822858976,1.9303313403271787,3.57958513496292,*,*,0.2941189983486523,0.1422764711605252,-2.156840911296304,1.6676470976141209,-0.2688083218145658,0.06313752257804815,-0.32019237194030536,0.22758987506540537,0.3163535949515802,0.10884883779094136,-0.00045366449458841384,0.00028019894200018944,0.4036225890531285,0.08957064994776366,-0.10706154391370085,0.019822582469931297,0.154205870264953,0.020711588572428694
ND70_0503_29June2022_100x60_256s_sp1,1.2672746242181019,0.0016718392120125475,1.252181,0.01661836117653852,-,0.20132803194025695,0.0036849391238711533,0.123314,0.1693829013500464,0.08446164220101358,0.004660942569792655,1522.5043288159459,2.1245334125107544,31.021966568567443,2.603102212854599,0.24449599220007448,0.1570938728614815,0.08115058152984544,0.0059780479738144295,1432.4104785499549,2.532490909803982,35.37076730633271,2.78249511652376,0.23773862777999624,0.1713055147812114,0.008035161010433804,0.0046072608350604845,0.0005471861049302986,2.1005520985479316e-05,7.5910941998367045,7.324789497211909,-,-,0.41043888079854707,0.1482121044484845,0.10456491671835483,1.7392714093026187,0.2391066076850232,0.0644844108082825,0.1823658357893315,0.2354858918984336,0.10776733681400347,0.11423503678222802,2.711879386849332e-05,0.00029213517680429663,0.2945504420880409,0.09319571091654956,-0.08321218104702387,0.02023950809639421,0.10323534669205472,0.02186860987362912
ND70_0503_29June2022_95x80_256s_sp2,1.238370454757591,0.001124648646560584,1.198981,-0.00993380174352551,-,0.19841671558870438,0.0036577724165383616,0.1175844,0.18782958620868717,0.07117569400123337,0.004352339410972416,1519.9415743043305,2.4971087729665973,34.845698214042315,2.761296271315219,0.2651249117709226,0.1943580329893838,0.06135764468323337,0.004939355984326545,1430.5223841592576,2.5173477063534313,28.347664595686933,3.0539702662611887,0.25355107519575004,0.2039392477124941,0.0051072359770583005,0.004569684261540998,8.568537028268603e-05,7.054540019501135e-05,8.795232836997597,6.883494761003668,-,-,0.29864526939387204,0.13404335181007576,-1.421830175428072,1.5484873037142077,0.12745930062630242,0.061258261963293315,-0.330203160924802,0.20798789961478814,0.1915372569567991,0.10335428579545569,-0.0003694725128382777,0.00026097772907429065,0.41891371480396433,0.0826393558727572,-0.062355269713320165,0.01982439688342318,0.07040841141046943,0.02090273900546526
