,Density,Density_Sat,Tau,Na/Na+Ca,epsilon_H2OT_3550,sigma_epsilon_H2OT_3550,epsilon_H2Om_1635,sigma_epsilon_H2Om_1635,epsilon_CO2,sigma_epsilon_CO2,epsilon_H2Om_5200,sigma_epsilon_H2Om_5200,epsilon_OH_4500,sigma_epsilon_OH_4500
ND70_02-01_30June2022_150x150_sp1,2773.9774294401714,2773.9774294401714,0.6332949704004388,0.23697653099727242,60.92299005436306,7.139587655764862,28.289674251768716,8.198062689008902,356.5210802141545,14.561920855830648,0.6695683663664229,0.2849659327756185,0.604398415428899,0.26487948186516763
ND70_02-01_30June2022_150x150_sp2,2777.6299995408585,2777.6299995408585,0.6332949704004388,0.23697653099727242,60.92299005436306,7.139587655764862,28.289674251768716,8.198062689008902,356.5210802141545,14.561920855830648,0.6695683663664229,0.2849659327756185,0.604398415428899,0.26487948186516763
ND70_02-01_30June2022_150x150_sp3,2786.4104737736375,2786.4104737736375,0.6332949704004388,0.23697653099727242,60.92299005436306,7.139587655764862,28.289674251768716,8.198062689008902,356.5210802141545,14.561920855830648,0.6695683663664229,0.2849659327756185,0.604398415428899,0.26487948186516763
ND70_02-01_30June2022_150x150_sp4,2769.609422769541,2769.609422769541,0.6332949704004388,0.23697653099727242,60.92299005436306,7.139587655764862,28.289674251768716,8.198062689008902,356.5210802141545,14.561920855830648,0.6695683663664229,0.2849659327756185,0.604398415428899,0.26487948186516763
ND70_03-01_30June2022_150x150_sp1,2797.4670982349194,2797.4670982349194,0.6285268361784723,0.22949346595808123,60.58269455642901,7.114636803052377,27.697231028505698,8.168334393739926,359.17910457631996,14.375869278710873,0.6472748213038599,0.2839038291018597,0.5875548763908491,0.26391410285732475
ND70_03-01_30June2022_150x150_sp2,2783.9135430328615,2783.9135430328615,0.6285268361784723,0.22949346595808123,60.58269455642901,7.114636803052377,27.697231028505698,8.168334393739926,359.17910457631996,14.375869278710873,0.6472748213038599,0.2839038291018597,0.5875548763908491,0.26391410285732475
ND70_03-01_30June2022_150x150_sp3,2773.5881721255846,2773.5881721255846,0.6285268361784723,0.22949346595808123,60.58269455642901,7.114636803052377,27.697231028505698,8.168334393739926,359.17910457631996,14.375869278710873,0.6472748213038599,0.2839038291018597,0.5875548763908491,0.26391410285732475
ND70_03-01_30June2022_150x150_sp4,2729.1167257580983,2729.1167257580983,0.6365230283913935,0.24424975789458775,61.15337232764959,7.156500370433721,28.690762180927806,8.218158819936257,353.9375914721256,14.741196604147582,0.6846612418887554,0.2856833657914115,0.6158016012992222,0.2655327779601455
ND70_0503_29June2022_100x60_256s_sp1,2723.896450485979,2723.896450485979,0.6235615029052991,0.24391576681072374,60.2283252203439,7.088693404741895,27.08028571782596,8.137319650589644,354.0562268752668,14.732996994287548,0.6240592665558071,0.2827947386393562,0.5700147273660332,0.26290828401721733
ND70_0503_29June2022_95x80_256s_sp2,2744.6521219734036,2744.6521219734036,0.6235615029052991,0.24391576681072374,60.2283252203439,7.088693404741895,27.08028571782596,8.137319650589644,354.0562268752668,14.732996994287548,0.6240592665558071,0.2827947386393562,0.5700147273660332,0.26290828401721733
ND70_4_2_150x150_29June2022_256s_sp1,2749.7940656024803,2749.7940656024803,0.6365230283913935,0.24424975789458775,61.15337232764959,7.156500370433721,28.690762180927806,8.218158819936257,353.9375914721256,14.741196604147582,0.6846612418887554,0.2856833657914115,0.6158016012992222,0.2655327779601455
ND70_4_2_150x150_29June2022_256s_sp2,2734.409748522721,2734.409748522721,0.6365230283913935,0.24424975789458775,61.15337232764959,7.156500370433721,28.690762180927806,8.218158819936257,353.9375914721256,14.741196604147582,0.6846612418887554,0.2856833657914115,0.6158016012992222,0.2655327779601455
ND70_4_2_150x150_29June2022_256s_sp3,2735.5720478346825,2735.5720478346825,0.6365230283913935,0.24424975789458775,61.15337232764959,7.156500370433721,28.690762180927806,8.218158819936257,353.9375914721256,14.741196604147582,0.6846612418887554,0.2856833657914115,0.6158016012992222,0.2655327779601455
ND70_5_2_29June2022_150x150_256s_sp1,2611.4220693602265,2639.174563890579,0.6235615029052991,0.24391576681072374,60.2283252203439,7.088693404741895,27.08028571782596,8.137319650589644,354.0562268752668,14.732996994287548,0.6240592665558071,0.2827947386393562,0.5700147273660332,0.26290828401721733
ND70_5_2_29June2022_150x150_sp2,2594.697397042526,2599.293586091647,0.6235615029052991,0.24391576681072374,60.2283252203439,7.088693404741895,27.08028571782596,8.137319650589644,354.0562268752668,14.732996994287548,0.6240592665558071,0.2827947386393562,0.5700147273660332,0.26290828401721733
ND70_5_2_29June2022_150x150_sp3,2626.9170056024855,2669.0820568026047,0.6235615029052991,0.24391576681072374,60.2283252203439,7.088693404741895,27.08028571782596,8.137319650589644,354.0562268752668,14.732996994287548,0.6240592665558071,0.2827947386393562,0.5700147273660332,0.26290828401721733
