,H2OT_MEAN,H2OT_STD,H2OT_3550_M,H2OT_3550_STD,H2OT_3550_SAT,H2Om_1635_BP,H2Om_1635_STD,CO2_MEAN,CO2_STD,CO2_1515_BP,CO2_1515_STD,CO2_1430_BP,CO2_1430_STD,H2Om_5200_M,H2Om_5200_STD,OH_4500_M,OH_4500_STD,PH_5200_S2N,PH_4500_S2N,ERR_5200,ERR_4500
ND70_02-01_30June2022_150x150_sp1,3.853961332496728,0.6083480345012626,3.853961332496728,0.6083480345012626,-,1.011393252826694,0.23950272586843985,2147.8918890676705,230.41764189267084,2179.8247534099896,325.4789654509444,2115.959024725352,326.24009844054945,2.391139248010373,0.7885452862427053,1.1066964254921903,0.3749323208123971,16.280384629825605,11.90854628745131,-,-
ND70_02-01_30June2022_150x150_sp2,3.7279271859019647,0.589747164247931,3.7279271859019647,0.589747164247931,-,0.9867847840912072,0.23388068626070038,1838.3453222022822,202.23264133222372,1898.0802376294175,288.76494301560336,1778.610406775147,283.2083553958582,0.30142491737320126,0.09932068060677773,4.615714991810804,1.5655277917856814,3.855769985421354,21.365666323885865,*,-
ND70_02-01_30June2022_150x150_sp3,3.427589727157014,0.48248306745280906,3.427589727157014,0.48248306745280906,-,0.8798748541955422,0.1972422109178706,1742.278098930991,167.5210931646686,1799.8684406521722,238.15226560888115,1684.68775720981,235.6623962487423,3.663588653851163,1.1716996094056455,0.7715450599497352,0.25434115085326536,32.66682945540131,5.671344743823393,-,-
ND70_02-01_30June2022_150x150_sp4,4.005538754395132,0.633297582293002,4.005538754395132,0.633297582293002,-,1.075633417800144,0.25431911930340434,1963.0024263881041,211.82399987709923,2042.540987158594,305.5466509487124,1883.4638656176141,293.4601707042355,1.6444104801440265,0.6264323269814416,5.812082019757621,2.009082296255114,4.849632691168002,4.126608304524744,-,-
ND70_03-01_30June2022_150x150_sp1,3.3297360754741003,0.42818619655602835,3.3297360754741003,0.42818619655602835,-,1.1666634151978894,0.2536083993147997,1901.5831443931743,158.80129703467782,1934.1925188347734,224.3239341366888,1868.9737699515752,224.833672596038,1.3834865238098604,0.44953587972113396,3.340281990318755,1.1254400361836676,18.954828240023406,15.561483563067883,-,-
ND70_03-01_30June2022_150x150_sp2,3.785508167301137,0.5344569372323246,3.785508167301137,0.5344569372323246,-,1.3253354013318972,0.29921404608428936,2190.24118490407,203.1737776694816,2233.297530190195,287.89271746661905,2147.184839617945,286.7684064879485,1.0115196384022234,0.3487005454770212,4.327393437924326,1.4664716123409782,7.4160541536491635,15.881775778595852,-,-
ND70_03-01_30June2022_150x150_sp3,4.138583783502267,0.5826002658661478,4.138583783502267,0.5826002658661478,-,1.4613924526503703,0.32930750879011256,2365.073444482261,217.71746984885604,2418.3219787523517,309.86584200429536,2311.8249102121704,305.9195101142116,0.7733796957911204,0.25773062675701836,4.475293565927563,1.518624895906566,3.1969726355714214,16.197151410228884,*,-
ND70_03-01_30June2022_150x150_sp4,5.023325690700121,0.794327613178285,5.023325690700121,0.794327613178285,-,1.62261066749587,0.37817419685346965,2823.636741099779,295.2572303170965,2940.3101709611933,431.06712702362074,2706.9633112383644,403.59442540463004,3.6216868686629478,1.2200980022315056,6.383236542808301,2.13345239696116,3.3135149634065058,4.923771930449816,*,-
ND70_0503_29June2022_100x60_256s_sp1,5.223795345265461,0.7356490389166619,5.223795345265461,0.7356490389166619,-,1.845725899575321,0.42104141008592494,1418.458804527871,140.72832352766312,1446.8178287794283,196.65227741264636,1390.0997802763138,201.35969298756407,4.243274099976517,1.4844692583642722,2.048728677146413,0.7162214273071451,10.272557855967085,7.214143942125034,-,-
ND70_0503_29June2022_95x80_256s_sp2,4.503153614892525,0.5796110349224165,4.503153614892525,0.5796110349224165,-,1.6046930832742292,0.35217746546718426,1001.3830380112877,94.0360990826675,1075.5653383796102,137.10074532929534,927.2007376429652,128.74213511082044,1.9408211446632617,0.6561667176943197,2.3653255502476904,0.8115401776525919,9.430181867961194,9.390016346547903,-,-
ND70_4_2_150x150_29June2022_256s_sp1,4.28797328648852,0.4220507882436663,4.28797328648852,0.4220507882436663,-,1.6739211776505025,0.3207840694490469,3897.3605602474445,208.05132237169772,4003.283922751204,300.513775317187,3791.437197743685,287.80702181680624,1.4672525844667355,0.42583517937100807,1.6968796502646235,0.5102964691664392,8.370718480303386,14.670144463744267,-,-
ND70_4_2_150x150_29June2022_256s_sp2,4.83298408174402,0.4931367846208446,4.83298408174402,0.4931367846208446,-,1.8717019851080143,0.3624005271643258,4381.799000036319,248.34759674183837,4484.390493265541,357.30299505121013,4279.207506807096,345.0227310732178,2.0063094675428537,0.6116508681373253,2.3996437085357467,0.7328160198352273,7.745449371593921,9.141725165859922,-,-
ND70_4_2_150x150_29June2022_256s_sp3,4.791382747423608,0.5108350872323707,4.791382747423608,0.5108350872323707,-,1.9163853489338016,0.3775712558496834,4556.435799863392,275.9243615919651,4692.223671344602,400.2444517567818,4420.647928382183,379.92287653897233,2.0353484255402914,0.5980488292460762,2.3919572248131797,0.7316372611372576,11.336450734258525,8.981499329847246,-,-
ND70_5_2_29June2022_150x150_256s_sp1,8.407636335192015,0.7877234686763619,9.443836659432032,1.0610808877425315,*,4.729883211008406,0.9869249913600643,16201.450633473338,1048.7224954510966,16629.00291023277,1521.5657364648616,15433.162524957163,1410.0512984963818,4.873684629939224,1.6093550487695722,3.5893418138451074,1.2060441723047948,11.291103565040075,9.212595187283712,-,-
ND70_5_2_29June2022_150x150_sp2,10.056869442430344,0.9747517535933871,10.235647248579493,1.2233693866089754,*,5.406684446250782,1.152749921127263,19741.089458761904,1392.6464572849893,20409.11078053259,2035.468363449099,19003.25395388118,1892.585028960448,5.83358885386826,1.9426623110127728,4.632401982576533,1.5680745213438165,7.372319610540433,7.542574337663948,-,-
ND70_5_2_29June2022_150x150_sp3,7.236706589147905,0.6604199158135402,8.76284070507817,0.8980167182115317,*,4.1182975995441335,0.8344695928912884,14147.854106574461,791.6851045812218,14449.877918275963,1141.178940553341,13398.826433560316,1059.3402123208925,4.082550646368752,1.3575757527147345,3.004086500688915,0.9935011382981863,6.390334506864046,9.988918897301458,-,-
