,PH_3550_M,PH_3550_STD,H2OT_3550_MAX,BL_H2OT_3550_MAX,H2OT_3550_SAT?,PH_1635_BP,PH_1635_STD,H2Om_1635_MAX,BL_H2Om_1635_MAX,PH_1515_BP,PH_1515_STD,P_1515_BP,P_1515_STD,STD_1515_BP,STD_1515_STD,MAX_1515_ABS,BL_MAX_1515_ABS,PH_1430_BP,PH_1430_STD,P_1430_BP,P_1430_STD,STD_1430_BP,STD_1430_STD,MAX_1430_ABS,BL_MAX_1430_ABS,PH_5200_M,PH_4500_M,PH_5200_STD,PH_4500_STD,S2N_P5200,S2N_P4500,ERR_5200,ERR_4500,AVG_BL_BP,AVG_BL_STD,PCA1_BP,PCA1_STD,PCA2_BP,PCA2_STD,PCA3_BP,PCA3_STD,PCA4_BP,PCA4_STD,m_BP,m_STD,b_BP,b_STD,PH_1635_PCA1_BP,PH_1635_PCA1_STD,PH_1635_PCA2_BP,PH_1635_PCA2_STD
ND70_02_01_06032022_150x150_sp1,3.2305150404086227,0.0056523336939236475,2.930676,-0.030427624752776453,*,0.3531642544128294,0.003678878674142407,0.3232662,0.5249048288298653,0.3711884170338687,0.004716151904205474,1523.687249889567,0.4813514990985071,31.11451617464485,0.5630231168871779,0.9633148065663522,0.5847249324944629,0.3496923528702749,0.0063811059957202465,1431.6675469710187,0.5588764176233245,35.202842273793,0.7567051413163938,0.9592400732894671,0.668682577512719,0.01281509853990973,0.0164794883810425,0.00010614305228837193,0.00023249621456225864,12.857741200142172,11.766691243791314,-,-,2.0247319383699844,0.15693543119855588,1.870203353586593,1.8388117444586944,0.2861419510638517,0.06569525549020357,-0.02545126660152075,0.24892695642181184,-0.3613831740007498,0.11916548955258768,3.0318199770371595e-05,0.00030983765701720636,1.1291983839808581,0.09854928857537767,-0.20364663107222808,0.02036373025148624,0.414774742611617,0.02223060983899752
ND70_02_01_06032022_150x150_sp2,3.2293396455657555,0.005508781427366305,3.011005,-0.005930487998482964,*,0.3638850561410503,0.003620245485138318,0.3286513,0.5026501806319739,0.3746261989558662,0.004654727589173672,1523.6578038878672,0.4886126376414036,31.082175904250274,0.5585748601498525,0.934345760644334,0.5504636610700198,0.35333083416612143,0.006352826573386327,1432.0088811755659,0.5703630461950423,35.46464720746351,0.762055154236841,0.9288895080747933,0.6367631192856418,0.008214856260459528,0.016635725109100788,6.926261589343319e-05,0.00031107207563440533,10.457765578252467,16.518787057466014,-,-,2.0668800721318727,0.15284818100727027,2.087488233566791,1.7905621546984403,0.2777911801186539,0.06520472199320705,0.18695097761283125,0.2426938480857661,-0.38466756103932825,0.11657559390894884,0.00021022090835462102,0.0003015790956601255,1.0830511111739531,0.0960348571327386,-0.20082518228017573,0.0203194975287723,0.4128770424896478,0.021980977175422037
ND70_02_01_06032022_150x150_sp3,3.2301874532056387,0.003182242157357495,2.957131,-0.0006726237492967461,*,0.35155245941873436,0.003646604729806887,0.3529193,0.5159478890635001,0.3814912269675148,0.004662347270086553,1523.7346597150822,0.4720385729924047,31.26097228588675,0.5516310624182242,0.9414462576704176,0.5519700375597281,0.3589209726193699,0.006301949631589594,1431.6374293354077,0.5472347874396766,35.27401931775884,0.7453860724379585,0.932916674197469,0.6349282286737215,0.01290218771667885,0.014731975534922906,7.866506611033066e-05,0.0002532264900844243,9.700911630298629,14.42372095979456,-,-,1.951568913137011,0.15110954263359347,1.671713375141262,1.769363045677287,0.051535178915724,0.06462933605506932,0.22228362363042176,0.23964616321108057,-0.18576328250656537,0.11572501599638818,7.137180174821734e-05,0.0002980750157645493,1.1006475731096508,0.09489433900353786,-0.2016560116569184,0.0202413163998574,0.41082529870152856,0.022053555330187876
ND70_03_01_06032022_150x150_sp1,2.69370338380023,0.006518630472990804,2.748995,0.13341102189778822,*,0.5434731425667767,0.0036230337335078884,0.49486369999999996,0.6612541776233483,0.481290023625694,0.004426785635958841,1522.0971040890904,0.38012689990839194,31.33990723393138,0.34929306110649794,1.1924379402098113,0.6955896481799904,0.44908955955770796,0.005711069309721508,1432.0936605065258,0.4091550323967916,34.129228922239406,0.5259173498256943,1.101421575131513,0.7359967486205137,0.014457395429114011,0.018826226146573147,3.125246378903528e-05,0.00010761928127525482,11.580689266425912,15.198334915424885,-,-,1.5633157283715056,0.14108402407997997,0.9984315419038963,1.6307912492258667,0.23650867132816158,0.060305478848747755,-0.372027640014448,0.22005246272110843,-0.1012883309725546,0.10979317443416106,2.7989463152082132e-05,0.00027559217556694755,1.132345392096956,0.0872327762063023,-0.2953174211624945,0.017401673163530498,0.49999999999999994,0.008313133201921662
ND70_03_01_06032022_150x150_sp2,5.958702194682822,0.005876600161944764,4.235761,0.036250060524438805,*,0.5651874541830944,0.0036926435160034576,0.3701423,0.5564949997152718,0.5219219785769658,0.0045388510637085445,1522.3460395045881,0.3585697951646832,31.651853427345895,0.3206429406070681,1.1358623956010636,0.5989286550463933,0.48818911338825677,0.005946351188558008,1431.8522978496735,0.3723121220323416,34.20010590840823,0.4997248112679784,1.0629454204239661,0.6635718901346146,0.013712537846415915,0.018928527868884226,0.00012031945203938914,7.609404253820712e-05,14.027749212331566,15.318743299544805,-,-,1.8428354755110223,0.15468011975888646,1.522172438182287,1.8284492672347723,0.4812747085229529,0.06399262165511262,-0.08962145824870235,0.24804845722373398,-0.2842246743243045,0.11753289282493505,0.00013272016463145302,0.0003070249573703554,1.0879534075259085,0.09812748992740743,-0.28468325542684636,0.01742931683674632,0.49999999999999994,0.005818035862656442
ND70_03_01_06032022_150x150_sp3,6.00392955200356,0.004875133964186454,6.0,-0.0060001360963529765,*,0.5497194043202149,0.0036459792781741765,0.37817790000000007,0.5635147677543735,0.5157519044057015,0.0045164188330840144,1522.3950520601175,0.3606004200213249,31.41219338333911,0.31843031540549693,1.1308420255983782,0.5996424281034141,0.48520356617144367,0.006002816390016273,1431.9629107444932,0.37066202262060494,34.37353161360234,0.5105132082301455,1.055111541745517,0.6584831385756685,0.013527656388268179,0.01753183386734666,7.247548674965583e-05,3.5201281514717013e-06,11.369014641803767,16.103466716256317,-,-,1.7283623848398266,0.15416352965497251,1.0319577766598675,1.8208455401640258,0.4433670998578402,0.06374117397019878,-0.15143713465927555,0.24715376285331692,-0.16175996607905269,0.11657402434173683,1.9427293533896376e-05,0.0003059577118423628,1.096525069542305,0.09776805364324151,-0.26875921876335096,0.01735127378415247,0.49999999999999994,0.00675710999975757
ND70_04_02_06032022_150x150_sp1,6.0013759049939,0.004426744025203076,3.679578,-0.009182598437265758,*,0.6485315099489748,0.003634609430831033,0.2816526,0.4389421975400474,0.8000278201623147,0.004522781662019711,1521.4040056044269,0.2579668969333982,33.45666095974731,0.22189351091896115,1.3279469872224674,0.4950250743771884,0.7460916731443542,0.005985138576500454,1431.3357697223964,0.2544656221559821,33.492959339379574,0.326774568288776,1.1716548398930546,0.5614909493093089,0.012792097825032373,0.01862987655330028,9.323033374394229e-05,5.0543950222420526e-06,8.68130105248685,13.866132307260566,-,-,1.5551923332977389,0.1476672477294058,2.5341400230561955,1.7557603718104051,0.4941071704669165,0.06281453802059146,0.1097665419181722,0.2407152513102775,-0.5142972876990709,0.11098120500601809,0.00023059254132691364,0.00029414608508355057,0.8125702877362513,0.09459772191269616,-0.3137489781269184,0.01703166862530128,0.49999999999999994,0.0022627376375776507
ND70_04_02_06032022_150x150_sp2,5.98939339140475,0.005267549584305478,6.0,0.009782964566909877,*,0.7224865682228988,0.0036208472108203616,0.3425837,0.5388131101033181,0.878251051050116,0.0045308530271816975,1521.2419564737806,0.22146200153231654,33.23412585855426,0.19991344651164356,1.5142795088143313,0.6042793556254674,0.8186743921794735,0.00578294154794612,1431.2543514726863,0.22075056394101145,32.7786293530464,0.2814075445017793,1.3263629682459774,0.6610227008293829,0.019575096142731906,0.020190102054118655,0.0001224837582308625,6.215840590104179e-05,11.124186341897428,16.804315152265488,-,-,1.9226728565236815,0.1322001438096183,3.44372955341026,1.587433176934016,0.5577250603286562,0.06091034146371473,-0.19397196865053298,0.22169811293832775,-0.5865129371469757,0.09939353911095726,0.00041748471372903624,0.00026442781415475535,0.947607122196027,0.08617423947289499,-0.3171898912583428,0.01706536058426709,0.49999999999999994,0.0019911803315881054
ND70_04_02_06032022_150x150_sp3,3.4283982856481514,0.007001424460494363,3.196887,0.0066195567297304796,*,0.7568532003508924,0.0032191858151639644,0.33533070000000004,0.5552195538201954,0.8971703575195963,0.0044285792691198785,1521.3421861961242,0.22098740611779324,34.163341504187365,0.19780708066198407,1.5661223799301782,0.6351118793998725,0.8318869711330024,0.005358831633227341,1430.7740553615301,0.22239086901518773,33.03158606375257,0.2607347984433745,1.385482224066391,0.7010745547103061,0.01829183194489292,0.019921449737779175,6.638287940240206e-05,4.555494118200951e-05,12.847285415205427,16.206091490454373,-,-,1.8321482059834653,0.09109219884977585,2.5582881660007897,1.0366458213561842,0.9999999999999999,0.024687272105233266,-0.2662090137146139,0.15593283839424119,-0.7375802048085345,0.06764425340061338,0.0002819564944593812,0.00017146867900142928,1.00516195820479,0.055635556289379044,-0.34279534991282157,0.014877057852554557,0.49999999999999994,0.001711992447901684
ND70_05_02_06032022_150x150_sp1,5.953703967207506,0.0038820280044024307,6.0,0.05750702098621585,*,1.5564020968609555,0.002972190887792271,0.4217293,0.6625459950169986,2.8897798343186594,0.0036408377282269046,1519.6048408995832,0.06427153633071073,39.99999999999999,0.02449779731805274,3.6449432060431257,0.7673323967304019,2.5366020463181242,0.005026361220022842,1426.7951352733262,0.055314557575447634,33.815854163970954,0.07618552375517858,3.201239550322059,0.8642154675823253,0.03262052216222359,0.026610874477709188,0.000655314833221209,0.0001813845311150499,12.061479797531126,15.01291794988518,-,-,1.2273039440318911,0.06508845871212211,-3.7633881886848144,0.37686142661798583,0.9999999999999999,0.0013155135275132142,-0.7499999999999999,0.012864863379227647,-0.5422264136232819,0.06873674095857159,-0.000897558794147222,8.714329062198462e-05,1.460443729207135,0.012786678507745517,-0.49999999999999994,0.001254032825809245,0.49999999999999994,0.0006746764029258752
