,PH_3550_M,PH_3550_STD,H2OT_3550_MAX,BL_H2OT_3550_MAX,H2OT_3550_SAT?,PH_1635_BP,PH_1635_STD,H2Om_1635_MAX,BL_H2Om_1635_MAX,PH_1515_BP,PH_1515_STD,P_1515_BP,P_1515_STD,STD_1515_BP,STD_1515_STD,MAX_1515_ABS,BL_MAX_1515_ABS,PH_1430_BP,PH_1430_STD,P_1430_BP,P_1430_STD,STD_1430_BP,STD_1430_STD,MAX_1430_ABS,BL_MAX_1430_ABS,PH_5200_M,PH_4500_M,PH_5200_STD,PH_4500_STD,S2N_P5200,S2N_P4500,ERR_5200,ERR_4500,AVG_BL_BP,AVG_BL_STD,PCA1_BP,PCA1_STD,PCA2_BP,PCA2_STD,PCA3_BP,PCA3_STD,PCA4_BP,PCA4_STD,m_BP,m_STD,b_BP,b_STD,PH_1635_PCA1_BP,PH_1635_PCA1_STD,PH_1635_PCA2_BP,PH_1635_PCA2_STD
ND70_02_01_06032022_150x150_sp1,3.230515695738298,0.005652419626770084,2.930676,-0.030428516294695646,*,0.3531642544486731,0.0036555753582992873,0.3232662,0.5249048287266077,0.3711884194515125,0.0047475462089925,1523.687250023546,0.48211437076462893,31.11451620400772,0.5661301679245001,0.9633148065663522,0.5847249295370243,0.34969235587808717,0.006346777075746358,1431.6675469394277,0.5594707319057601,35.202842570018724,0.7583214539229252,0.9592400732894671,0.6686825738840256,0.012815103929572172,0.01647947384237813,0.00010617146915030976,0.00023249883198363502,12.88876878999146,11.795075240207003,-,-,2.0247320614459787,0.15528731284854447,1.870204829664101,1.8297447718809958,0.2861419702775377,0.06571126009881605,-0.025451064738325178,0.24875494594851605,-0.3613832520058532,0.11774939065555155,3.0318445654455816e-05,0.00030755854272740684,1.129198305966254,0.09825174883219154,-0.20364663205753925,0.0202782044134048,0.4147747452132448,0.022131737608082472
ND70_02_01_06032022_150x150_sp2,3.2293392815070354,0.005507499977827935,3.011005,-0.005928795213372609,*,0.36388505594012543,0.003681127068078824,0.3286513,0.5026501811530706,0.3746261979405025,0.004685113620555749,1523.6578038342939,0.4894854547043943,31.08217610855309,0.5612451684544261,0.934345760644334,0.5504636618985529,0.3533308331607023,0.006398054304590867,1432.0088809719293,0.5661547723012902,35.46464714018978,0.7719571636594967,0.9288895080747933,0.6367631196558545,0.008214831471559868,0.01663572284550852,6.926540641156171e-05,0.0003110828817302658,10.483097512154703,16.55882331381686,-,-,2.0668800536019125,0.15193900136302224,2.087488001006924,1.7821190867935275,0.2777911890243116,0.06516260438981761,0.1869509385741321,0.24171103822615522,-0.38466754933947267,0.11580551132985384,0.0002102208738241902,0.00030003813865627643,1.0830511230540296,0.09561107742499585,-0.20082517754077148,0.020184489319216955,0.41287703452426683,0.02212852869601232
ND70_02_01_06032022_150x150_sp3,3.230188067013003,0.0031824589396342523,2.957131,-0.0006738411801697142,*,0.35155245943673213,0.003654210766484472,0.3529193,0.5159478888706962,0.3814912259906134,0.004654713938560777,1523.7346596617144,0.473987820557741,31.26097226759522,0.5503212118971844,0.9414462576704176,0.5519700395877423,0.358920970557297,0.006313142446603789,1431.637429356886,0.546035016321324,35.274019091875594,0.7413422262178163,0.932916674197469,0.6349282309987789,0.012902192367930157,0.014731970542151612,7.865651457668526e-05,0.00025323701444443926,9.724444364642041,14.458686870424344,-,-,1.9515689815235484,0.14984309633632617,1.6717139957510638,1.7501435276361195,0.051535189789673586,0.06478039080806516,0.22228367569066873,0.23706913911891045,-0.18576335268955185,0.11434797892577243,7.13719169604973e-05,0.00029506138188911733,1.1006475448956656,0.09383966272489967,-0.2016560139317877,0.02020120554650779,0.410825298776224,0.022140084628826506
ND70_03_01_06032022_150x150_sp1,2.693705755199843,0.006519768891696879,2.748995,0.1334080708354734,*,0.543473142042315,0.003604396375035052,0.49486369999999996,0.6612541782732351,0.48129002891602285,0.00441386148117779,1522.0971042053047,0.3833318768534564,31.33990734067761,0.34764855406580086,1.1924379402098113,0.6955896421098022,0.4490895656666492,0.005717193608788465,1432.0936604286187,0.4065956246606927,34.129229183659604,0.530893713482946,1.101421575131513,0.7359967420122112,0.014457417624335486,0.01882622592851535,3.122347967776106e-05,0.00010761069885865676,11.60863253514016,15.235181087176137,-,-,1.5633158316121574,0.1416094074912385,0.9984332471876002,1.6352655850969122,0.23650869348761736,0.06031095025190678,-0.3720273519777818,0.219903264167271,-0.10128837686048814,0.1106749662283239,2.798971508782982e-05,0.0002765137812482983,1.132345294181868,0.08732272129271328,-0.29531741972114195,0.017385787885647038,0.49999999999999994,0.008257113880865577
ND70_03_01_06032022_150x150_sp2,5.958702738334903,0.005877572754484783,4.235761,0.03624777232246179,*,0.5651874533081808,0.0036241880769369217,0.3701423,0.556495000807286,0.5219219782036236,0.00452947885571603,1522.3460395488544,0.3563943420396779,31.65185334172715,0.3168593911547791,1.1358623956010636,0.5989286566550299,0.4881891128730134,0.0059355093844612565,1431.852297899566,0.3689019881915976,34.2001058685332,0.4969721984906114,1.0629454204239661,0.6635718906701081,0.013712543578142894,0.01892851967425033,0.00012033414901090167,7.609041096458006e-05,14.061760247569149,15.355869883327168,-,-,1.8428356694063266,0.15435287890748117,1.5221745640838784,1.81547891108024,0.4812747706858961,0.06345843754523309,-0.08962122211064907,0.24573002420579887,-0.284224839703033,0.11773940932455547,0.00013272053729451998,0.00030532687389828574,1.087953299475766,0.09729073353456384,-0.2846832523502581,0.017481180520234972,0.49999999999999994,0.005930928174610891
ND70_03_01_06032022_150x150_sp3,6.003930402515869,0.004875482931579601,6.0,-0.006002680309820729,*,0.5497194046904154,0.0036336537321839607,0.37817790000000007,0.5635147672863575,0.5157519035499424,0.004531158063837766,1522.3950518427232,0.362561292011516,31.41219334965737,0.3200456958133951,1.1308420255983782,0.5996424302340213,0.4852035638357184,0.005979694510214094,1431.9629107694486,0.37480839954257134,34.37353121203413,0.5067993957491528,1.055111541745517,0.6584831426440404,0.013527651299497895,0.017531821262221872,7.248360270133917e-05,3.5143209016816484e-06,11.396434379343228,16.142308453950882,-,-,1.7283621775030025,0.15349108364252093,1.0319554858283462,1.8074144617034604,0.44336704221124373,0.0629997471521506,-0.15143740987171048,0.2448233733534422,-0.16175981808666012,0.11684746663431572,1.9426891029190647e-05,0.0003039338096081262,1.0965251883472225,0.09689295098743801,-0.2687592207654449,0.017421431999345018,0.49999999999999994,0.006360561116754817
ND70_04_02_06032022_150x150_sp1,6.001375017724436,0.0044273307730956215,3.679578,-0.009183294083373681,*,0.6485315092990401,0.003621668633308361,0.2816526,0.43894219843744037,0.800027822476561,0.004571156782646936,1521.4040057379054,0.2563171914947234,33.45666093144088,0.22343238636163348,1.3279469872224674,0.49502507054356976,0.7460916777868579,0.006014829252832795,1431.335769748511,0.2563357895259866,33.49295960290756,0.32448715305224785,1.1716548398930546,0.5614909440317775,0.01279209080152264,0.018629856551401012,9.325919584279426e-05,5.051576756318824e-06,8.702340977848479,13.899736264384215,-,-,1.5551923547139097,0.1484773979896255,2.5341405218252837,1.770981996477179,0.49410719470056513,0.06285577292237762,0.10976663903660484,0.24326107669797423,-0.5142972757475133,0.111692703606682,0.00023059261517967074,0.00029635323147448646,0.8125702552416053,0.0954388572025811,-0.313748974356272,0.01708861361657949,0.49999999999999994,0.002258455797883047
ND70_04_02_06032022_150x150_sp2,5.9893925792780145,0.005268378500506472,6.0,0.009782027949551984,*,0.722486570316703,0.0036287932841509896,0.3425837,0.5388131076436977,0.878251048966623,0.00451930181322435,1521.2419562823923,0.22067091954830745,33.23412587658263,0.19973476918317776,1.5142795088143313,0.6042793592076614,0.8186743872263577,0.005658693602527886,1431.2543514881088,0.22119906742692327,32.7786289829526,0.2802651384249225,1.3263629682459774,0.6610227080184199,0.019575062605818636,0.02019007828879198,0.0001224676050219644,6.213218188251053e-05,11.151117560186364,16.845023599836754,-,-,1.9226725806936444,0.1336133136484789,3.4437261591212813,1.6005515867530236,0.5577249373258548,0.06092409222673903,-0.19397240244483885,0.22237963746559525,-0.5865127413626092,0.10048053642897609,0.0004174841332598014,0.00026693629204152704,0.94760730586005,0.08671987856142031,-0.31718989977547357,0.016956434861825097,0.49999999999999994,0.001910668197244531
ND70_04_02_06032022_150x150_sp3,3.428397976052564,0.007003481865325415,3.196887,0.006618466048071059,*,0.7568531995617388,0.0032141617275122216,0.33533070000000004,0.555219554858902,0.8971703600500098,0.004401867372520596,1521.3421861896559,0.22110777043150365,34.163341534581946,0.1975231591863251,1.5661223799301782,0.6351118760718935,0.8318869747446126,0.005356905628779295,1430.7740553192218,0.22316863086715666,33.03158613845208,0.2607312951309271,1.385482224066391,0.7010745508410522,0.01829182936701575,0.019921459696670075,6.639957003242912e-05,4.554593446616213e-05,12.878279220203936,16.24538943238844,-,-,1.8321481384686416,0.09062988998885696,2.5582877991048107,1.0396492210055488,0.9999999999999999,0.025025525534446418,-0.2662090076051563,0.15678463409911564,-0.7375801267695887,0.06649817744356677,0.0002819564060874803,0.00017131992130757802,1.005161968964664,0.05583732200327208,-0.3427953447881089,0.015107157190106425,0.49999999999999994,0.0017221037987727825
ND70_05_02_06032022_150x150_sp1,5.953705866953519,0.003881921025851552,6.0,0.05750825698867473,*,1.3130803586736988,0.0028199330502248605,0.4217293,0.9101302298426175,1.9999999999999998,1.2084654641569743e-05,1524.1137310258425,0.06023578719609403,39.99999999999999,0.0018638505651458353,3.6449432060431257,1.1281235812682497,1.9999999999999998,1.8939432885317025e-05,1436.9552551701283,0.05257123128209318,39.99999999999999,0.0009089911707382939,3.201239550322059,1.227095035120755,0.03262054165503472,0.026610873252884092,0.0006553129104555915,0.00018136852376326095,12.090684830053933,15.049137490420847,-,-,1.259980862121331e-38,0.00028059320141612606,1.9305058800625552,0.061401718608287706,0.9999999999999999,0.00035684143397822894,-0.7499999999999999,0.0003077067403503417,-0.7499999999999999,0.00012243370626274238,-0.0020360323057807893,6.872556497654343e-06,1.1778625081224543,0.004009413979786423,0.20479312312919068,0.0134651682649722,0.3780572443111559,0.013454187552854772
