,H2OT_MEAN,H2OT_STD,H2OT_3550_M,H2OT_3550_STD,H2OT_3550_SAT,H2Om_1635_BP,H2Om_1635_STD,CO2_MEAN,CO2_STD,CO2_1515_BP,CO2_1515_STD,CO2_1430_BP,CO2_1430_STD,H2Om_5200_M,H2Om_5200_STD,OH_4500_M,OH_4500_STD,PH_5200_S2N,PH_4500_S2N,ERR_5200,ERR_4500
ND70_02_01_06032022_150x150_sp1,2.1374210118632226,0.2274715227607879,2.829291698232175,0.21851394360595508,*,0.6660945390582937,0.12180384203737554,1328.048856436746,42.695201598204186,1357.083707588445,60.60086555264064,1278.4930077603442,59.35739904727602,1.021208180658759,0.2930637274114974,1.454812768854541,0.434575829302396,12.88876878999146,11.795075240207007,-,-
ND70_02_01_06032022_150x150_sp2,2.17167480799124,0.23045713455353214,2.8293253052093315,0.2186197637370512,*,0.6865729552716265,0.12552516339022968,1341.0697160239401,43.07060606168313,1370.167625180477,60.98356065816205,1292.281402732348,60.00901608090865,0.6548685734079261,0.1882388523709609,1.4691589251788868,0.43914988966201407,10.483097512154703,16.55882331381686,-,-
ND70_02_01_06032022_150x150_sp3,1.978879759658091,0.20515262233953724,2.8240695425258315,0.218520939827475,*,0.6618978683936347,0.12099973244011417,1364.0264145988194,43.715620014075554,1392.318138372066,61.88506483378059,1309.9440917713973,60.54979166450608,1.0263544605229156,0.2949491968488909,1.2982738611590507,0.38877767713463135,9.72444436464204,14.458686870424344,-,-
ND70_03_01_06032022_150x150_sp1,2.938241186907834,0.3003588715743992,2.5400863412167736,0.19796354847786723,*,1.1209562005824736,0.20886089422796608,1799.4195561972226,57.07204521758283,1870.049333120091,83.03855657975531,1744.934638844644,78.94859878437497,1.2759948561882586,0.3809863555986218,1.8304663178227576,0.5652770980623179,11.60863253514016,15.235181087176134,-,-
ND70_03_01_06032022_150x150_sp2,3.0965739095987237,0.31328222759660984,5.628530543234528,0.4387527638185466,*,1.1677450935839984,0.21744243952953038,2021.414064774455,63.90697564223078,2031.4061671182403,90.02873658676393,1900.1123080187942,85.70532437711044,1.2123309701318012,0.3627822688548801,1.8435720203525454,0.5688986216843026,14.061760247569149,15.355869883327166,-,-
ND70_03_01_06032022_150x150_sp3,2.9251825436052146,0.2918358162919722,5.66072903586208,0.44140925341725595,*,1.1336787788222908,0.21142863415924043,2004.0218713332797,63.43854168356532,2003.6664739825328,88.78497444454234,1884.9879316447968,85.2406730484888,1.1937654071051822,0.35680158084402436,1.7043700838597182,0.5260167715619427,11.396434379343226,16.142308453950882,-,-
ND70_04_02_06032022_150x150_sp1,3.0481646810787835,0.280503964271453,5.508257677039487,0.42666305743030336,*,1.268740751603817,0.22900072188592563,3077.024224357627,95.99931136211404,3099.3644351733983,135.97381250617835,2890.411991364446,127.99345593022014,1.0486961743158043,0.2937726477191084,1.6980582755865732,0.4968239506474274,8.702340977848479,13.899736264384215,-,-
ND70_04_02_06032022_150x150_sp2,3.342524395305362,0.30542124151049815,5.514658687788551,0.4267781421824886,*,1.4178946463492492,0.2557059570842447,3376.749465350623,104.9301587643518,3413.1754058224697,149.7811675803905,3181.640701876325,140.21565591984705,1.609843601349204,0.45147487050307694,1.8460925029382858,0.5399205131031904,11.151117560186362,16.845023599836754,-,-
ND70_04_02_06032022_150x150_sp3,3.300059784277967,0.2971276665363839,3.1552217388641304,0.24443629662410327,*,1.484665553790941,0.26810514659237167,3352.925291053043,104.2760377514044,3485.119266721539,152.699993806959,3231.521517558311,142.10668489010965,1.5036282090517048,0.42095222336332594,1.8207042671217353,0.5315366955590267,12.878279220203936,16.24538943238844,-,-
ND70_05_02_06032022_150x150_sp1,4.1131414867442615,0.3783762553108439,4.264850834621421,0.3238563025553629,*,2.091969366147638,0.3954244903220057,5963.8702255022545,169.01752701055685,5953.678358369444,238.44881146601813,5953.678358369444,238.19916536275403,2.2551871561384464,0.7032715134378966,2.0141430287575544,0.6422858170802608,12.090684830053933,15.049137490420847,-,-
