,PH_3550_M,PH_3550_STD,H2Ot_3550_MAX,BL_H2Ot_3550_MAX,H2Ot_3550_SAT,PH_1635_BP,PH_1635_STD,PH_1515_BP,PH_1515_STD,P_1515_BP,P_1515_STD,STD_1515_BP,STD_1515_STD,PH_1430_BP,PH_1430_STD,P_1430_BP,P_1430_STD,STD_1430_BP,STD_1430_STD,PH_5200_M,PH_5200_STD,PH_4500_M,PH_4500_STD,STN_P5200,ERR_5200,STN_P4500,ERR_4500,AVG_BL_BP,AVG_BL_STD,PC1_BP,PC1_STD,PC2_BP,PC2_STD,PC3_BP,PC3_STD,PC4_BP,PC4_STD,m_BP,m_STD,b_BP,b_STD,PH_1635_PC1_BP,PH_1635_PC1_STD,PH_1635_PC2_BP,PH_1635_PC2_STD
21ALV1846-9_44x44_s1_EP_103um,1.3943399320326542,0.002442854333200447,1.486878,0.09104540632903907,-,0.16750243746300686,0.0029673228569261226,4.42319759362315e-36,0.00035005869927042394,1513.2219343271668,10.214479526951266,30.000000000000004,3.9608778527599795,0.007636767695146791,0.0033814457499969025,1415.0000000000002,5.0339308594834025,34.43932861522485,4.028859601227779,0.009402488073431406,0.00019600894266342118,0.011226293974265252,9.436639294417383e-05,17.131718241096465,-,8.753267346532297,-,1.1960233757168395,0.010005189025528447,2.9999999999999996,0.07174279237440072,0.5602010549756435,0.018182457368114566,0.2814959742415527,0.01699196658759218,0.13356460334722112,0.020310139274101347,0.00015271508580192317,1.3346603934178182e-05,0.6931979301208399,0.00414813280185978,0.06570645321092454,0.013891728182301374,-0.03212369478686811,0.012438107645631925
21ALV1846-9_44x44_s2_EP_103um,1.4964670187449594,0.002635590017584001,1.716836,0.21853526327463418,-,0.17240369560642335,0.0029761002919973423,1.9463618024916207e-28,0.00031955737892546223,1508.77313209479,10.204115272240323,30.00000000000009,3.7194378448633323,0.00818833793780633,0.0034689999043423813,1415.0000000000002,4.977533298407112,34.784232751320594,4.086310346206977,0.009156571743137698,0.0005140210193500946,0.009701128518697505,0.0001687637609303999,12.388464627838317,-,9.73074179457347,-,1.2785202680581338,0.010494401146927297,2.9999999999999996,0.0773716313832851,0.6195825568086036,0.01851809220434339,0.2915597682342576,0.017381070078482403,0.0718596548145538,0.020923199490242975,0.00014216126761852947,1.4330212791527813e-05,0.8738438015288365,0.004384051397867176,0.05397282731512526,0.013941102842346467,-0.035141975765698726,0.012508620428880467
21ALV1846-9_44x44_s3_EP_103um,1.405502314457479,0.002728830499957796,1.507725,0.10159019463895604,-,0.16783402516395127,0.002922784586139382,1.5383156035531364e-41,0.00033409252081888777,1500.0438066548465,10.406009734117223,30.00000000000003,4.175057163841728,0.008069670789533814,0.0034427897246860468,1415.0000000000002,5.221627479445451,35.09849446220783,4.171003348321698,0.008941377920594825,0.00018435509862680437,0.011152952180732237,9.214533716439908e-05,17.61878374318969,-,10.24903849833017,-,1.2068101917776395,0.009884791075582676,2.9999999999999996,0.06788134884359973,0.5687636592169639,0.01815554994460605,0.2889785493340347,0.016541681928625672,0.12125662581051555,0.02071820842749018,0.00014937693840476682,1.2863769529642562e-05,0.714734750873153,0.003928586109471756,0.05285334575470897,0.014002985986861923,-0.02713442790448935,0.012512420157486916
23WOK5-4_44x44_s1_EP_147um,1.4984581380508069,0.0018584759655799832,1.749934,0.25180186524773546,-,0.13256337538135926,0.002922621576455408,3.0716611900189624e-26,0.0009969739982911051,1526.250722960698,10.182220975598801,29.99999999999999,3.8577133929061005,0.013068787796880943,0.0031756425331510092,1415.0000000000002,4.0538626252930205,31.04369151783109,3.7671623763675717,0.007144262025093336,0.0004266261076982881,0.00866548780410885,4.500833873879142e-05,9.736291404509954,-,8.894970066146834,-,1.3844199076202302,0.010564230772027557,2.9999999999999996,0.07842939163114247,0.6617042149325595,0.018388940988202263,0.1504670114282972,0.017840746418590913,0.0716063750351019,0.02035887394107699,8.107793523519328e-06,1.450202813123345e-05,1.0114533186465442,0.004436314063393616,0.12484963628570686,0.014094565357900074,-0.09315439744451799,0.012721646290574854
23WOK5-4_44x44_s2_EP_147um,1.4006071541090117,0.001350507168327962,1.509591,0.10636891915796111,-,0.12629706164275117,0.002946413621334221,3.156598927109455e-29,0.0009445204892178645,1526.249212826828,10.061456607027113,30.000000000000014,4.015587263556102,0.01144159793022516,0.0032255661021419425,1415.0000000000002,4.080751531854114,30.325079961814247,3.648259504298599,0.007594521246604258,0.0002548312093398841,0.010134909159515827,0.000177523853376829,11.925678873725111,-,11.297599594546936,-,1.2607147096048255,0.00929736901304725,2.9999999999999996,0.05908072327711095,0.6569849044141525,0.018371418304052128,0.19342921243576217,0.016705067928029664,0.12313726166848812,0.01939484599712612,-7.0867500482343195e-06,1.1436934457767266e-05,0.8096831056250321,0.003577438153389718,0.14522013096454495,0.013893133312962085,-0.09680243275586013,0.012858188712677396
23WOK5-4_44x44_s3_EP_147um,1.451774307665296,0.0015546900828357817,1.61366,0.16231953680037503,-,0.1293856608621944,0.0029309700143874424,1.983933763912773e-27,0.0009274429077741034,1534.999924987964,10.079614665508725,29.999999999999982,3.824328267093018,0.011510190587382474,0.003229177608673307,1415.0000000000002,3.8057865595639706,30.06682970770798,3.9795339249174315,0.008081194582311263,0.0002390749438975218,0.010640997447813471,0.0002750292775646042,19.97351708202484,-,12.44908353951663,-,1.3056321550456833,0.009346746070419052,2.9999999999999996,0.05805076677695828,0.6487995825227817,0.0184800817137328,0.18513640519814273,0.01613832253130178,0.114894512754556,0.019548613780974437,-1.797962050013483e-05,1.1488560719187177e-05,0.9000171241679309,0.0034977354887037793,0.14183678172561107,0.014349425098762915,-0.09278411244657617,0.012671060783072842
ALV1833-11_44x44_s1_EP_108um,1.079042794680391,0.0004973912966979926,1.194999,0.11565977697283196,-,0.05466265291268482,0.002984154122162092,0.002639514195179639,0.0023353079544800935,1534.9999999999998,9.684400550466336,29.97602429751403,4.049808201870074,0.013708438928767984,0.0033639372619053533,1420.53698619309,4.507966637828355,27.776701074275792,3.6602587945121954,0.0060635619485887885,0.0003705507863958799,0.006623386363820795,2.3090988273089833e-05,13.787784069884617,-,6.182569602891941,-,1.1796269407725128,0.010553100495866967,2.9999999999999996,0.07770718450510232,0.43827779230453584,0.018795073612791157,0.15801865183591574,0.01951425929324398,0.061997251339027004,0.019979562604657487,2.04335138650268e-05,1.4415510755487986e-05,0.7283670741715689,0.004415584841393306,0.12328811714439113,0.014128280043787831,-0.10413843159606881,0.012886963574541612
ALV1833-11_44x44_s2_EP_108um,1.0764029690275116,0.0005570297883821976,1.174296,0.09681829790878661,-,0.054827091671480144,0.00304253577665976,0.001829766769111296,0.002247040618345904,1534.9999999999998,9.746917623518877,30.00335891057944,4.058375371392289,0.013146200702261471,0.003409470210473407,1419.2062226856601,4.285431331268002,27.706042250603428,3.7469624398757078,0.006176321409207374,0.00031261992512356503,0.007067848606811419,0.00031598258145642194,15.081188176088396,-,7.282818355794404,-,1.1721879992926618,0.01042319589074807,2.9999999999999996,0.0778597770150763,0.4389675490712176,0.018681376096305206,0.153966531156956,0.019368321912825663,0.067211542631888,0.020200517867969173,1.9276802644551985e-05,1.430595454235433e-05,0.7068177610662147,0.00444162979997011,0.12422219959346455,0.014092942479549798,-0.10377360495751572,0.012916615536940346
ALV1833-11_44x44_s3_EP_108um,1.0761600124501716,0.0006053410238975731,1.177185,0.09932924692153045,-,0.05468870207679998,0.002971609221237543,0.0020480476360554413,0.0022876269716938726,1534.9999999999998,9.783878565371658,30.037035058855757,3.87677649739354,0.013665438191156974,0.003439341462359859,1420.1564767082482,4.400637951855212,27.871332854566127,3.70204230408847,0.005999923424309422,0.00016256516080497376,0.006602996009273406,0.0002034690557191107,15.91019465914487,-,8.936275576948217,-,1.1685362405475122,0.010450119079158961,2.9999999999999996,0.0769727453461177,0.4516175677259891,0.018912337386835038,0.15881159157328442,0.019509626188980465,0.07025465581822031,0.020230602343895017,1.7013720493421568e-05,1.4283617973354631e-05,0.708396408625689,0.00441141296798028,0.12872580906906558,0.014312350682603961,-0.10717409886178372,0.013059008173382807
BF73_100x100_051823_sp1,1.5415749883003265,0.0003136791843891021,1.650644,0.13108273102352436,-,0.0883628331866911,0.0031187924569265305,1.0002551401042472,0.0033143594363784176,1525.2164760602798,0.16965483358561817,33.120104571311046,0.23914443519268058,1.0489902219466918,0.003439280640652902,1426.4559302283049,0.2074920388707648,39.794345637580506,0.1940925711056411,0.011746374130668933,0.0002032946112390593,0.009856373459076759,5.983348486027309e-06,36.286359223637795,-,13.439949998096026,-,2.7958912982047206,0.0077304341982544714,2.9999999999999996,0.016823303278425458,0.6970611964242444,0.020513990008477066,0.4909510651834678,0.019472432660660597,0.29999999999999993,0.013390040236808672,-0.0004326606969225575,7.413776880022459e-06,1.8196662877364123,0.002230239400593835,0.30344723781771,0.014555281588161297,0.7722932725169107,0.02660121400953374
