,Density,Density_Sat,Tau,Eta,epsilon_H2OT_3550,sigma_epsilon_H2OT_3550,epsilon_H2Om_1635,sigma_epsilon_H2Om_1635,epsilon_CO2,sigma_epsilon_CO2,epsilon_H2Om_5200,sigma_epsilon_H2Om_5200,epsilon_OH_4500,sigma_epsilon_OH_4500
21ALV1846-9_44x44_s1_EP_103um,2799.721949923055,2799.721949923055,0.6595583965411587,0.2177055637742523,62.797376399201426,7.277666388680767,31.55291897442271,8.360874827617256,363.36622990789755,14.079332668884508,0.7923637506632906,0.29076592785854016,0.6971745460663672,0.2701884656891454
21ALV1846-9_44x44_s2_EP_103um,2796.6406876628594,2796.6406876628594,0.6595583965411587,0.2177055637742523,62.797376399201426,7.277666388680767,31.55291897442271,8.360874827617256,363.36622990789755,14.079332668884508,0.7923637506632906,0.29076592785854016,0.6971745460663672,0.2701884656891454
21ALV1846-9_44x44_s3_EP_103um,2799.384881945337,2799.384881945337,0.6595583965411587,0.2177055637742523,62.797376399201426,7.277666388680767,31.55291897442271,8.360874827617256,363.36622990789755,14.079332668884508,0.7923637506632906,0.29076592785854016,0.6971745460663672,0.2701884656891454
23WOK5-4_44x44_s1_EP_147um,2809.8053351084964,2809.8053351084964,0.6571068603683341,0.34672038706821856,62.622413471607786,7.264732195719246,31.248314295828948,8.345742800550846,317.5394808953173,17.130452472425716,0.7809015246442361,0.29022804937738056,0.6885144406020682,0.26969349444769575
23WOK5-4_44x44_s2_EP_147um,2811.8719680602776,2811.8719680602776,0.6571068603683341,0.34672038706821856,62.622413471607786,7.264732195719246,31.248314295828948,8.345742800550846,317.5394808953173,17.130452472425716,0.7809015246442361,0.29022804937738056,0.6885144406020682,0.26969349444769575
23WOK5-4_44x44_s3_EP_147um,2810.7909980756112,2810.7909980756112,0.6571068603683341,0.34672038706821856,62.622413471607786,7.264732195719246,31.248314295828948,8.345742800550846,317.5394808953173,17.130452472425716,0.7809015246442361,0.29022804937738056,0.6885144406020682,0.26969349444769575
ALV1833-11_44x44_s1_EP_108um,2808.2295750240055,2808.2295750240055,0.6569207364214361,0.30273451925329103,62.60913004915392,7.263750589177731,31.22518829603669,8.344593415137242,333.16349426827895,16.133077718059152,0.7800312969190442,0.29018718386807707,0.6878569536649244,0.2696559106772271
ALV1833-11_44x44_s2_EP_108um,2808.305077356991,2808.305077356991,0.6569207364214361,0.30273451925329103,62.60913004915392,7.263750589177731,31.22518829603669,8.344593415137242,333.16349426827895,16.133077718059152,0.7800312969190442,0.29018718386807707,0.6878569536649244,0.2696559106772271
ALV1833-11_44x44_s3_EP_108um,2808.31203337496,2808.31203337496,0.6569207364214361,0.30273451925329103,62.60913004915392,7.263750589177731,31.22518829603669,8.344593415137242,333.16349426827895,16.133077718059152,0.7800312969190442,0.29018718386807707,0.6878569536649244,0.2696559106772271
BF73_100x100_051823_sp1,2874.0849644020077,2874.0849644020077,0.6426994871533086,0.26303972511140633,61.59417810450295,7.188906974510447,29.45819048032473,8.256543033911358,347.26329552988534,15.19761898649665,0.7135394477709345,0.2870524768913344,0.6376200777577803,0.26678216791376747
BF73_100x100_051823_sp2,2873.739116696384,2873.739116696384,0.6426994871533086,0.26303972511140633,61.59417810450295,7.188906974510447,29.45819048032473,8.256543033911358,347.26329552988534,15.19761898649665,0.7135394477709345,0.2870524768913344,0.6376200777577803,0.26678216791376747
BF73_100x100_051823_sp3,2873.8863622158606,2873.8863622158606,0.6426994871533086,0.26303972511140633,61.59417810450295,7.188906974510447,29.45819048032473,8.256543033911358,347.26329552988534,15.19761898649665,0.7135394477709345,0.2870524768913344,0.6376200777577803,0.26678216791376747
BF73_1_RA,2877.0298153514686,2877.0298153514686,0.6426994871533086,0.26303972511140633,61.59417810450295,7.188906974510447,29.45819048032473,8.256543033911358,347.26329552988534,15.19761898649665,0.7135394477709345,0.2870524768913344,0.6376200777577803,0.26678216791376747
BF73_2_RA,2876.8990938520847,2876.8990938520847,0.6426994871533086,0.26303972511140633,61.59417810450295,7.188906974510447,29.45819048032473,8.256543033911358,347.26329552988534,15.19761898649665,0.7135394477709345,0.2870524768913344,0.6376200777577803,0.26678216791376747
BF73_3_RA,2877.5242376736087,2877.5242376736087,0.6426994871533086,0.26303972511140633,61.59417810450295,7.188906974510447,29.45819048032473,8.256543033911358,347.26329552988534,15.19761898649665,0.7135394477709345,0.2870524768913344,0.6376200777577803,0.26678216791376747
BF76_100x100_051823_sp1,2876.615725256029,2876.615725256029,0.6426994871533086,0.26303972511140633,61.59417810450295,7.188906974510447,29.45819048032473,8.256543033911358,347.26329552988534,15.19761898649665,0.7135394477709345,0.2870524768913344,0.6376200777577803,0.26678216791376747
BF76_100x100_051823_sp2,2876.303625728551,2876.303625728551,0.6426994871533086,0.26303972511140633,61.59417810450295,7.188906974510447,29.45819048032473,8.256543033911358,347.26329552988534,15.19761898649665,0.7135394477709345,0.2870524768913344,0.6376200777577803,0.26678216791376747
BF76_100x50_051823_sp3,2876.15545853781,2876.15545853781,0.6426994871533086,0.26303972511140633,61.59417810450295,7.188906974510447,29.45819048032473,8.256543033911358,347.26329552988534,15.19761898649665,0.7135394477709345,0.2870524768913344,0.6376200777577803,0.26678216791376747
BF76_1_RA,2878.9233136705975,2878.9233136705975,0.6426994871533086,0.26303972511140633,61.59417810450295,7.188906974510447,29.45819048032473,8.256543033911358,347.26329552988534,15.19761898649665,0.7135394477709345,0.2870524768913344,0.6376200777577803,0.26678216791376747
BF76_2_RA,2878.9096067714154,2878.9096067714154,0.6426994871533086,0.26303972511140633,61.59417810450295,7.188906974510447,29.45819048032473,8.256543033911358,347.26329552988534,15.19761898649665,0.7135394477709345,0.2870524768913344,0.6376200777577803,0.26678216791376747
BF76_3_RA,2878.716478130546,2878.716478130546,0.6426994871533086,0.26303972511140633,61.59417810450295,7.188906974510447,29.45819048032473,8.256543033911358,347.26329552988534,15.19761898649665,0.7135394477709345,0.2870524768913344,0.6376200777577803,0.26678216791376747
