,H2OT_MEAN,H2OT_STD,H2OT_3550_M,H2OT_3550_STD,H2OT_3550_SAT,H2Om_1635_BP,H2Om_1635_STD,CO2_MEAN,CO2_STD,CO2_1515_BP,CO2_1515_STD,CO2_1430_BP,CO2_1430_STD,H2Om_5200_M,H2Om_5200_STD,OH_4500_M,OH_4500_STD,PH_5200_S2N,PH_4500_S2N,ERR_5200,ERR_4500
21ALV1846-9_44x44_s1_EP_103um,1.387128309130337,0.10827525934824146,1.387128309130337,0.10827525934824146,-,0.34753603932911936,0.05824233129261893,4.203201102676156e-17,4.067150190574205,6.643812272706326e-21,5.941442456186385,8.405737824125042e-17,5.555727155879514,0.7413281117799958,0.17828735347507849,1.0059632931699383,0.2575114874823073,17.131728416419776,8.75324017198633,-,-
21ALV1846-9_44x44_s2_EP_103um,1.4903648269838603,0.11624975646073538,1.4903648269838603,0.11624975646073538,-,0.3547153326523718,0.05951025874607902,5.620789057511285e-20,4.0788133599896375,1.114879888899555e-19,4.413237524600368,9.277922602701861e-22,6.860773152785264,0.7227301134162779,0.178201180938743,0.8702595015281044,0.22289782549773224,12.388415800110986,9.730795215746943,-,-
21ALV1846-9_44x44_s3_EP_103um,1.398400134303837,0.1091670858057776,1.398400134303837,0.1091670858057776,-,0.34798158280472485,0.05838488603486977,4.906145646262702e-16,4.066946632691031,1.1568885817416579e-26,5.813519746554933,9.812291292409716e-16,5.688867005744072,0.7050443880026165,0.16943067973908227,0.9995177673937551,0.2556961282694138,17.618603145221613,10.249104892706972,-,-
23WOK5-4_44x44_s1_EP_147um,1.0436714373711462,0.07842478475519463,1.0436714373711462,0.07842478475519463,-,0.21126706984649307,0.03550824256079088,29.90945373490004,8.845039586020526,30.53366404691254,12.272434065241868,29.28524342288754,12.74073244469766,0.39902323647044646,0.09993261744971763,0.5489201916850142,0.1417199217837975,9.736001411796336,8.894459241865942,-,-
23WOK5-4_44x44_s2_EP_147um,0.9747985844615942,0.07325581019640645,0.9747985844615942,0.07325581019640645,-,0.20904750210666448,0.03513801974650001,39.79335356464417,9.057740487938537,51.78491263011898,12.816516682460588,27.80179449916936,12.802638443523023,0.42387082567045004,0.10352009964098233,0.6415509645234869,0.16606609082066598,11.925778101428044,11.297509831985488,-,-
23WOK5-4_44x44_s3_EP_147um,1.0107986670112634,0.07593564756282119,1.0107986670112634,0.07593564756282119,-,0.21271055569585517,0.035741779263033874,40.48135507557856,9.030020366081985,51.51965447247922,12.82281453666624,29.443055678677904,12.717723798136312,0.4512019411947149,0.11005898166874065,0.6738525764184458,0.17481092184693447,19.97360576198945,12.449098706217844,-,-
ALV1833-11_44x44_s1_EP_108um,1.0237307677989556,0.0794182031628142,1.0237307677989556,0.0794182031628142,-,0.1460594851682728,0.025501333136406276,85.75429180598181,12.770384238851804,97.36527217327877,17.646664289585186,74.14331143868483,18.46418408385102,0.4617586070977135,0.11650511718483987,0.5719599581542606,0.1483897312655039,13.788354886001896,6.18261231584605,-,-
ALV1833-11_44x44_s2_EP_108um,1.021199150406028,0.07927743849385857,1.021199150406028,0.07927743849385857,-,0.1465277747119811,0.025570366134512204,83.2442533086334,12.699675545552626,95.40700386481821,17.618920646460968,71.08150275244861,18.294826347985406,0.4703058350124317,0.11713425925573145,0.61032283536623,0.16099299274312984,15.080797364439908,7.282843770570449,-,-
ALV1833-11_44x44_s3_EP_108um,1.0209659261627446,0.07937483758943424,1.0209659261627446,0.07937483758943424,-,0.14737887445302075,0.025745382293046865,83.77884236246224,12.8721853846649,95.26240173706107,18.018888622902068,72.29528298786342,18.387285800361433,0.4569151451025801,0.11173992988032598,0.5701866902849325,0.14893817665136955,15.91082999583586,8.936403024621699,-,-
CD33_12-2-2_VG9764_44x44_s1_EP_105um,0.2661936317906068,0.02086831130635717,0.2661936317906068,0.02086831130635717,-,3.77789932338167e-37,0.003139677846127247,125.98636066413823,13.261512303284915,149.06934909605553,18.50080666525054,102.90337223222092,19.00502530952616,0.4910879009598964,0.14005531607720995,0.10211201372514009,0.030659500753639574,9.775817078758715,2.275648886649353,-,*
CD33_12-2-2_VG9764_44x44_s2_EP_105um,0.2637850972126747,0.02069057587351903,0.2637850972126747,0.02069057587351903,-,2.8139314700189568e-40,0.002944700139009706,121.57981595442715,13.175982700040933,142.32515831897024,18.309636790752943,100.83447358988406,18.95213130594599,0.478060245468535,0.13591365859085647,0.11603558146395777,0.03742139866047956,10.584736035559713,3.0034663421136476,-,*
CD33_12-2-2_VG9764_44x44_s3_EP_105um,0.26684355826622935,0.02090791804309519,0.26684355826622935,0.02090791804309519,-,6.0022623805717595e-36,0.003078894248214009,123.08480774461435,13.284379380003138,144.77650605434863,18.629187586239265,101.39310943488007,18.943397581324188,0.4904727169239429,0.139970936192638,0.09949665996720423,0.036694633865778654,11.740689223907438,1.7147926506106508,-,*
CD33_22-1-1_VG9812_44x44_s1_EP_73um,0.5388086373482931,0.04517140664843097,0.5388086373482931,0.04517140664843097,-,0.033018586280558065,0.012476451702826232,128.68737636640574,18.081538135598464,154.41121562711257,25.188134484867472,102.9635371056989,25.948525325510044,0.4126527379356131,0.11866412670190439,0.36868632395965384,0.10878860544181604,5.412727683791551,4.844100082201631,-,-
CD33_22-1-1_VG9812_44x44_s2_EP_73um,0.5231053967817059,0.04387262979679558,0.5231053967817059,0.04387262979679558,-,0.040761693378687354,0.013256213378397804,122.42210507817194,17.775306852539515,151.14362989081624,24.624031619788944,93.70058026552762,25.64182523915541,0.4518747519574555,0.12230789563212441,0.27555247875404604,0.07913011068368915,8.345936485958887,4.100159605027521,-,-
CD33_22-1-1_VG9812_44x44_s3_EP_73um,0.5304711929790903,0.04449214487408135,0.5304711929790903,0.04449214487408135,-,0.04606009193199195,0.013704574866724186,122.43015044905465,17.91837998390489,154.18391532378124,24.93765588184441,90.67638557432807,25.736874015877,0.4164653266557377,0.11466501287253801,0.2838743651231227,0.07946038050423122,6.963665318556896,3.3494720578838497,-,*
ETFSR_Ol8_256s,3.8556528781501047,0.4313458042087443,3.8556528781501047,0.4313458042087443,-,2.276762851322584,0.7503116738404962,5116.035668059083,319.0036414870763,5319.07817980597,467.238236540434,4912.993156312195,434.44415457299687,6.711469286549232,6524.407017728231,3.1313515491021047,5.224565827060765,3.971779757841812,6.745442167174278,*,-
ETFSR_Ol8_256s_2,3.8047970185106674,0.42606518684702166,3.8047970185106674,0.42606518684702166,-,2.2304185125932476,0.735630558737073,4988.3950211863485,311.5819882571248,5201.533836106983,457.3534867202925,4775.256206265713,423.27429618374356,8.301151392900827,6576.767339061273,2.242178519823686,3.760188548999985,2.903693472115888,4.182583432928491,*,-
ETFSR_Ol8_highres_256s,3.887569285172003,0.43518215072257344,3.887569285172003,0.43518215072257344,-,2.2791337247805923,0.7519625971235345,5151.596944680625,321.19541431395265,5363.476800224638,470.9751379717751,4939.71708913661,436.8619874945796,8.136341410741275,3984.7769425660363,4.633796949917855,7.69163662154509,3.91601279835911,2.4756666827960334,*,*
Fiege63_256s,3.1476946402381616,0.4632571156228024,1.8759300910597874,0.144070921134645,*,1.0677220209176466,0.23521003648864894,501.13833095608413,19.178060661763727,520.4294629161569,27.508989968781897,496.45024775669816,27.51533252144599,1.96463092226154,0.889149433385679,2.1258341464436303,0.9096551926830054,14.397796906527761,18.60371608916945,-,-
Fiege63_256s_2,3.2465411828025053,0.47849966245689407,2.034615288212279,0.1561397114319101,*,1.087973389338434,0.2394883090922589,402.27542492018756,16.759600141539497,416.7246179329733,23.852174689889612,398.96780892858976,24.22221962654692,1.862144681194224,0.8412065777817392,2.2035265286985544,0.9409831236586846,9.591360576342794,16.026534681609373,-,-
Fiege63_256s_3,3.2823496019585394,0.48690109162317946,2.2060168903491757,0.16915362278292517,*,1.0805287574228304,0.23764521819543696,510.4157767339932,19.945541601062633,531.1829330844647,28.28675706818966,502.1769910282761,28.82660449173202,1.830004997354943,0.8286079679092521,2.24210417263161,0.9574405035313234,13.079867427582501,13.663194287913905,-,-
Fiege73_256s,3.9396830370944853,0.4917311754730487,1.7075213489547496,0.13100810579093117,*,1.8933701737071034,0.4159864738578807,1169.9313767923813,37.15696897404652,1241.320624866594,55.53398389003347,1158.022095102254,52.31890748765824,3.8988771626208867,1.7622436454242925,2.1464607093460075,0.919439375144822,12.603066408149706,12.913711331390102,-,-
Fiege73_256s_2,3.961984529503255,0.4968911052857952,1.724087531353855,0.1321223913214808,*,1.8908936941620489,0.4160043789819948,1182.56786869827,37.573688488346946,1260.192785278413,56.35899172836966,1165.1965156102042,52.588536406821916,3.862509773409068,1.7430672632912099,2.1720252902346204,0.9283367734743943,13.311042120104794,13.278696181748643,-,-
Fiege73_256s_2_highres,3.9266852607616007,0.4913581838088757,1.668087214022021,0.12784777132996983,*,1.8790888059200912,0.4133986649278393,1157.3967719419884,36.81635038954482,1227.3312510938204,55.024153674145445,1147.033600837909,51.83314984855849,3.8585236487925774,1.747536217463582,2.148649863208507,0.9197771167952944,13.203937299491754,13.587428985696357,-,-
Fiege73_2_256s,3.961984529503255,0.49619851255359665,1.724087531353855,0.13222848028632816,*,1.8908936941620489,0.41581282036946027,1182.56786869827,37.58624179704799,1260.192785278413,56.46736964612274,1165.1965156102042,52.56458267009415,3.862509773409068,1.747575563175754,2.1720252902346204,0.9291593975631922,13.311042120104794,13.278696181748643,-,-
STD_C1'_256s_20x50,3.464277610815958,0.3620819847800158,3.464277610815958,0.3620819847800158,-,1.3088993278626408,0.23489687938287881,363.48071495538125,43.07679427395505,409.5827615942318,60.38746661424959,317.37866831653076,61.44749543793854,2.766678230072304,0.7058775876696031,1.408898419446749,0.3817184631453766,9.368892049755232,2.9498133381096854,-,*
STD_C1_020320_256s_20x50_a,3.3879369243311968,0.3535964216572062,3.3879369243311968,0.3535964216572062,-,1.2821838955902223,0.23044658426032663,205.18020683922407,34.487624947336826,257.82933799006645,49.466603037374504,152.5310756883817,48.069119837745,0.9344250012144464,0.22947627662876685,3.9263444499340667,1.0305241213741898,2.6941573181311287,6.227214069031244,*,-
STD_C1_020320_256s_20x50_b,3.3984382343387116,0.35551710744808496,3.3984382343387116,0.35551710744808496,-,1.2818981169437724,0.23015659852707143,199.5673194642501,33.80209384675945,253.66318610383277,48.294250021147846,145.47145282466744,47.307415999982425,0.9490698541311883,0.2321106615776894,4.070577016628715,1.0662841586951664,2.2160776271708698,5.7690513878242875,*,-
STD_C1_020320_256s_20x50_c,3.429328632782879,0.35788499156125503,3.429328632782879,0.35788499156125503,-,1.2939109942912739,0.23251705135277104,210.1801205518653,33.94889111280299,266.0657019127629,48.6237467830892,154.29453919096764,47.390295208300174,0.795188979550894,0.19465070773739007,3.9539923544115236,1.0345357370069808,2.244223956611329,6.372698146816539,*,-
STD_C1_020520_256s_20x50_a,3.3919910616737172,0.354767593093526,3.3919910616737172,0.354767593093526,-,1.2736056401844449,0.22836292568691402,220.22128817603954,34.890988509737475,248.64566522369333,49.373149290710074,191.79691112838577,49.31345096283352,1.6896248517968062,0.4308435770081639,3.926735915873712,1.0336899024442607,5.054408712749547,5.4123268422357995,-,-
STD_C1_020520_256s_20x50_b,3.3934173063309436,0.3546495202667171,3.3934173063309436,0.3546495202667171,-,1.2795938578873063,0.2301506620104159,224.8270827711316,34.7348712881511,254.97936262248624,49.06278199520478,194.67480291977697,49.18219755672477,1.65251210454839,0.44354298961260896,3.8137856924708182,1.0028005504208057,3.765889099327835,5.5323341445233565,*,-
STD_C1_020520_256s_20x50_c,3.391363724883627,0.3550030637969398,3.391363724883627,0.3550030637969398,-,1.275440677748763,0.22915211613855255,227.10005358912423,35.005564945915296,254.04849057551198,49.26182781137265,200.15161660273645,49.74766958776509,1.7476152961975508,0.47928285784671765,3.7792864189962865,0.9948985871322631,4.79330877145853,5.613697127409026,-,-
STD_C1_021220_256s_20x50_a,3.339265669838806,0.3491789437917421,3.339265669838806,0.3491789437917421,-,1.2680167097402497,0.22786937582502342,256.25614682346077,35.754079445930074,302.7173449658436,51.23800167773683,209.79494868107787,49.88069739063153,3.6028399802895734,0.9186032085784026,1.3963139848124813,0.3648083700690303,7.278364970349727,4.700494130713088,-,-
