,H2OT_MEAN,H2OT_STD,H2OT_3550_M,H2OT_3550_STD,H2OT_3550_SAT,H2Om_1635_BP,H2Om_1635_STD,CO2_MEAN,CO2_STD,CO2_1515_BP,CO2_1515_STD,CO2_1430_BP,CO2_1430_STD,H2Om_5200_M,H2Om_5200_STD,OH_4500_M,OH_4500_STD,PH_5200_S2N,PH_4500_S2N,ERR_5200,ERR_4500
21ALV1846-9_44x44_s1_EP_103um,1.3871093086876767,0.10821980087036807,1.3871093086876767,0.10821980087036807,-,0.3475317409950363,0.05833121755269056,1.7949064781873482e-13,4.037890689621323,3.589806878790384e-13,5.718292578152152,6.0775843122654e-19,122.47380130817571,0.7413153016626669,0.17817700110444643,1.0059576639530594,0.25751794444520104,17.471045369010227,8.926642760213891,-,-
21ALV1846-9_44x44_s2_EP_103um,1.4903467247888555,0.1162346695072962,1.4903467247888555,0.1162346695072962,-,0.3547108802841176,0.05947453888696523,7.05285115131285e-15,4.212957102186409,1.3262606950758227e-14,7.149607948882158,8.430953518674726e-16,122.47380130817571,0.7227245221165878,0.17831531383191282,0.8702583912502869,0.2232641167234439,12.63388684342786,9.923579430591797,-,-
21ALV1846-9_44x44_s3_EP_103um,1.3983821465355022,0.1089991658726035,1.3983821465355022,0.1089991658726035,-,0.3479772752203737,0.05834811840406517,1.4314462913439607e-18,4.061330753579579,1.365215904092606e-28,5.7316310557250265,2.8628925825514e-18,122.47380130817571,0.7050534038047019,0.16937922156430427,0.9995020182690868,0.25622093205867025,17.967970337496393,10.460370429200848,-,-
23WOK5-4_44x44_s1_EP_147um,1.0436555471805433,0.07833125400529085,1.0436555471805433,0.07833125400529085,-,0.21125377503805842,0.03555594999907588,30.91706288514135,8.886737201934627,31.805434061052704,12.84176136765464,30.02869170922999,122.47380130817571,0.3990364541025741,0.09994194164465946,0.5489427041393681,0.14147929161113545,9.929329283793393,9.071222995718633,-,-
23WOK5-4_44x44_s2_EP_147um,0.9747868914963991,0.07335197545424202,0.9747868914963991,0.07335197545424202,-,0.2089590374454176,0.03516033119664558,40.04514003005919,9.015610046948193,51.72970949928628,12.729488046349347,28.3605705608321,122.47380130817571,0.4238684013246906,0.10367208393854303,0.6415540192093516,0.16595340442594422,12.168585723194795,11.521423089669227,-,-
23WOK5-4_44x44_s3_EP_147um,1.0107864263514652,0.07591690639349172,1.0107864263514652,0.07591690639349172,-,0.21262430806709132,0.03573880226105877,40.616368628791065,9.108350652022569,51.35648677333456,12.91050830173062,29.87625048424757,122.47380130817571,0.4512081478153667,0.11007455844762705,0.6738416811187595,0.17486268031098912,20.36937118155826,12.695579473033627,-,-
ALV1833-11_44x44_s1_EP_108um,1.0237186633163207,0.07936439484441585,1.0237186633163207,0.07936439484441585,-,0.14631814346382327,0.025576224235868354,82.77237957628616,12.51448632565479,92.9702022854634,18.164047761237523,72.57455686710891,122.47380130817571,0.46175350204532806,0.11622924642474342,0.571955746758692,0.14843576079202375,14.061304905466391,6.305020619464007,-,-
ALV1833-11_44x44_s2_EP_108um,1.0211867313924732,0.07914203027373251,1.0211867313924732,0.07914203027373251,-,0.14677446898786045,0.02564892120719745,80.41681800373999,12.760754542285635,91.21815502440914,18.515173701108296,69.61548098307082,122.47380130817571,0.4703376988343415,0.11726287702503185,0.6103121648121465,0.16085048691927292,15.380660485093467,7.4329115494345395,-,-
ALV1833-11_44x44_s3_EP_108um,1.0209537115945957,0.0791992416369814,1.0209537115945957,0.0791992416369814,-,0.14761480752592557,0.02579345172635617,81.03997164801437,12.743005092348339,91.33658915841603,18.418677617347385,70.74335413761271,122.47380130817571,0.45688748568616844,0.11187969486040386,0.5701884051767339,0.1488728477182982,16.225559981159908,9.113437422962685,-,-
CD33_12-2-2_VG9764_44x44_s1_EP_105um,0.2661898343402169,0.02090409261808035,0.2661898343402169,0.02090409261808035,-,7.868478513808508e-46,0.002659661840879291,121.96051194418916,13.253373241438865,143.33636160416384,19.025730349972797,100.5846622842145,122.47380130817571,0.49104815487808307,0.14005034595183677,0.10210857723546658,0.030672848167781742,9.968433157871162,2.320575283800976,-,*
CD33_12-2-2_VG9764_44x44_s2_EP_105um,0.26377821147778296,0.02069950380567631,0.26377821147778296,0.02069950380567631,-,8.386734522346804e-45,0.0025612233551945292,117.83769782999079,12.74467079599035,136.82516871780217,18.47328032718238,98.8502269421794,122.47380130817571,0.478046349263929,0.1358278209482432,0.1160141041205765,0.03740906170802247,10.794220829276957,3.0622261345118367,-,*
CD33_12-2-2_VG9764_44x44_s3_EP_105um,0.2668433871185987,0.020923195851501906,0.2668433871185987,0.020923195851501906,-,3.6987813784717905e-44,0.002765940673622046,119.13579749034875,12.70319037624403,139.0102224863036,18.236019008660822,99.26137249439391,122.47380130817571,0.4904791307355106,0.14005883444401343,0.09950808548817794,0.03659474429127596,11.973742608972875,1.7489132069785391,-,*
CD33_22-1-1_VG9812_44x44_s1_EP_73um,0.5387941174186868,0.04514678368811174,0.5387941174186868,0.04514678368811174,-,0.03340014326834029,0.012459897344096655,124.82445952280185,18.143198712080252,150.5181808099505,26.065727817194013,99.13073823565317,122.47380130817571,0.412715421740048,0.11854796903377669,0.3688570764214018,0.10906734789589456,5.520788391820208,4.942130811175634,-,-
CD33_22-1-1_VG9812_44x44_s2_EP_73um,0.5230946954110642,0.04382144596206715,0.5230946954110642,0.04382144596206715,-,0.04083231315854808,0.013263196318640343,117.0996772767698,18.129961386281657,145.85265098296753,26.233281055314805,88.34670357057207,122.47380130817571,0.45186364018510056,0.12244549345161906,0.27564724355241454,0.0790863664278678,8.511177800694057,4.183125250208026,-,-
CD33_22-1-1_VG9812_44x44_s3_EP_73um,0.5304620355988219,0.044396224007743436,0.5304620355988219,0.044396224007743436,-,0.046028298330551845,0.013670757817636157,117.07563404026101,18.01360571626494,148.9327026541501,26.072798735641225,85.21856542637191,122.47380130817571,0.4164681179154051,0.11451286264895309,0.2838679406128561,0.07943936255719129,7.1017149613897175,3.4157530551066144,-,*
ETFSR_Ol8_256s,3.8555527110335888,0.43224965739581245,3.8555527110335888,0.43224965739581245,-,2.2760942754490747,0.750271206771048,5117.300572358556,318.7168458664006,5319.175140628858,434.2610421834629,4915.426004088255,122.47380130817571,6.705809016562138,2155.9808453922865,3.1306352597888076,5.211454477545809,4.049142218192172,6.88522879695266,-,-
ETFSR_Ol8_256s_2,3.8047017236630083,0.4252172693279431,3.8047017236630083,0.4252172693279431,-,2.229758116786423,0.7346480337012086,4989.583021257081,310.8860916839388,5201.695643406489,421.45206177791994,4777.470399107673,122.47380130817571,8.298624543475242,7164.448492138446,2.241805854094224,3.770723575131291,2.961840450608099,4.266386663839714,*,-
ETFSR_Ol8_highres_256s,3.887465478310803,0.43504868312895356,3.887465478310803,0.43504868312895356,-,2.278486894562145,0.7521125804900962,5152.67387058498,320.8817710572744,5363.576592098574,436.22030056959255,4941.7711490713855,122.47380130817571,8.13200086377839,23437.04352356892,4.631772327284357,7.66270620633047,3.9541758909557454,2.500051785284574,*,*
Fiege63_256s,3.1447986760908826,1.1270629722255927,1.8758377743321586,0.14399367498035562,*,1.067630161465911,0.23511056428050744,501.57091857229597,18.89595461606212,520.8692747732733,27.156968904372096,496.8538783368544,27.07371506676836,1.9646332781039468,0.8886527130948518,2.122880199100824,0.9075222698869692,14.68356472620208,18.94667384745629,-,-
Fiege63_256s_2,3.24470597069453,1.165009330218804,2.0345348171188635,0.15632590625571025,*,1.0879009458952824,0.23918413022668802,402.6938191662351,16.646585606693826,417.13761500770363,23.6552372154413,399.38530571302624,24.180681705401945,1.8621456445913642,0.8425091231538006,2.201666300948661,0.9405448026488321,9.781658112023347,16.344041926777734,-,-
Fiege63_256s_3,3.2817924785959827,1.1798382056229586,2.2059614478417746,0.16909280225917392,*,1.080419193461785,0.23768054601657718,511.766266261945,19.756513910572394,532.4011834366667,28.07102954908321,503.6848984407229,28.510078467853447,1.830027032162054,0.8275177861156316,2.241624222489759,0.9578082790115479,13.339314753779425,13.931090631805185,-,-
Fiege73_256s,4.0201366183017715,1.3194387261345981,1.708952755400204,0.1309848507397397,*,1.9776473901597613,0.4352340614207701,1236.2736320398703,39.29599039805528,1345.893326255323,60.23363615058849,1191.6688204639524,53.70788075232143,3.902151136062271,1.7671312512643407,2.1481975048778503,0.9201835611732466,12.852685041833881,13.169041622435719,-,-
Fiege73_256s_2,4.042372311964214,1.3280176037270288,1.7255274428703715,0.1321356278582345,*,1.9751492013134586,0.4348693727149271,1248.4496240716824,39.69901133184515,1365.0465312193987,61.089743905726635,1197.6433195404438,53.95702344735014,3.865720921425874,1.7485224578923049,2.1737352619127837,0.9295676041603163,13.574581040239694,13.541005656362296,-,-
Fiege73_256s_2_highres,4.007075579152699,1.3166480815224748,1.6694837657085526,0.1279472002826329,*,1.96331655045771,0.4318541983839016,1223.358272810758,38.85689844018581,1331.9022699416332,59.69791573051517,1179.9197701960343,53.17751872450012,3.861740190512703,1.7474960030471056,2.15038463582189,0.9187533263711724,13.3327126919567,13.719589309255733,-,-
