,H2Ot_MEAN,H2Ot_STD,H2Ot_3550_M,H2Ot_3550_STD,H2Ot_3550_SAT,H2Om_1635_BP,H2Om_1635_STD,CO2_MEAN,CO2_STD,CO2_1515_BP,CO2_1515_STD,CO2_1430_BP,CO2_1430_STD,H2Om_5200_M,H2Om_5200_STD,OH_4500_M,OH_4500_STD,PH_5200_STN,ERR_5200,PH_4500_STN,ERR_4500,Density,Density_Sat,Tau,Eta,epsilon_H2Ot_3550,sigma_epsilon_H2Ot_3550,epsilon_H2Om_1635,sigma_epsilon_H2Om_1635,epsilon_CO2,sigma_epsilon_CO2,epsilon_H2Om_5200,sigma_epsilon_H2Om_5200,epsilon_OH_4500,sigma_epsilon_OH_4500,H2O_EXP,H2O_EXP_STD,CO2_EXP,CO2_EXP_STD
21ALV1846-9_44x44_s1_EP_103um,1.3864530129153103,0.1079381478635588,1.3864530129153103,0.1079381478635588,-,0.3320801034972134,0.0555476954253807,17.276474960694696,7.61430473432894,3.6495233253452196e-27,1.43635723183315,34.55294992138939,15.16071978012446,0.7413226685473995,0.1780377286179673,1.0059559072176143,0.2575089746692926,17.13172842,-,8.753240172,-,2799.7421487077304,2799.7421487077304,0.6595583965411587,0.2177055637742523,62.827509700754895,7.257389802884201,31.55291870846687,8.360876227442947,347.9231214324328,12.673247215380972,0.7923638172513208,0.2907422147486255,0.6971746047868783,0.2702178659586763,1.89,0.19,,
21ALV1846-9_44x44_s2_EP_103um,1.4896384964654978,0.1159057978648377,1.4896384964654978,0.1159057978648377,-,0.3420669028254304,0.0573186498506348,18.522625464916125,7.931752155504251,1.2032098664992158e-34,1.5117356351802462,37.04525092983225,15.791308507996147,0.722724456537795,0.1783541313180199,0.8702526941108636,0.2231210551619765,12.3884158,-,9.730795216,-,2796.6623201583775,2796.6623201583775,0.6595583965411587,0.2177055637742523,62.827509700754895,7.257389802884201,31.55291870846687,8.360876227442947,347.9231214324328,12.673247215380972,0.7923638172513208,0.2907422147486255,0.6971746047868783,0.2702178659586763,1.89,0.19,,
21ALV1846-9_44x44_s3_EP_103um,1.3977192705776191,0.108688887073501,1.3977192705776191,0.108688887073501,-,0.3325501348468469,0.0556824101482051,18.227882259898863,7.765863409894317,2.3426442320437448e-26,1.5784037563488456,36.45576451979773,15.45131643538781,0.7050392171103587,0.1692958113036427,0.999510376854479,0.2558006775173894,17.61860315,-,10.24910489,-,2799.405237737035,2799.405237737035,0.6595583965411587,0.2177055637742523,62.827509700754895,7.257389802884201,31.55291870846687,8.360876227442947,347.9231214324328,12.673247215380972,0.7923638172513208,0.2907422147486255,0.6971746047868783,0.2702178659586763,1.89,0.19,,
23WOK5-4_44x44_s1_EP_147um,1.0431649829708476,0.0782146362918407,1.0431649829708476,0.0782146362918407,-,0.186497279220997,0.0313515043366803,23.304558096780653,5.918388596679274,1.6978121252976684e-33,3.2938062846186567,46.609116193561306,11.369262706289256,0.3990210755341318,0.0999020119572184,0.5489172074954859,0.1416541034090985,9.736001412,-,8.894459242,-,2809.820510578906,2809.820510578906,0.6571068603683341,0.3467203870682185,62.65247814042036,7.244468510120712,31.24831403011826,8.345744203355414,306.88430914249363,15.435298863316149,0.7809015900555294,0.2902041694827521,0.688514498881303,0.2697228714221157,1.6,0.16,64.0,6.4
23WOK5-4_44x44_s2_EP_147um,0.9743258920661924,0.0729556924613066,0.9743258920661924,0.0729556924613066,-,0.1778157504224589,0.0299138978167815,20.479151426931377,5.927011972082173,7.702196398049986e-28,3.358597938748842,40.958302853862754,11.368276190991038,0.4238686376011507,0.1034915011824572,0.6415476790482905,0.1658864097611604,11.9257781,-,11.29750983,-,2811.8861722394317,2811.8861722394317,0.6571068603683341,0.3467203870682185,62.65247814042036,7.244468510120712,31.24831403011826,8.345744203355414,306.88430914249363,15.435298863316149,0.7809015900555294,0.2902041694827521,0.688514498881303,0.2697228714221157,1.6,0.16,64.0,6.4
23WOK5-4_44x44_s3_EP_147um,1.0103083328400548,0.0756604898538308,1.0103083328400548,0.0756604898538308,-,0.182133888183867,0.0305887823899982,20.575585976725858,5.813536327353231,4.4773210115205167e-10,3.041626279253991,41.151171953003974,11.222180184579743,0.4511995321603462,0.1100536288503189,0.6738489793510235,0.1748374382853947,19.97360576,-,12.44909871,-,2810.8057104766763,2810.8057104766763,0.6571068603683341,0.3467203870682185,62.65247814042036,7.244468510120712,31.24831403011826,8.345744203355414,306.88430914249363,15.435298863316149,0.7809015900555294,0.2902041694827521,0.688514498881303,0.2697228714221157,1.6,0.16,64.0,6.4
ALV1833-11_44x44_s1_EP_108um,1.0232340998575866,0.0792404036733946,1.0232340998575866,0.0792404036733946,-,0.1063207855956999,0.018798328746059,36.48440474988061,9.402840701767127,10.516588760220833,10.163971084613838,62.45222073954039,15.8223684966053,0.4617561187393358,0.1163391558823195,0.5719568622041085,0.148203247446666,13.78835489,-,6.182612316,-,2808.2443869061563,2808.2443869061563,0.6569207364214361,0.302734519253291,62.63918950727584,7.243487877925786,31.225188030344604,8.344594818168437,320.87593992242205,14.530792399827243,0.7800313622409978,0.2901632913019471,0.6878570119106566,0.2696852858918361,1.2,0.12,102.0,10.2
ALV1833-11_44x44_s2_EP_108um,1.0207037241563732,0.0789557523171729,1.0207037241563732,0.0789557523171729,-,0.1066215014779969,0.0188574733205189,33.41154673233976,9.280394517208366,6.861721585963762,9.82244944670549,59.96137187871575,15.74872618490268,0.4703033570025841,0.1169564848615785,0.6103196131277082,0.1611130558990762,15.08079736,-,7.282843771,-,2808.3198537474545,2808.3198537474545,0.6569207364214361,0.302734519253291,62.63918950727584,7.243487877925786,31.225188030344604,8.344594818168437,320.87593992242205,14.530792399827243,0.7800313622409978,0.2901632913019471,0.6878570119106566,0.2696852858918361,1.2,0.12,102.0,10.2
ALV1833-11_44x44_s3_EP_108um,1.0204706146445568,0.0789743087775188,1.0204706146445568,0.0789743087775188,-,0.1064392847654062,0.0188150916925994,35.038190890882746,9.291176495066338,7.782152018584345,9.92662280045531,62.29422976318115,15.708787427022292,0.4569127383595995,0.1119200172036547,0.5701836804285363,0.1489484830364422,15.91083,-,8.936403025,-,2808.3268064852155,2808.3268064852155,0.6569207364214361,0.302734519253291,62.63918950727584,7.243487877925786,31.225188030344604,8.344594818168437,320.87593992242205,14.530792399827243,0.7800313622409978,0.2901632913019471,0.6878570119106566,0.2696852858918361,1.2,0.12,102.0,10.2
BF73_100x100_051823_sp1,0.8179631274919378,0.0605779039391702,0.8179631274919378,0.0605779039391702,-,0.0928498471731749,0.0166442063178206,2439.7919507697297,65.86595632995135,2391.5923592652744,91.04459532104356,2487.991542274185,95.205979202273,0.5382765789540496,0.1436172636542144,0.5054437227132758,0.1415323198097343,36.28671137,-,13.43996809,-,2874.0976083470077,2874.0976083470077,0.6426994871533086,0.2630397251114063,61.6238394272324,7.168716578730221,29.45819021605478,8.25654445445748,333.50260687498434,13.68384817262392,0.7135395062666885,0.2870276122701745,0.6376201334436877,0.266811412380824,0.715,0.0715,2995.0,190.0
BF73_100x100_051823_sp2,0.8288330976589463,0.0614007653223669,0.8288330976589463,0.0614007653223669,-,0.0953425375570058,0.0170557591072047,2440.6100391223345,66.11748104389655,2385.8951527947197,91.06164738060184,2495.324925449949,95.88462637300626,0.5238942334480025,0.1404811483739413,0.4737406144574248,0.1325043193056819,34.24006383,-,13.81524338,-,2873.75192433589,2873.75192433589,0.6426994871533086,0.2630397251114063,61.6238394272324,7.168716578730221,29.45819021605478,8.25654445445748,333.50260687498434,13.68384817262392,0.7135395062666885,0.2870276122701745,0.6376201334436877,0.266811412380824,0.715,0.0715,2995.0,190.0
BF73_100x100_051823_sp3,0.8242045746263914,0.0611404130854474,0.8242045746263914,0.0611404130854474,-,0.0823517303177012,0.0148285290197621,2370.460674598883,64.1377539494096,2324.9583284385585,88.67881106956366,2415.9630207592077,92.68589101901463,0.4516969925886602,0.1230830210049881,0.4427218510542815,0.1239268036526571,29.17340787,-,10.05346993,-,2873.899100161914,2873.899100161914,0.6426994871533086,0.2630397251114063,61.6238394272324,7.168716578730221,29.45819021605478,8.25654445445748,333.50260687498434,13.68384817262392,0.7135395062666885,0.2870276122701745,0.6376201334436877,0.266811412380824,0.715,0.0715,2995.0,190.0
BF76_100x100_051823_sp1,0.7385721706170484,0.0558079369676166,0.7385721706170484,0.0558079369676166,-,0.0968187889014587,0.0176663685116773,1898.3992168713812,55.64519157029599,1896.5112618173112,78.13364786208619,1900.2871719254515,79.25075678719588,0.4813242083626645,0.129391281525261,0.4090403038845563,0.1147786301954616,33.88963513,-,13.05216661,-,2876.6271702225813,2876.6271702225813,0.6426994871533086,0.2630397251114063,61.6238394272324,7.168716578730221,29.45819021605478,8.25654445445748,333.50260687498434,13.68384817262392,0.7135395062666885,0.2870276122701745,0.6376201334436877,0.266811412380824,0.669,0.0669,2336.0,127.0
BF76_100x100_051823_sp2,0.7483485464705957,0.0565470425193392,0.7483485464705957,0.0565470425193392,-,0.0784134373901929,0.0146025695698646,1842.487096245398,54.20104159430753,1822.1943187482177,75.14618580799778,1862.779873742578,78.12849926973699,0.5008684043535472,0.1338478846723839,0.4469914603716683,0.1253218493180657,30.53965546,-,14.01945113,-,2876.3152186575307,2876.3152186575307,0.6426994871533086,0.2630397251114063,61.6238394272324,7.168716578730221,29.45819021605478,8.25654445445748,333.50260687498434,13.68384817262392,0.7135395062666885,0.2870276122701745,0.6376201334436877,0.266811412380824,0.669,0.0669,2336.0,127.0
BF76_100x50_051823_sp3,0.7529912236296793,0.0569202031131412,0.7529912236296793,0.0569202031131412,-,0.0389325384630752,0.0084579167896827,1787.007702315865,52.10090523574196,1744.251156753929,71.66218824408936,1829.7642478778,75.64752528406834,0.4956233027585033,0.1358484902545992,0.4900958685886804,0.1406292629329708,20.53246907,-,8.458016211,-,2876.167121701088,2876.167121701088,0.6426994871533086,0.2630397251114063,61.6238394272324,7.168716578730221,29.45819021605478,8.25654445445748,333.50260687498434,13.68384817262392,0.7135395062666885,0.2870276122701745,0.6376201334436877,0.266811412380824,0.669,0.0669,2336.0,127.0
