,PH_3550_M,PH_3550_STD,H2Ot_3550_MAX,BL_H2Ot_3550_MAX,H2Ot_3550_SAT,PH_1635_BP,PH_1635_STD,PH_1515_BP,PH_1515_STD,P_1515_BP,P_1515_STD,STD_1515_BP,STD_1515_STD,PH_1430_BP,PH_1430_STD,P_1430_BP,P_1430_STD,STD_1430_BP,STD_1430_STD,PH_5200_M,PH_5200_STD,PH_4500_M,PH_4500_STD,STN_P5200,ERR_5200,STN_P4500,ERR_4500,AVG_BL_BP,AVG_BL_STD,PC1_BP,PC1_STD,PC2_BP,PC2_STD,PC3_BP,PC3_STD,PC4_BP,PC4_STD,m_BP,m_STD,b_BP,b_STD,PH_1635_PC1_BP,PH_1635_PC1_STD,PH_1635_PC2_BP,PH_1635_PC2_STD
AK96MI04,1.370948232402622,3.3796345756527636e-05,1.5387895,0.16357819810439866,-,0.374823743600734,0.003083044772228877,0.05516798563430957,0.004787011306611152,1505.354629717007,3.611587307165752,36.331022942639784,2.3617518910783093,0.05876062080235439,0.004669294655638993,1425.5403580983266,3.9725447920049244,37.54713862256047,1.9160516743802174,0.011994522218019776,0.000752458675937316,0.013234797872408615,0.0005091150465641044,7.671443466362948,-,21.757237649188454,-,1.7931514214333097,0.02032149299322899,-2.9999999999999996,0.197562995288968,-0.5943408407150949,0.020158821399644557,0.08850057169410401,0.0336811306513269,0.2427799935499377,0.030580299615760326,-0.00030999569108156234,3.399449836057185e-05,1.267814298584412,0.010367875645877827,0.09087109708006978,0.015907131722812096,0.15989216018613045,0.014391507317454586
AK96MI08,0.3319887042795282,1.4605902886781323e-05,0.4069718999999999,0.07677361299359524,-,0.06488780660534314,0.0029846181067368113,9.1731138338043e-28,0.0006103463561707062,1500.0006105280825,10.16967410548982,30.000000000000007,3.925483537703533,1.6459235198329314e-23,0.0009847260673044181,1415.0002513406057,8.586810727820763,30.000000000000046,4.0138913077785245,0.003949384430011988,0.00010865354516680865,0.00283057941543524,0.0001145812571696781,1.9108342358852202,*,4.102450680267868,-,1.0340043487014379,0.06741377390647389,-0.5874280708531637,0.699406548473839,-0.419489396046596,0.01911981831331163,-0.1360176949695412,0.0864666095001741,-0.036013298661660496,0.05444320365797365,-3.789114527913639e-05,0.00011850019606356071,0.6399545218430663,0.03552864484446507,0.00445653211274491,0.015475682294644808,0.02970482303841787,0.012062286013710039
AK96MI13,0.44464845364300537,9.17737392386823e-06,0.5010911,0.055426284819187405,-,0.08290863658544373,0.0030056167909377064,5.2258105204856393e-20,0.001374607449757948,1534.9936580409606,10.189763558301117,29.999999999997783,4.077348503483338,0.007570403551784296,0.00320845852671938,1424.3131509868472,7.666965599557189,31.410859948936316,3.9644822845946592,0.0056753983326438455,0.0007166020154809991,0.004754706960272152,0.00018172231353454443,2.8608244579077,*,3.5656136308612916,*,1.0992389526633206,0.06589803366952164,-1.0245145649942804,0.6832021681168385,-0.4055746736504097,0.019268933952095637,-0.14344823757553393,0.08487460777446461,-0.163613236697264,0.0555100217270626,-0.00017167729492309567,0.0001156634757058313,0.7183703499649614,0.03465353124833054,0.020327163830176548,0.01575810299573044,0.056634485478816735,0.012563556546441916
CONE3-2AMI03,0.7576125547438117,0.005263342469583016,0.99468745,0.24300477356948721,-,0.07625404111030414,0.0029248065237282997,2.0014835973765838e-21,0.0005802520701510431,1500.0001943701218,10.23127341307934,29.999999999999996,4.064048503736411,0.008529553445595145,0.003420741348241061,1415.0000000000002,4.524580625446904,32.7734347506787,3.956484951615664,0.009521540123698926,0.001901476303246017,0.006296022807714116,0.0007060956024263888,1.4019664223642243,*,2.3810303193248914,*,1.40563027810453,0.03797008363184703,1.809895831729508,0.38663959391035907,0.534443390442606,0.018197695452097058,0.5999999999999999,0.04656297153076569,-0.26990972797834006,0.036171163249034285,0.00013098461700138315,6.57712808786859e-05,0.8066816437134525,0.01953312766930788,0.06643019440125329,0.014999351243775485,-0.07408440706861724,0.011787895868491056
CONE3-2AMI05,0.6400030246241925,2.320970593147938e-05,0.76526465,0.1223848870431309,-,0.08890005778655244,0.0030185103461582976,0.02895144232839005,0.0031442398687824427,1520.3354733291822,5.139395466536502,34.03643914945048,2.8229121940850814,0.018521110021485706,0.0035957405769647226,1439.4862241253684,5.291845904171202,30.694997403516584,3.791870808056798,0.008878323927463605,0.0014956715965545875,0.005615074870255292,0.00019888871617239904,3.20831502873482,*,5.4908347181538355,-,0.7699617047636329,0.014806804161022688,-2.9999999999999996,0.1351345356337185,0.049631002535173725,0.01962788902377725,-0.14210152068609255,0.02667909088679402,0.2744540439108052,0.019694081217629607,-0.00037064916121136074,2.3561977733681927e-05,0.7580394601323808,0.007248276952432325,0.011903004203151452,0.01602052565289498,0.046746626041051044,0.015879789113697224
CV09EMI05,1.1464186752371612,0.0012768494586334986,1.2015735,0.0659105675408992,-,0.2615883739231217,0.0030689513279083124,0.011295084015738562,0.0033867597887410877,1509.747082180797,7.767511738971393,30.7487568530099,3.845093016844463,0.00840608475186386,0.0035207457924988127,1436.0650284575534,8.144463423496669,31.122062050598267,4.052244806544638,0.007352040081534057,0.0002476973261190492,0.007904668075658178,9.058576879777687e-05,7.0597013299378775,-,12.58492380007707,-,0.6148363772704678,0.06185462374810542,-1.889902586065153,0.6359672135647985,0.18380922348237197,0.020368466819615974,-0.3046962118573712,0.08314506658368132,0.008839850079717956,0.05153403751852462,-0.00033616550193527284,0.00010825065946588362,0.6244108592204158,0.03245434571066512,-0.03487073870747995,0.016853522450019195,0.0550442009469247,0.013982819158116166
CV09EMI06,0.2629480027177645,4.941759498414678e-05,0.7415672999999999,0.4796576073434595,-,0.04808513238702703,0.0029615839303062524,0.004687477001510624,0.0025488632427481026,1500.0000000000002,9.841593646955003,29.826402543110962,3.9598056052655446,0.020423183410697463,0.003862767929750919,1417.1138329692408,5.19712220344101,37.78069022029274,2.957699599546264,0.003963962958396751,0.00013131069823693102,0.003129788676808237,0.0012729005594875132,1.6413316150474317,*,1.8419359618234121,*,0.03107831117903455,0.03458177921094091,-2.9999999999999996,0.3488337820450147,-0.011358560970322909,0.01945351002021297,-0.3030774610214847,0.045892816193847885,0.2077693066356631,0.036184534504227574,-0.0005127315524783441,5.9457979059636454e-05,0.8394848238641113,0.017710079190209595,-0.05393963270724115,0.01585090173158094,-0.0054908049197858735,0.012773381702485851
FI38MI01A,1.3070459566217314,0.0060032785938550605,1.2395509999999998,-0.046506387517103544,-,0.18065044615072556,0.0030007660181326874,1.0155387416132051e-30,0.0016295054269171163,1500.2267339509121,10.17838278374363,29.999999999999996,4.046172632353824,6.410480476826282e-23,0.0018763280766483288,1416.0917326853407,8.664977848677175,29.999999999999993,4.0429989976371115,0.009947842258626502,0.0009013212516837579,0.004687154445079043,4.95717756641159e-06,9.392260994946456,-,5.057415657123516,-,0.8309518422246007,0.06779941388698395,1.2018656224902997,0.7020112809093026,0.33146745361470387,0.019289442615101033,-0.0013388493274506038,0.08774045875037133,-0.007784137028089128,0.05527430109767724,8.143097261677516e-05,0.00011907250213479325,0.38893960239861947,0.03568959619280894,-0.049638004815599684,0.015784435018348916,-0.020870157504157282,0.012302760925577227
FI38MI01B,1.2987381233102961,0.014468528556391963,1.1895053333333334,-0.10457320786356561,-,0.18124699954702636,0.002981788552901833,8.486303204451257e-36,0.0005069104148113048,1534.985200633143,10.29192046262095,30.000000000000032,3.906594048861517,0.0037711203499764343,0.0024730920858038563,1415.0000000000002,7.7372862892713465,31.751461616502194,3.9797879336760795,0.005099098424728109,0.0012887651467960478,0.003482506534431286,0.0003303214270800233,4.846824683774095,-,3.2872960080813987,*,1.027299403558949,0.016556956417825817,2.9999999999999996,0.1549944416535887,0.33701696754503574,0.018283091391121258,-0.020473413159325923,0.023572303631927378,0.022243616969845524,0.020897360724924537,0.00036914454733359144,2.6737944776163412e-05,0.27855410329324626,0.008046443275090652,-0.02864829183106085,0.015171089964136738,-0.030823132060385002,0.011691458400862307
FI38MI01C,1.375849070496787,3.667516658502159e-05,1.2406416666666666,-0.11145626727967987,-,0.20186107218573376,0.0030396473082628865,0.008361207429619289,0.0028619911114696893,1524.2827130695744,8.188735636629955,30.811816540177286,3.6031775035765614,0.0008412567756413791,0.001954078393509256,1444.9999999999998,8.546852081566378,29.830933501350653,3.925611115477335,0.002944362799121813,0.00031927335252952626,0.01631533610493197,0.000580338040509998,3.2480969846960708,*,6.975792561840721,-,0.7907530668216389,0.021930363316476655,0.1732950898040128,0.24576501219890418,-0.2745800655150587,0.01883837407333036,0.24465097154935744,0.03790172402441364,0.29999999999999993,0.011148565295882061,-3.9903015729250795e-05,4.003048047676636e-05,0.3976629537310771,0.013104516772317276,-0.0846121839616867,0.01502279758490774,-0.011625018632221406,0.013080854957102789
