,Thickness_Micrometer
AC4_EUH102_REF_a,44
AC4_EUH102_REF_b,44
AC4_EUH33_REF_a,48
AC4_EUH33_REF_b,48
AC4_OL21_REF_a,69
AC4_OL21_REF_b,69
AC4_OL24_REF_b,60
AC4_OL27_REF_a,78
AC4_OL27_REF_b,78
AC4_OL40_REF_a,74
AC4_OL40_REF_b,74
AC4_OL44_REF_a,55
AC4_OL44_REF_b,55
AC4_OL45_REF_a,29
AC4_OL45_REF_b,29
AC4_OL47_REF_a,52
AC4_OL47_REF_b,52
AC4_OL48_REF_a,39
AC4_OL48_REF_b,39
AC4_RH1_OL2_101819_REF_a,67
AC4_RH1_OL2_101819_REF_b,67
AC4_RH1_OL3_101819_REF_a,37
AC4_RH1_OL3_101819_REF_b,37
AC4_RH1_OL3_REF_a,37
AC4_RH1_OL3_REF_b,37
