Sample,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Thickness,Sigma_Thickness
21ALV1846-9_44x44_s1_EP_103um,49.67,0.57,17.45,,7.03,0.16,6.95,13.46,2.07,0.71,0.13,103.00,3.00
21ALV1846-9_44x44_s2_EP_103um,49.67,0.57,17.45,,7.03,0.16,6.95,13.46,2.07,0.71,0.13,103.00,3.00
21ALV1846-9_44x44_s3_EP_103um,49.67,0.57,17.45,,7.03,0.16,6.95,13.46,2.07,0.71,0.13,103.00,3.00
23WOK5-4_44x44_s1_EP_147um,50.88,1.27,17.22,,8.11,0.15,7.57,10.74,3.15,0.19,0.16,147.00,3.00
23WOK5-4_44x44_s2_EP_147um,50.88,1.27,17.22,,8.11,0.15,7.57,10.74,3.15,0.19,0.16,147.00,3.00
23WOK5-4_44x44_s3_EP_147um,50.88,1.27,17.22,,8.11,0.15,7.57,10.74,3.15,0.19,0.16,147.00,3.00
ALV1833-11_44x44_s1_EP_108um,51.13,1.04,17.16,,7.55,0.15,7.55,11.92,2.86,0.25,0.18,108.00,3.00
ALV1833-11_44x44_s2_EP_108um,51.13,1.04,17.16,,7.55,0.15,7.55,11.92,2.86,0.25,0.18,108.00,3.00
ALV1833-11_44x44_s3_EP_108um,51.13,1.04,17.16,,7.55,0.15,7.55,11.92,2.86,0.25,0.18,108.00,3.00
BF73_100x100_051823_sp1,51.34,0.96,14.78,,11.92,0.20,6.77,11.61,2.29,0.31,,191.70,3.00
BF73_100x100_051823_sp2,51.34,0.96,14.78,,11.92,0.20,6.77,11.61,2.29,0.31,,191.70,3.00
BF73_100x100_051823_sp3,51.34,0.96,14.78,,11.92,0.20,6.77,11.61,2.29,0.31,,191.70,3.00
BF76_100x100_051823_sp1,51.34,0.96,14.78,,11.92,0.20,6.77,11.61,2.29,0.31,,140.70,3.00
BF76_100x100_051823_sp2,51.34,0.96,14.78,,11.92,0.20,6.77,11.61,2.29,0.31,,140.70,3.00
BF76_100x50_051823_sp3,51.34,0.96,14.78,,11.92,0.20,6.77,11.61,2.29,0.31,,140.70,3.00
BF77_50x50_051823_sp1,51.34,0.96,14.78,,11.92,0.20,6.77,11.61,2.29,0.31,,62.00,3.00
BF77_50x50_051823_sp2,51.34,0.96,14.78,,11.92,0.20,6.77,11.61,2.29,0.31,,62.00,3.00
BF77_50x50_051823_sp3,51.34,0.96,14.78,,11.92,0.20,6.77,11.61,2.29,0.31,,62.00,3.00
CD33_12-2-2_VG9764_44x44_s1_EP_105um,50.80,1.68,14.02,,12.14,0.22,6.75,11.01,2.56,0.09,0.12,105.00,3.00
CD33_12-2-2_VG9764_44x44_s2_EP_105um,50.80,1.68,14.02,,12.14,0.22,6.75,11.01,2.56,0.09,0.12,105.00,3.00
CD33_12-2-2_VG9764_44x44_s3_EP_105um,50.80,1.68,14.02,,12.14,0.22,6.75,11.01,2.56,0.09,0.12,105.00,3.00
CD33_22-1-1_VG9812_44x44_s1_EP_73um,51.30,1.01,14.87,,9.53,0.17,7.72,12.32,2.12,0.07,0.07,73.00,3.00
CD33_22-1-1_VG9812_44x44_s2_EP_73um,51.30,1.01,14.87,,9.53,0.17,7.72,12.32,2.12,0.07,0.07,73.00,3.00
CD33_22-1-1_VG9812_44x44_s3_EP_73um,51.30,1.01,14.87,,9.53,0.17,7.72,12.32,2.12,0.07,0.07,73.00,3.00
CI_ETNA_4_1_1_100x100_256s_sp3,48.00,1.70,17.40,11.45,,0.00,5.80,10.90,3.50,2.00,0.50,101.00,3.00
CI_ETNA_4_1_1_50x50_256s_sp5,48.00,1.70,17.40,11.45,,0.00,5.80,10.90,3.50,2.00,0.50,102.00,3.00
CI_LMT_BA17_3_50x50_256s_sp1,53.03,1.85,13.56,9.07,,0.00,7.65,11.52,2.72,1.42,0.10,37.20,3.00
CI_LMT_BA17_4_50x50_256s_sp1,53.03,1.85,13.56,9.07,,0.00,7.65,11.52,2.72,1.42,0.10,32.80,3.00
CI_Ref_4_100x100_256s_sp3,48.62,1.40,17.52,11.74,,0.23,7.38,11.40,2.59,0.15,0.15,66.70,3.00
CI_Ref_4_100x100_256s_sp5,48.62,1.40,17.52,11.74,,0.23,7.38,11.40,2.59,0.15,0.15,77.70,3.00
CI_Ref_6_1_100x100_256s_040523_sp1,49.90,1.38,16.10,11.98,,0.20,7.17,11.61,2.57,0.16,0.13,51.00,3.00
CI_Ref_6_1_100x100_256s_060223_sp1,49.90,1.38,16.10,11.98,,0.20,7.17,11.61,2.57,0.16,0.13,92.00,3.00
CI_Ref_6_1_100x100_256s_040523_sp2,49.90,1.38,16.10,11.98,,0.20,7.17,11.61,2.57,0.16,0.13,52.00,3.00
CI_Ref_6_1_100x100_256s_060223_sp2,49.90,1.38,16.10,11.98,,0.20,7.17,11.61,2.57,0.16,0.13,91.00,3.00
CI_Ref_6_2_100x100_256s_sp2,49.90,1.38,16.10,11.98,,0.20,7.17,11.61,2.57,0.16,0.13,52.00,3.00
CI_Ref_6_chip1_100x100_256s_sp1,49.90,1.38,16.10,11.98,,0.20,7.17,11.61,2.57,0.16,0.13,53.60,3.00
CI_Ref_6_chip1_100x100_256s_sp2,49.90,1.38,16.10,11.98,,0.20,7.17,11.61,2.57,0.16,0.13,53.90,3.00
CI_Ref_6_chip1_100x100_256s_sp4,49.90,1.38,16.10,11.98,,0.20,7.17,11.61,2.57,0.16,0.13,51.20,3.00
CI_Ref_6_chip1_100x100_256s_sp5,49.90,1.38,16.10,11.98,,0.20,7.17,11.61,2.57,0.16,0.13,55.40,3.00
CI_Ref_8_1_100x100_256s_sp1,44.63,4.33,14.99,13.83,,0.19,5.40,11.15,4.18,1.70,0.98,50.00,3.00
CI_Ref_8_1_100x100_256s_sp2,44.63,4.33,14.99,13.83,,0.19,5.40,11.15,4.18,1.70,0.98,52.00,3.00
CI_Ref_8_1_100x100_256s_sp3,44.63,4.33,14.99,13.83,,0.19,5.40,11.15,4.18,1.70,0.98,48.00,3.00
CI_Ref_8_1_100x100_256s_sp4,44.63,4.33,14.99,13.83,,0.19,5.40,11.15,4.18,1.70,0.98,52.00,3.00
CI_Ref_8_2_100x100_256s_sp1,44.63,4.33,14.99,13.83,,0.19,5.40,11.15,4.18,1.70,0.98,54.00,3.00
CI_Ref_9_1_100x100_256s_sp1,44.68,4.32,14.96,14.15,,0.19,5.53,10.62,4.24,1.70,1.04,98.00,3.00
CI_Ref_9_1_100x100_256s_sp4,44.68,4.32,14.96,14.15,,0.19,5.53,10.62,4.24,1.70,1.04,98.00,3.00
CI_Ref_10_1_100x100_256s_sp1,49.02,1.38,15.90,12.12,,0.22,7.14,12.55,2.58,0.17,0.14,49.00,3.00
CI_Ref_10_1_100x100_256s_sp3,49.02,1.38,15.90,12.12,,0.22,7.14,12.55,2.58,0.17,0.14,31.00,3.00
CI_Ref_10_1_100x100_256s_sp5,49.02,1.38,15.90,12.12,,0.22,7.14,12.55,2.58,0.17,0.14,31.00,3.00
CI_Ref_10_1_100x100_256s_040523_sp2,49.02,1.38,15.90,12.12,,0.22,7.14,12.55,2.58,0.17,0.14,32.00,3.00
CI_Ref_10_1_100x100_256s_060223_sp2,49.02,1.38,15.90,12.12,,0.22,7.14,12.55,2.58,0.17,0.14,51.00,3.00
CI_Ref_10_chip1_100x100_256s_sp1,49.02,1.38,15.90,12.12,,0.22,7.14,12.55,2.58,0.17,0.14,117.60,3.00
CI_Ref_10_chip1_100x100_256s_sp2,49.02,1.38,15.90,12.12,,0.22,7.14,12.55,2.58,0.17,0.14,117.80,3.00
CI_Ref_10_chip1_100x100_256s_sp3,49.02,1.38,15.90,12.12,,0.22,7.14,12.55,2.58,0.17,0.14,117.90,3.00
CI_Ref_10_chip1_100x100_256s_sp4,49.02,1.38,15.90,12.12,,0.22,7.14,12.55,2.58,0.17,0.14,120.50,3.00
CI_Ref_10_chip1_100x100_256s_sp5,49.02,1.38,15.90,12.12,,0.22,7.14,12.55,2.58,0.17,0.14,115.80,3.00
CI_Ref_11_1_100x100_256s_sp1,49.77,1.41,16.02,12.41,,0.23,7.12,11.51,2.49,0.17,0.12,25.00,3.00
CI_Ref_11_1_100x100_256s_sp2,49.77,1.41,16.02,12.41,,0.23,7.12,11.51,2.49,0.17,0.12,25.00,3.00
CI_Ref_11_1_100x100_256s_sp3,49.77,1.41,16.02,12.41,,0.23,7.12,11.51,2.49,0.17,0.12,27.00,3.00
CI_Ref_11_1_100x100_256s_sp4,49.77,1.41,16.02,12.41,,0.23,7.12,11.51,2.49,0.17,0.12,28.00,3.00
CI_Ref_14_1_100x100_256s_sp2,49.68,1.41,15.99,12.31,,0.23,7.16,11.60,2.52,0.18,0.15,28.00,3.00
CI_Ref_14_1_100x100_256s_sp3,49.68,1.41,15.99,12.31,,0.23,7.16,11.60,2.52,0.18,0.15,27.00,3.00
CI_Ref_15_2_100x100_256s_sp1,49.68,1.38,15.96,12.23,,0.23,7.22,11.64,2.59,0.17,0.13,15.00,3.00
CI_Ref_15_2_100x100_256s_sp2,49.68,1.38,15.96,12.23,,0.23,7.22,11.64,2.59,0.17,0.13,14.00,3.00
CI_Ref_15_2_100x100_256s_sp5,49.68,1.38,15.96,12.23,,0.23,7.22,11.64,2.59,0.17,0.13,15.00,3.00
CI_Ref_18_1_100x100_256s_sp1,49.66,1.37,16.02,12.41,,0.22,7.13,11.56,2.58,0.17,0.13,31.00,3.00
CI_Ref_18_1_100x100_256s_sp2,49.66,1.37,16.02,12.41,,0.22,7.13,11.56,2.58,0.17,0.13,27.00,3.00
CI_Ref_18_1_100x100_256s_sp3,49.66,1.37,16.02,12.41,,0.22,7.13,11.56,2.58,0.17,0.13,31.00,3.00
