,Peak_Thicknesses,Peak_Thickness_M,Peak_Thickness_STD,Peak_Loc,Peak_Diff,Trough_Thicknesses,Trough_Thickness_M,Trough_Thickness_STD,Trough_Loc,Trough_Diff,Thickness_M,Thickness_STD
ND70_02-01_30June2022_150x150_rf_sp1,[39.69 37.27 37.68 38.33 35.87 38.11 36.66 36.06 37.27 36.26 35.87 34.76],36.99,1.29,"[1758.35 1839.84 1926.62 2012.44 2096.81 2186.97 2271.83 2360.06 2449.74
 2536.52 2625.72 2715.88 2808.93]",[81.48 86.78 85.82 84.37 90.16 84.86 88.23 89.68 86.79 89.19 90.16 93.05],[43.   37.69 38.11 38.55 36.26 36.66 36.26 37.06 37.27 36.46 34.76 37.68],37.48,1.92,"[1722.68 1797.89 1883.71 1968.56 2052.46 2141.65 2229.88 2319.08 2406.35
 2493.13 2581.84 2674.9  2760.72]",[75.21 85.82 84.86 83.89 89.2  88.23 89.2  87.27 86.78 88.71 93.05 85.82],37.23,1.66
ND70_02-01_30June2022_150x150_rf_sp2,[37.06 37.47 38.33 35.49 26.   34.76 39.69 33.37 33.88 36.26 33.54],35.08,3.47,"[1775.71 1862.98 1949.28 2033.65 2124.78 2249.17 2342.22 2423.7  2520.61
 2616.07 2705.27 2801.7 ]","[ 87.27  86.3   84.37  91.12 124.39  93.05  81.48  96.91  95.46  89.2
  96.43]",[38.55 37.27 37.69 36.86 37.69 25.03 38.55 30.91 41.41 34.4  36.46],35.89,4.26,"[1735.21 1819.1  1905.89 1991.71 2079.46 2165.28 2294.49 2378.38 2483.01
 2561.11 2655.13 2743.84]","[ 83.89  86.78  85.82  87.75  85.82 129.21  83.89 104.62  78.11  94.02
  88.71]",35.48,3.9
ND70_02-01_30June2022_150x150_rf_sp3,[37.9  38.33 38.11 38.55 39.69 32.56 39.69 39.23 32.88 37.47 38.33 37.06],37.48,2.26,"[1741.   1826.34 1910.71 1995.56 2079.46 2160.94 2260.26 2341.74 2424.18
 2522.54 2608.84 2693.22 2780.48]",[85.34 84.37 84.86 83.89 81.48 99.32 81.48 82.45 98.36 86.3  84.37 87.27],[39.69 39.69 36.46 37.68 38.77 36.26 35.31 37.27 36.86 35.31 33.88],37.02,1.77,"[1786.8  1868.28 1949.76 2038.48 2124.3  2207.7  2296.9  2388.51 2475.29
 2563.04 2654.65 2750.11]",[81.48 81.48 88.71 85.82 83.41 89.2  91.61 86.78 87.75 91.61 95.46],37.26,2.06
ND70_02-01_30June2022_150x150_rf_sp4,[37.47 37.9  39.23 39.23 39.69 38.55 40.17 37.9  39.   39.   39.69 38.55],38.86,0.78,"[1765.59 1851.89 1937.23 2019.67 2102.12 2183.6  2267.49 2348.01 2433.34
 2516.27 2599.2  2680.68 2764.57]",[86.3  85.34 82.45 82.45 81.48 83.89 80.52 85.34 82.93 82.93 81.48 83.89],"[38.77 37.69 37.68 39.46 39.23 39.23 38.33 39.69 39.93 38.77 38.77 37.47
 41.15]",38.94,0.99,"[1725.09 1808.5  1894.32 1980.14 2062.1  2144.54 2226.99 2311.36 2392.85
 2473.84 2557.26 2640.66 2726.97 2805.56]","[83.41 85.82 85.82 81.96 82.45 82.45 84.37 81.48 81.   83.41 83.41 86.3
 78.59]",38.9,0.9
ND70_03-01_30June2022_150x150_rf_sp4,[43.   37.47 37.9  37.68 36.46 35.68 34.94 34.4  34.94 35.68 36.26 36.66],36.76,2.17,"[1717.85 1793.07 1879.37 1964.71 2050.53 2139.24 2229.88 2322.45 2416.47
 2509.04 2599.68 2688.88 2777.11]",[75.21 86.3  85.34 85.82 88.71 90.64 92.57 94.02 92.57 90.64 89.2  88.23],[37.9  38.33 37.27 37.69 35.31 36.06 35.49 33.54 35.31 36.26 36.26],36.31,1.34,"[1752.09 1837.42 1921.8  2008.58 2094.4  2186.01 2275.69 2366.81 2463.24
 2554.84 2644.04 2733.24]",[85.34 84.37 86.79 85.82 91.61 89.68 91.12 96.43 91.61 89.2  89.2 ],36.54,1.84
ND70_4_2_150x150_29June2022_256s_rf_sp2,"[58.33 55.44 55.44 54.54 51.21 54.1  54.1  55.9  51.21 52.   57.33 49.32
 50.44 56.85 52.82 53.66 49.69]",53.67,2.64,"[1740.52 1795.96 1854.3  1912.64 1971.94 2035.1  2094.89 2154.67 2212.53
 2275.69 2337.88 2394.29 2459.86 2523.99 2580.88 2642.11 2702.38 2767.47]","[55.44 58.34 58.34 59.3  63.16 59.79 59.78 57.86 63.16 62.2  56.41 65.57
 64.12 56.89 61.23 60.27 65.09]","[62.11 56.37 55.44 53.66 52.41 54.98 52.   54.54 54.98 54.1  46.58 58.84
 51.21 51.6  54.1  48.96 56.85 55.9 ]",54.15,3.42,"[1715.44 1767.51 1824.89 1883.23 1943.49 2005.21 2064.03 2126.22 2185.53
 2244.35 2304.13 2373.56 2428.52 2491.68 2554.36 2614.15 2680.2  2737.09
 2794.95]","[52.07 57.38 58.34 60.27 61.71 58.82 62.2  59.3  58.82 59.78 69.43 54.96
 63.16 62.68 59.78 66.05 56.89 57.86]",53.91,3.08
ND70_5_2_29June2022_150x150_rf_sp1,"[57.33 54.54 55.44 60.43 54.1  61.54 54.54 55.44 50.82 52.41 51.6  52.
 56.37 54.1  56.85 52.   55.44]",55.0,2.86,"[1760.28 1816.69 1876.   1934.33 1987.85 2047.64 2100.19 2159.49 2217.83
 2281.47 2343.19 2405.86 2468.06 2525.43 2585.22 2642.11 2704.31 2762.64]","[56.41 59.3  58.34 53.52 59.78 52.55 59.3  58.34 63.64 61.71 62.68 62.2
 57.38 59.78 56.89 62.2  58.34]","[54.1  55.9  57.33 56.37 55.44 59.89 55.9  54.98 54.54 54.98 48.61 54.1
 53.66 52.41 54.98 52.82 57.83 54.98]",54.93,2.32,"[1729.91 1789.69 1847.55 1903.96 1961.33 2019.67 2073.67 2131.53 2190.35
 2249.65 2308.47 2375.01 2434.79 2495.06 2556.77 2615.59 2676.82 2732.75
 2791.57]","[59.79 57.86 56.41 57.37 58.34 54.   57.86 58.82 59.3  58.82 66.53 59.78
 60.27 61.71 58.82 61.23 55.93 58.82]",54.96,2.6
ND70_5_2_29June2022_150x150_rf_sp2,"[56.37 58.84 49.69 50.06 46.58 47.24 51.6  52.82 49.32 51.21 53.66 49.69
 51.21 50.82 51.6  50.82]",51.35,2.96,"[1758.84 1816.21 1871.17 1936.26 2000.87 2070.3  2138.76 2201.44 2262.67
 2328.24 2391.4  2451.67 2516.76 2579.92 2643.56 2706.24 2769.88]","[57.37 54.96 65.09 64.61 69.43 68.46 62.68 61.23 65.57 63.16 60.27 65.09
 63.16 63.64 62.68 63.64]","[56.85 55.9  48.26 54.98 47.91 46.58 50.82 55.9  50.06 51.21 51.21 50.44
 52.   51.21 50.06 53.24 46.58]",51.37,3.07,"[1729.91 1786.8  1844.66 1911.67 1970.49 2037.99 2107.42 2171.06 2228.92
 2293.53 2356.69 2419.85 2483.97 2546.17 2609.32 2673.93 2734.68 2804.11]","[56.89 57.86 67.02 58.82 67.5  69.43 63.64 57.86 64.61 63.16 63.16 64.12
 62.2  63.16 64.61 60.75 69.43]",51.36,3.02
ND70_6_02_Reflected_75umapt,[26.31 25.12 28.07 23.05 28.07 23.05 21.09 25.6 ],25.04,2.34,[1734.25 1857.19 1985.92 2101.15 2241.46 2356.69 2496.99 2650.31 2776.63],[122.94 128.73 115.23 140.3  115.23 140.3  153.32 126.32],[24.13 27.27 23.7  30.08 21.03 23.96 26.83 26.51],25.44,2.61,[1789.69 1923.73 2042.33 2178.78 2286.29 2440.09 2575.09 2695.63 2817.61],[134.03 118.61 136.44 107.52 153.8  135.   120.53 121.98],25.24,2.48
ND70_6_02_Reflected_75umapt_normal_spect_Res,[27.49 26.62 23.45 27.95 27.95 22.21 22.97 24.48],25.39,2.22,[1749.19 1866.84 1988.33 2126.22 2241.94 2357.65 2503.26 2644.04 2776.14],[117.64 121.5  137.89 115.71 115.71 145.61 140.78 132.11],[27.05 26.41 24.84 24.66 23.45 24.3  27.05],25.39,1.33,[1804.16 1923.73 2046.19 2176.37 2307.51 2445.4  2578.47 2698.04],[119.57 122.46 130.18 131.14 137.89 133.07 119.57],25.39,1.86
