Wavenumber,Absorbance
399.2094,0.473928
401.138,0.7508619
403.0665,0.6401212
404.9951,0.4912343
406.9236,0.4739962
408.8522,0.6093127
410.7807,0.5622206
412.7093,0.5260357
414.6378,0.4020097
416.5664,0.2999541
418.4949,0.3653752
420.4235,0.5873476
422.352,0.6643621
424.2806,0.5360333
426.2091,0.5889275
428.1377,0.8273097
430.0662,0.7697268
431.9948,0.7262831
433.9233,0.5814318
435.8519,0.5208395
437.7804,0.5295039
439.709,0.7359884
441.6375,0.7302918
443.566,0.630637
445.4946,1.020362
447.4232,1.371815
449.3517,0.8617991
451.2802,0.7735801
453.2088,0.7946806
455.1373,0.7667078
457.0659,0.7420108
458.9944,0.723076
460.923,0.8645689
462.8515,0.9933959
464.7801,0.7229943
466.7086,0.5085654
468.6372,0.5422017
470.5657,0.7912708
472.4943,1.109578
474.4228,1.673728
476.3514,0.9133837
478.2799,0.6151679
480.2085,0.459121
482.137,0.4938315
484.0656,0.8556892
485.9941,0.6752083
487.9226,0.4482553
489.8512,0.5635517
491.7798,0.7727744
493.7083,0.9702116
495.6368,0.7293853
497.5654,0.6641966
499.4939,0.6968737
501.4225,0.5369819
503.351,0.5519191
505.2796,0.9384795
507.2081,1.047664
509.1367,0.769753
511.0652,0.618412
512.9938,0.5735657
514.9223,0.6522088
516.8509,0.8023384
518.7794,0.6610925
520.7079,0.5263216
522.6365,0.4821325
524.5651,0.629737
526.4936,0.6855145
528.4221,0.5375648
530.3507,0.5378495
532.2792,0.6384917
534.2078,0.6365193
536.1364,0.7256421
538.0649,0.6336004
539.9934,0.4880396
541.922,0.5834534
543.8505,6
545.7791,6
547.7076,1.018225
549.6362,0.7485169
551.5647,0.7255456
553.4933,0.6826053
555.4218,0.6474087
557.3503,0.744348
559.2789,0.5946944
561.2075,0.5046367
563.136,0.6771069
565.0646,0.9761922
566.9931,0.7451838
568.9216,0.6371865
570.8502,0.6091617
572.7787,0.6074232
574.7073,0.5859147
576.6359,0.5804389
578.5644,0.8156503
580.4929,0.7742701
582.4215,0.5900854
584.35,0.7406648
586.2786,0.7908089
588.2072,0.4829899
590.1357,0.4691416
592.0642,0.7268066
593.9928,0.8823344
595.9213,0.9021412
597.8499,0.7483893
599.7784,0.7719423
601.707,0.741949
603.6355,0.7298154
605.5641,0.7575494
607.4926,0.623731
609.4211,0.5634865
611.3497,0.7800606
613.2783,1.205065
615.2068,1.116394
617.1354,0.6352865
619.0639,0.7268636
620.9924,1.032493
622.921,1.086817
624.8495,0.9333382
626.7781,0.6553339
628.7067,0.5667683
630.6352,0.741658
632.5637,0.8478091
634.4923,0.7756126
636.4208,0.8679014
638.3494,1.594963
640.278,1.16017
642.2065,0.8999022
644.135,0.6746721
646.0636,0.8242683
647.9921,0.7694699
649.9207,0.7264174
651.8492,0.7726335
653.7778,0.6541498
655.7063,0.5669656
657.6349,0.6364157
659.5634,0.6862873
661.4919,1.141709
663.4205,6
665.3491,1.465502
667.2776,0.8405668
669.2062,0.9397454
671.1347,0.7750342
673.0632,1.415116
674.9918,1.367232
676.9203,1.466237
678.8489,6
680.7775,6
682.706,6
684.6345,1.083231
686.5631,0.543794
688.4916,0.3832671
690.4202,0.2803576
692.3488,0.2804844
694.2773,0.246177
696.2058,0.1369804
698.1344,0.2231389
700.0629,0.2236201
701.9915,-0.06461535
703.92,-0.2363162
705.8486,-0.3618604
707.7771,-0.1222428
709.7057,0.07001318
711.6342,0.01851659
713.5627,-0.003356891
715.4913,-0.1030786
717.4199,-1.12763
719.3484,-0.8603954
721.277,-0.4663695
723.2055,-0.4781937
725.134,-0.2472165
727.0626,-0.03464407
728.9911,-0.3678841
730.9197,-0.2571234
732.8483,-0.2220904
734.7768,-0.4778587
736.7053,6
738.6339,6
740.5624,6
742.491,6
744.4196,-0.6120093
746.3481,-0.2393953
748.2766,-0.2585353
750.2052,6
752.1337,6
754.0623,6
755.9908,6
757.9194,-0.5893503
759.8479,-0.358199
761.7765,-0.805183
763.705,6
765.6335,-0.3395272
767.5621,-0.296447
769.4907,-0.6576147
771.4192,6
773.3478,6
775.2763,6
777.2048,-3.098672
779.1334,6
781.062,6
782.9905,6
784.9191,-0.5983102
786.8476,-0.09953484
788.7761,-0.2508277
790.7047,-0.4467867
792.6332,-0.1834341
794.5618,-0.07950459
796.4904,-0.01751399
798.4189,0.4269445
800.3474,0.2265942
802.276,0.139783
804.2045,0.3403675
806.1331,0.6021742
808.0616,0.5777752
809.9902,0.6073145
811.9187,0.7339284
813.8473,0.5753701
815.7758,0.4685667
817.7043,0.7540284
819.6329,1.204179
821.5615,0.9320979
823.49,0.8519149
825.4186,0.9995427
827.3471,1.184137
829.2756,1.310513
831.2042,1.313111
833.1328,1.327231
835.0613,1.394699
836.9899,1.604911
838.9184,1.795114
840.8469,1.458644
842.7755,1.314731
844.704,1.302791
846.6326,1.324685
848.5612,1.507856
850.4896,1.563611
852.4182,1.561234
854.3468,1.728175
856.2753,1.731926
858.2039,1.684009
860.1324,1.67778
862.0609,1.92349
863.9895,1.806976
865.9181,1.625856
867.8466,1.657591
869.7751,1.730631
871.7037,1.743584
873.6322,1.68265
875.5608,1.715154
877.4894,1.868548
879.4178,1.95006
881.3464,2.186769
883.275,2.174235
885.2035,2.049681
887.1321,2.474113
889.0607,6
890.9891,2.354777
892.9177,1.881444
894.8463,1.849548
896.7748,1.869113
898.7034,1.968205
900.632,2.021462
902.5604,2.085087
904.489,2.096528
906.4176,2.277397
908.3461,2.289287
910.2747,2.45701
912.2032,2.39257
914.1317,2.197634
916.0603,2.383807
917.9889,2.713941
919.9174,2.351063
921.8459,2.391741
923.7745,2.61134
925.703,2.306266
927.6316,2.542845
929.5602,3.657289
931.4886,2.813794
933.4172,2.538012
935.3458,2.347561
937.2743,2.249646
939.2029,2.401617
941.1315,2.468217
943.0599,2.618727
944.9885,2.572534
946.9171,2.415014
948.8456,2.591503
950.7742,2.760889
952.7028,2.805735
954.6312,3.212905
956.5598,2.834435
958.4884,2.526851
960.4169,2.722436
962.3455,3.017407
964.274,2.903919
966.2025,2.795354
968.1311,2.806977
970.0597,3.170736
971.9882,3.537852
973.9167,3.721935
975.8453,4.688283
977.7738,3.227676
979.7024,3.594931
981.631,3.518136
983.5594,3.013395
985.488,2.819731
987.4166,2.823526
989.3451,2.967212
991.2737,2.941089
993.2023,2.917984
995.1307,2.955499
997.0593,6
998.9879,6
1000.916,6
1002.845,2.809911
1004.774,2.584419
1006.702,2.808356
1008.631,3.712419
1010.559,3.05345
1012.488,2.64086
1014.416,2.617561
1016.345,2.818566
1018.273,2.771725
1020.202,2.700782
1022.13,2.55059
1024.059,2.559523
1025.988,2.56604
1027.916,2.525492
1029.845,2.474835
1031.773,2.527095
1033.702,2.539105
1035.63,2.561054
1037.559,2.60473
1039.487,2.430391
1041.416,2.356727
1043.344,2.474882
1045.273,2.501314
1047.202,2.474517
1049.13,2.508896
1051.059,2.47437
1052.987,2.458125
1054.916,2.545397
1056.844,2.409446
1058.773,2.279186
1060.701,2.266725
1062.63,2.360302
1064.558,2.371389
1066.487,2.346
1068.416,2.388257
1070.344,2.398983
1072.273,2.352305
1074.201,2.322803
1076.13,2.314626
1078.058,2.380361
1079.987,2.389561
1081.915,2.336169
1083.844,2.34269
1085.773,2.342438
1087.701,2.300739
1089.63,2.291608
1091.558,2.369752
1093.487,2.345328
1095.415,2.268945
1097.344,2.322984
1099.272,2.307738
1101.201,2.271195
1103.129,2.299155
1105.058,2.362516
1106.987,2.372427
1108.915,2.314805
1110.844,2.238041
1112.772,2.227368
1114.701,2.246706
1116.629,2.243568
1118.558,2.257908
1120.486,2.233103
1122.415,2.222332
1124.344,2.25017
1126.272,2.26015
1128.201,2.294886
1130.129,2.318154
1132.058,2.313675
1133.986,2.234837
1135.915,2.188846
1137.843,2.199574
1139.772,2.216569
1141.7,2.178089
1143.629,2.16816
1145.557,2.233019
1147.486,2.265269
1149.415,2.187955
1151.343,2.161524
1153.272,2.158845
1155.2,2.165036
1157.129,2.185045
1159.057,2.203333
1160.986,2.164031
1162.914,2.163358
1164.843,2.168729
1166.771,2.165386
1168.7,2.170485
1170.629,2.170689
1172.557,2.167884
1174.486,2.189169
1176.414,2.193575
1178.343,2.197496
1180.271,2.22632
1182.2,2.217911
1184.128,2.169772
1186.057,2.154927
1187.986,2.133169
1189.914,2.14524
1191.843,2.164672
1193.771,2.172576
1195.7,2.200568
1197.628,2.200107
1199.557,2.209599
1201.485,2.239024
1203.414,2.205337
1205.343,2.134316
1207.271,2.119882
1209.2,2.109528
1211.128,2.116463
1213.057,2.12018
1214.985,2.089206
1216.914,2.058461
1218.842,2.022442
1220.771,1.957984
1222.699,1.865945
1224.628,1.77986
1226.557,1.709793
1228.485,1.624396
1230.414,1.539384
1232.342,1.469177
1234.271,1.403175
1236.199,1.338605
1238.128,1.275307
1240.056,1.22143
1241.985,1.174758
1243.913,1.127771
1245.842,1.080118
1247.771,1.041761
1249.699,1.00687
1251.628,0.9740061
1253.556,0.9432098
1255.485,0.9131041
1257.413,0.8851804
