Wavenumber,Absorbance,STD
4220,0.00490976,2.57E-06
4221,0.004826141,2.43E-06
4222,0.004740187,2.31E-06
4223,0.004651977,2.21E-06
4224,0.004561597,2.12E-06
4225,0.004469139,2.04E-06
4226,0.004374706,1.97E-06
4227,0.004278403,1.92E-06
4228,0.004180344,1.87E-06
4229,0.004080651,1.83E-06
4230,0.00397945,1.80E-06
4231,0.003876874,1.78E-06
4232,0.003773064,1.76E-06
4233,0.003668164,1.74E-06
4234,0.003562325,1.73E-06
4235,0.003455704,1.72E-06
4236,0.003348459,1.72E-06
4237,0.003240758,1.71E-06
4238,0.003132767,1.71E-06
4239,0.003024662,1.71E-06
4240,0.002916616,1.71E-06
4241,0.002808808,1.71E-06
4242,0.002701418,1.70E-06
4243,0.002594627,1.70E-06
4244,0.002488619,1.70E-06
4245,0.002383575,1.70E-06
4246,0.002279677,1.70E-06
4247,0.002177106,1.70E-06
4248,0.002076042,1.70E-06
4249,0.00197666,1.70E-06
4250,0.001879135,1.70E-06
4251,0.001783636,1.70E-06
4252,0.001690327,1.70E-06
4253,0.001599368,1.70E-06
4254,0.001510912,1.70E-06
4255,0.001425107,1.70E-06
4256,0.001342091,1.70E-06
4257,0.001261996,1.69E-06
4258,0.001184943,1.69E-06
4259,0.001111046,1.69E-06
4260,0.001040408,1.69E-06
4261,0.000973121,1.69E-06
4262,0.000909267,1.69E-06
4263,0.000848916,1.69E-06
4264,0.000792125,1.69E-06
4265,0.000738941,1.69E-06
4266,0.000689397,1.69E-06
4267,0.000643514,1.69E-06
4268,0.000601298,1.69E-06
4269,0.000562745,1.69E-06
4270,0.000527835,1.69E-06
4271,0.000496537,1.69E-06
4272,0.000468807,1.69E-06
4273,0.000444586,1.69E-06
4274,0.000423805,1.69E-06
4275,0.000406381,1.69E-06
4276,0.000392222,1.69E-06
4277,0.000381221,1.69E-06
4278,0.000373265,1.69E-06
4279,0.000368226,1.69E-06
4280,0.00036597,1.69E-06
4281,0.000366355,1.69E-06
4282,0.000369229,1.69E-06
4283,0.000374435,1.69E-06
4284,0.000381809,1.69E-06
4285,0.000391185,1.69E-06
4286,0.00040239,1.69E-06
4287,0.000415251,1.69E-06
4288,0.000429592,1.69E-06
4289,0.000445237,1.69E-06
4290,0.000462012,1.69E-06
4291,0.000479744,1.69E-06
4292,0.000498263,1.69E-06
4293,0.000517404,1.69E-06
4294,0.000537007,1.69E-06
4295,0.000556918,1.69E-06
4296,0.000576992,1.69E-06
4297,0.000597092,1.69E-06
4298,0.00061709,1.69E-06
4299,0.000636867,1.69E-06
4300,0.000656319,1.69E-06
4301,0.00067535,1.69E-06
4302,0.000693879,1.69E-06
4303,0.000711838,1.69E-06
4304,0.00072917,1.69E-06
4305,0.000745836,1.69E-06
4306,0.000761807,1.69E-06
4307,0.000777072,1.69E-06
4308,0.000791631,1.69E-06
4309,0.000805501,1.69E-06
4310,0.000818711,1.69E-06
4311,0.000831305,1.69E-06
4312,0.000843341,1.68E-06
4313,0.000854887,1.68E-06
4314,0.000866027,1.68E-06
4315,0.000876852,1.68E-06
4316,0.000887469,1.68E-06
4317,0.000897989,1.68E-06
4318,0.000908535,1.68E-06
4319,0.000919238,1.68E-06
4320,0.000930234,1.68E-06
4321,0.000941664,1.68E-06
4322,0.000953675,1.68E-06
4323,0.000966414,1.68E-06
4324,0.000980032,1.68E-06
4325,0.000994678,1.68E-06
4326,0.001010501,1.68E-06
4327,0.001027648,1.68E-06
4328,0.00104626,1.68E-06
4329,0.001066475,1.68E-06
4330,0.001088422,1.68E-06
4331,0.001112225,1.68E-06
4332,0.001137999,1.68E-06
4333,0.001165847,1.68E-06
4334,0.001195863,1.68E-06
4335,0.00122813,1.68E-06
4336,0.001262717,1.68E-06
4337,0.001299681,1.68E-06
