Wavenumber,1635_Peak_Mean,1635_Peak_PC1,1635_Peak_PC2
1251.596,0.0,0.0,0.0
1253.524,0.0,0.0,0.0
1255.453,0.0,0.0,0.0
1257.381,0.0,0.0,0.0
1259.31,0.0,0.0,0.0
1261.238,0.0,0.0,0.0
1263.167,0.0,0.0,0.0
1265.095,0.0,0.0,0.0
1267.024,0.0,0.0,0.0
1268.952,0.0,0.0,0.0
1270.88,0.0,0.0,0.0
1272.809,0.0,0.0,0.0
1274.738,0.0,0.0,0.0
1276.666,0.0,0.0,0.0
1278.594,0.0,0.0,0.0
1280.523,0.0,0.0,0.0
1282.452,0.0,0.0,0.0
1284.38,0.0,0.0,0.0
1286.308,0.0,0.0,0.0
1288.237,0.0,0.0,0.0
1290.166,0.0,0.0,0.0
1292.094,0.0,0.0,0.0
1294.022,0.0,0.0,0.0
1295.951,0.0,0.0,0.0
1297.88,0.0,0.0,0.0
1299.808,0.0,0.0,0.0
1301.736,0.0,0.0,0.0
1303.665,0.0,0.0,0.0
1305.594,0.0,0.0,0.0
1307.522,0.0,0.0,0.0
1309.45,0.0,0.0,0.0
1311.379,0.0,0.0,0.0
1313.307,0.0,0.0,0.0
1315.236,0.0,0.0,0.0
1317.164,0.0,0.0,0.0
1319.093,0.0,0.0,0.0
1321.021,0.0,0.0,0.0
1322.95,0.0,0.0,0.0
1324.878,0.0,0.0,0.0
1326.807,0.0,0.0,0.0
1328.735,0.0,0.0,0.0
1330.664,0.0,0.0,0.0
1332.592,0.0,0.0,0.0
1334.521,0.0,0.0,0.0
1336.449,0.0,0.0,0.0
1338.378,0.0,0.0,0.0
1340.307,0.0,0.0,0.0
1342.235,0.0,0.0,0.0
1344.163,0.0,0.0,0.0
1346.092,0.0,0.0,0.0
1348.021,0.0,0.0,0.0
1349.949,0.0,0.0,0.0
1351.877,0.0,0.0,0.0
1353.806,0.0,0.0,0.0
1355.734,0.0,0.0,0.0
1357.663,0.0,0.0,0.0
1359.591,0.0,0.0,0.0
1361.52,0.0,0.0,0.0
1363.448,0.0,0.0,0.0
1365.377,0.0,0.0,0.0
1367.305,0.0,0.0,0.0
1369.234,0.0,0.0,0.0
1371.162,0.0,0.0,0.0
1373.091,0.0,0.0,0.0
1375.019,0.0,0.0,0.0
1376.948,0.0,0.0,0.0
1378.876,0.0,0.0,0.0
1380.805,0.0,0.0,0.0
1382.733,0.0,0.0,0.0
1384.662,0.0,0.0,0.0
1386.59,0.0,0.0,0.0
1388.519,0.0,0.0,0.0
1390.447,0.0,0.0,0.0
1392.376,0.0,0.0,0.0
1394.304,0.0,0.0,0.0
1396.233,0.0,0.0,0.0
1398.161,0.0,0.0,0.0
1400.09,0.0,0.0,0.0
1402.018,0.0,0.0,0.0
1403.947,0.0,0.0,0.0
1405.875,0.0,0.0,0.0
1407.804,0.0,0.0,0.0
1409.732,0.0,0.0,0.0
1411.661,0.0,0.0,0.0
1413.589,0.0,0.0,0.0
1415.518,0.0,0.0,0.0
1417.446,0.0,0.0,0.0
1419.375,0.0,0.0,0.0
1421.303,0.0,0.0,0.0
1423.232,0.0,0.0,0.0
1425.16,0.0,0.0,0.0
1427.089,0.0,0.0,0.0
1429.017,0.0,0.0,0.0
1430.946,0.0,0.0,0.0
1432.874,0.0,0.0,0.0
1434.803,0.0,0.0,0.0
1436.731,0.0,0.0,0.0
1438.66,0.0,0.0,0.0
1440.588,0.0,0.0,0.0
1442.517,0.0,0.0,0.0
1444.445,0.0,0.0,0.0
1446.374,0.0,0.0,0.0
1448.302,0.0,0.0,0.0
1450.231,0.0,0.0,0.0
1452.159,0.0,0.0,0.0
1454.088,0.0,0.0,0.0
1456.016,0.0,0.0,0.0
1457.945,0.0,0.0,0.0
1459.873,0.0,0.0,0.0
1461.802,0.0,0.0,0.0
1463.73,3.55099829459618e-10,0.0,-1.1758222477135078e-09
1465.659,-7.660419558145933e-09,0.0,1.9901162716929506e-08
1467.587,-1.0025708259114734e-07,0.0,3.1268857592799733e-07
1469.516,-1.0025708259114734e-07,0.0,3.1268857592799733e-07
1471.444,-1.0025708259114734e-07,0.0,3.1268857592799733e-07
1473.373,-7.955546071839343e-07,0.0,1.4980920998115555e-06
1475.301,-1.0025708259114734e-07,0.0,3.1268857592799733e-07
1477.23,1.5492737347611145e-06,-5.409819870406553e-08,-3.037838937459232e-06
1479.158,1.6216921241782474e-06,5.411737593587842e-07,-2.3815153173407914e-07
1481.087,1.6216921241782474e-06,-2.1760707795900124e-06,-2.3815153173407914e-07
1483.015,1.6216921241782474e-06,4.019057567146761e-06,-2.3815153173407914e-07
1484.944,-7.547516153591367e-06,-1.4142673945899771e-06,-2.3815153173407914e-07
1486.872,-7.547516153591367e-06,-7.243383512347303e-06,-2.3815153173407914e-07
1488.801,-7.547516153591367e-06,9.690353156565874e-06,-2.3745197526196538e-05
1490.729,-1.849887177186101e-06,6.481597317829211e-06,-5.867279792259614e-05
1492.658,-1.849887177186101e-06,-2.3936010104419e-05,-5.867279792259614e-05
1494.586,4.599923536036029e-06,1.3370770811997793e-05,-5.867279792259614e-05
1496.515,-1.849887177186101e-06,0.00026131700206387555,9.916870694379e-05
1498.443,-1.849887177186101e-06,0.0005499829601192384,0.00018790852318108903
1500.372,1.5917222278690666e-06,0.00052791205283545,0.00018790852318108903
1502.3,1.5917222278690666e-06,0.0001035819250908771,0.00018790852318108903
1504.229,1.5917222278690666e-06,-0.00045936821451436817,0.00017908000184550438
1506.157,7.156748327779221e-06,-0.0008871056208343914,0.00017908000184550438
1508.086,2.4400076715299027e-05,-0.0011161587740166508,0.00017908000184550438
1510.014,3.319169563094568e-05,-0.0011601776403855329,0.00022831936691730643
1511.943,5.620718819910978e-05,-0.001031393714674807,0.00040412002407767513
1513.871,0.00014795694883848332,-0.0007467854384877151,0.0006483288486894147
1515.8,0.0007082613314033513,-0.0003464987349962951,0.0006988714017540488
1517.728,0.0017237977367716413,0.00012557420125110211,0.0007248382261306511
1519.657,0.0029354603809263846,0.00059340536565384,0.0013523119942294903
1521.585,0.004127026154010209,0.0008735247078040604,0.0034025924014744863
1523.514,0.005303166559373306,0.0008782630534558821,0.006500542014843811
1525.442,0.006504330830209037,0.0005684433245673209,0.009848397863526002
1527.371,0.0076642091617757264,-7.156895618141478e-05,0.013153300816909486
1529.299,0.008829824633959944,-0.0009995531096741873,0.01660073336501438
1531.228,0.010055168104647046,-0.0020550083026827344,0.02012010266305996
1533.156,0.011392406808367095,-0.0030479201092479284,0.02359974124925086
1535.085,0.01288533079006298,-0.003892287911748346,0.027327822290436243
1537.013,0.014541938696327849,-0.004614599233524705,0.031312436433919774
1538.942,0.016347381155634458,-0.0052041434172378186,0.03569885113639249
