Wavenumber,1635_Peak_Mean,1635_Peak_PC1,1635_Peak_PC2
1251.596,0,0,0
1270.88,0,0,0
1290.166,0,0,0
1309.45,0,0,0
1328.735,0,0,0
1348.021,0,0,0
1367.305,0,0,0
1386.59,0,0,0
1405.875,0,0,0
1425.16,0,0,0
1444.445,0,0,0
1463.73,3.55E-10,0,-1.18E-09
1483.015,1.62E-06,4.02E-06,-2.38E-07
1517.728,0.001723798,0.000125574,0.000724838
1531.228,0.010055168,-0.002055008,0.020120103
1540.87,0.018276227,-0.005564437,0.040630795
1550.513,0.028427041,-0.004136482,0.07510961
1560.155,0.040563725,-0.003661238,0.119272046
1567.869,0.056711522,-0.0024407,0.15587052
1573.655,0.073336833,-0.001278327,0.180605974
1579.44,0.094217305,-0.003434717,0.198197819
1585.226,0.122578991,-0.011137178,0.204696844
1590.047,0.155772816,-0.020948308,0.200423761
1592.94,0.180755218,-0.026987242,0.195573834
1595.8325,0.211185743,-0.03257378,0.189140174
1598.725,0.24668465,-0.037349225,0.181605957
1600.654,0.274166242,-0.039683254,0.175932408
1602.582,0.304812993,-0.041242371,0.169695248
1604.511,0.338831063,-0.041951671,0.16281514
1606.439,0.376366838,-0.041680447,0.155248401
1608.368,0.417455444,-0.040226951,0.146962754
1610.296,0.461977313,-0.03737905,0.13790637
1612.225,0.509615562,-0.032980934,0.128047294
1614.153,0.559850926,-0.02703791,0.117467701
1616.082,0.61194496,-0.019795361,0.106373297
1618.01,0.664932111,-0.011712083,0.095020668
1619.939,0.717667519,-0.003323479,0.083665953
1621.867,0.768910338,0.004838346,0.072539965
1623.796,0.817383075,0.012169938,0.061821484
1625.724,0.861662701,0.017886606,0.051610949
1627.653,0.900869952,0.021116861,0.041930505
1629.581,0.933929197,0.021129824,0.032762137
1631.51,0.960033072,0.017497755,0.024063206
1633.438,0.978668332,0.010097125,0.015756866
1635.367,0.989435181,-0.000969772,0.007749001
1639.224,0.987538647,-0.032798661,-0.007563783
1643.081,0.95763122,-0.073903199,-0.021717729
1645.009,0.933730723,-0.096131254,-0.02807474
1646.938,0.904829905,-0.118289865,-0.033670897
1648.866,0.871817927,-0.139453245,-0.038331462
1650.795,0.835416307,-0.158893821,-0.041833952
1652.723,0.796681396,-0.17621954,-0.043929043
1654.652,0.75622027,-0.191266881,-0.044674376
1656.58,0.714704708,-0.20387634,-0.044287277
1658.509,0.672684887,-0.213800344,-0.043006331
1660.437,0.63059878,-0.220860485,-0.040774468
1662.366,0.588807533,-0.225131214,-0.03775572
1664.294,0.547613643,-0.226928056,-0.034188397
1666.223,0.507265123,-0.226659794,-0.030568801
1668.151,0.467984818,-0.224689388,-0.026963487
1670.08,0.42998933,-0.221244648,-0.023534287
1672.008,0.393506027,-0.216451658,-0.020365561
1673.937,0.35874042,-0.210452599,-0.017434301
1675.865,0.325844276,-0.203503143,-0.014625242
1677.794,0.294912484,-0.195911919,-0.011767188
1679.722,0.266007841,-0.187862987,-0.008679398
1683.579,0.214307141,-0.170520104,-0.001542429
1686.472,0.1808807,-0.156711931,0.00419747
1691.293,0.133368764,-0.133695755,0.012308579
1695.15,0.102361396,-0.116339519,0.015601097
1702.864,0.05567801,-0.084150336,0.01550614
1708.65,0.033031449,-0.06204996,0.015480071
1714.435,0.018892312,-0.040170905,0.017726215
1720.221,0.010366967,-0.021788244,0.017361979
1727.935,0.003576946,-0.004734294,0.008833836
1733.72,0.000496642,0.000658132,0.001142192
1739.506,2.85E-05,0.001550608,0.00011522
1745.291,1.13E-06,0.00021884,7.60E-06
1753.005,-6.06E-07,-6.18E-05,7.60E-06
1772.29,1.28E-06,0,1.17E-06
1791.575,0,0,0
1810.86,0,0,0
1830.145,0,0,0
1849.43,0,0,0
1868.715,0,0,0
1888,0,0,0
1907.285,0,0,0
1926.57,0,0,0
1945.855,0,0,0
1965.14,0,0,0
1984.425,0,0,0
2003.71,0,0,0
2022.995,0,0,0
2042.28,0,0,0
2061.565,0,0,0
2080.85,0,0,0
2100.135,0,0,0
2119.42,0,0,0
2138.705,0,0,0
2157.99,0,0,0
2177.275,0,0,0
2196.56,0,0,0
2215.845,0,0,0
2235.13,0,0,0
2254.415,0,0,0
2273.7,0,0,0
2292.985,0,0,0
2312.27,0,0,0
2331.555,0,0,0
2350.84,0,0,0
2370.125,0,0,0
2389.41,0,0,0
