Wavenumber,Absorbance,STD
4895,0.000292358,4.65E-06
4896,0.000286929,4.53E-06
4897,0.000285023,4.42E-06
4898,0.000286667,4.32E-06
4899,0.000291885,4.23E-06
4900,0.000300697,4.15E-06
4901,0.000313114,4.08E-06
4902,0.000329145,4.01E-06
4903,0.000348794,3.96E-06
4904,0.000372057,3.91E-06
4905,0.000398927,3.86E-06
4906,0.000429391,3.82E-06
4907,0.000463431,3.79E-06
4908,0.000501022,3.76E-06
4909,0.000542136,3.74E-06
4910,0.000586737,3.72E-06
4911,0.000634786,3.70E-06
4912,0.000686237,3.68E-06
4913,0.000741041,3.67E-06
4914,0.000799143,3.66E-06
4915,0.000860481,3.65E-06
4916,0.00092499,3.65E-06
4917,0.000992602,3.64E-06
4918,0.001063241,3.64E-06
4919,0.001136829,3.64E-06
4920,0.001213283,3.63E-06
4921,0.001292516,3.63E-06
4922,0.001374438,3.63E-06
4923,0.001458955,3.63E-06
4924,0.00154597,3.63E-06
4925,0.001635381,3.63E-06
4926,0.001727086,3.63E-06
4927,0.001820979,3.63E-06
4928,0.001916952,3.63E-06
4929,0.002014896,3.63E-06
4930,0.002114699,3.63E-06
4931,0.002216248,3.63E-06
4932,0.00231943,3.63E-06
4933,0.002424129,3.63E-06
4934,0.002530231,3.63E-06
4935,0.002637621,3.63E-06
4936,0.002746184,3.63E-06
4937,0.002855806,3.63E-06
4938,0.002966373,3.62E-06
4939,0.003077773,3.62E-06
4940,0.003189895,3.62E-06
4941,0.003302631,3.62E-06
4942,0.003415872,3.62E-06
4943,0.003529515,3.62E-06
4944,0.003643458,3.62E-06
4945,0.003757602,3.62E-06
4946,0.00387185,3.61E-06
4947,0.003986109,3.61E-06
4948,0.004100292,3.61E-06
4949,0.004214312,3.61E-06
4950,0.004328089,3.61E-06
4951,0.004441546,3.61E-06
4952,0.00455461,3.61E-06
4953,0.004667214,3.61E-06
4954,0.004779293,3.61E-06
4955,0.00489079,3.61E-06
4956,0.00500165,3.61E-06
4957,0.005111826,3.61E-06
4958,0.005221272,3.61E-06
4959,0.005329952,3.61E-06
4960,0.005437829,3.61E-06
4961,0.005544877,3.61E-06
4962,0.005651072,3.61E-06
4963,0.005756394,3.61E-06
4964,0.00586083,3.61E-06
4965,0.00596437,3.61E-06
4966,0.006067011,3.61E-06
4967,0.006168753,3.61E-06
4968,0.006269599,3.61E-06
4969,0.006369559,3.61E-06
4970,0.006468646,3.61E-06
4971,0.006566876,3.61E-06
4972,0.006664269,3.61E-06
4973,0.00676085,3.61E-06
4974,0.006856644,3.61E-06
4975,0.006951682,3.60E-06
4976,0.007045996,3.60E-06
4977,0.00713962,3.60E-06
4978,0.007232592,3.60E-06
4979,0.00732495,3.60E-06
4980,0.007416734,3.60E-06
4981,0.007507986,3.60E-06
4982,0.007598746,3.60E-06
4983,0.007689059,3.60E-06
4984,0.007778966,3.60E-06
4985,0.007868511,3.60E-06
4986,0.007957736,3.60E-06
4987,0.008046683,3.60E-06
4988,0.008135393,3.60E-06
4989,0.008223906,3.60E-06
4990,0.008312259,3.60E-06
4991,0.008400489,3.60E-06
4992,0.008488631,3.60E-06
4993,0.008576717,3.60E-06
4994,0.008664776,3.60E-06
4995,0.008752835,3.60E-06
4996,0.008840918,3.60E-06
4997,0.008929047,3.60E-06
4998,0.009017239,3.60E-06
4999,0.009105508,3.60E-06
5000,0.009193865,3.60E-06
5001,0.009282318,3.60E-06
5002,0.009370871,3.60E-06
5003,0.009459522,3.60E-06
5004,0.009548268,3.60E-06
5005,0.009637102,3.60E-06
5006,0.009726012,3.60E-06
5007,0.009814983,3.60E-06
5008,0.009903996,3.60E-06
5009,0.009993029,3.60E-06
5010,0.010082055,3.60E-06
5011,0.010171046,3.60E-06
5012,0.010259968,3.60E-06
5013,0.010348785,3.60E-06
5014,0.01043746,3.60E-06
5015,0.010525951,3.60E-06
5016,0.010614213,3.60E-06
5017,0.010702201,3.60E-06
5018,0.010789866,3.60E-06
5019,0.010877158,3.60E-06
5020,0.010964025,3.60E-06
5021,0.011050415,3.60E-06
5022,0.011136273,3.60E-06
5023,0.011221546,3.60E-06
5024,0.011306177,3.60E-06
5025,0.011390114,3.60E-06
5026,0.011473299,3.60E-06
5027,0.011555681,3.60E-06
5028,0.011637205,3.60E-06
5029,0.011717819,3.60E-06
5030,0.011797473,3.60E-06
5031,0.011876119,3.60E-06
5032,0.011953709,3.60E-06
5033,0.012030199,3.60E-06
5034,0.012105549,3.60E-06
5035,0.012179719,3.60E-06
5036,0.012252675,3.60E-06
5037,0.012324383,3.60E-06
5038,0.012394817,3.60E-06
5039,0.012463951,3.60E-06
5040,0.012531766,3.60E-06
5041,0.012598245,3.60E-06
5042,0.012663376,3.60E-06
5043,0.012727153,3.60E-06
5044,0.012789573,3.60E-06
5045,0.012850638,3.60E-06
5046,0.012910355,3.60E-06
5047,0.012968736,3.60E-06
5048,0.013025796,3.60E-06
5049,0.013081559,3.60E-06
5050,0.013136048,3.60E-06
5051,0.013189296,3.60E-06
5052,0.013241338,3.60E-06
5053,0.013292213,3.60E-06
5054,0.013341966,3.60E-06
5055,0.013390645,3.60E-06
5056,0.013438304,3.60E-06
5057,0.013484997,3.60E-06
5058,0.013530786,3.60E-06
5059,0.013575734,3.60E-06
5060,0.013619907,3.60E-06
5061,0.013663375,3.60E-06
5062,0.01370621,3.60E-06
5063,0.013748485,3.60E-06
5064,0.013790279,3.60E-06
5065,0.013831667,3.60E-06
5066,0.01387273,3.60E-06
5067,0.013913547,3.60E-06
5068,0.0139542,3.60E-06
5069,0.013994769,3.60E-06
5070,0.014035335,3.60E-06
5071,0.014075979,3.60E-06
5072,0.01411678,3.60E-06
5073,0.014157817,3.60E-06
5074,0.014199168,3.60E-06
5075,0.014240906,3.60E-06
5076,0.014283106,3.60E-06
5077,0.014325837,3.60E-06
5078,0.014369167,3.60E-06
5079,0.014413162,3.60E-06
5080,0.014457882,3.60E-06
5081,0.014503385,3.60E-06
5082,0.014549725,3.60E-06
5083,0.014596951,3.60E-06
5084,0.01464511,3.60E-06
5085,0.014694242,3.60E-06
5086,0.014744384,3.60E-06
5087,0.014795567,3.60E-06
5088,0.014847818,3.60E-06
5089,0.014901161,3.60E-06
5090,0.014955611,3.60E-06
5091,0.01501118,3.60E-06
5092,0.015067877,3.60E-06
5093,0.015125703,3.60E-06
5094,0.015184655,3.60E-06
5095,0.015244727,3.60E-06
5096,0.015305906,3.60E-06
5097,0.015368175,3.60E-06
5098,0.015431514,3.60E-06
5099,0.015495898,3.60E-06
5100,0.015561298,3.60E-06
5101,0.01562768,3.60E-06
5102,0.015695008,3.60E-06
5103,0.015763244,3.60E-06
5104,0.015832344,3.60E-06
5105,0.015902264,3.60E-06
5106,0.015972956,3.60E-06
5107,0.016044372,3.60E-06
5108,0.016116461,3.60E-06
5109,0.01618917,3.60E-06
5110,0.016262447,3.60E-06
5111,0.016336239,3.60E-06
5112,0.016410492,3.60E-06
5113,0.016485154,3.60E-06
5114,0.016560172,3.60E-06
5115,0.016635494,3.60E-06
5116,0.016711072,3.60E-06
5117,0.016786855,3.60E-06
5118,0.0168628,3.60E-06
5119,0.016938861,3.60E-06
5120,0.017014998,3.60E-06
5121,0.017091173,3.60E-06
5122,0.017167353,3.60E-06
5123,0.017243505,3.60E-06
5124,0.017319604,3.60E-06
5125,0.017395626,3.60E-06
5126,0.017471553,3.60E-06
5127,0.017547371,3.60E-06
5128,0.01762307,3.60E-06
5129,0.017698646,3.60E-06
5130,0.017774099,3.60E-06
5131,0.017849433,3.60E-06
5132,0.017924658,3.60E-06
5133,0.01799979,3.60E-06
5134,0.018074846,3.60E-06
5135,0.018149852,3.60E-06
5136,0.018224835,3.60E-06
5137,0.018299829,3.60E-06
5138,0.018374871,3.60E-06
5139,0.018450001,3.60E-06
5140,0.018525266,3.60E-06
5141,0.018600712,3.60E-06
5142,0.018676392,3.60E-06
5143,0.01875236,3.60E-06
5144,0.018828672,3.60E-06
5145,0.018905387,3.60E-06
5146,0.018982564,3.60E-06
5147,0.019060266,3.60E-06
5148,0.019138553,3.60E-06
5149,0.019217488,3.60E-06
5150,0.019297132,3.60E-06
5151,0.019377545,3.60E-06
5152,0.019458787,3.60E-06
5153,0.019540915,3.60E-06
5154,0.019623983,3.60E-06
5155,0.019708041,3.60E-06
5156,0.019793138,3.60E-06
5157,0.019879317,3.60E-06
5158,0.019966617,3.60E-06
5159,0.020055069,3.60E-06
5160,0.020144701,3.60E-06
5161,0.020235534,3.60E-06
5162,0.020327581,3.60E-06
5163,0.020420848,3.60E-06
5164,0.020515332,3.60E-06
5165,0.020611024,3.60E-06
5166,0.020707905,3.60E-06
5167,0.020805945,3.60E-06
5168,0.020905107,3.60E-06
5169,0.021005342,3.60E-06
5170,0.021106593,3.60E-06
5171,0.02120879,3.60E-06
5172,0.021311855,3.60E-06
5173,0.021415696,3.60E-06
5174,0.021520214,3.60E-06
5175,0.021625296,3.60E-06
5176,0.021730818,3.60E-06
5177,0.021836646,3.60E-06
5178,0.021942636,3.60E-06
5179,0.022048631,3.60E-06
5180,0.022154465,3.60E-06
5181,0.02225996,3.60E-06
5182,0.02236493,3.60E-06
5183,0.022469177,3.60E-06
5184,0.022572496,3.60E-06
5185,0.02267467,3.60E-06
5186,0.022775475,3.60E-06
5187,0.022874681,3.60E-06
5188,0.022972047,3.60E-06
5189,0.023067327,3.60E-06
5190,0.023160269,3.60E-06
5191,0.023250615,3.60E-06
5192,0.023338103,3.60E-06
5193,0.023422466,3.60E-06
5194,0.023503435,3.60E-06
5195,0.023580737,3.60E-06
5196,0.0236541,3.60E-06
5197,0.023723249,3.60E-06
5198,0.023787911,3.60E-06
5199,0.023847814,3.60E-06
5200,0.023902688,3.60E-06
5201,0.023952265,3.60E-06
5202,0.023996282,3.60E-06
5203,0.024034484,3.60E-06
5204,0.024066616,3.60E-06
5205,0.024092436,3.60E-06
5206,0.024111706,3.60E-06
5207,0.024124198,3.60E-06
5208,0.024129694,3.60E-06
5209,0.024127987,3.60E-06
5210,0.024118881,3.60E-06
5211,0.024102192,3.60E-06
5212,0.02407775,3.60E-06
5213,0.024045399,3.60E-06
5214,0.024004997,3.60E-06
5215,0.023956417,3.60E-06
5216,0.023899549,3.60E-06
5217,0.0238343,3.60E-06
5218,0.023760593,3.60E-06
5219,0.023678369,3.60E-06
5220,0.023587586,3.60E-06
5221,0.023488224,3.60E-06
5222,0.023380278,3.60E-06
5223,0.023263763,3.60E-06
5224,0.023138715,3.60E-06
5225,0.023005186,3.60E-06
5226,0.022863251,3.60E-06
5227,0.022713002,3.60E-06
5228,0.022554551,3.60E-06
5229,0.022388029,3.60E-06
5230,0.022213587,3.60E-06
5231,0.022031392,3.60E-06
5232,0.021841632,3.60E-06
5233,0.021644512,3.60E-06
5234,0.021440253,3.60E-06
5235,0.021229095,3.60E-06
5236,0.021011294,3.60E-06
5237,0.02078712,3.60E-06
5238,0.020556858,3.60E-06
5239,0.020320809,3.60E-06
5240,0.020079285,3.60E-06
5241,0.019832613,3.60E-06
5242,0.019581128,3.60E-06
5243,0.019325179,3.60E-06
5244,0.019065121,3.60E-06
5245,0.018801321,3.60E-06
5246,0.01853415,3.60E-06
5247,0.018263987,3.60E-06
5248,0.017991216,3.60E-06
5249,0.017716226,3.60E-06
5250,0.017439406,3.60E-06
5251,0.017161149,3.60E-06
5252,0.016881847,3.60E-06
5253,0.016601893,3.60E-06
5254,0.016321676,3.60E-06
5255,0.016041583,3.60E-06
5256,0.015761998,3.60E-06
5257,0.015483297,3.60E-06
5258,0.015205852,3.60E-06
5259,0.014930024,3.60E-06
5260,0.01465617,3.60E-06
5261,0.014384633,3.60E-06
5262,0.014115748,3.60E-06
5263,0.013849838,3.60E-06
5264,0.013587211,3.60E-06
5265,0.013328165,3.60E-06
5266,0.013072981,3.60E-06
5267,0.012821927,3.60E-06
5268,0.012575254,3.60E-06
5269,0.012333196,3.60E-06
5270,0.012095972,3.60E-06
5271,0.011863782,3.60E-06
5272,0.011636808,3.60E-06
5273,0.011415215,3.60E-06
5274,0.011199148,3.60E-06
5275,0.010988734,3.60E-06
5276,0.01078408,3.60E-06
5277,0.010585274,3.60E-06
5278,0.010392386,3.60E-06
5279,0.010205465,3.60E-06
5280,0.010024541,3.60E-06
5281,0.009849627,3.60E-06
5282,0.009680715,3.60E-06
5283,0.009517781,3.60E-06
5284,0.00936078,3.60E-06
5285,0.009209652,3.60E-06
5286,0.009064319,3.60E-06
5287,0.008924686,3.60E-06
5288,0.008790642,3.60E-06
5289,0.008662062,3.60E-06
5290,0.008538805,3.60E-06
5291,0.008420717,3.60E-06
5292,0.00830763,3.60E-06
