,PH_3550_M,PH_3550_STD,H2OT_3550_MAX,H2OT_3550_SAT?,P_H1635_BP,P_H1635_STD,H2Om_1635_MAX,P_H1635_PCA1_BP,P_H1635_PCA1_STD,P_H1635_PCA2_BP,P_H1635_PCA2_STD,P_G1515_BP,P_G1515_STD,STD_G1515_BP,STD_G1515_STD,AMP_G1515_BP,AMP_G1515_STD,P_G1430_BP,P_G1430_STD,STD_G1430_BP,STD_G1430_STD,AMP_G1430_BP,AMP_G1430_STD,AVG_BL_BP,AVG_BL_STD,PCA1_BP,PCA1_STD,PCA2_BP,PCA2_STD,PCA3_BP,PCA3_STD,PCA4_BP,PCA4_STD,m_BP,m_STD,b_BP,b_STD
21ALV1846-9_44x44_s1_EP_103um,1.3943417947066277,0.0024424344928513876,1.4868780000000001,-,0.17555391298421566,0.0034734921635701695,0.3285,-0.01894411284223357,0.018009239269123973,0.011401467810415627,0.013067812650617744,1524.9999999999998,5.7765119960486,22.500000000000004,3.5870285442585335,0.0010000000000000002,0.0013872862577812579,1420.0000000000002,5.811481806469543,22.500000000000004,3.587133816292163,0.0010000000000000002,0.0011697512098407768,1.3640137282916052,0.10178356147135524,3.6482944261039227,1.1033849519049899,0.1012082435340728,0.05124295664611057,0.4889456281204903,0.13906556675503204,0.0993432778046134,0.08302577049298528,0.00018543811194220663,0.00018887052358544087,0.7147720109610635,0.057848393540946834
21ALV1846-9_44x44_s2_EP_103um,1.496466407809443,0.002635715294360969,1.716836,-,0.17894450871446538,0.003458664102726708,0.46413180000000004,-0.02050603683205525,0.017790836330819106,-0.0014540687134816273,0.0131112849796214,1524.9999999999998,5.759504624183533,22.500000000000004,3.603762720450036,0.0010000000000000002,0.0009060327836175155,1420.0000000000002,5.768976897808794,34.99999999999998,3.617982147140771,0.0010000000000000002,0.0013906666468121776,1.3965742023321461,0.10390312841945086,3.196772088557206,1.1401152089229067,0.21461625469909806,0.05035228679253293,0.4371893183465029,0.14288420706595323,0.0685318464978338,0.08394824975197028,0.00010734325733479973,0.00019399868375273563,0.9136827140422976,0.05954764430019162
21ALV1846-9_44x44_s3_EP_103um,1.4055030031443587,0.0027275872265335203,1.507725,-,0.17575778477793205,0.0034794295227190525,0.343994,-0.03321366911941977,0.017927259033735175,0.013917770092929103,0.013077524968701803,1524.9999999999998,5.644139203759524,22.500000000000004,3.6144842011050704,0.0010000000000000002,0.0012635141287711826,1420.0000000000002,5.806800800973197,22.500000000000004,3.6089718007012253,0.0010000000000000002,0.001215709831093228,1.3489690240236503,0.1050056177078686,3.3977716109369687,1.1266818318828733,0.1042009423366433,0.0515371894233232,0.4697500787016621,0.13942552074685405,0.10489032962534563,0.08553315359311535,0.00013591294555514899,0.00019429779514561096,0.7485504996234786,0.05868884391186645
23WOK5-4_44x44_s1_EP_147um,1.498463437031462,0.0018576498344222583,1.749934,-,0.15135218636902167,0.003554386167582433,0.5083929,0.013504510030696148,0.018310171827595676,-0.014678193766915908,0.014156780124167634,1520.0540790295415,5.239155047729089,22.500000000000004,3.5791129244406537,0.009478647242161799,0.003519054577890815,1439.23481389957,5.049149030296582,22.500000000000004,3.384094254057532,0.008949141942233356,0.003630515003113831,1.421374832389593,0.1354587133537079,0.2157560687939797,1.518300722711912,0.0614985518047227,0.05820512530970912,-0.17053310005232525,0.19397400847271282,0.14585721063832705,0.1095884266534835,-0.0004084636289797964,0.00025766194070524494,1.236847179756641,0.07941526613216988
23WOK5-4_44x44_s2_EP_147um,1.400607835765438,0.0013519458442138538,1.509591,-,0.14981701902407044,0.0036754081198190187,0.3605983,0.006422295409057342,0.018662464635749693,0.0038981841710724087,0.013792523053985475,1523.7642131204802,3.90079062692103,25.32000679826791,3.45172724192872,0.01542806625033512,0.003696266094307012,1439.9999999999998,5.114516336406815,22.500000000000004,3.433887656660935,0.008460808698455346,0.003556169692356359,1.4903901125779866,0.12699466708578008,1.9883302023368168,1.4095017392716505,-0.05349925840821638,0.05939512355569945,0.11208652540459828,0.17963877840546225,0.06906601532114819,0.10350909236373497,-0.0001304033689114805,0.00024053174463257155,0.9561785461382372,0.07378630949924406
23WOK5-4_44x44_s3_EP_147um,1.4517750690947802,0.001553768335853545,1.61366,-,0.15238752404862355,0.0035768597555742494,0.4277742,0.004064094998753223,0.019185434224230635,0.006332830642699343,0.014313709452956482,1523.6915663598888,4.030628746445164,25.41240569659435,3.4429579999441287,0.015310611739408467,0.0037393268501996206,1439.726258274181,4.948890338422656,22.500000000000004,3.3766612901075197,0.008906833954461927,0.003712369895356558,1.5115785796970103,0.12957135270914077,1.8328885144754061,1.4301908384641702,-0.06302380944637202,0.05837168652600409,0.09805002633861673,0.18257232283646027,0.08356268885225455,0.1057438854962741,-0.0001771445728169254,0.0002441582177754325,1.0528158055081311,0.07465941067901714
ALV1833-11_44x44_s1_EP_108um,1.07904305335823,0.0004974642814728748,1.194999,-,0.0769172295404285,0.003526520999643085,0.33092,0.011277348073516007,0.01839545371864835,-0.01145889264743385,0.014671460754849533,1522.3656102271734,3.119142618237886,31.19454125410712,3.237122890740531,0.021345738262692655,0.0038756072174388977,1433.9621459172201,4.070070298493863,22.96709400782672,3.1353386604875775,0.016662946484659734,0.004072949541211181,1.2652661095047137,0.1378005201385985,0.9889354425809513,1.5366121788287734,-0.19545694026458568,0.057504942808814276,-0.009286518182308898,0.19846948755900334,0.12605182468664516,0.11192811103760449,-0.0002844840570884596,0.0002613026972629433,0.9084214293763323,0.08036544128171856
ALV1833-11_44x44_s2_EP_108um,1.076403591913537,0.0005560916301923114,1.174296,-,0.07715918681935625,0.003596938716409568,0.3124143,0.01086590200619002,0.019489346796822276,-0.009492861171561172,0.014572880190943618,1521.3678648630778,3.437922791664153,30.939039532563132,3.260960699705348,0.020944031660627055,0.0038876921060468656,1433.2242326213477,4.38925020931138,22.907706860971096,3.199894332132162,0.01598397859264585,0.004042967593661414,1.2585974229121233,0.1365789071703167,1.0077197365913866,1.5248812090891983,-0.1991432838447765,0.06090349993129227,-0.007757151485177444,0.1957825297170353,0.1315393727026839,0.11044705140754177,-0.00028446673458727126,0.00025973836768493694,0.8858967806121509,0.07991792191146832
ALV1833-11_44x44_s3_EP_108um,1.0761604255134076,0.0006046770942054135,1.177185,-,0.07760114361891991,0.003604128025383966,0.31371079999999996,0.013925306970415996,0.01818815741018176,-0.011607698400363475,0.01421979385171263,1521.8192625358151,3.283826821918403,31.27697674326407,3.207886090510207,0.02097127533440991,0.003917382830834437,1433.8186039019458,4.228033276823435,23.31367380275979,3.1927357312921045,0.01624298173300281,0.0040854064577541165,1.2686275582550615,0.13852781088826802,1.0263843902331384,1.5451042998944506,-0.19361907565341754,0.05876912726309384,-0.010367415437635455,0.198898373353845,0.12401055050655835,0.11276855421471797,-0.0002753069365995878,0.00026301751381839706,0.8889526062079396,0.08087122839208541
CD33_12-2-2_VG9764_44x44_s1_EP_105um,0.27529746920709997,4.902677045613226e-05,0.4704139,-,9.372652678075968e-47,0.0011534701801055457,0.32958059999999995,0.015821771205924876,0.01711669295904648,-0.017507592350787124,0.01493234649635103,1522.514425300086,2.214039240441813,34.56709487970326,2.538936579783642,0.033337143239416764,0.003916800046273455,1429.3059040100923,3.683116631626937,23.38255510685197,3.012278411881001,0.023393964899748054,0.0041204770177510515,1.3725437752394571,0.12727139653531386,0.17993628926263253,1.3629330631744927,-0.9899920938867665,0.0293094198584519,-0.15424283171632708,0.17807280887481017,0.22135301616951716,0.10018265392979414,-0.0003667023055483388,0.00023255501313945636,0.9629180741335208,0.06957825708572413
