,Density,Tau,Na/Na+Ca,epsilon_H2OT_3550,sigma_epsilon_H2OT_3550,epsilon_H2Om_1635,sigma_epsilon_H2Om_1635,epsilon_CO2,sigma_epsilon_CO2
21ALV1846-9_44x44_s1_EP_103um,2799.7565037561785,0.6595583965411587,0.2177055637742523,62.797376399201426,7.277666388680767,31.55291897442271,8.360874827617256,363.36622990789755,14.079332668884508
21ALV1846-9_44x44_s2_EP_103um,2796.6758166512636,0.6595583965411587,0.2177055637742523,62.797376399201426,7.277666388680767,31.55291897442271,8.360874827617256,363.36622990789755,14.079332668884508
21ALV1846-9_44x44_s3_EP_103um,2799.4194987021156,0.6595583965411587,0.2177055637742523,62.797376399201426,7.277666388680767,31.55291897442271,8.360874827617256,363.36622990789755,14.079332668884508
23WOK5-4_44x44_s1_EP_147um,2809.8380676242723,0.6571068603683341,0.34672038706821856,62.622413471607786,7.264732195719246,31.248314295828948,8.345742800550846,317.5394808953173,17.130452472425716
23WOK5-4_44x44_s2_EP_147um,2811.9043146890676,0.6571068603683341,0.34672038706821856,62.622413471607786,7.264732195719246,31.248314295828948,8.345742800550846,317.5394808953173,17.130452472425716
23WOK5-4_44x44_s3_EP_147um,2810.8235465515213,0.6571068603683341,0.34672038706821856,62.622413471607786,7.264732195719246,31.248314295828948,8.345742800550846,317.5394808953173,17.130452472425716
ALV1833-11_44x44_s1_EP_108um,2808.2620990016076,0.6569207364214361,0.30273451925329103,62.60913004915392,7.263750589177731,31.22518829603669,8.344593415137242,333.16349426827895,16.133077718059152
ALV1833-11_44x44_s2_EP_108um,2808.3375872236934,0.6569207364214361,0.30273451925329103,62.60913004915392,7.263750589177731,31.22518829603669,8.344593415137242,333.16349426827895,16.133077718059152
ALV1833-11_44x44_s3_EP_108um,2808.344541941624,0.6569207364214361,0.30273451925329103,62.60913004915392,7.263750589177731,31.22518829603669,8.344593415137242,333.16349426827895,16.133077718059152
CD33_12-2-2_VG9764_44x44_s1_EP_105um,2905.6122772383906,0.6353455242696043,0.29614761239911863,61.06933539983039,7.150329152917523,28.544456665008298,8.210831123422407,335.50319849348733,15.980342083149338
CD33_12-2-2_VG9764_44x44_s2_EP_105um,2905.6925077013825,0.6353455242696043,0.29614761239911863,61.06933539983039,7.150329152917523,28.544456665008298,8.210831123422407,335.50319849348733,15.980342083149338
CD33_12-2-2_VG9764_44x44_s3_EP_105um,2905.590629026144,0.6353455242696043,0.29614761239911863,61.06933539983039,7.150329152917523,28.544456665008298,8.210831123422407,335.50319849348733,15.980342083149338
CD33_22-1-1_VG9812_44x44_s1_EP_73um,2861.9393995872283,0.6452473155181327,0.23744804284987672,61.77601327979312,7.202292497106124,29.774759515194475,8.272351336078325,356.35359670509666,14.573588965542342
CD33_22-1-1_VG9812_44x44_s2_EP_73um,2862.4394020279183,0.6452473155181327,0.23744804284987672,61.77601327979312,7.202292497106124,29.774759515194475,8.272351336078325,356.35359670509666,14.573588965542342
CD33_22-1-1_VG9812_44x44_s3_EP_73um,2862.2048283794156,0.6452473155181327,0.23744804284987672,61.77601327979312,7.202292497106124,29.774759515194475,8.272351336078325,356.35359670509666,14.573588965542342
ETFSR_Ol8_256s,2898.3541488469655,0.5393672870323273,0.1848159807442027,54.21949424371847,6.6553487866995065,16.61910943589794,7.601886960498442,375.0487841149612,13.227387844869218
ETFSR_Ol8_256s_2,2900.0665233629384,0.5393672870323273,0.1848159807442027,54.21949424371847,6.6553487866995065,16.61910943589794,7.601886960498442,375.0487841149612,13.227387844869218
ETFSR_Ol8_highres_256s,2897.281429168139,0.5393672870323273,0.1848159807442027,54.21949424371847,6.6553487866995065,16.61910943589794,7.601886960498442,375.0487841149612,13.227387844869218
Fiege63_256s,2917.1123917625932,0.5916736603105943,0.35108032293919783,57.95253163554577,6.923069598304947,23.11820424732595,7.936709671836037,315.9908085662853,17.227330554416284
Fiege63_256s_2,2911.89909839097,0.5916736603105943,0.35108032293919783,57.95253163554577,6.923069598304947,23.11820424732595,7.936709671836037,315.9908085662853,17.227330554416284
Fiege63_256s_3,2906.2428632637734,0.5916736603105943,0.35108032293919783,57.95253163554577,6.923069598304947,23.11820424732595,7.936709671836037,315.9908085662853,17.227330554416284
Fiege73_256s,2923.227597231056,0.5916736603105943,0.35108032293919783,57.95253163554577,6.923069598304947,23.11820424732595,7.936709671836037,315.9908085662853,17.227330554416284
Fiege73_256s_2,2922.691195738537,0.5916736603105943,0.35108032293919783,57.95253163554577,6.923069598304947,23.11820424732595,7.936709671836037,315.9908085662853,17.227330554416284
Fiege73_256s_2_highres,2924.5298708204828,0.5916736603105943,0.35108032293919783,57.95253163554577,6.923069598304947,23.11820424732595,7.936709671836037,315.9908085662853,17.227330554416284
Fiege73_2_256s,2922.691195738537,0.5916736603105943,0.35108032293919783,57.95253163554577,6.923069598304947,23.11820424732595,7.936709671836037,315.9908085662853,17.227330554416284
STD_C1'_256s_20x50,2770.7662484383045,0.6649906256198775,0.2303499446913632,63.18506747776173,7.3063590957940425,32.22787633826387,8.394358133612345,358.8748787909209,14.397248320020301
STD_C1_020320_256s_20x50_a,2772.994661546219,0.6649906256198775,0.2303499446913632,63.18506747776173,7.3063590957940425,32.22787633826387,8.394358133612345,358.8748787909209,14.397248320020301
STD_C1_020320_256s_20x50_b,2772.687707236203,0.6649906256198775,0.2303499446913632,63.18506747776173,7.3063590957940425,32.22787633826387,8.394358133612345,358.8748787909209,14.397248320020301
STD_C1_020320_256s_20x50_c,2771.7855498953227,0.6649906256198775,0.2303499446913632,63.18506747776173,7.3063590957940425,32.22787633826387,8.394358133612345,358.8748787909209,14.397248320020301
STD_C1_020520_256s_20x50_a,2772.876142924787,0.6649906256198775,0.2303499446913632,63.18506747776173,7.3063590957940425,32.22787633826387,8.394358133612345,358.8748787909209,14.397248320020301
STD_C1_020520_256s_20x50_b,2772.8344528224284,0.6649906256198775,0.2303499446913632,63.18506747776173,7.3063590957940425,32.22787633826387,8.394358133612345,358.8748787909209,14.397248320020301
STD_C1_020520_256s_20x50_c,2772.8944811847427,0.6649906256198775,0.2303499446913632,63.18506747776173,7.3063590957940425,32.22787633826387,8.394358133612345,358.8748787909209,14.397248320020301
STD_C1_021220_256s_20x50_a,2774.419069175485,0.6649906256198775,0.2303499446913632,63.18506747776173,7.3063590957940425,32.22787633826387,8.394358133612345,358.8748787909209,14.397248320020301
STD_C1_021220_256s_20x50_b,2775.593266103954,0.6649906256198775,0.2303499446913632,63.18506747776173,7.3063590957940425,32.22787633826387,8.394358133612345,358.8748787909209,14.397248320020301
STD_C1_021220_256s_20x50_c,2775.610589733798,0.6649906256198775,0.2303499446913632,63.18506747776173,7.3063590957940425,32.22787633826387,8.394358133612345,358.8748787909209,14.397248320020301
STD_C1_021420_256s_20x50_a,2773.206912316397,0.6649906256198775,0.2303499446913632,63.18506747776173,7.3063590957940425,32.22787633826387,8.394358133612345,358.8748787909209,14.397248320020301
STD_C1_021420_256s_20x50_b,2773.6611239241647,0.6649906256198775,0.2303499446913632,63.18506747776173,7.3063590957940425,32.22787633826387,8.394358133612345,358.8748787909209,14.397248320020301
STD_C1_021420_256s_20x50_c,2773.486533521902,0.6649906256198775,0.2303499446913632,63.18506747776173,7.3063590957940425,32.22787633826387,8.394358133612345,358.8748787909209,14.397248320020301
STD_C1_021720_256s_20x50_a,2774.1339794747114,0.6649906256198775,0.2303499446913632,63.18506747776173,7.3063590957940425,32.22787633826387,8.394358133612345,358.8748787909209,14.397248320020301
STD_C1_021720_256s_20x50_b,2773.9927824714455,0.6649906256198775,0.2303499446913632,63.18506747776173,7.3063590957940425,32.22787633826387,8.394358133612345,358.8748787909209,14.397248320020301
STD_C1_021720_256s_20x50_c,2774.264088808875,0.6649906256198775,0.2303499446913632,63.18506747776173,7.3063590957940425,32.22787633826387,8.394358133612345,358.8748787909209,14.397248320020301
STD_C1_021920_256s_20x50_a,2772.9411344305904,0.6649906256198775,0.2303499446913632,63.18506747776173,7.3063590957940425,32.22787633826387,8.394358133612345,358.8748787909209,14.397248320020301
STD_C1_021920_256s_20x50_b,2772.9907900057665,0.6649906256198775,0.2303499446913632,63.18506747776173,7.3063590957940425,32.22787633826387,8.394358133612345,358.8748787909209,14.397248320020301
STD_C1_021920_256s_20x50_c,2772.646384724371,0.6649906256198775,0.2303499446913632,63.18506747776173,7.3063590957940425,32.22787633826387,8.394358133612345,358.8748787909209,14.397248320020301
STD_C1_022120_256s_20x50_a,2774.248909011799,0.6649906256198775,0.2303499446913632,63.18506747776173,7.3063590957940425,32.22787633826387,8.394358133612345,358.8748787909209,14.397248320020301
STD_C1_022120_256s_20x50_b,2774.2328628836026,0.6649906256198775,0.2303499446913632,63.18506747776173,7.3063590957940425,32.22787633826387,8.394358133612345,358.8748787909209,14.397248320020301
STD_C1_022120_256s_20x50_c,2774.4493261255016,0.6649906256198775,0.2303499446913632,63.18506747776173,7.3063590957940425,32.22787633826387,8.394358133612345,358.8748787909209,14.397248320020301
STD_CN92C_OL2_020320_256s_20x25_a,2717.3401673827693,0.6597528305721314,0.2531711551948636,62.8112529014778,7.278692605828422,31.577077506598854,8.362074399140308,350.76866386766187,14.959081307391472
STD_CN92C_OL2_020320_256s_20x25_b,2721.2860623948027,0.6597528305721314,0.2531711551948636,62.8112529014778,7.278692605828422,31.577077506598854,8.362074399140308,350.76866386766187,14.959081307391472
STD_CN92C_OL2_020320_256s_20x25_c,2715.2559814275196,0.6597528305721314,0.2531711551948636,62.8112529014778,7.278692605828422,31.577077506598854,8.362074399140308,350.76866386766187,14.959081307391472
STD_CN92C_OL2_020520_256s_20x25_a,2712.813497249832,0.6597528305721314,0.2531711551948636,62.8112529014778,7.278692605828422,31.577077506598854,8.362074399140308,350.76866386766187,14.959081307391472
STD_CN92C_OL2_020520_256s_20x25_b,2708.9539832493083,0.6597528305721314,0.2531711551948636,62.8112529014778,7.278692605828422,31.577077506598854,8.362074399140308,350.76866386766187,14.959081307391472
STD_CN92C_OL2_020520_256s_20x25_c,2709.7592848880495,0.6597528305721314,0.2531711551948636,62.8112529014778,7.278692605828422,31.577077506598854,8.362074399140308,350.76866386766187,14.959081307391472
STD_CN92C_OL2_021220_20x25_a,2741.323403539368,0.6597528305721314,0.2531711551948636,62.8112529014778,7.278692605828422,31.577077506598854,8.362074399140308,350.76866386766187,14.959081307391472
STD_CN92C_OL2_021220_20x25_b,2740.136955646604,0.6597528305721314,0.2531711551948636,62.8112529014778,7.278692605828422,31.577077506598854,8.362074399140308,350.76866386766187,14.959081307391472
STD_CN92C_OL2_021220_20x25_c,2739.353517135887,0.6597528305721314,0.2531711551948636,62.8112529014778,7.278692605828422,31.577077506598854,8.362074399140308,350.76866386766187,14.959081307391472
STD_CN92C_OL2_021420_256s_20x25_a,2726.433974806683,0.6597528305721314,0.2531711551948636,62.8112529014778,7.278692605828422,31.577077506598854,8.362074399140308,350.76866386766187,14.959081307391472
