,H2OT_3550_M,H2OT_3550_STD,H2Om_1635_BP,H2Om_1635_STD,CO2_1515_BP,CO2_1515_STD,CO2_1430_BP,CO2_1430_STD
21ALV1846-9_44x44_s1_EP_103um,1.3871111895701391,0.10821280821756514,0.34757977795150385,0.058237881074416506,4.200000274417029,5.844201167063119,4.200000274417029,4.932754545944416
21ALV1846-9_44x44_s2_EP_103um,1.490346106541393,0.11631121401739676,0.35468310213749576,0.05940755898954336,4.2046267980237335,3.822703308589264,4.2046267980237335,5.864501592302778
21ALV1846-9_44x44_s3_EP_103um,1.3983828421197275,0.10902511928821645,0.3480253159998696,0.05846561772471289,4.200505886855679,5.331639397422443,4.200505886855679,5.130697807023059
23WOK5-4_44x44_s1_EP_147um,1.0436592793780677,0.07846128182354224,0.21125378290757327,0.03557282475517185,31.805437373163713,11.92886956168309,30.02869146993803,12.293819097282087
23WOK5-4_44x44_s2_EP_147um,0.9747873709050758,0.07318558287381344,0.20895737359831165,0.03515723278901991,51.730569589190495,12.651911287855546,28.369236043873315,12.018021505803913
23WOK5-4_44x44_s3_EP_147um,1.0107869622721775,0.07600711107683508,0.21262431007723107,0.03576997241854737,51.35648170433828,12.805100001707112,29.876249415203034,12.564729151348718
ALV1833-11_44x44_s1_EP_108um,1.0237189114282472,0.07936453725897064,0.1463181459787306,0.025479882404370945,92.97019586838574,17.42802436807301,72.57455232320586,18.124970825018554
ALV1833-11_44x44_s2_EP_108um,1.0211873288043776,0.07915517232078806,0.14677447118314468,0.025594661468521813,91.21813271464426,17.523105892227424,69.61547347700815,17.980004005080588
ALV1833-11_44x44_s3_EP_108um,1.020954107762828,0.07928151015367675,0.1476148088254516,0.025744119865798443,91.33656166588143,17.645354932689692,70.74334197786841,18.15985090094637
CD33_12-2-2_VG9764_44x44_s1_EP_105um,0.26619082409281697,0.020855945688574382,1.9388972668672887e-46,0.0024927888136840265,143.33627827982502,18.20832876250195,100.58461934956759,18.391700076259326
CD33_12-2-2_VG9764_44x44_s2_EP_105um,0.2637823163197597,0.02068837561325824,6.252058609979377e-47,0.0024360101922175853,136.82516043803136,18.073451344012085,98.8502243309567,18.60539121165159
CD33_12-2-2_VG9764_44x44_s3_EP_105um,0.26684074333096997,0.02093314574716422,1.9586968611170052e-42,0.002670615721298662,139.01022131574973,17.761527229997377,99.26136935122136,18.19623164167857
CD33_22-1-1_VG9812_44x44_s1_EP_73um,0.5388028326894031,0.045109314040008584,0.033400148155102276,0.012375819286420169,150.51819071120207,24.94035125275519,99.13074551879738,25.22027666654013
CD33_22-1-1_VG9812_44x44_s2_EP_73um,0.5230997791249687,0.0438773624573224,0.040922003149315093,0.013340764049616446,146.55393091247535,24.51621943396462,89.1421719454926,25.07839524950593
CD33_22-1-1_VG9812_44x44_s3_EP_73um,0.5304654877392004,0.04439726462536652,0.04617127549044754,0.01379190060841437,149.92450792453468,25.11312469262195,86.32035583196473,25.131052061325068
ETFSR_Ol8_256s,3.855546373100306,0.43102455885310803,2.276094101429862,0.7517925115767744,5319.174757241319,467.280568113625,4915.425645645435,434.03059087547206
ETFSR_Ol8_256s_2,3.804692334949368,0.4257524543696045,2.2297578955544664,0.7360475508772749,5201.694989318454,456.8638316628265,4777.4697488277125,421.25537574653106
ETFSR_Ol8_highres_256s,3.8874616314934802,0.435859353770996,2.2784867962854594,0.7526853263167644,5363.57635192805,471.2593111500285,4941.770927287622,436.0817080266043
Fiege63_256s,1.8489607680401123,0.14203456265540704,1.0523337920550886,0.2316442386159877,513.4065877283826,27.11408424589192,489.73527513772007,27.120602015185337
Fiege63_256s_2,2.006791413723876,0.1540533619189379,1.0730647926957382,0.23647609571045147,411.448931650691,23.605049430377374,393.9387192719559,24.070968238668126
Fiege63_256s_3,2.1792347035156427,0.16713277223045409,1.067328509123448,0.23496362943527158,525.950433861869,27.787125884381027,497.58207986891045,28.140200241733734
Fiege73_256s,1.6651655728135244,0.12755137001590938,1.889900889803244,0.4153968134985935,1330.604370164866,59.54894880148864,1179.3603164290744,53.0982510450479
Fiege73_256s_2,1.6812298497168012,0.12882796161654267,1.8872801203947152,0.4148780866830399,1352.2763131847487,60.53143750327067,1188.698912999643,53.62624023737748
Fiege73_256s_2_highres,1.6262105760963461,0.12464990302724813,1.87503907639073,0.4122525136210964,1318.7158537259938,58.905911157067116,1170.0973366831524,52.82541084367134
Fiege73_2_256s,1.6812298497168012,0.128796574810809,1.8872801203947152,0.41543888385139,1352.2763131847487,60.34528404562754,1188.698912999643,53.57582139503113
STD_C1'_256s_20x50,3.464218754572497,0.3620035768021087,1.3082369848970838,0.2352035008706663,418.3757112228812,59.687137433565105,333.756066802805,58.85543539133601
STD_C1_020320_256s_20x50_a,3.387879910603646,0.35432970166830324,1.2828407604350966,0.23025023388925078,250.2450392029145,47.76589079392307,149.61505196718696,46.17281179765059
STD_C1_020320_256s_20x50_b,3.398380968557622,0.355445369100248,1.2825624784047933,0.2304776174816763,246.77420562448785,47.82244391239244,143.16168500298934,46.6576950437236
STD_C1_020320_256s_20x50_c,3.42927062297751,0.35854415896318265,1.2947110555163313,0.23240147985305112,257.5481973416222,47.152993011105764,150.66500839740192,45.92208859036342
STD_C1_020520_256s_20x50_a,3.391933950691234,0.35451096574791974,1.274251102296341,0.22902385692083554,244.14962862840318,47.63977394791522,184.92945224791933,47.52829839251052
STD_C1_020520_256s_20x50_b,3.3933601611184385,0.354913792308312,1.280333770569224,0.2300698891490658,249.1955633222676,47.429469019410156,187.29278681518213,46.62655966351429
STD_C1_020520_256s_20x50_c,3.3913066289546596,0.35397642839195015,1.276141719650472,0.2291359731106438,248.49218724848237,48.687193325220996,192.31600810585996,48.629573654020255
STD_C1_021220_256s_20x50_a,3.3392098184829457,0.34894129875287333,1.2686555544633316,0.22768651854104255,296.99448261431024,50.71004110783782,203.9989971212852,48.322454825673496
STD_C1_021220_256s_20x50_b,3.2991626706146446,0.3454386194568935,1.2334731000613752,0.22156095178219762,272.1640112025622,48.8848170128895,181.0356349956728,46.54427094232417
STD_C1_021220_256s_20x50_c,3.298572327929296,0.3452626610290442,1.2595633066971608,0.2261657875655764,285.0499871504233,49.62079105712636,223.60400797536744,48.75848751058154
STD_C1_021420_256s_20x50_a,3.380621372586998,0.3529303120876232,1.3019615289675242,0.23399684424350797,286.34634670075025,49.737748927048564,229.21604674946792,48.890760613315216
STD_C1_021420_256s_20x50_b,3.3650955897873764,0.35148283010553055,1.2973913755555322,0.23287363936297026,288.4393443016178,50.53765458321741,228.93508430585584,48.646440049493705
STD_C1_021420_256s_20x50_c,3.37106222931181,0.3522652280040557,1.2990066717461848,0.23308310301562746,286.60681174133344,49.8391284708105,229.88123844151272,50.49685952306142
STD_C1_021720_256s_20x50_a,3.3489431091686814,0.35044340193442963,1.2461034293920052,0.22384824958451155,338.8110481552582,52.36052440070645,232.71624657675147,50.9193202076019
STD_C1_021720_256s_20x50_b,3.353765189418323,0.35054838367220903,1.2467041170822517,0.22377125937183126,342.15985373881404,51.702021204822415,234.2884228550175,49.47824165120422
STD_C1_021720_256s_20x50_c,3.344500540342207,0.34936779407490837,1.2490321272508131,0.22415154355635367,344.3788208229382,51.103218490215426,240.45567365819375,49.70066707241825
