,P_H5200_M,P_H4500_M,P_H5200_STD,P_H4500_STD,S2N_P5200,S2N_P4500,ERR_5200,ERR_4500
21ALV1846-9_44x44_s1_EP_103um,0.009452003197694223,0.011226284943840417,0.0002214453102751205,9.437564371362578e-05,17.47105574600998,8.926615036472606,-,-
21ALV1846-9_44x44_s2_EP_103um,0.008930837603665883,0.009701278971494991,0.000273794854763187,0.0001689540459643695,12.633837049247582,9.92363392405832,-,-
21ALV1846-9_44x44_s3_EP_103um,0.008924481435823367,0.01115296693846946,0.00017098507549700184,9.224572956575457e-05,17.967786162317264,10.460438192424801,-,-
23WOK5-4_44x44_s1_EP_147um,0.006826447930142161,0.008665217980056298,5.029625742251586e-05,4.4963889128398534e-05,9.929033565962696,9.070702010186391,-,-
23WOK5-4_44x44_s2_EP_147um,0.0076134633762408865,0.010134897391376638,0.0002670833137879911,0.000177780454886075,12.168686956706175,11.521331501618471,-,-
23WOK5-4_44x44_s3_EP_147um,0.007938418321186911,0.010640972198439838,6.096670332001661e-05,0.00027486839357942117,20.369461636088,12.695594949585674,-,-
ALV1833-11_44x44_s1_EP_108um,0.005993395038897574,0.006623384292610793,0.00031030331638473156,2.3041124908170086e-05,14.061887056703412,6.305064165283525,-,-
ALV1833-11_44x44_s2_EP_108um,0.006149876230983147,0.007067726749992425,0.00033025813405576925,0.000315934473525477,15.380261924390588,7.432937495509985,-,-
ALV1833-11_44x44_s3_EP_108um,0.005923195259891745,0.006603161407393504,7.788280430161082e-05,0.00020323158187063084,16.22620788628269,9.113567346906981,-,-
CD33_12-2-2_VG9764_44x44_s1_EP_105um,0.005518744531712032,0.0010577103412667543,0.00018480353214556732,5.301161468737057e-05,9.969202811577851,2.3207743391864466,-,*
CD33_12-2-2_VG9764_44x44_s2_EP_105um,0.005582948386253267,0.0012019395507507076,0.00014928973902040128,0.00014107308572491103,10.794838236234016,3.062951406750917,-,*
CD33_12-2-2_VG9764_44x44_s3_EP_105um,0.005486025867865468,0.001030601441904988,0.00015722686016143755,0.0002045887864385722,11.973409708152056,1.7487625065290722,-,*
CD33_22-1-1_VG9812_44x44_s1_EP_73um,0.0037279073234766386,0.0027664943145484094,2.412786279126822e-05,0.00024028752764216517,5.519700440947612,4.943304377389778,-,-
CD33_22-1-1_VG9812_44x44_s2_EP_73um,0.0036488817868325085,0.002067155073364384,0.0001547400030553151,0.00012348716637051798,8.511378593708855,4.182405194531086,-,-
CD33_22-1-1_VG9812_44x44_s3_EP_73um,0.0034620741240592168,0.002128944585554703,0.00025674026290777794,2.951122417712971e-05,7.101501653832696,3.41589064541231,-,*
ETFSR_Ol8_256s,0.009080335039977726,0.005217404975320354,0.0002884049403859774,0.0004920182771569663,4.049075858059876,6.885343863927808,-,-
ETFSR_Ol8_256s_2,0.01089882442172041,0.0037379992354070655,3.801879619822867e-05,0.000481072625610064,2.96186555220689,4.265916185550647,*,-
ETFSR_Ol8_highres_256s,0.011051579361549317,0.00771613489974525,0.00013003176740396136,0.00043512068676944496,3.9542187060013796,2.5000244704088748,*,*
Fiege63_256s,0.023346140467493285,0.024174818211357103,0.00035701701579163205,0.00027113357837212125,14.683693343029114,18.946772324146806,-,-
Fiege63_256s_2,0.022090529573950694,0.02504483440118983,0.00028535906354458724,0.0002238280371319254,9.781640688897504,16.34409039317795,-,-
Fiege63_256s_3,0.021517501957998685,0.02548910610105591,8.37650969863454e-05,0.0001220772944700989,13.339327001979342,13.93120020935197,-,-
Fiege73_256s,0.04828907326947688,0.025445239262236668,7.961857903090591e-05,0.0006071992410788587,12.852745956223089,13.169122915957105,-,-
Fiege73_256s_2,0.04779031374846165,0.025741589013624458,0.00010417516999049924,0.0005381617759475136,13.574651974109713,13.541010532911697,-,-
Fiege73_256s_2_highres,0.047618101982914086,0.025474649452625075,0.000315140503453928,0.0005762284471304217,13.332759250830401,13.719604340003174,-,-
Fiege73_2_256s,0.04779031374846165,0.025741589013624458,0.00010417516999049924,0.0005381617759475136,13.574651974109713,13.541010532911697,-,-
STD_C1'_256s_20x50,0.014502330416023973,0.006383542525371395,0.0007587415605916581,0.00046066799673045696,9.555664196969767,3.017326544521756,-,*
STD_C1_020320_256s_20x50_a,0.004832373902622179,0.017750191157835753,9.501796327887602e-05,0.0005082693267206045,2.7204424022305678,6.287912335241871,*,-
STD_C1_020320_256s_20x50_b,0.004922398330832161,0.018400246102845953,4.9201384020143964e-05,0.00045097825171459566,2.237698408693159,5.8253008728614235,*,-
STD_C1_020320_256s_20x50_c,0.004046067580641076,0.017867455437572066,8.858037856152712e-06,0.00039855509212198613,2.2661193429723574,6.4348419777242505,*,-
STD_C1_020520_256s_20x50_a,0.008540118907153336,0.017751366352827758,0.0006878452339911619,0.000609317197429285,5.104835876804718,5.466186372197382,-,-
STD_C1_020520_256s_20x50_b,0.008426308745992069,0.017240519265444093,0.0009393532691391516,0.0005285118998793955,3.8027149456843596,5.586693835447609,*,-
STD_C1_020520_256s_20x50_c,0.008830370492465022,0.017084933300598758,0.0011473866057356437,0.0005931155300958216,4.841135511061354,5.668477690605489,-,-
STD_C1_021220_256s_20x50_a,0.01906230698382357,0.006315549599673919,0.0014657342144879472,0.00011938102104690315,7.349462506168059,4.74620830118419,-,-
STD_C1_021220_256s_20x50_b,0.019266462489764182,0.006685572754939999,0.0016135959972570567,0.0004489901655236564,6.321586416335427,7.920776990663509,-,-
STD_C1_021220_256s_20x50_c,0.018221586491995248,0.006460106311156074,0.0014939578706081003,0.00028716087013336386,8.82245566151367,5.467006641327899,-,-
STD_C1_021420_256s_20x50_a,0.018892781463241536,0.00533633290933427,0.0008051789437999774,0.0003158209728301191,11.52368273631123,3.624845934884837,-,*
STD_C1_021420_256s_20x50_b,0.01824394076730636,0.005401312061479838,0.0012511153147186861,0.00020098962779971081,9.117173277293391,3.9856990488548774,-,*
STD_C1_021420_256s_20x50_c,0.017582633667272897,0.005211573091495528,0.0003014256029720736,0.00035066584126292017,9.157547243520261,4.063190921298513,-,-
